rep,start_idx,end_idx,next_rep_start_idx,start_time_ms,end_time_ms,duration_ms,peak_idx,peak_time_ms,peak_value,valley_value,amplitude
1,0,10,11.0,0,1354,1354,0,0,9.5925,9.5925,0.0
2,11,38,39.0,1484,5141,3657,24,3268,10.0105,9.3132,0.6973000000000003
3,39,66,67.0,5271,8974,3703,51,6929,10.1324,9.3454,0.7870000000000008
4,67,86,87.0,9106,11678,2572,78,10591,10.2125,9.2256,0.9869000000000003
5,87,122,123.0,11808,16612,4804,108,14680,10.0677,9.2329,0.8347999999999995
6,123,150,151.0,16742,20381,3639,135,18346,10.0978,9.2237,0.8741000000000003
7,151,176,177.0,20511,23943,3432,164,22289,9.9213,8.9932,0.9281000000000006
8,177,202,203.0,24074,27473,3399,187,25431,10.1028,9.2263,0.8765000000000001
9,203,228,229.0,27603,31009,3406,215,29225,10.0819,9.2628,0.8190999999999988
10,229,255,256.0,31139,34669,3530,244,33188,9.9854,9.3036,0.6818000000000008
11,256,276,277.0,34842,37542,2700,268,36454,10.1194,9.0014,1.1180000000000003
12,277,282,,37676,38370,694,280,38110,9.3952,9.3846,0.010600000000000165
