participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
1,1,1,3,0,00.000,0,-0.8900,9.6400,0.0700,9.6813,-0.0600,0.0022,0.1745,6.50,90.38,282.38,-0.9237,9.6464,0.0696,9.6908
1,1,1,3,0,00.173,173,-0.6500,10.0400,-0.2300,10.0636,-0.0393,-0.0218,0.1931,4.69,90.81,284.25,-0.8876,9.6983,0.0302,9.7389
1,1,1,3,0,00.303,303,-0.4100,9.7300,-0.3300,9.7442,-0.0360,-0.0349,0.1080,3.38,91.00,285.75,-0.8247,9.7025,-0.0173,9.7375
1,1,1,3,0,00.433,433,-0.5100,9.7900,-0.1100,9.8039,-0.0284,-0.0556,-0.1222,3.38,91.31,286.06,-0.7832,9.7140,-0.0295,9.7456
1,1,1,3,0,00.563,563,-0.8100,9.5700,0.0600,9.6044,-0.0207,-0.0709,-0.2400,4.81,91.38,285.13,-0.7867,9.6950,-0.0177,9.7269
1,1,1,3,0,00.693,693,-1.3100,9.5700,-0.3200,9.6645,-0.0055,-0.0709,-0.1909,6.50,91.50,283.94,-0.8557,9.6786,-0.0576,9.7165
1,1,1,3,0,00.823,823,-1.3200,10.0700,-0.3000,10.1606,0.0196,-0.0665,0.1069,6.88,91.56,284.06,-0.9169,9.7301,-0.0895,9.7737
1,1,1,3,0,00.953,953,-0.6800,9.2400,-0.4200,9.2745,0.0295,-0.0654,0.0796,5.81,91.50,285.63,-0.8857,9.6656,-0.1331,9.7070
1,1,1,3,0,01.083,1083,-0.5900,8.6000,-0.1900,8.6223,0.0087,-0.0687,-0.1462,6.00,91.38,285.94,-0.8467,9.5251,-0.1406,9.5637
1,1,1,3,0,01.256,1256,-1.0300,9.2500,-0.3600,9.3141,0.0371,-0.0436,0.0578,7.31,91.13,285.25,-0.8709,9.4889,-0.1695,9.5303
1,1,1,3,0,01.387,1387,-0.9000,9.4700,-0.0400,9.5128,0.0644,-0.0316,0.4189,5.38,90.75,287.50,-0.8747,9.4864,-0.1524,9.5279
1,1,1,3,0,01.518,1518,-0.3700,10.7900,-0.1600,10.7975,0.0654,-0.0240,0.2760,2.69,90.38,290.44,-0.8082,9.6582,-0.1534,9.6931
1,1,1,3,0,01.651,1651,-0.5700,9.8200,0.1500,9.8377,0.0589,-0.0262,-0.1582,2.56,89.94,290.75,-0.7768,9.6795,-0.1134,9.7113
1,1,1,3,0,01.782,1782,-0.6600,9.1600,0.1100,9.1844,0.0829,-0.0087,0.1364,2.75,89.44,290.69,-0.7614,9.6110,-0.0840,9.6415
1,1,1,3,0,01.915,1915,0.0600,9.4300,0.2100,9.4325,0.0545,0.0000,0.1004,1.25,88.94,292.19,-0.6532,9.5872,-0.0452,9.6095
1,1,1,3,0,02.045,2045,-0.2700,9.7900,0.0900,9.7941,0.0316,0.0000,-0.3022,1.94,88.69,291.50,-0.6027,9.6139,-0.0274,9.6328
1,1,1,3,0,02.176,2176,-1.2700,9.7400,0.2400,9.8254,0.0044,0.0120,-0.3883,4.81,88.63,288.63,-0.6906,9.6305,0.0078,9.6553
1,1,1,3,0,02.349,2349,-1.1900,10.0600,0.1800,10.1317,-0.0731,0.0513,0.2923,5.25,88.88,287.88,-0.7564,9.6871,0.0305,9.7167
1,1,1,3,0,02.480,2480,-0.6500,9.3900,0.1800,9.4142,-0.1014,0.0491,0.1669,3.13,89.44,289.50,-0.7424,9.6480,0.0502,9.6766
1,1,1,3,0,02.610,2610,-0.4100,9.8000,-0.0300,9.8086,-0.1527,0.0524,-0.1985,3.31,90.38,288.94,-0.6986,9.6680,0.0396,9.6933
1,1,1,3,0,02.745,2745,-0.6500,10.5700,-0.2400,10.5927,-0.1353,0.0545,0.0033,4.44,91.44,287.31,-0.6922,9.7869,0.0028,9.8113
1,1,1,3,0,02.875,2875,-0.3400,10.0500,-0.4500,10.0658,-0.0818,0.0567,0.1494,3.88,92.19,287.44,-0.6458,9.8215,-0.0569,9.8429
1,1,1,3,0,03.007,3007,-0.3400,10.0300,-0.5900,10.0531,-0.0153,0.0513,0.0600,3.00,92.38,287.81,-0.6055,9.8490,-0.1271,9.8684
1,1,1,3,0,03.138,3138,-0.0800,10.0600,-0.3600,10.0668,0.0884,0.0349,-0.0774,3.13,92.06,287.38,-0.5362,9.8768,-0.1578,9.8926
1,1,1,3,0,03.269,3269,-0.6200,11.0300,-0.0600,11.0476,0.1407,0.0185,0.0011,3.63,91.31,286.75,-0.5473,10.0288,-0.1449,10.0447
1,1,1,3,0,03.441,3441,0.1100,10.8600,-0.1400,10.8615,0.0742,-0.0164,0.1025,2.81,90.19,287.69,-0.4607,10.1383,-0.1443,10.1498
1,1,1,3,0,03.572,3572,0.2200,10.3800,0.2100,10.3845,0.0349,-0.0305,0.2454,1.44,89.81,289.25,-0.3710,10.1702,-0.0976,10.1774
1,1,1,3,0,03.702,3702,0.1200,10.3400,-0.2200,10.3430,0.0218,-0.0436,0.0382,0.75,89.69,290.25,-0.3063,10.1925,-0.1137,10.1978
1,2,1,3,0,03.833,3833,-0.2600,9.5600,0.0300,9.5636,0.0284,-0.0556,0.0164,0.81,89.56,290.50,-0.3002,10.1092,-0.0948,10.1141
1,2,1,3,0,03.963,3963,-0.0200,9.0400,0.1300,9.0410,-0.0033,-0.0491,0.1025,0.06,89.44,291.69,-0.2633,9.9683,-0.0652,9.9720
1,2,1,3,0,04.094,4094,0.3000,8.8700,0.1400,8.8762,-0.0458,-0.0349,-0.0196,-0.38,89.63,292.44,-0.1890,9.8236,-0.0381,9.8255
1,2,1,3,0,04.225,4225,-0.0800,9.3900,0.1000,9.3909,-0.0938,-0.0207,-0.2029,0.50,90.19,291.75,-0.1747,9.7664,-0.0199,9.7680
1,2,1,3,0,04.360,4360,-0.4000,9.5300,0.0300,9.5384,-0.0502,0.0022,-0.0120,1.25,90.63,291.06,-0.2044,9.7353,-0.0133,9.7374
1,2,1,3,0,04.533,4533,-0.1900,10.6100,0.0100,10.6117,0.0153,0.0240,-0.0524,1.06,90.69,291.13,-0.2025,9.8505,-0.0103,9.8526
1,2,1,3,0,04.663,4663,-0.7000,7.5000,0.0000,7.5326,0.1167,0.0251,-0.3109,2.50,90.25,289.50,-0.2680,9.5408,-0.0089,9.5446
1,2,1,3,0,04.793,4793,-1.5900,10.7900,-0.7200,10.9303,0.0600,0.0295,0.0371,2.63,89.81,289.13,-0.4422,9.7054,-0.1026,9.7160
1,2,1,3,0,04.923,4923,-0.2200,8.5500,0.0300,8.5529,0.0055,0.0513,0.0764,1.25,89.56,290.13,-0.4129,9.5532,-0.0851,9.5625
1,2,1,3,0,05.053,5053,-0.2000,9.8100,0.1500,9.8132,-0.0622,0.0567,-0.0295,0.88,89.75,290.06,-0.3849,9.5870,-0.0542,9.5949
1,2,1,3,0,05.183,5183,0.3000,9.9200,0.0200,9.9246,-0.0360,0.0480,-0.2269,1.94,90.00,288.63,-0.2946,9.6309,-0.0444,9.6355
1,2,1,3,0,05.313,5313,-0.8100,9.6300,-0.0700,9.6643,-0.0513,0.0535,-0.0480,3.13,90.31,287.13,-0.3625,9.6308,-0.0478,9.6377
1,2,1,3,0,05.443,5443,-0.7600,9.8600,-0.1500,9.8904,-0.0207,0.0524,0.0818,2.81,90.50,287.00,-0.4149,9.6610,-0.0612,9.6701
1,2,1,3,0,05.616,5616,-0.3100,9.3100,0.0100,9.3152,-0.0262,0.0480,0.0229,1.88,90.69,287.44,-0.4011,9.6147,-0.0518,9.6232
1,2,1,3,0,05.746,5746,-0.4900,9.6000,-0.2400,9.6155,-0.0415,0.0425,0.0000,1.94,90.88,287.00,-0.4128,9.6128,-0.0766,9.6220
1,2,1,3,0,05.877,5877,-0.2700,8.9400,-0.1600,8.9455,-0.0120,0.0469,0.1156,1.50,91.06,287.13,-0.3940,9.5241,-0.0876,9.5327
1,2,1,3,0,06.007,6007,0.2000,10.2900,-0.4300,10.3009,-0.0447,0.0327,0.1625,0.25,91.25,288.13,-0.3157,9.6251,-0.1327,9.6311
1,2,1,3,0,06.138,6138,0.7000,10.1100,-0.4700,10.1451,-0.0131,0.0175,-0.0764,-0.06,91.44,288.31,-0.1819,9.6890,-0.1772,9.6923
1,2,1,3,0,06.268,6268,0.0000,9.8700,-0.2200,9.8725,-0.0164,0.0098,-0.2171,0.94,91.50,287.13,-0.1579,9.7128,-0.1828,9.7158
1,2,1,3,0,06.399,6399,-0.3700,9.4900,0.0000,9.4972,0.0491,0.0076,-0.0698,2.00,91.38,286.06,-0.1859,9.6835,-0.1587,9.6865
1,2,1,3,0,06.530,6530,-0.7400,9.8500,-0.0900,9.8782,0.0415,-0.0022,-0.0175,2.13,91.00,286.00,-0.2589,9.7054,-0.1497,9.7100
1,2,1,3,0,06.706,6706,-0.3500,9.8100,-0.1000,9.8168,0.0556,-0.0164,0.0742,1.56,90.44,286.56,-0.2709,9.7192,-0.1431,9.7240
1,2,1,3,0,06.836,6836,0.0800,9.5900,-0.0200,9.5904,0.0371,-0.0295,0.0044,1.19,90.13,287.13,-0.2246,9.7022,-0.1269,9.7056
1,2,1,3,0,06.967,6967,-0.1400,10.0100,-0.1400,10.0120,0.0109,-0.0415,-0.1647,1.69,89.94,286.94,-0.2135,9.7427,-0.1286,9.7459
1,2,1,3,0,07.097,7097,-0.6000,9.6900,-0.1400,9.7096,0.0000,-0.0513,-0.0153,2.63,89.94,286.38,-0.2644,9.7358,-0.1301,9.7402
1,2,1,3,0,07.228,7228,-0.5600,10.0200,0.0300,10.0357,-0.0098,-0.0491,0.1276,1.94,89.94,287.44,-0.3034,9.7732,-0.1090,9.7785
1,2,1,3,0,07.358,7358,-0.1100,9.7900,0.2200,9.7931,0.0087,-0.0567,0.0491,1.00,89.94,288.75,-0.2779,9.7754,-0.0657,9.7796
