participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
1,1,1,3,0,00.000,0,3.2300,9.5100,0.0400,10.0436,0.0153,-0.0425,0.1516,-27.56,90.13,29.75,5.1801,8.2370,0.2984,9.7350
1,1,1,3,0,00.130,130,4.4700,10.0700,0.0600,11.0177,0.0524,-0.0785,-0.1625,-27.56,89.56,29.94,5.0866,8.4785,0.2670,9.8909
1,1,1,3,0,00.261,261,4.5400,8.8900,-0.8600,10.0191,0.0709,-0.0491,0.2443,-28.06,88.81,30.63,5.0145,8.5327,0.1185,9.8978
1,1,1,3,0,00.391,391,3.5300,8.2100,0.0700,8.9370,-0.0665,-0.0011,-0.1549,-26.69,88.69,29.44,4.8189,8.4902,0.1121,9.7631
1,1,1,3,0,00.564,564,2.9000,8.8200,1.7100,9.4407,-0.1014,0.0229,-0.2673,-24.69,89.50,27.63,4.5661,8.5337,0.3226,9.6838
1,1,1,3,0,00.694,694,4.9700,9.6300,1.2000,10.9031,-0.0065,0.0120,0.5694,-27.19,90.06,30.13,4.6193,8.6781,0.4382,9.8407
1,1,1,3,0,00.824,824,4.8700,8.8200,-0.6900,10.0988,0.0600,-0.0404,-0.0949,-29.00,89.75,32.00,4.6523,8.6968,0.2896,9.8673
1,1,1,3,0,00.954,954,4.0100,8.8100,-0.2400,9.6827,0.0971,-0.0327,-0.2716,-27.25,88.88,30.13,4.5677,8.7117,0.2198,9.8390
1,1,1,3,0,01.084,1084,4.9500,8.9400,0.6800,10.2415,0.0676,0.0098,0.3709,-29.06,88.19,31.69,4.6181,8.7418,0.2804,9.8906
1,1,1,3,0,01.214,1214,4.0300,8.8500,0.7500,9.7533,0.0055,0.0185,0.2411,-29.25,88.00,31.75,4.5406,8.7561,0.3423,9.8693
1,1,1,3,0,01.345,1345,5.5000,8.4500,0.7200,10.1080,0.0436,0.0044,0.2945,-31.13,87.69,33.50,4.6670,8.7157,0.3921,9.8944
1,1,1,3,0,01.476,1476,5.5500,7.6300,0.5400,9.4504,0.0055,-0.0087,-0.2487,-32.38,87.44,34.69,4.7834,8.5727,0.4116,9.8255
1,1,1,3,0,01.648,1648,5.7200,8.1400,0.7600,9.9778,0.0044,-0.0207,-0.4571,-31.38,87.44,33.69,4.9068,8.5157,0.4575,9.8388
1,1,1,3,0,01.778,1778,3.2900,6.2400,0.5500,7.0756,-0.0262,-0.0185,-0.4767,-28.19,87.44,30.63,4.6937,8.2158,0.4697,9.4737
1,1,1,3,0,01.908,1908,5.1000,8.1100,0.5400,9.5955,0.0000,-0.0109,0.3153,-28.25,87.63,30.75,4.7473,8.2018,0.4789,9.4887
1,1,1,3,0,02.038,2038,4.2200,9.3600,0.6100,10.2854,-0.0458,-0.0382,-0.3022,-26.88,87.75,29.69,4.6778,8.3545,0.4962,9.5877
1,1,1,3,0,02.168,2168,4.2000,9.1500,0.6100,10.0864,0.0033,-0.0229,0.0818,-26.69,87.75,29.75,4.6148,8.4593,0.5112,9.6497
1,1,1,3,0,02.299,2299,4.3700,8.8000,0.6100,9.8442,-0.0142,-0.0142,0.0862,-27.38,87.75,30.63,4.5826,8.5042,0.5242,9.6745
1,1,1,3,0,02.429,2429,4.3200,9.1900,0.5500,10.1696,-0.0545,-0.0098,-0.0764,-27.63,87.94,31.06,4.5480,8.5946,0.5276,9.7380
1,1,1,3,0,02.560,2560,4.4700,9.2800,0.5200,10.3136,-0.0535,-0.0065,0.0502,-27.44,88.19,31.13,4.5377,8.6849,0.5266,9.8130
1,1,1,3,0,02.732,2732,5.0300,8.7300,0.4300,10.0846,-0.0600,-0.0218,-0.1233,-27.69,88.63,31.69,4.6026,8.6908,0.5139,9.8477
1,1,1,3,0,02.862,2862,4.5700,9.6000,0.2200,10.6345,-0.0524,-0.0033,0.3785,-27.25,89.00,31.56,4.5983,8.8106,0.4752,9.9497
1,1,1,3,0,02.992,2992,6.7700,10.5200,0.6900,12.5291,-0.0425,-0.0196,-0.3000,-29.13,89.25,33.63,4.8845,9.0359,0.5035,10.2839
1,1,1,3,0,03.122,3122,6.1500,10.6300,0.4900,12.2906,0.0338,-0.0175,0.1113,-28.75,89.19,33.31,5.0512,9.2459,0.5017,10.5477
1,1,1,3,0,03.252,3252,4.3700,10.2300,0.4200,11.1322,0.0829,-0.0316,-0.2847,-26.25,88.69,30.81,4.9615,9.3756,0.4909,10.6188
1,2,1,3,0,03.383,3383,3.8800,9.5100,0.5000,10.2832,0.1113,-0.0185,-0.0862,-25.13,87.81,29.63,4.8189,9.3933,0.4921,10.5688
1,2,1,3,0,03.513,3513,4.3200,8.3400,0.8300,9.4290,0.0731,-0.0011,-0.1265,-24.31,87.00,28.50,4.7532,9.2545,0.5366,10.4176
1,2,1,3,0,03.644,3644,3.0400,7.8100,0.6100,8.4030,0.0098,0.0305,-0.2782,-22.06,86.81,26.13,4.5274,9.0642,0.5463,10.1467
1,2,1,3,0,03.817,3817,3.6400,8.9700,0.5600,9.6966,-0.0796,0.0709,0.0676,-21.50,87.50,25.25,4.4105,9.0518,0.5481,10.0840
1,2,1,3,0,03.948,3948,4.0000,9.8400,0.3100,10.6265,-0.1145,0.0676,0.0742,-22.13,88.38,25.63,4.3564,9.1556,0.5167,10.1524
1,2,1,3,0,04.078,4078,3.9800,5.7300,0.4200,6.9893,0.0109,0.0295,-0.1364,-23.63,88.63,26.81,4.3068,8.7042,0.5040,9.7245
1,2,1,3,0,04.210,4210,3.7900,8.9000,0.1500,9.6745,-0.0164,0.0371,-0.4200,-20.88,88.88,23.94,4.2387,8.7300,0.4573,9.7154
1,2,1,3,0,04.340,4340,4.9500,9.4000,0.5200,10.6364,0.0284,0.0480,0.3807,-22.63,88.81,25.25,4.3324,8.8183,0.4656,9.8361
1,2,1,3,0,04.470,4470,3.2900,9.2500,0.4200,9.8266,0.0196,0.0393,-0.0022,-21.69,88.81,24.00,4.1951,8.8752,0.4596,9.8275
1,2,1,3,0,04.601,4601,4.0200,9.2400,0.5500,10.0916,0.0436,0.0164,-0.1494,-21.88,88.56,23.88,4.1720,8.9233,0.4715,9.8617
1,2,1,3,0,04.732,4732,3.7200,9.2200,0.4700,9.9533,0.0316,0.0000,-0.0993,-21.06,88.31,23.00,4.1124,8.9624,0.4713,9.8721
1,2,1,3,0,04.905,4905,3.9200,9.4000,0.5900,10.2017,0.0262,-0.0120,-0.1265,-20.69,87.88,22.44,4.0871,9.0200,0.4869,9.9148
1,2,1,3,0,05.039,5039,3.7200,9.3700,0.5200,10.0948,0.0185,-0.0240,-0.5847,-17.88,87.69,19.69,4.0387,9.0662,0.4913,9.9372
1,2,1,3,0,05.170,5170,2.1200,9.6700,0.4700,9.9108,0.0044,-0.0393,-1.1181,-10.56,87.63,12.63,3.7859,9.1457,0.4885,9.9104
1,2,1,3,0,05.300,5300,0.0700,9.7900,0.6000,9.8086,0.0349,-0.0175,0.2171,-8.94,87.44,11.13,3.2962,9.2306,0.5032,9.8144
1,2,1,3,0,05.431,5431,4.2300,9.7200,1.0200,10.6495,0.0327,-0.0327,-0.4014,-11.00,87.13,13.25,3.4193,9.2951,0.5713,9.9205
1,2,1,3,0,05.561,5561,0.1100,9.0000,0.6500,9.0241,0.0665,-0.0055,0.7592,-7.50,86.88,10.00,2.9832,9.2562,0.5817,9.7425
1,2,1,3,0,05.692,5692,4.1900,9.7700,1.0400,10.6813,-0.0284,-0.0360,-0.7614,-9.00,86.75,11.50,3.1422,9.3239,0.6421,9.8601
1,2,1,3,0,05.822,5822,2.1100,9.1100,1.1700,9.4241,-0.0240,-0.0120,-0.0458,-5.75,86.94,8.44,3.0062,9.2957,0.7116,9.7956
1,2,1,3,0,05.995,5995,-0.8000,8.4600,0.2500,8.5014,-0.0589,-0.0207,0.0000,-1.75,87.63,4.69,2.5046,9.1856,0.6508,9.5432
1,2,1,3,0,06.125,6125,2.0100,8.5900,0.3400,8.8286,-0.1331,-0.0393,-0.1920,-4.44,88.31,7.56,2.4395,9.1071,0.6098,9.4479
1,2,1,3,0,06.255,6255,0.2400,9.8500,0.3500,9.8591,-0.1014,-0.0305,0.2902,-3.94,89.13,7.38,2.1496,9.2050,0.5756,9.4702
1,2,1,3,0,06.385,6385,1.8100,9.7300,0.4200,9.9058,-0.0240,-0.0480,0.1440,-5.56,89.56,9.31,2.1049,9.2742,0.5551,9.5262
1,2,1,3,0,06.515,6515,0.2200,10.7600,-0.0800,10.7625,-0.0491,-0.0578,-0.0131,-5.63,89.88,9.88,1.8565,9.4700,0.4714,9.6617
1,2,1,3,0,06.645,6645,1.4400,10.1600,0.2500,10.2646,-0.0098,-0.0458,-0.0142,-6.94,89.88,11.50,1.8016,9.5609,0.4422,9.7392
