participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
39,1,0,0,0,00.000,0,-7.7000,6.5100,0.9000,10.1232,0.0764,-0.0022,0.1178,47.19,88.06,245.63,-6.8840,6.4252,0.1540,9.4179
39,1,0,0,0,00.130,130,-6.5500,6.5100,0.8300,9.2721,-0.0404,-0.0480,0.1451,45.88,88.44,246.88,-6.8400,6.4363,0.2430,9.3953
39,1,0,0,0,00.303,303,-6.6000,6.8400,0.3900,9.5130,-0.0120,-0.0142,0.1778,44.00,88.69,248.94,-6.8084,6.4895,0.2624,9.4094
39,1,0,0,0,00.433,433,-6.4400,6.6800,-0.0900,9.2792,0.0316,-0.0087,-0.0807,43.69,88.63,249.44,-6.7598,6.5146,0.2160,9.3905
39,1,0,0,0,00.563,563,-6.9700,6.7600,-0.3000,9.7143,0.0524,0.0229,-0.3512,45.25,88.56,247.88,-6.7875,6.5470,0.1480,9.4316
39,1,0,0,0,00.693,693,-6.0400,6.0200,-0.5900,8.5481,-0.0415,-0.0665,-0.3982,47.94,88.56,245.25,-6.6890,6.4775,0.0507,9.3115
39,1,0,0,0,00.823,823,-7.0200,6.1900,0.2500,9.3626,-0.0840,-0.0916,-0.2323,50.13,89.50,243.19,-6.7326,6.4396,0.0770,9.3168
39,1,0,0,0,00.954,954,-7.5000,6.2500,0.2800,9.7668,-0.0676,-0.0884,-0.1320,51.25,90.44,242.13,-6.8338,6.4146,0.1037,9.3733
39,1,0,0,0,01.084,1084,-8.4500,5.9300,-0.0400,10.3232,0.0196,0.0164,-0.0295,51.94,90.88,241.50,-7.0467,6.3508,0.0848,9.4866
39,1,0,0,0,01.214,1214,-7.6600,5.8200,-0.3200,9.6255,0.0098,0.0687,0.0611,51.75,90.44,241.50,-7.1275,6.2808,0.0315,9.5001
39,1,0,0,0,01.387,1387,-7.2100,5.8500,-0.1800,9.2865,-0.0087,0.0469,0.2018,50.63,90.13,242.25,-7.1384,6.2241,0.0036,9.4708
39,1,0,0,0,01.518,1518,-7.3800,6.1900,0.3400,9.6383,-0.0098,0.0393,0.3098,48.81,89.63,243.94,-7.1702,6.2196,0.0479,9.4920
39,1,0,0,0,01.648,1648,-6.9100,6.8100,-0.1800,9.7034,-0.0404,0.0207,0.1233,47.13,89.56,245.31,-7.1360,6.2974,0.0179,9.5173
39,1,0,0,0,01.779,1779,-6.4600,6.3900,-0.0600,9.0867,-0.0524,-0.0175,-0.1680,47.25,89.81,245.00,-7.0469,6.3096,0.0076,9.4588
39,1,0,0,0,01.909,1909,-7.1000,6.5900,0.0800,9.6873,-0.0469,-0.0087,-0.2618,48.88,90.19,243.19,-7.0539,6.3465,0.0172,9.4887
39,1,0,0,0,02.039,2039,-7.3100,5.9500,0.0500,9.4256,-0.0109,0.0131,-0.2400,50.75,90.31,241.13,-7.0876,6.2943,0.0215,9.4791
39,1,0,0,0,02.169,2169,-7.5300,5.6600,-0.0600,9.4202,-0.0382,0.0175,-0.2018,52.31,90.25,239.44,-7.1459,6.2107,0.0108,9.4677
39,1,0,0,0,02.299,2299,-6.8200,4.4600,-0.2400,8.1524,0.0131,0.0447,-0.0458,53.13,90.06,238.44,-7.1030,5.9800,-0.0223,9.2851
39,1,0,0,0,02.472,2472,-5.8500,4.1200,0.1100,7.1560,-0.0185,0.0109,0.2258,52.06,89.75,239.25,-6.9379,5.7349,-0.0049,9.0013
39,1,0,0,0,02.602,2602,-7.5200,6.0800,0.0000,9.6704,-0.0044,0.0044,0.3196,49.94,89.75,241.13,-7.0146,5.7804,-0.0042,9.0894
39,1,0,0,0,02.736,2736,-6.7100,6.2800,0.0000,9.1903,-0.0545,0.0447,0.2629,47.63,89.50,243.13,-6.9744,5.8462,-0.0037,9.1006
39,1,0,0,0,02.867,2867,-6.9200,6.1400,0.6800,9.2762,-0.0153,0.0273,0.0109,46.44,89.25,244.06,-6.9673,5.8849,0.0864,9.1205
39,1,0,0,0,03.000,3000,-6.9000,7.6600,-0.3100,10.3142,-0.0774,0.0153,-0.1331,47.06,89.50,243.00,-6.9584,6.1188,0.0342,9.2661
39,1,0,0,0,03.131,3131,-10.7400,8.0200,-0.1800,13.4052,-0.0774,-0.0044,-0.4276,49.38,90.06,240.44,-7.4567,6.3694,0.0060,9.8067
39,1,0,0,0,03.261,3261,-10.6300,9.1000,-0.4200,13.9994,-0.1276,0.0207,-0.1680,51.31,90.50,238.00,-7.8749,6.7292,-0.0502,10.3585
39,1,0,0,0,03.392,3392,-9.3000,7.2700,-0.2000,11.8061,-0.0011,0.0316,0.0884,51.81,90.63,237.13,-8.0627,6.8005,-0.0699,10.5479
39,2,0,0,0,03.565,3565,-6.7500,5.6100,0.0400,8.7770,0.0000,0.0502,0.1931,49.75,90.44,238.56,-7.8897,6.6436,-0.0554,10.3144
39,2,0,0,0,03.695,3695,-6.2100,5.5100,0.2600,8.3061,-0.0524,0.0589,0.0469,48.75,90.19,239.19,-7.6684,6.4942,-0.0139,10.0488
39,2,0,0,0,03.826,3826,-7.5400,6.7700,-0.2600,10.1367,-0.0360,0.0055,-0.0665,48.88,90.13,238.75,-7.6514,6.5305,-0.0463,10.0596
39,2,0,0,0,03.959,3959,-8.3900,7.3800,0.2000,11.1757,0.0175,-0.0185,0.0676,48.88,90.31,238.69,-7.7488,6.6425,-0.0138,10.2062
39,2,0,0,0,04.093,4093,-8.4300,7.8400,-0.4000,11.5191,-0.0044,-0.0578,-0.0556,48.56,90.81,239.06,-7.8385,6.8003,-0.0647,10.3774
39,2,0,0,0,04.224,4224,-5.3300,4.1100,0.0100,6.7306,-0.0109,-0.0087,-0.2334,49.75,91.13,238.13,-7.5080,6.4458,-0.0549,9.8955
39,2,0,0,0,04.355,4355,-2.2000,1.9200,0.6300,2.9872,-0.0927,-0.0884,-0.0742,50.31,91.63,237.63,-6.8085,5.8494,0.0354,8.9762
39,2,0,0,0,04.485,4485,-10.2400,7.6800,-0.1000,12.8004,0.0305,-0.0185,0.0251,50.69,93.38,237.31,-7.2607,6.0906,0.0175,9.4770
39,2,0,0,0,04.658,4658,-6.1000,5.7000,-1.4300,8.4702,-0.0862,0.0098,-0.4483,52.38,93.25,235.63,-7.1077,6.0391,-0.1732,9.3285
39,2,0,0,0,04.789,4789,-9.3400,4.8500,-0.0800,10.5245,0.1080,0.0262,-0.6349,56.63,93.69,231.38,-7.4019,5.8824,-0.1609,9.4561
39,2,0,0,0,04.920,4920,-8.5900,5.0000,-0.7400,9.9667,0.0055,0.0633,-0.2913,59.88,93.31,228.00,-7.5585,5.7662,-0.2372,9.5097
39,2,0,0,0,05.050,5050,-8.4900,4.9600,-0.5900,9.8504,-0.0055,0.0829,-0.0491,60.88,92.38,227.06,-7.6812,5.6599,-0.2837,9.5455
39,2,0,0,0,05.181,5181,-8.1500,3.9400,0.4200,9.0621,0.1014,0.0873,-0.0164,60.94,90.81,227.13,-7.7430,5.4333,-0.1910,9.4610
39,2,0,0,0,05.311,5311,-6.8200,2.8600,0.4000,7.4062,0.0687,0.0654,0.1702,60.31,89.56,227.81,-7.6214,5.0942,-0.1131,9.1678
39,2,0,0,0,05.445,5445,-6.0900,3.8100,-0.2000,7.1864,-0.0458,-0.0425,0.4080,57.94,89.13,230.19,-7.4196,4.9250,-0.1246,8.9062
39,2,0,0,0,05.576,5576,-6.7300,4.7600,0.2100,8.2459,0.0415,-0.0480,0.5323,54.56,89.44,233.63,-7.3287,4.9032,-0.0805,8.8181
39,2,0,0,0,05.750,5750,-7.3200,6.7600,-0.2500,9.9671,0.0251,-0.0524,0.2225,50.88,90.19,237.50,-7.3276,5.1479,-0.1028,8.9557
39,2,0,0,0,05.880,5880,-7.0600,5.7900,0.3100,9.1359,0.0164,0.0142,-0.0338,50.44,90.44,238.19,-7.2923,5.2325,-0.0484,8.9755
39,2,0,0,0,06.010,6010,-8.1500,6.6100,-0.0900,10.4939,0.0284,-0.0371,-0.2749,52.00,90.94,236.81,-7.4053,5.4140,-0.0539,9.1735
39,2,0,0,0,06.141,6141,-12.1100,9.4800,-0.6200,15.3918,-0.0982,-0.0709,-0.1287,53.69,91.69,235.19,-8.0253,5.9498,-0.1285,9.9911
39,2,0,0,0,06.272,6272,-12.2800,8.4400,0.0000,14.9007,0.0011,0.0295,0.1298,53.63,91.63,235.38,-8.5859,6.2780,-0.1116,10.6369
39,3,0,0,0,06.402,6402,-8.1300,6.6900,0.0700,10.5289,0.0600,0.0175,0.1418,52.63,91.19,236.44,-8.5259,6.3323,-0.0876,10.6205
39,3,0,0,0,06.532,6532,-6.9400,5.6100,-0.1700,8.9255,-0.0033,-0.0109,0.1233,51.50,91.13,237.56,-8.3169,6.2371,-0.0985,10.3962
39,3,0,0,0,06.663,6663,-7.0300,6.4100,-0.2100,9.5159,-0.0545,-0.0153,0.0567,50.75,91.25,238.25,-8.1473,6.2599,-0.1132,10.2751
39,3,0,0,0,06.835,6835,-7.0900,5.8700,-0.2700,9.2086,-0.0393,0.0109,-0.2694,52.19,91.44,236.81,-8.0080,6.2085,-0.1338,10.1337
39,3,0,0,0,06.965,6965,-5.2100,3.7900,-0.0500,6.4429,0.0196,0.0458,-0.3327,54.56,91.19,234.38,-7.6393,5.8898,-0.1228,9.6469
39,3,0,0,0,07.095,7095,-5.8800,3.4400,0.3800,6.8229,-0.0360,0.0011,-0.2225,56.75,90.88,232.13,-7.4074,5.5670,-0.0565,9.2663
39,3,0,0,0,07.225,7225,-10.4400,5.4500,0.3800,11.7831,0.0796,0.0305,-0.0742,57.88,91.38,230.88,-7.8071,5.5516,0.0010,9.5797
39,3,0,0,0,07.355,7355,-7.4000,4.1900,0.8300,8.5443,0.0458,0.0633,0.1625,57.69,90.44,230.94,-7.7534,5.3721,0.1102,9.4333
39,3,0,0,0,07.486,7486,-8.0300,5.4600,-0.5600,9.7266,-0.0665,0.0327,0.3294,56.06,89.81,232.31,-7.7899,5.3837,0.0219,9.4693
39,3,0,0,0,07.617,7617,-7.5500,5.2200,0.5100,9.1930,0.0240,0.0153,0.3720,53.44,89.63,234.81,-7.7583,5.3621,0.0862,9.4314
39,3,0,0,0,07.747,7747,-7.1600,6.0100,0.1600,9.3494,-0.0305,-0.0044,0.1625,51.38,89.75,236.69,-7.6794,5.4475,0.0959,9.4158
39,3,0,0,0,07.920,7920,-7.1000,6.0100,-0.1800,9.3039,-0.0600,-0.0611,-0.2160,51.50,90.38,236.56,-7.6031,5.5216,0.0596,9.3967
39,3,0,0,0,08.050,8050,-7.0300,4.6500,0.0900,8.4292,-0.0033,-0.0611,-0.3992,53.88,91.25,234.38,-7.5276,5.4068,0.0636,9.2683
39,3,0,0,0,08.181,8181,-4.7800,3.2600,0.2500,5.7912,-0.0545,-0.0829,-0.2160,56.25,91.69,232.06,-7.1655,5.1239,0.0882,8.8094
39,3,0,0,0,08.311,8311,-7.6300,4.8100,-0.7100,9.0475,-0.0960,-0.0393,-0.1254,57.69,92.44,230.81,-7.2267,5.0825,-0.0170,8.8350
