participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
11,1,1,3,2,00.000,0,-4.4900,8.3800,-0.8800,9.5477,0.0011,-0.0164,-0.2967,17.94,87.81,52.50,-1.9637,9.1351,0.3101,9.3489
11,1,1,3,2,00.130,130,-3.6100,10.0100,1.1700,10.7052,-0.1025,0.0513,-0.4145,18.94,88.25,51.38,-2.1806,9.2504,0.4234,9.5133
11,1,1,3,2,00.262,262,-2.2800,9.9300,0.7200,10.2138,0.0971,0.1669,-0.1233,19.13,87.94,50.25,-2.1937,9.3399,0.4625,9.6052
11,1,1,3,2,00.392,392,-1.0600,8.5900,0.1900,8.6572,0.1014,-0.0535,-0.1658,19.50,86.94,49.69,-2.0443,9.2411,0.4266,9.4741
11,1,1,3,2,00.522,522,-4.6300,8.7400,0.0100,9.8906,0.0404,-0.2814,-0.5563,23.63,86.88,47.38,-2.3851,9.1751,0.3717,9.4873
11,1,1,3,2,00.653,653,-2.5800,8.2900,1.4300,8.7992,0.0382,-0.1276,0.4963,20.81,87.50,52.00,-2.4107,9.0584,0.5112,9.3877
11,1,1,3,2,00.783,783,-2.3300,6.8100,0.4900,7.2142,0.0425,-0.0480,-0.6578,21.81,87.38,51.69,-2.4001,8.7622,0.5084,9.0991
11,1,1,3,2,00.956,956,-4.3000,8.9900,1.1900,10.0362,0.0665,-0.0175,0.2280,22.81,87.31,51.50,-2.6505,8.7922,0.5982,9.2025
11,1,1,3,2,01.087,1087,-3.6000,9.5600,-0.0500,10.2155,-0.0055,0.0545,0.2367,21.31,87.00,53.06,-2.7756,8.8934,0.5128,9.3305
11,1,1,3,2,01.218,1218,-2.8200,9.1600,0.7000,9.6098,0.0185,0.0273,0.0971,20.50,86.81,53.81,-2.7814,8.9285,0.5374,9.3671
11,1,1,3,2,01.348,1348,-3.2900,8.3200,0.3800,8.9549,-0.0785,0.0033,-0.2105,20.38,86.88,53.81,-2.8485,8.8483,0.5167,9.3098
11,1,1,3,2,01.479,1479,-3.2600,7.8400,0.1400,8.4919,-0.2083,-0.0109,-0.0098,22.13,87.94,51.69,-2.9027,8.7154,0.4671,9.1980
11,1,1,3,2,01.609,1609,-3.3700,8.4200,-0.0400,9.0694,-0.3982,-0.0578,0.3534,20.75,90.25,52.63,-2.9643,8.6765,0.4002,9.1776
11,1,1,3,2,01.740,1740,-3.7800,9.9200,-1.0700,10.6696,-0.3938,0.0131,0.0055,18.69,93.25,53.88,-3.0718,8.8404,0.2065,9.3611
11,1,1,3,2,01.871,1871,-3.5000,9.2200,-1.1300,9.9265,-0.2422,0.0731,-0.0851,18.88,95.38,52.75,-3.1282,8.8904,0.0304,9.4247
11,1,1,3,2,02.044,2044,-3.1100,9.7200,-0.9300,10.2477,-0.0905,0.1582,0.0305,19.06,96.63,50.81,-3.1258,8.9997,-0.0962,9.5276
11,1,1,3,2,02.175,2175,-3.7200,9.9700,-1.2000,10.7088,-0.0305,0.1374,-0.2345,19.94,96.63,48.75,-3.2041,9.1276,-0.2416,9.6766
11,1,1,3,2,02.308,2308,-3.9300,9.9900,-1.4900,10.8381,-0.0076,0.0633,-0.1963,21.94,96.63,45.94,-3.2997,9.2412,-0.4061,9.8211
11,1,1,3,2,02.439,2439,-4.0400,9.7300,-1.4100,10.6293,0.0513,-0.0382,-0.1396,23.00,96.56,44.88,-3.3973,9.3056,-0.5384,9.9210
11,1,1,3,2,02.570,2570,-4.5100,9.7900,-1.1100,10.8359,0.0360,-0.0840,0.0949,23.00,96.56,45.38,-3.5439,9.3695,-0.6137,10.0361
11,1,1,3,2,02.700,2700,-4.2700,9.8300,-1.1200,10.7757,0.0447,-0.1080,-0.0371,22.69,96.63,46.44,-3.6396,9.4301,-0.6804,10.1310
11,2,1,3,2,02.831,2831,-3.9800,9.1500,-0.9900,10.0271,0.0938,-0.0927,0.0022,22.69,96.44,47.38,-3.6845,9.3932,-0.7212,10.1157
11,2,1,3,2,02.961,2961,-3.5700,8.3900,-0.6600,9.1418,0.0993,-0.0818,-0.0185,22.81,95.88,48.19,-3.6694,9.2610,-0.7132,9.9870
11,2,1,3,2,03.134,3134,-4.2500,8.5400,-0.5200,9.5532,0.0556,-0.0611,-0.0818,23.31,95.31,48.63,-3.7459,9.1660,-0.6877,9.9257
11,2,1,3,2,03.264,3264,-3.9700,8.8800,-0.7200,9.7537,-0.0022,-0.0207,0.1702,23.19,95.06,49.06,-3.7754,9.1283,-0.6920,9.9025
11,2,1,3,2,03.394,3394,-3.8400,9.4300,-0.6700,10.2039,-0.0142,-0.0109,0.1658,21.75,95.00,50.56,-3.7839,9.1681,-0.6891,9.9422
11,2,1,3,2,03.524,3524,-3.8800,9.3200,-0.6200,10.1144,-0.0382,0.0185,-0.0185,21.31,95.13,50.88,-3.7966,9.1881,-0.6800,9.9648
11,2,1,3,2,03.654,3654,-3.8800,9.3100,-0.7000,10.1104,-0.0415,0.0382,0.0284,21.31,95.44,50.50,-3.8076,9.2042,-0.6826,9.9840
11,2,1,3,2,03.784,3784,-3.6700,9.2000,-0.8000,9.9372,0.0055,0.0251,0.1691,20.75,95.38,50.81,-3.7895,9.2036,-0.6981,9.9777
11,2,1,3,2,03.915,3915,-3.2000,8.9500,-0.6400,9.5264,0.0513,-0.0022,0.2596,19.06,95.00,52.56,-3.7118,9.1702,-0.6904,9.9170
11,2,1,3,2,04.045,4045,-2.5100,7.9900,-0.4900,8.3893,0.0535,-0.0120,0.2389,17.06,94.50,54.69,-3.5534,9.0147,-0.6640,9.7125
11,2,1,3,2,04.218,4218,-1.5400,8.5100,-0.4700,8.6610,0.0491,-0.0185,0.2673,15.19,93.88,56.94,-3.2881,8.9482,-0.6384,9.5545
11,2,1,3,2,04.348,4348,-2.2900,8.2600,0.0900,8.5720,-0.0600,-0.0513,-0.0927,15.50,94.06,56.38,-3.1566,8.8575,-0.5425,9.4188
11,2,1,3,2,04.478,4478,-1.7900,8.5900,-0.3100,8.7800,0.0131,-0.0175,0.1538,14.63,94.25,56.88,-2.9765,8.8222,-0.5118,9.3249
11,2,1,3,2,04.608,4608,-1.5300,9.6000,-0.6700,9.7442,0.0425,-0.0065,0.5105,12.19,93.94,59.06,-2.7859,8.9247,-0.5327,9.3646
11,2,1,3,2,04.738,4738,-2.1200,9.1100,-0.6500,9.3760,0.0076,0.0316,-0.0229,10.88,93.69,59.88,-2.6981,8.9491,-0.5481,9.3631
11,2,1,3,2,04.869,4869,-1.2000,9.1200,-0.4700,9.2106,0.0120,0.0807,0.0393,10.38,93.50,59.50,-2.5007,8.9717,-0.5378,9.3292
11,2,1,3,2,04.999,4999,-1.4400,9.1100,-0.0800,9.2235,0.0000,0.0556,-0.2716,10.63,93.19,58.38,-2.3609,8.9899,-0.4775,9.3070
11,2,1,3,2,05.130,5130,-1.6200,8.4200,-0.3700,8.5824,-0.0556,-0.0120,-0.1342,12.31,93.25,56.44,-2.2633,8.9148,-0.4633,9.2093
11,2,1,3,2,05.302,5302,-1.8800,8.0100,-0.1500,8.2290,-0.0589,-0.0502,-0.3392,13.81,93.94,55.06,-2.2128,8.7956,-0.4220,9.0795
11,2,1,3,2,05.433,5433,-2.3700,8.7800,-0.7900,9.1285,-0.0676,-0.0262,0.1080,15.19,94.56,53.81,-2.2335,8.7935,-0.4705,9.0849
