participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
11,1,1,3,2,00.000,0,3.0500,9.3500,0.1300,9.8357,0.0153,0.0055,0.0774,-17.19,88.69,83.94,2.6803,9.3690,0.1384,9.7458
11,1,1,3,2,00.130,130,2.9800,9.2300,0.2600,9.7026,0.0131,0.0087,-0.1364,-16.88,88.63,83.56,2.7198,9.3507,0.1544,9.7394
11,1,1,3,2,00.260,260,2.7600,9.2400,0.2400,9.6464,-0.0022,0.0120,-0.0982,-16.06,88.63,82.69,2.7251,9.3361,0.1657,9.7271
11,1,1,3,2,00.390,390,2.7000,9.2700,0.3000,9.6599,-0.0022,0.0120,-0.0567,-15.69,88.63,82.25,2.7218,9.3274,0.1834,9.7181
11,1,1,3,2,00.521,521,2.9400,9.3600,0.1700,9.8123,0.0065,0.0164,-0.1767,-15.25,88.63,81.69,2.7506,9.3317,0.1816,9.7303
11,1,1,3,2,00.694,694,1.7800,8.3100,0.3600,8.5061,0.0273,0.0207,-0.2902,-12.69,88.50,78.94,2.6227,9.1970,0.2051,9.5659
11,1,1,3,2,00.825,825,1.8700,8.6300,0.2300,8.8333,-0.0055,0.0065,-0.1069,-11.44,88.50,77.56,2.5235,9.1223,0.2084,9.4672
11,1,1,3,2,00.955,955,1.9200,8.4400,0.0900,8.6561,-0.0305,-0.0349,-0.1222,-10.38,88.56,76.69,2.4440,9.0324,0.1928,9.3592
11,1,1,3,2,01.085,1085,1.4400,8.6600,0.2400,8.7822,-0.0742,-0.0611,-0.1080,-9.63,89.00,77.19,2.3117,8.9833,0.1990,9.2781
11,1,1,3,2,01.215,1215,1.6800,10.3100,-0.0800,10.4463,-0.0851,-0.0611,0.4963,-11.25,89.56,79.63,2.2284,9.1582,0.1623,9.4268
11,1,1,3,2,01.345,1345,1.7900,9.7500,-0.4800,9.9246,-0.1069,-0.0491,0.0000,-14.63,90.19,83.50,2.1707,9.2361,0.0776,9.4881
