participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
3,1,1,3,1,00.000,0,-1.1900,9.7700,0.5000,9.8549,-0.0109,-0.0262,0.1440,8.00,87.38,20.25,-1.3469,9.7264,0.4473,9.8294
3,1,1,3,1,00.123,123,-1.2100,9.8600,0.4500,9.9442,0.0000,-0.0382,-0.2454,8.00,87.44,20.44,-1.3289,9.7440,0.4477,9.8444
3,1,1,3,1,00.244,244,-1.2100,9.6300,0.4000,9.7140,-0.0076,-0.0251,0.0742,8.19,87.44,20.50,-1.3132,9.7290,0.4414,9.8272
3,1,1,3,1,00.406,406,-1.8300,10.0500,0.4600,10.2256,0.0011,-0.0164,-0.1473,8.56,87.50,20.38,-1.3813,9.7713,0.4438,9.8784
3,1,1,3,1,00.533,533,-1.3400,9.6900,0.4100,9.7908,0.0360,0.0011,-0.1527,8.38,87.38,20.56,-1.3759,9.7606,0.4394,9.8669
3,1,1,3,1,00.655,655,-1.5400,9.2100,0.5400,9.3535,-0.0065,0.0033,0.2563,8.81,87.25,20.19,-1.3975,9.6880,0.4526,9.7988
3,1,1,3,1,00.776,776,-1.2100,8.1100,0.1600,8.2013,-0.0469,0.0087,-0.2313,8.25,87.38,20.69,-1.3728,9.4801,0.4141,9.5879
3,1,1,3,1,00.897,897,-1.1100,9.3800,1.0100,9.4993,-0.0120,0.0535,0.0469,8.88,87.63,19.75,-1.3381,9.4669,0.4926,9.5737
3,1,1,3,1,01.019,1019,-1.8100,7.3200,-0.1000,7.5411,0.0535,-0.0044,0.5912,9.06,87.31,19.50,-1.4003,9.1840,0.4145,9.2994
3,1,1,3,1,01.140,1140,-0.3000,10.6100,0.6700,10.6354,0.0524,-0.1516,-0.2422,6.56,87.00,22.63,-1.2553,9.3719,0.4482,9.4662
3,1,1,3,1,01.264,1264,-0.9900,9.5600,0.5300,9.6257,0.0742,-0.1025,-0.0284,8.13,86.50,22.06,-1.2204,9.3967,0.4590,9.4867
3,1,1,3,1,01.428,1428,-0.8200,9.4200,0.7400,9.4845,0.0720,-0.0284,-0.3000,8.94,85.94,22.06,-1.1676,9.3998,0.4960,9.4850
3,1,1,3,1,01.548,1548,-1.7100,8.9000,0.6200,9.0840,-0.0578,0.0709,-0.2193,11.50,85.81,19.69,-1.2391,9.3339,0.5123,9.4297
3,1,1,3,1,01.669,1669,-1.2200,8.7600,0.8000,8.8807,-0.1276,0.0993,-0.3752,11.81,86.50,18.75,-1.2366,9.2583,0.5502,9.3567
3,1,1,3,1,01.790,1790,-1.1400,10.4600,0.4600,10.5320,-0.0796,0.0000,-0.2760,13.25,87.31,17.06,-1.2238,9.4166,0.5383,9.5111
3,1,1,3,1,01.911,1911,-3.1900,9.4100,0.9500,9.9813,0.0371,0.0611,-0.0807,17.31,87.44,13.06,-1.4829,9.4158,0.5926,9.5502
3,1,1,3,1,02.037,2037,-2.7100,10.6600,0.1900,11.0007,0.0665,-0.0360,-0.6272,19.31,87.19,11.31,-1.6446,9.5797,0.5395,9.7348
3,1,1,3,1,02.158,2158,-4.2700,10.1400,-0.3200,11.0070,-0.0076,-0.0131,0.5029,20.88,86.88,10.38,-1.9906,9.6536,0.4263,9.8659
3,1,1,3,1,02.280,2280,-4.0500,11.1500,0.1800,11.8641,-0.0327,-0.0120,-0.1942,20.63,87.06,11.19,-2.2620,9.8507,0.3938,10.1148
3,1,1,3,1,02.442,2442,-3.0800,11.0200,0.2500,11.4451,-0.0305,0.0622,0.2934,17.69,87.19,14.19,-2.3698,10.0048,0.3749,10.2885
3,1,1,3,1,02.563,2563,-2.7500,10.7600,0.6800,11.1267,-0.0109,-0.0316,0.0720,16.25,87.38,15.56,-2.4199,10.1043,0.4151,10.3983
3,1,1,3,1,02.684,2684,-4.0200,10.8700,0.7400,11.6131,0.1014,-0.1145,-1.4039,16.50,86.81,15.50,-2.6307,10.2052,0.4579,10.5488
3,1,1,3,1,02.806,2806,-3.7700,8.9000,0.9000,9.7074,0.0305,-0.0851,0.2760,17.13,86.56,15.69,-2.7809,10.0332,0.5162,10.4243
3,1,1,3,1,02.932,2932,-1.7400,7.6900,0.5400,7.9029,-0.0273,-0.0785,1.1552,14.13,87.06,19.25,-2.6437,9.7245,0.5193,10.0908
3,1,1,3,1,03.053,3053,-0.0700,9.0400,-0.2500,9.0437,0.1014,-0.0316,0.4123,11.88,87.19,21.69,-2.3045,9.6343,0.4179,9.9149
3,1,1,3,1,03.174,3174,0.7000,7.6600,2.1800,7.9949,-0.0796,0.0622,0.7516,10.31,87.63,23.13,-1.9086,9.3741,0.6501,9.5885
3,1,1,3,1,03.294,3294,-0.7400,6.0400,1.1000,6.1838,-0.0545,-0.1004,0.2705,10.63,88.13,22.75,-1.7546,8.9348,0.7094,9.1330
3,2,1,3,1,03.456,3456,0.6500,10.1900,0.5000,10.2229,0.0633,-0.0055,0.9272,6.69,88.06,26.88,-1.4378,9.1002,0.6818,9.2382
3,2,1,3,1,03.577,3577,-5.4800,10.7800,0.9900,12.1334,0.0469,0.0153,-0.4483,9.13,87.56,24.50,-1.9704,9.3215,0.7224,9.5549
3,2,1,3,1,03.699,3699,-0.3100,9.8800,0.4800,9.8965,0.0316,0.0065,-0.3687,6.88,87.19,26.19,-1.7516,9.3951,0.6905,9.5819
3,2,1,3,1,03.825,3825,-1.1700,9.3300,0.5400,9.4186,-0.0011,0.0207,-0.0382,6.44,87.00,26.38,-1.6750,9.3865,0.6706,9.5584
