participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
11,1,1,3,1,00.000,0,9.5100,-1.8400,0.8500,9.7236,0.0316,0.0044,-0.3043,-78.13,-66.00,170.94,9.2727,-1.7840,0.8510,9.4810
11,1,1,3,1,00.146,146,9.4000,-1.5700,0.8800,9.5708,0.0480,0.0316,0.0011,-79.50,-64.38,169.44,9.2895,-1.7558,0.8548,9.4925
11,1,1,3,1,00.279,279,9.4100,-1.7100,0.7100,9.5904,0.0240,-0.0131,0.0567,-79.06,-65.63,169.63,9.3054,-1.7498,0.8357,9.5052
11,1,1,3,1,00.410,410,8.9400,-1.9600,0.7100,9.1798,0.0196,-0.0109,-0.0774,-79.00,-65.69,169.50,9.2572,-1.7775,0.8192,9.4618
11,1,1,3,1,00.542,542,8.5600,-1.0100,0.6200,8.6416,-0.0305,-0.0556,-0.3720,-80.13,-60.94,168.13,9.1653,-1.6763,0.7929,9.3511
11,1,1,3,1,00.672,672,9.0500,-0.9000,0.6800,9.1200,-0.0207,-0.0480,0.0622,-80.88,-55.25,167.13,9.1501,-1.5740,0.7780,9.3171
11,1,1,3,1,00.845,845,9.0700,-1.4800,1.0300,9.2475,-0.0185,-0.0076,-0.0262,-80.13,-55.94,167.88,9.1396,-1.5616,0.8112,9.3075
11,1,1,3,1,00.975,975,9.1600,-1.5800,0.9300,9.3417,0.0185,0.0480,-0.1014,-80.50,-55.19,167.63,9.1423,-1.5641,0.8269,9.3119
11,1,1,3,1,01.105,1105,9.8700,-1.0800,1.0800,9.9875,0.0469,0.0567,-0.2574,-81.81,-52.19,166.06,9.2382,-1.5003,0.8602,9.3986
11,1,1,3,1,01.235,1235,9.5800,-0.7000,1.0300,9.6606,0.0513,0.0600,-0.2967,-83.63,-4.25,163.56,9.2832,-1.3948,0.8826,9.4288
11,1,1,3,1,01.365,1365,9.0600,0.0000,0.2900,9.0646,0.0120,0.1156,-0.2422,-85.75,-1.38,160.44,9.2538,-1.2110,0.8045,9.3673
11,1,1,3,1,01.495,1495,9.8900,0.0400,0.2900,9.8943,-0.0284,0.1549,-0.0011,-86.94,-0.63,159.75,9.3376,-1.0462,0.7367,9.4249
11,1,1,3,1,01.625,1625,10.8600,0.4300,0.4700,10.8787,-0.0524,0.0622,-0.1833,-87.81,-0.06,159.50,9.5382,-0.8516,0.7016,9.6019
11,1,1,3,1,01.755,1755,10.4900,0.9400,-0.3400,10.5375,-0.0262,0.0796,-0.1800,-87.75,1.31,158.31,9.6637,-0.6155,0.5643,9.6997
11,1,1,3,1,01.928,1928,12.6300,-0.3100,0.7000,12.6532,0.0894,-0.0927,0.4516,-88.50,-0.44,159.69,10.0545,-0.5753,0.5822,10.0878
11,2,1,3,1,02.059,2059,9.0400,-0.2000,-0.1400,9.0433,-0.0109,-0.1876,-0.0818,-87.13,-0.94,159.94,9.9209,-0.5258,0.4870,9.9467
