participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
11,1,1,3,1,00.000,0,-0.1400,9.7400,0.1700,9.7425,0.0065,0.0262,-0.1145,0.50,89.69,79.75,0.1781,9.7572,0.1310,9.7597
11,1,1,3,1,00.172,172,0.0100,9.9200,0.0400,9.9201,0.0305,0.0153,-0.0436,0.13,89.56,79.88,0.1560,9.7787,0.1190,9.7807
11,1,1,3,1,00.302,302,-0.0700,9.3100,0.1700,9.3118,0.0654,0.0207,0.0131,0.75,89.19,79.13,0.1262,9.7169,0.1258,9.7186
11,1,1,3,1,00.432,432,0.2300,9.7400,0.1600,9.7440,0.0240,0.0087,-0.0447,0.50,88.88,79.31,0.1399,9.7200,0.1303,9.7218
11,1,1,3,1,00.562,562,-0.6500,9.2200,0.3300,9.2488,0.0153,0.0055,-0.3207,2.06,88.75,77.75,0.0358,9.6541,0.1566,9.6554
11,1,1,3,1,00.692,692,0.2400,9.9400,0.4400,9.9526,0.0218,0.0251,0.2443,1.81,88.69,77.88,0.0627,9.6918,0.1939,9.6939
11,1,1,3,1,00.823,823,-0.6800,8.3100,0.3000,8.3432,-0.0436,0.0044,-0.8759,4.63,88.69,75.00,-0.0352,9.5097,0.2079,9.5120
11,1,1,3,1,00.953,953,-1.0400,8.6200,0.1700,8.6842,-0.1036,0.0633,0.0338,7.06,89.19,72.19,-0.1676,9.3924,0.2029,9.3961
11,1,1,3,1,01.084,1084,-1.8400,9.9500,0.2200,10.1211,-0.0894,0.0480,-0.4309,9.00,89.81,69.81,-0.3880,9.4659,0.2052,9.4761
11,1,1,3,1,01.257,1257,-1.9600,10.0600,0.0900,10.2496,-0.0469,0.1124,-0.2073,10.50,90.31,67.50,-0.5951,9.5442,0.1900,9.5646
11,1,1,3,1,01.387,1387,-2.3300,9.8400,-0.1200,10.1128,-0.0065,0.1364,-0.2956,13.13,90.31,63.88,-0.8237,9.5832,0.1491,9.6197
11,1,1,3,1,01.517,1517,-1.8500,8.2900,0.0200,8.4939,0.0109,0.0469,-0.2694,14.25,90.13,62.06,-0.9590,9.4128,0.1321,9.4624
11,1,1,3,1,01.647,1647,-3.1200,10.1400,0.1000,10.6096,-0.0044,-0.0218,0.2498,15.38,90.13,61.00,-1.2437,9.5086,0.1279,9.5904
11,1,1,3,1,01.777,1777,-1.9200,10.0300,-0.0400,10.2122,0.0218,0.0055,-0.0949,13.50,90.06,62.88,-1.3329,9.5773,0.1058,9.6702
11,1,1,3,1,01.907,1907,-2.9100,9.7000,-0.2800,10.1310,0.0185,-0.0131,-0.1614,15.63,89.88,60.88,-1.5407,9.5935,0.0549,9.7166
11,1,1,3,1,02.037,2037,-1.8200,9.6700,-0.1800,9.8414,0.0284,-0.0436,0.2007,13.81,89.69,62.94,-1.5775,9.6036,0.0240,9.7323
11,1,1,3,1,02.167,2167,-3.3500,9.7000,0.0800,10.2625,0.0196,-0.0055,-0.3600,15.75,89.56,61.25,-1.8111,9.6163,0.0314,9.7854
11,1,1,3,1,02.340,2340,-2.6500,9.8200,0.2300,10.1739,-0.0382,0.0349,-0.0458,16.56,89.63,60.13,-1.9216,9.6431,0.0575,9.8329
