participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
1,1,1,2,0,00.000,0,-0.3300,9.8200,0.5300,9.8398,0.0305,0.0218,0.1920,-3.75,86.69,333.31,0.2271,9.8329,0.4852,9.8475
1,1,1,2,0,00.110,110,0.5500,9.8000,0.5600,9.8314,0.0185,0.0316,-0.0098,-4.06,86.50,333.44,0.2697,9.8286,0.4950,9.8447
1,1,1,2,0,00.212,212,0.5000,9.8500,0.6400,9.8834,0.0109,0.0393,-0.0109,-4.06,86.44,333.19,0.3000,9.8314,0.5141,9.8494
1,1,1,2,0,00.324,324,0.2800,9.7000,0.7000,9.7293,0.0044,0.0349,-0.1047,-4.00,86.44,332.88,0.2974,9.8141,0.5386,9.8333
1,1,1,2,0,00.428,428,0.4100,9.7900,0.7300,9.8257,0.0098,0.0218,-0.0371,-4.06,86.38,332.69,0.3122,9.8109,0.5638,9.8321
1,1,1,2,0,00.539,539,-0.4200,9.8000,0.6600,9.8312,0.0142,0.0076,0.1058,-3.94,86.38,332.56,0.2157,9.8095,0.5765,9.8288
1,1,1,2,0,00.641,641,1.0100,9.6600,0.6600,9.7351,0.0065,-0.0044,0.2705,-4.50,86.31,333.19,0.3204,9.7898,0.5875,9.8126
1,1,1,2,0,00.752,752,0.8300,9.7700,0.5900,9.8229,-0.0142,-0.0185,0.0273,-4.81,86.31,333.56,0.3875,9.7872,0.5878,9.8125
1,1,1,2,0,00.854,854,0.4000,9.7700,0.6200,9.7978,-0.0251,-0.0196,0.1189,-4.94,86.44,333.75,0.3892,9.7849,0.5921,9.8105
1,1,1,2,0,00.964,964,1.1000,10.3300,0.8500,10.4231,-0.0349,-0.0251,0.0818,-5.13,86.63,334.13,0.4829,9.8567,0.6261,9.8884
1,1,1,2,0,01.066,1066,1.4200,12.0400,0.7400,12.1460,-0.0207,-0.0316,-0.0818,-5.06,86.75,334.19,0.6063,10.1444,0.6411,10.1827
1,1,1,2,0,01.180,1180,0.9100,11.5000,0.6300,11.5531,0.0251,-0.0327,-0.0927,-3.69,86.69,333.06,0.6464,10.3231,0.6396,10.3630
1,1,1,2,0,01.282,1282,-0.2800,10.1000,0.2700,10.1075,0.0175,-0.0491,-0.3894,-1.88,86.56,331.50,0.5243,10.2937,0.5909,10.3239
1,1,1,2,0,01.392,1392,0.0800,8.8700,0.6100,8.8913,-0.0338,-0.0164,0.1353,-1.00,86.56,330.88,0.4657,10.1061,0.5934,10.1342
1,1,1,2,0,01.494,1494,1.8700,8.7900,0.8800,9.0297,-0.1276,0.0087,0.1484,-1.69,87.06,331.63,0.6508,9.9326,0.6312,9.9739
1,1,1,2,0,01.605,1605,-1.8800,9.2800,0.5800,9.4863,-0.2345,0.0316,0.1734,-2.44,88.19,332.25,0.3173,9.8466,0.6244,9.8715
1,1,1,2,0,01.707,1707,-2.0000,9.4400,0.1800,9.6512,-0.3022,0.0589,0.1505,-4.00,89.69,333.63,0.0119,9.7931,0.5659,9.8094
1,1,1,2,0,01.817,1817,1.5700,9.7300,0.3300,9.8614,-0.2640,0.0884,0.5956,-8.44,91.50,337.63,0.2172,9.7847,0.5348,9.8018
1,1,1,2,0,01.919,1919,2.1200,10.0700,0.1700,10.2921,-0.0709,0.0654,0.4418,-11.56,92.56,340.06,0.4680,9.8223,0.4867,9.8455
1,1,1,2,0,02.033,2033,4.1300,8.7200,-0.3800,9.6561,0.2105,-0.0185,0.1876,-13.75,92.00,341.25,0.9505,9.6771,0.3725,9.7308
1,1,1,2,0,02.135,2135,3.5000,8.7100,-1.2600,9.4711,0.2422,-0.0840,-0.3774,-14.88,90.38,341.94,1.2865,9.5496,0.1574,9.6372
1,1,1,2,0,02.245,2245,0.2200,8.5400,-1.0800,8.6108,0.0295,-0.0633,-0.2214,-14.06,89.38,341.00,1.1460,9.4166,-0.0057,9.4861
1,1,1,2,0,02.347,2347,-1.6500,9.6400,0.5800,9.7974,-0.0142,-0.0524,-0.2869,-13.19,89.31,340.25,0.7775,9.4460,0.0715,9.4782
1,1,1,2,0,02.458,2458,2.3700,9.9300,0.5200,10.2221,0.0164,-0.0644,0.0327,-13.56,89.25,340.56,0.9874,9.5098,0.1306,9.5618
1,1,1,2,0,02.560,2560,1.6600,9.3700,0.2900,9.5203,0.0513,-0.0873,-0.4909,-13.38,88.94,340.63,1.0760,9.4914,0.1516,9.5534
1,1,1,2,0,02.670,2670,2.0200,8.4600,0.4600,8.7100,0.1069,-0.0513,0.2083,-12.56,88.31,339.69,1.2004,9.3555,0.1923,9.4341
1,1,1,2,0,02.772,2772,2.3800,8.9100,0.2500,9.2258,0.0633,-0.0447,-0.1822,-11.75,87.81,339.00,1.3558,9.2968,0.1999,9.3972
1,1,1,2,0,02.886,2886,1.1900,9.1700,0.3500,9.2535,0.0742,-0.0262,-0.3327,-9.50,87.25,336.94,1.3340,9.2801,0.2196,9.3780
1,2,1,2,0,02.988,2988,1.2700,9.4700,0.8500,9.5925,0.0654,-0.0207,-0.3840,-8.31,86.88,335.75,1.3256,9.3051,0.3027,9.4039
