participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
1,1,1,2,0,00.000,0,2.0500,9.5300,0.5400,9.7629,0.0120,0.0098,0.3142,-11.94,86.25,85.69,1.8597,9.5296,0.5152,9.7230
1,1,1,2,0,00.131,131,2.8400,9.4100,0.6200,9.8488,0.0065,-0.0011,0.0840,-13.81,86.25,87.50,1.9889,9.5138,0.5290,9.7339
1,1,1,2,0,00.262,262,2.2100,9.3200,0.7200,9.6055,-0.0044,-0.0164,-0.3229,-12.56,86.25,86.25,2.0180,9.4883,0.5542,9.7163
1,1,1,2,0,00.392,392,1.5900,9.4400,0.6100,9.5924,0.0000,0.0000,-0.0480,-10.81,86.31,84.63,1.9616,9.4819,0.5615,9.6990
1,1,1,2,0,00.523,523,1.8300,9.4200,0.6100,9.6155,0.0175,0.0153,0.4636,-12.13,86.25,85.88,1.9443,9.4738,0.5679,9.6879
1,1,1,2,0,00.699,699,3.4000,9.3200,0.7000,9.9455,0.0109,0.0098,0.2640,-16.75,86.13,90.31,2.1361,9.4535,0.5853,9.7095
1,1,1,2,0,00.829,829,2.8600,9.4000,0.6700,9.8483,-0.0044,-0.0076,-0.1778,-16.44,86.13,89.94,2.2315,9.4464,0.5965,9.7247
1,1,1,2,0,00.960,960,2.6400,9.4100,0.5900,9.7911,0.0065,0.0065,0.1025,-16.06,86.13,89.63,2.2853,9.4416,0.5956,9.7325
1,1,1,2,0,01.090,1090,3.0500,9.3300,0.6600,9.8380,0.0000,-0.0022,-0.0425,-16.63,86.06,90.19,2.3861,9.4269,0.6041,9.7430
1,1,1,2,0,01.221,1221,2.6400,9.3200,0.6800,9.7105,-0.0022,0.0000,-0.0600,-15.75,86.06,89.31,2.4196,9.4128,0.6141,9.7382
1,1,1,2,0,01.351,1351,2.7400,9.3700,0.6300,9.7827,0.0011,0.0022,0.0316,-15.75,86.06,89.31,2.4618,9.4072,0.6162,9.7435
1,1,1,2,0,01.482,1482,2.8100,9.3900,0.6500,9.8230,-0.0011,0.0033,-0.0087,-15.88,86.06,89.44,2.5077,9.4049,0.6207,9.7533
1,1,1,2,0,01.612,1612,2.5200,9.4500,0.5700,9.7968,-0.0022,0.0000,-0.0611,-15.50,86.06,89.06,2.5093,9.4109,0.6140,9.7590
1,1,1,2,0,01.785,1785,3.0500,9.2900,0.8000,9.8105,0.0098,0.0153,0.3054,-17.00,86.06,90.56,2.5805,9.3949,0.6385,9.7638
1,1,1,2,0,01.915,1915,3.2200,9.2900,0.7200,9.8585,-0.0055,-0.0076,-0.1778,-17.44,86.00,90.94,2.6648,9.3811,0.6492,9.7738
1,1,1,2,0,02.045,2045,2.6700,9.4900,0.5500,9.8738,-0.0022,-0.0033,-0.0404,-16.69,86.00,90.13,2.6655,9.3955,0.6362,9.7869
1,1,1,2,0,02.175,2175,2.8200,9.3300,0.6100,9.7659,0.0000,-0.0022,-0.0175,-16.44,86.00,89.94,2.6859,9.3868,0.6327,9.7840
1,1,1,2,0,02.305,2305,2.7900,9.3900,0.6000,9.8141,0.0022,0.0011,-0.0076,-16.44,86.00,89.94,2.6996,9.3873,0.6284,9.7879
1,1,1,2,0,02.435,2435,2.8400,9.3700,0.6100,9.8099,-0.0011,0.0011,0.0175,-16.44,86.00,89.94,2.7181,9.3850,0.6260,9.7907
1,1,1,2,0,02.565,2565,2.7800,9.3900,0.6000,9.8112,0.0000,-0.0065,-0.0349,-16.50,86.00,90.00,2.7262,9.3856,0.6226,9.7934
1,1,1,2,0,02.695,2695,2.6200,9.4400,0.5800,9.8140,-0.0098,-0.0109,-0.2531,-15.69,86.00,89.13,2.7122,9.3928,0.6169,9.7960
1,1,1,2,0,02.868,2868,1.6900,9.5800,0.6700,9.7510,-0.0076,-0.0065,-0.2923,-12.44,86.06,86.06,2.5775,9.4175,0.6239,9.7837
1,1,1,2,0,02.998,2998,2.9700,9.3900,0.7000,9.8733,0.0240,0.0229,0.5498,-14.00,86.00,87.50,2.6293,9.4139,0.6340,9.7947
1,1,1,2,0,03.129,3129,2.2800,9.4900,0.6700,9.7830,-0.0120,-0.0229,-0.3774,-14.38,86.00,87.94,2.5832,9.4239,0.6387,9.7924
1,1,1,2,0,03.259,3259,2.0600,9.5200,0.7100,9.7662,0.0055,0.0044,0.2149,-13.44,86.00,87.00,2.5143,9.4366,0.6481,9.7872
1,1,1,2,0,03.389,3389,2.6400,9.3600,0.6100,9.7443,0.0065,0.0098,0.1745,-15.19,86.00,88.69,2.5308,9.4265,0.6431,9.7815
1,1,1,2,0,03.519,3519,2.8100,9.4100,0.6000,9.8389,-0.0055,-0.0022,-0.1233,-15.81,86.00,89.31,2.5676,9.4243,0.6374,9.7886
1,1,1,2,0,03.649,3649,2.4100,9.5000,0.5800,9.8181,0.0011,-0.0011,-0.0316,-15.13,86.00,88.63,2.5469,9.4343,0.6298,9.7923
1,1,1,2,0,03.779,3779,2.6900,9.4200,0.5900,9.8143,-0.0055,-0.0087,-0.2116,-14.50,86.00,88.00,2.5657,9.4324,0.6246,9.7951
