participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
37,1,2,4,2,00.000,0,-3.1700,9.0900,0.2000,9.6290,-0.0229,-0.0022,-0.2378,16.19,87.81,178.38,-1.8999,9.3821,0.3268,9.5781
37,1,2,4,2,00.130,130,-3.2000,9.3000,0.3000,9.8397,-0.0011,0.0065,0.0251,17.06,87.94,177.94,-2.0712,9.3713,0.3233,9.6028
37,1,2,4,2,00.260,260,-2.6300,9.2900,0.2800,9.6592,0.0218,0.0196,0.2160,15.44,87.81,180.06,-2.1448,9.3605,0.3176,9.6084
37,1,2,4,2,00.390,390,-2.1900,9.3400,0.2700,9.5971,0.0262,0.0000,-0.2694,15.50,87.69,180.25,-2.1508,9.3578,0.3113,9.6069
37,1,2,4,2,00.520,520,-3.1400,9.1900,0.3300,9.7172,0.0175,-0.0098,-0.2411,17.56,87.50,178.63,-2.2811,9.3357,0.3138,9.6155
37,1,2,4,2,00.693,693,-2.8800,9.3100,0.4300,9.7548,0.0218,-0.0055,0.1931,16.69,87.31,180.13,-2.3600,9.3323,0.3291,9.6317
37,1,2,4,2,00.823,823,-2.2900,9.1500,0.4000,9.4407,0.0175,-0.0109,-0.0884,15.81,87.19,181.25,-2.3508,9.3083,0.3384,9.6065
37,1,2,4,2,00.953,953,-2.8500,9.1900,0.4600,9.6328,0.0087,-0.0098,-0.2247,17.38,87.13,179.81,-2.4166,9.2927,0.3544,9.6083
37,1,2,4,2,01.083,1083,-2.6500,8.7600,0.6100,9.1724,0.0175,0.0076,0.0371,18.00,87.06,179.19,-2.4474,9.2225,0.3881,9.5496
37,1,2,4,2,01.213,1213,-2.3300,8.8500,0.4600,9.1631,0.0000,0.0109,0.0851,17.44,86.94,179.75,-2.4319,9.1734,0.3976,9.4986
37,1,2,4,2,01.343,1343,-2.8900,9.4200,0.6200,9.8728,0.0044,0.0022,-0.0120,17.19,86.88,180.00,-2.4923,9.2059,0.4269,9.5469
37,1,2,4,2,01.473,1473,-3.1100,9.2100,0.4100,9.7296,0.0218,0.0022,-0.0480,17.56,86.69,179.63,-2.5737,9.2065,0.4247,9.5689
37,1,2,4,2,01.603,1603,-3.2100,8.9900,0.2600,9.5494,0.0273,0.0229,0.1069,17.63,86.50,179.56,-2.6575,9.1779,0.4030,9.5634
37,1,2,4,2,01.776,1776,-2.6100,9.1900,0.4100,9.5622,0.0033,0.0327,-0.0164,16.75,86.44,180.19,-2.6513,9.1795,0.4039,9.5633
37,1,2,4,2,01.906,1906,-2.4100,8.5500,0.7600,8.9156,0.0196,0.0284,-0.0742,17.38,86.38,179.38,-2.6195,9.0966,0.4508,9.4769
37,1,2,4,2,02.036,2036,-2.7000,9.0000,0.7500,9.4262,-0.0218,0.0087,0.0425,17.63,86.31,179.13,-2.6301,9.0838,0.4902,9.4696
37,1,2,4,2,02.166,2166,-2.8600,8.8800,0.6500,9.3518,-0.0360,0.0142,-0.0196,17.50,86.38,179.06,-2.6604,9.0570,0.5113,9.4535
37,1,2,4,2,02.296,2296,-3.0500,9.1700,0.5600,9.6801,-0.0502,0.0229,-0.0338,17.81,86.63,178.88,-2.7117,9.0719,0.5177,9.4826
37,1,2,4,2,02.426,2426,-2.7800,9.2100,0.3700,9.6275,-0.0535,0.0196,0.0600,17.50,86.94,179.81,-2.7207,9.0901,0.4983,9.5016
37,1,2,4,2,02.556,2556,-2.9100,9.7400,0.3400,10.1711,-0.0447,0.0044,-0.1625,17.69,87.31,179.69,-2.7457,9.1757,0.4774,9.5896
37,1,2,4,2,02.687,2687,-3.3100,9.8100,0.3800,10.3603,-0.0262,-0.0109,-0.2978,19.63,87.56,178.38,-2.8200,9.2593,0.4646,9.6904
37,1,2,4,2,02.859,2859,-3.6800,8.6200,0.1000,9.3732,-0.0185,-0.0011,-0.1800,21.25,87.69,178.13,-2.9333,9.1751,0.4165,9.6416
37,1,2,4,2,02.989,2989,-4.4500,10.3600,0.2800,11.2788,-0.0316,-0.0055,-0.1353,22.38,87.94,176.88,-3.1332,9.3312,0.3985,9.8513
37,1,2,4,2,03.119,3119,-3.8700,8.3000,0.4200,9.1675,-0.0393,-0.0153,-0.1996,23.44,88.13,176.63,-3.2303,9.1953,0.4014,9.7545
37,1,2,4,2,03.249,3249,-4.4800,9.4800,0.1700,10.4866,-0.0131,0.0022,-0.0458,24.56,88.31,176.31,-3.3950,9.2328,0.3709,9.8442
37,1,2,4,2,03.379,3379,-4.1900,9.4700,-0.0500,10.3557,0.0218,0.0185,0.1898,23.81,88.31,178.06,-3.4997,9.2641,0.3154,9.9081
37,1,2,4,2,03.509,3509,-5.1600,11.4900,0.2700,12.5984,0.0393,0.0065,0.0600,22.94,88.13,179.25,-3.7185,9.5574,0.3094,10.2600
37,1,2,4,2,03.639,3639,-5.0700,10.9300,0.0000,12.0486,0.0676,-0.0044,0.1538,22.31,87.75,180.06,-3.8966,9.7383,0.2687,10.4924
37,2,2,4,2,03.769,3769,-3.3800,9.0400,0.5100,9.6647,0.0622,-0.0240,0.0535,21.13,87.31,181.56,-3.8285,9.6463,0.3005,10.3826
37,2,2,4,2,03.942,3942,-3.2400,7.3500,0.3900,8.0419,0.0153,-0.0196,-0.3774,22.44,86.88,180.13,-3.7510,9.3437,0.3123,10.0733
37,2,2,4,2,04.072,4072,-2.0900,6.4500,0.4900,6.7978,-0.0382,-0.0273,-0.1462,24.50,86.94,178.00,-3.5321,8.9624,0.3357,9.6391
37,2,2,4,2,04.202,4202,-3.7100,7.8700,0.7700,8.7346,-0.0131,-0.0142,0.0927,24.44,87.19,178.19,-3.5555,8.8184,0.3929,9.5163
37,2,2,4,2,04.332,4332,-3.8200,8.9800,0.6000,9.7772,0.0535,0.0273,0.0840,23.81,86.94,178.88,-3.5904,8.8397,0.4202,9.5503
37,2,2,4,2,04.462,4462,-3.6000,8.5900,0.2500,9.3172,-0.0262,0.0033,0.0676,23.38,86.81,179.25,-3.5917,8.8068,0.3978,9.5193
37,2,2,4,2,04.592,4592,-3.6200,8.9900,0.5100,9.7049,-0.0436,-0.0044,0.0938,22.88,87.19,179.63,-3.5954,8.8309,0.4126,9.5437
37,2,2,4,2,04.722,4722,-3.5800,9.3200,0.3000,9.9884,-0.0142,0.0065,0.0098,22.25,87.38,180.19,-3.5934,8.8954,0.3977,9.6020
37,2,2,4,2,04.853,4853,-3.3100,9.0200,0.2600,9.6117,0.0033,0.0076,-0.0196,22.06,87.44,180.38,-3.5560,8.9118,0.3796,9.6026
37,2,2,4,2,05.025,5025,-2.8300,7.9800,0.4600,8.4794,0.0185,-0.0022,-0.0556,22.00,87.44,179.81,-3.4604,8.7890,0.3902,9.4537
37,2,2,4,2,05.155,5155,-3.4500,8.3600,0.3700,9.0515,0.0436,-0.0022,-0.2073,22.81,87.13,178.88,-3.4590,8.7325,0.3875,9.4006
37,2,2,4,2,05.285,5285,-4.0800,8.5200,0.3600,9.4534,0.0371,0.0011,-0.1440,24.19,86.81,177.50,-3.5408,8.7045,0.3839,9.4049
37,2,2,4,2,05.415,5415,-4.4100,8.6000,0.3900,9.6727,0.0316,0.0196,0.0229,24.56,86.63,177.25,-3.6554,8.6907,0.3847,9.4360
37,2,2,4,2,05.545,5545,-4.1400,9.2100,0.7700,10.1270,0.0065,0.0164,-0.0065,24.31,86.44,177.38,-3.7192,8.7591,0.4355,9.5260
37,2,2,4,2,05.675,5675,-4.0600,8.6400,0.6500,9.5685,0.0240,0.0305,-0.0120,24.56,86.19,177.00,-3.7641,8.7434,0.4637,9.5306
37,2,2,4,2,05.806,5806,-3.7600,8.5300,0.4800,9.3343,0.0305,0.0338,-0.0098,24.44,85.94,177.00,-3.7636,8.7153,0.4659,9.5047
37,2,2,4,2,05.936,5936,-4.0300,8.6900,0.7500,9.6083,0.0055,0.0327,-0.1494,25.13,85.75,176.19,-3.7987,8.7120,0.5033,9.5175
37,2,2,4,2,06.109,6109,-3.7100,8.7500,0.9100,9.5475,-0.0393,0.0131,0.1647,25.25,85.75,175.75,-3.7870,8.7170,0.5569,9.5204
37,2,2,4,2,06.239,6239,-3.2700,9.3400,0.8000,9.9282,-0.0807,-0.0458,0.1593,23.19,86.25,177.81,-3.7189,8.7991,0.5889,9.5708
37,2,2,4,2,06.370,6370,-4.3300,9.4200,0.1200,10.3682,-0.0665,-0.0807,-0.3665,24.44,87.00,176.81,-3.7994,8.8809,0.5271,9.6739
37,2,2,4,2,06.500,6500,-5.2300,9.1200,0.0600,10.5134,-0.0338,-0.0360,-0.0262,26.13,87.56,176.00,-3.9879,8.9124,0.4656,9.7750
37,2,2,4,2,06.631,6631,-4.7600,9.0500,0.2200,10.2278,-0.0251,0.0076,0.1080,25.50,87.88,177.44,-4.0897,8.9305,0.4332,9.8320
37,2,2,4,2,06.762,6762,-4.0400,8.7100,0.4400,9.6114,-0.0185,0.0175,-0.0011,25.19,88.00,177.81,-4.0831,8.9015,0.4341,9.8029
37,2,2,4,2,06.896,6896,-4.1700,9.6600,0.3000,10.5259,0.0011,0.0229,-0.0175,25.38,87.94,177.75,-4.0946,9.0014,0.4164,9.8977
37,2,2,4,2,07.028,7028,-5.6400,11.5800,0.4300,12.8876,0.0164,-0.0131,-0.0207,25.38,87.81,178.13,-4.2982,9.3412,0.4182,10.2912
37,2,2,4,2,07.201,7201,-5.3400,11.1100,0.1800,12.3280,0.0338,-0.0055,0.3403,23.56,87.56,180.25,-4.4355,9.5743,0.3868,10.5589
37,3,2,4,2,07.331,7331,-2.8000,9.3600,0.2200,9.7723,0.0218,-0.0175,-0.4211,23.63,87.44,179.94,-4.2200,9.5461,0.3649,10.4436
37,3,2,4,2,07.461,7461,-2.3100,3.8900,0.3700,4.5393,0.0316,0.0065,-0.4701,28.25,87.13,175.44,-3.9683,8.8007,0.3655,9.6610
37,3,2,4,2,07.591,7591,-2.9200,5.7900,0.2500,6.4895,-0.0044,0.0076,-0.4832,27.63,86.94,176.00,-3.8302,8.4040,0.3503,9.2423
37,3,2,4,2,07.721,7721,-4.9200,9.9900,0.7100,11.1584,0.0131,0.0131,-0.1593,28.94,86.81,174.63,-3.9738,8.6130,0.3977,9.4938
37,3,2,4,2,07.851,7851,-4.6700,7.7600,0.1400,9.0579,-0.0240,0.0087,0.1713,29.13,86.75,174.38,-4.0655,8.5006,0.3637,9.4298
37,3,2,4,2,07.981,7981,-4.3400,8.9600,0.3700,9.9626,-0.0196,0.0087,0.0785,27.56,86.94,175.75,-4.1017,8.5611,0.3646,9.5000
37,3,2,4,2,08.112,8112,-3.7200,7.9500,0.5600,8.7951,0.0011,0.0022,-0.2258,28.69,86.94,174.63,-4.0514,8.4806,0.3903,9.4067
37,3,2,4,2,08.285,8285,-3.6500,7.7800,0.4300,8.6044,0.0055,0.0033,0.1080,29.38,86.94,173.94,-3.9985,8.3883,0.3956,9.3009
37,3,2,4,2,08.416,8416,-5.0300,8.2700,0.2800,9.6836,0.0098,-0.0022,-0.1156,29.38,86.88,173.94,-4.1344,8.3727,0.3803,9.3456
37,3,2,4,2,08.546,8546,-4.6100,8.0400,0.2900,9.2724,0.0131,0.0076,-0.1898,30.56,86.69,172.81,-4.1971,8.3289,0.3684,9.3339
37,3,2,4,2,08.682,8682,-5.1300,8.3800,0.5800,9.8426,0.0065,0.0000,-0.0196,31.31,86.69,172.13,-4.3200,8.3356,0.3963,9.3969
37,3,2,4,2,08.814,8814,-4.9200,8.5300,0.5800,9.8643,0.0196,-0.0055,-0.0022,31.13,86.63,172.31,-4.3991,8.3612,0.4205,9.4572
