participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
1,1,1,2,1,00.000,0,1.3800,10.1400,0.7100,10.2581,-0.0153,0.1058,0.0687,-6.25,85.25,295.06,0.8528,9.6731,0.9001,9.7523
1,1,1,2,1,00.121,121,1.2400,9.5200,0.9400,9.6463,0.0076,0.1080,-0.1582,-5.69,85.38,293.75,0.9039,9.6529,0.9053,9.7373
1,1,1,2,1,00.242,242,0.5600,10.0000,1.0200,10.0675,0.0262,0.0676,-0.0142,-4.56,85.38,292.13,0.8585,9.6987,0.9204,9.7800
1,1,1,2,1,00.363,363,1.1100,9.4700,0.8300,9.5709,0.0087,0.0251,0.1178,-5.38,85.38,292.56,0.8917,9.6685,0.9085,9.7520
1,1,1,2,1,00.502,502,1.0800,9.8800,0.8700,9.9769,-0.0076,-0.0284,-0.1091,-5.63,85.38,292.88,0.9165,9.6964,0.9034,9.7814
1,1,1,2,1,00.623,623,0.9200,9.6800,0.7800,9.7549,0.0033,-0.0338,0.1080,-5.50,85.38,292.94,0.9170,9.6942,0.8872,9.7778
1,1,1,2,1,00.743,743,0.7700,9.7900,0.8700,9.8587,0.0175,-0.0469,-0.0862,-5.44,85.25,293.19,0.8976,9.7069,0.8849,9.7884
1,1,1,2,1,00.864,864,1.1500,9.7300,0.8800,9.8372,0.0098,-0.0382,0.0480,-5.81,85.13,293.81,0.9309,9.7099,0.8843,9.7944
1,1,1,2,1,01.027,1027,0.8000,9.8100,0.8800,9.8818,-0.0076,-0.0251,-0.0338,-5.63,85.06,293.94,0.9136,9.7231,0.8837,9.8058
1,1,1,2,1,01.153,1153,0.5800,9.6400,1.1300,9.7233,0.0098,-0.0055,0.0622,-5.19,85.00,293.56,0.8696,9.7121,0.9162,9.7940
1,1,1,2,1,01.274,1274,0.9900,9.7100,0.9800,9.8094,-0.0098,-0.0142,-0.0371,-5.63,85.00,294.06,0.8855,9.7119,0.9246,9.7959
1,1,1,2,1,01.395,1395,1.0000,9.8300,0.7600,9.9099,0.0065,-0.0164,0.0153,-5.69,85.00,294.25,0.9006,9.7274,0.9029,9.8107
1,1,1,2,1,01.516,1516,0.8400,9.6700,0.9000,9.7481,0.0098,-0.0164,0.0229,-5.56,84.94,294.19,0.8926,9.7199,0.9025,9.8024
1,1,1,2,1,01.637,1637,1.0100,9.7700,1.0900,9.8824,0.0131,-0.0120,0.0447,-5.75,84.88,294.44,0.9081,9.7265,0.9272,9.8127
1,1,1,2,1,01.758,1758,1.0700,9.8100,1.1400,9.9338,0.0425,-0.0109,-0.0502,-5.75,84.75,294.56,0.9294,9.7375,0.9553,9.8283
1,1,1,2,1,01.880,1880,0.9300,11.0000,0.9600,11.0809,0.0273,0.0044,0.1320,-5.75,84.56,294.63,0.9295,9.9038,0.9559,9.9932
1,1,1,2,1,02.043,2043,1.4500,10.9500,1.1700,11.1074,0.0502,0.0120,-0.1080,-5.50,84.25,294.19,0.9981,10.0417,0.9841,10.1391
1,1,1,2,1,02.166,2166,1.8600,11.5700,1.2300,11.7829,0.1822,-0.0491,-0.2749,-3.88,83.50,292.63,1.1117,10.2431,1.0165,10.3533
1,1,1,2,1,02.287,2287,1.5200,11.1800,1.4600,11.3769,0.3196,-0.1538,-0.3436,-1.06,81.75,290.38,1.1655,10.3666,1.0749,10.4871
1,1,1,2,1,02.408,2408,-0.4600,9.7900,1.5400,9.9211,0.4429,-0.2411,-0.5040,1.94,79.19,288.75,0.9513,10.2906,1.1362,10.3967
1,1,1,2,1,02.529,2529,-0.4500,8.4800,1.9400,8.7107,0.2662,-0.2193,0.3360,2.13,77.13,290.19,0.7666,10.0520,1.2421,10.1574
1,1,1,2,1,02.651,2651,-1.0300,7.8900,1.7800,8.1536,0.3294,-0.2258,0.4287,1.13,75.44,292.88,0.5299,9.7671,1.3130,9.8692
1,1,1,2,1,02.777,2777,0.3500,6.7600,2.6000,7.2512,0.0360,-0.2705,-0.1167,-1.00,74.19,296.88,0.5062,9.3708,1.4826,9.5009
1,1,1,2,1,02.898,2898,0.4700,6.6700,2.1300,7.0176,-0.2934,-0.2105,0.6578,-2.56,75.38,300.25,0.5014,9.0149,1.5679,9.1640
1,1,1,2,1,03.060,3060,-2.4300,11.0900,2.7100,11.6721,0.1614,-0.2465,-0.4538,0.06,75.88,299.81,0.1151,9.2884,1.7184,9.4467
1,1,1,2,1,03.182,3182,0.5300,7.4900,1.1200,7.5918,0.1167,-0.0753,0.1898,-1.50,74.81,302.50,0.1698,9.0514,1.6396,9.2003
1,1,1,2,1,03.307,3307,-0.7500,8.1700,2.1500,8.4814,-0.0458,0.0905,-0.5476,0.31,74.75,300.50,0.0486,8.9353,1.7068,9.0969
1,1,1,2,1,03.429,3429,-1.2700,7.8100,2.3100,8.2429,-0.1680,0.3065,-0.4680,3.69,75.31,295.50,-0.1252,8.7870,1.7863,8.9676
1,2,1,2,1,03.550,3550,-1.6400,9.4700,1.7400,9.7672,-0.2214,0.4472,-0.6109,6.31,76.56,289.94,-0.3248,8.8770,1.7802,9.0595
1,2,1,2,1,03.671,3671,-1.4100,9.8500,2.3900,10.2334,-0.3905,0.4647,0.5727,6.31,78.44,286.56,-0.4678,9.0052,1.8606,9.2073
1,2,1,2,1,03.792,3792,0.2900,11.7400,1.1100,11.7959,-0.5269,0.3458,0.3054,3.25,81.25,286.69,-0.3679,9.3656,1.7617,9.5369
1,2,1,2,1,03.913,3913,0.7100,11.5700,0.7300,11.6147,-0.3262,0.1342,-0.0469,1.69,83.88,286.56,-0.2259,9.6561,1.6257,9.7946
1,2,1,2,1,04.081,4081,0.7700,10.2400,0.0900,10.2693,-0.1451,-0.0916,0.4265,-1.75,85.75,290.06,-0.0947,9.7330,1.4233,9.8370
1,2,1,2,1,04.202,4202,1.7900,11.9900,0.9100,12.1570,-0.0698,-0.1200,0.8825,-5.00,86.50,294.25,0.1537,10.0304,1.3557,10.1228
1,2,1,2,1,04.322,4322,0.7900,8.9600,0.6800,9.0204,0.0185,-0.1789,-0.8138,-4.81,86.63,295.19,0.2375,9.8894,1.2667,9.9730
1,2,1,2,1,04.443,4443,-0.1500,10.6400,0.8400,10.6742,0.0818,-0.0415,0.2214,-3.81,86.19,294.75,0.1865,9.9883,1.2104,10.0631
1,2,1,2,1,04.564,4564,0.6200,9.9000,0.3900,9.9271,0.0545,0.0316,0.1222,-4.94,85.63,295.88,0.2436,9.9766,1.1023,10.0403
1,2,1,2,1,04.686,4686,1.3200,13.2400,1.1800,13.3579,-0.0611,0.1156,-0.5923,-3.94,85.88,294.38,0.3854,10.4067,1.1126,10.4731
1,2,1,2,1,04.806,4806,0.4400,10.5600,0.7800,10.5979,-0.1156,0.2138,-0.5814,0.44,86.56,288.81,0.3926,10.4269,1.0687,10.4889
1,2,1,2,1,04.933,4933,0.3000,8.8700,0.4000,8.8841,-0.1309,0.2345,0.2476,1.69,87.56,286.06,0.3804,10.2217,0.9806,10.2757
1,2,1,2,1,05.096,5096,-0.5700,9.6000,-0.1900,9.6188,-0.2258,0.1167,0.2476,-0.94,89.19,287.13,0.2552,10.1398,0.8264,10.1766
1,2,1,2,1,05.217,5217,-0.3700,8.5200,0.1600,8.5295,-0.3469,0.1582,0.7636,-5.44,91.13,290.81,0.1728,9.9263,0.7385,9.9553
1,2,1,2,1,05.339,5339,1.4400,6.5000,1.2900,6.7814,0.0513,0.1734,0.5683,-10.19,92.31,294.50,0.3398,9.4748,0.8112,9.5156
1,2,1,2,1,05.464,5464,1.9900,11.6400,-0.7800,11.8346,0.3763,0.0218,-0.2476,-10.81,91.13,294.25,0.5572,9.7602,0.6015,9.7945
1,2,1,2,1,05.586,5586,2.1600,7.6400,-0.0700,7.9398,0.2749,-0.0873,-0.1244,-10.75,88.31,293.94,0.7684,9.4808,0.5130,9.5257
1,2,1,2,1,05.706,5706,1.7600,8.6500,0.5200,8.8425,-0.0371,-0.1287,0.0153,-10.69,87.50,294.44,0.8991,9.3713,0.5140,9.4283
1,2,1,2,1,05.827,5827,1.2500,10.0100,0.6500,10.1087,-0.1713,-0.1113,-0.1189,-10.31,88.25,295.06,0.9453,9.4555,0.5319,9.5175
1,2,1,2,1,05.948,5948,0.8400,8.9100,0.3700,8.9572,0.0360,-0.0698,-0.0327,-9.19,88.50,294.63,0.9315,9.3836,0.5106,9.4435
1,2,1,2,1,06.110,6110,0.9600,8.3000,-0.1000,8.3559,-0.0513,-0.0502,-0.5171,-7.06,88.38,292.94,0.9352,9.2408,0.4301,9.2980
1,3,1,2,1,06.247,6247,-0.0600,10.1600,-0.2900,10.1643,-0.0905,-0.0611,-0.5574,-2.56,88.56,288.88,0.8041,9.3619,0.3352,9.4024
1,3,1,2,1,06.368,6368,0.0100,9.1200,-0.1500,9.1212,-0.0731,-0.0905,0.0567,-1.88,88.75,288.56,0.6994,9.3300,0.2713,9.3602
1,3,1,2,1,06.489,6489,0.0100,11.0700,0.0100,11.0700,0.0109,-0.0960,-0.0185,-2.25,88.81,289.56,0.6086,9.5593,0.2368,9.5816
