participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
3,1,1,2,2,00.000,0,1.9100,9.5400,0.6800,9.7531,0.0120,0.0033,0.0731,-12.56,86.56,42.00,2.6101,9.0945,0.6223,9.4821
3,1,1,2,2,00.130,130,1.9900,9.6400,0.6000,9.8615,-0.0196,-0.0120,-0.2913,-12.38,86.56,41.63,2.5284,9.1664,0.6193,9.5288
3,1,1,2,2,00.261,261,1.4500,9.7100,0.5200,9.8314,-0.0098,-0.0065,-0.2116,-10.38,86.63,39.81,2.3863,9.2380,0.6062,9.5605
3,1,1,2,2,00.433,433,1.7900,9.7500,0.5200,9.9266,-0.0120,-0.0033,-0.0447,-10.56,86.56,40.25,2.3077,9.3055,0.5949,9.6058
3,1,1,2,2,00.563,563,1.6300,9.6500,0.5700,9.8033,0.0131,0.0065,0.2225,-10.81,86.56,40.63,2.2184,9.3509,0.5916,9.6286
3,1,1,2,2,00.693,693,2.5300,9.5200,0.6200,9.8699,0.0044,0.0076,0.1876,-12.81,86.50,42.69,2.2595,9.3732,0.5953,9.6600
3,1,1,2,2,00.823,823,2.1400,9.6000,0.5500,9.8510,-0.0055,0.0000,0.0349,-12.94,86.50,43.06,2.2437,9.4030,0.5894,9.6850
3,1,1,2,2,00.953,953,2.5100,9.5400,0.6100,9.8835,0.0044,0.0076,0.1833,-13.75,86.44,43.88,2.2788,9.4211,0.5921,9.7109
3,1,1,2,2,01.083,1083,2.5200,9.5200,0.6200,9.8674,0.0065,0.0000,0.0480,-14.25,86.44,44.44,2.3106,9.4341,0.5958,9.7312
3,1,1,2,2,01.214,1214,2.5900,9.5500,0.6000,9.9132,-0.0098,0.0000,-0.0316,-14.13,86.44,44.31,2.3474,9.4494,0.5963,9.7548
3,1,1,2,2,01.344,1344,1.9900,9.5800,0.5800,9.8017,-0.0065,-0.0131,-0.2793,-12.75,86.50,43.00,2.3003,9.4666,0.5942,9.7602
3,1,1,2,2,01.517,1517,2.0400,9.5400,0.6000,9.7741,0.0164,0.0000,0.0251,-12.25,86.50,42.44,2.2660,9.4763,0.5949,9.7616
3,1,1,2,2,01.647,1647,2.0600,9.5800,0.7100,9.8247,-0.0153,-0.0055,-0.1320,-12.13,86.44,42.38,2.2389,9.4899,0.6101,9.7695
3,1,1,2,2,01.777,1777,2.1100,9.5700,0.6000,9.8182,0.0098,0.0011,0.0785,-12.38,86.44,42.63,2.2219,9.5005,0.6088,9.7758
3,1,1,2,2,01.907,1907,2.1000,9.6400,0.4700,9.8773,0.0120,0.0065,0.1440,-13.13,86.44,43.31,2.2058,9.5189,0.5905,9.7889
3,1,1,2,2,02.037,2037,3.3200,9.5000,0.6100,10.0819,-0.0120,0.0109,0.1494,-14.69,86.38,44.81,2.3526,9.5164,0.5931,9.8208
3,1,1,2,2,02.167,2167,1.8300,9.7600,0.7800,9.9607,-0.0022,-0.0098,-0.3774,-12.63,86.44,42.81,2.2838,9.5485,0.6177,9.8372
3,1,1,2,2,02.297,2297,3.9000,9.9800,0.5800,10.7306,-0.0164,-0.0502,-0.2945,-10.63,86.56,41.00,2.4967,9.6054,0.6127,9.9434
3,1,1,2,2,02.427,2427,3.8300,11.7300,0.6300,12.3555,0.0644,0.0284,1.6221,-12.06,86.63,42.44,2.6724,9.8853,0.6150,10.2586
3,1,1,2,2,02.600,2600,-3.1900,12.1300,-1.0000,12.5822,-0.1691,-0.0458,-0.3229,-10.00,86.56,40.94,1.8999,10.1811,0.4022,10.3647
3,1,1,2,2,02.731,2731,6.4300,6.5900,1.1600,9.2800,0.0927,-0.0218,0.5847,-24.63,85.81,55.38,2.4969,9.7079,0.5020,10.0364
3,1,1,2,2,02.863,2863,3.5700,9.8900,0.3600,10.5208,-0.1200,-0.0153,0.1276,-19.25,86.56,50.19,2.6383,9.7319,0.4833,10.0947
3,1,1,2,2,02.998,2998,6.4300,8.8200,0.8300,10.9465,-0.1385,-0.0142,0.1571,-22.63,86.63,53.56,3.1379,9.6117,0.5290,10.1248
3,1,1,2,2,03.128,3128,3.1000,9.6300,1.3900,10.2117,0.0589,0.0120,0.6610,-18.63,86.56,49.56,3.1329,9.6141,0.6425,10.1321
3,1,1,2,2,03.259,3259,2.2800,7.8400,1.2400,8.2584,0.1854,-0.0436,-0.5749,-19.00,85.88,49.81,3.0205,9.3804,0.7212,9.8810
