participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
3,1,1,2,1,00.000,0,2.5100,10.3400,0.7900,10.6696,0.0076,-0.0960,-0.1593,-16.63,86.81,46.63,2.5034,9.2328,0.4828,9.5784
3,1,1,2,1,00.146,146,3.5200,9.7600,0.9900,10.4225,-0.0316,-0.0545,0.5105,-16.75,87.06,47.50,2.6373,9.3023,0.5496,9.6845
3,1,1,2,1,00.280,280,2.9000,9.0300,0.8100,9.5188,0.0131,-0.0654,-0.2760,-16.75,87.13,48.00,2.6719,9.2664,0.5839,9.6616
3,1,1,2,1,00.453,453,2.8400,9.0900,0.7300,9.5513,0.0098,-0.0229,0.1134,-16.94,87.25,48.63,2.6941,9.2432,0.6032,9.6467
3,1,1,2,1,00.583,583,2.5500,9.3200,0.4400,9.6726,-0.0011,-0.0065,-0.1484,-16.44,87.31,48.25,2.6751,9.2533,0.5817,9.6498
3,1,1,2,1,00.713,713,2.0900,9.8200,0.2200,10.0424,-0.0076,0.0382,0.4123,-15.81,87.31,47.56,2.5980,9.3280,0.5340,9.6977
3,1,1,2,1,00.843,843,2.4400,9.4400,0.6600,9.7726,0.0044,0.0447,-0.1669,-15.88,87.19,47.31,2.5772,9.3427,0.5506,9.7073
3,1,1,2,1,00.973,973,3.2300,8.8300,0.8800,9.4433,0.0611,0.0753,0.3949,-16.00,87.06,47.00,2.6632,9.2752,0.5940,9.6682
3,1,1,2,1,01.103,1103,1.5900,9.1900,0.4800,9.3389,0.0065,0.0676,-0.0654,-14.56,86.94,45.06,2.5218,9.2639,0.5790,9.6185
3,1,1,2,1,01.234,1234,2.1000,10.0100,0.3500,10.2339,-0.0175,0.0731,0.3360,-15.06,86.94,45.06,2.4662,9.3623,0.5488,9.6972
3,1,1,2,1,01.364,1364,1.7100,7.9500,0.3900,8.1412,0.0055,0.1047,0.5956,-17.06,86.94,46.44,2.3666,9.1762,0.5279,9.4911
3,1,1,2,1,01.537,1537,3.2900,9.4400,0.0600,9.9971,-0.0469,0.0938,0.8628,-16.88,87.25,45.56,2.4882,9.2109,0.4662,9.5525
3,1,1,2,1,01.668,1668,0.5600,9.4100,0.5700,9.4439,-0.0589,0.0535,-0.2116,-16.44,87.75,44.88,2.2341,9.2372,0.4799,9.5156
3,1,1,2,1,01.799,1799,6.7700,9.6500,0.3800,11.7941,-0.0960,0.0458,0.1287,-20.06,88.25,48.13,2.8319,9.2916,0.4667,9.7247
3,1,1,2,1,01.929,1929,1.7700,10.7800,0.3000,10.9285,-0.0873,0.0458,1.0581,-16.75,88.88,44.81,2.6919,9.4877,0.4448,9.8722
3,1,1,2,1,02.060,2060,1.5600,10.0900,0.0500,10.2100,-0.0175,0.0458,0.5160,-16.31,89.13,44.38,2.5428,9.5671,0.3928,9.9070
3,1,1,2,1,02.192,2192,1.6200,8.8000,0.7200,8.9768,0.1091,-0.0044,-0.4112,-17.69,88.94,45.56,2.4212,9.4660,0.4359,9.7804
