participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
3,1,1,2,1,00.000,0,1.9500,8.1800,0.7400,8.4417,-0.0011,-0.0087,-0.0753,-22.31,85.88,265.19,3.3253,8.9640,0.8996,9.6032
3,1,1,2,1,00.130,130,4.7400,9.0800,1.0200,10.2934,-0.0153,0.0142,0.3774,-24.88,85.88,267.69,3.5117,8.9793,0.9155,9.6850
3,1,1,2,1,00.260,260,3.5900,8.9000,0.8100,9.6309,-0.0491,-0.0338,-0.4527,-24.06,86.13,267.06,3.5220,8.9689,0.9016,9.6777
3,1,1,2,1,00.390,390,5.0900,9.0300,0.9100,10.4056,-0.0338,-0.0589,-0.6556,-25.13,86.25,268.13,3.7287,8.9769,0.9027,9.7623
3,1,1,2,1,00.520,520,5.6400,9.0300,1.1100,10.7043,0.0338,-0.0218,0.1222,-25.81,86.13,268.94,3.9805,8.9839,0.9300,9.8702
3,1,1,2,1,00.650,650,3.6400,8.5100,0.7800,9.2886,0.0229,-0.0175,0.1691,-25.06,85.88,268.38,3.9357,8.9215,0.9102,9.7934
3,1,1,2,1,00.823,823,2.6900,8.6700,0.8300,9.1156,-0.0240,-0.0491,-0.5061,-25.13,85.75,268.63,3.7715,8.8883,0.8997,9.6972
3,1,1,2,1,00.957,957,3.6500,8.3300,0.9900,9.1483,-0.0229,-0.0273,-0.3033,-26.25,85.75,269.75,3.7555,8.8148,0.9116,9.6247
3,1,1,2,1,01.088,1088,5.3400,8.4000,0.9700,10.0008,-0.0022,-0.0676,-0.8694,-26.94,85.69,270.44,3.9643,8.7601,0.9193,9.6592
3,1,1,2,1,01.221,1221,5.8300,8.0700,0.9000,9.9962,0.0622,0.0371,0.7614,-26.75,85.38,270.19,4.2101,8.6692,0.9167,9.6809
3,1,1,2,1,01.351,1351,2.2900,8.0000,0.5700,8.3408,-0.0109,-0.0524,-0.9294,-22.13,85.38,265.81,3.9571,8.5810,0.8710,9.4895
3,1,1,2,1,01.482,1482,5.2500,8.1100,1.0100,9.7136,0.0120,0.0011,-0.1254,-25.13,85.19,268.44,4.1275,8.5189,0.8893,9.5078
3,1,1,2,1,01.612,1612,6.2200,9.0600,1.0900,11.0436,0.0687,0.1385,1.5523,-26.31,85.13,269.44,4.4032,8.5902,0.9158,9.6963
3,1,1,2,1,01.742,1742,0.7500,9.1700,1.1300,9.2698,-0.0382,-0.0611,-0.8072,-23.06,85.31,266.25,3.9218,8.6666,0.9440,9.5594
3,1,1,2,1,01.915,1915,0.9900,8.8600,0.6400,8.9381,-0.0709,-0.0982,-1.0210,-25.00,85.25,268.00,3.5355,8.6921,0.9040,9.4271
3,1,1,2,1,02.046,2046,6.8800,8.8300,1.2900,11.2680,-0.0273,-0.0611,-0.7996,-30.44,85.13,273.00,3.9762,8.7103,0.9548,9.6224
3,1,1,2,1,02.176,2176,5.3500,9.1000,1.1800,10.6219,0.0327,0.0894,1.4508,-27.06,85.38,270.06,4.1572,8.7616,0.9845,9.7477
3,1,1,2,1,02.310,2310,1.0600,8.8000,0.6000,8.8839,-0.0589,-0.0262,-0.1462,-24.81,85.75,268.13,3.7491,8.7667,0.9338,9.5803
3,1,1,2,1,02.441,2441,3.2800,9.0900,0.8400,9.7001,-0.1047,-0.0753,-1.0308,-27.56,85.94,270.81,3.6873,8.8093,0.9215,9.5942
