participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
2,1,1,2,1,00.000,0,3.3300,9.1500,1.1300,9.8025,-0.0011,-0.0076,-0.0305,-20.81,83.44,1.13,3.4850,9.0925,1.0408,9.7929
2,1,1,2,1,00.173,173,3.4900,9.0100,1.0600,9.7203,0.0044,0.0185,0.0273,-21.19,83.38,1.44,3.4856,9.0816,1.0434,9.7833
2,1,1,2,1,00.303,303,3.4900,9.1900,1.0500,9.8863,0.0076,0.0196,-0.0535,-20.94,83.44,1.06,3.4862,9.0959,1.0442,9.7969
2,1,1,2,1,00.433,433,3.4800,8.6700,1.0000,9.3957,0.0120,0.0273,0.0065,-21.06,83.38,1.00,3.4854,9.0398,1.0384,9.7439
2,1,1,2,1,00.563,563,3.3400,9.4200,1.1800,10.0640,0.0491,0.0120,0.0611,-20.94,83.19,0.69,3.4662,9.0899,1.0571,9.7856
2,1,1,2,1,00.693,693,3.5000,8.9300,0.9600,9.6393,-0.0044,0.0316,0.0982,-21.50,82.88,1.06,3.4707,9.0688,1.0443,9.7662
2,1,1,2,1,00.823,823,3.8000,7.9900,1.2100,8.9300,0.0502,-0.0011,-0.0927,-22.19,82.63,1.56,3.5141,8.9266,1.0661,9.6525
2,1,1,2,1,00.953,953,2.7100,8.9100,1.0300,9.3698,0.0065,0.0240,0.0949,-20.38,82.56,359.75,3.4081,8.9245,1.0614,9.6118
2,1,1,2,1,01.084,1084,3.7200,8.8900,1.5700,9.7640,0.0022,0.0022,-0.1091,-21.81,82.50,1.00,3.4492,8.9199,1.1284,9.6299
2,1,1,2,1,01.257,1257,3.4300,8.7800,1.2600,9.5100,0.0284,-0.0055,0.2411,-21.06,82.63,0.31,3.4467,8.9015,1.1457,9.6140
2,1,1,2,1,01.388,1388,3.7200,8.7900,1.2100,9.6212,-0.0044,-0.0480,-0.2160,-21.38,82.50,0.75,3.4827,8.8868,1.1542,9.6144
2,1,1,2,1,01.518,1518,3.1500,8.8500,1.1400,9.4628,-0.0589,-0.0240,0.0840,-20.25,82.75,0.00,3.4389,8.8819,1.1523,9.5939
2,1,1,2,1,01.651,1651,3.5800,10.1000,1.4900,10.8188,-0.0513,0.0065,-0.0218,-21.00,83.19,0.94,3.4575,9.0424,1.1968,9.7546
2,1,1,2,1,01.782,1782,2.7400,7.6500,0.9500,8.1812,0.0022,0.0076,-0.1909,-19.63,83.31,359.56,3.3629,8.8590,1.1643,9.5470
2,1,1,2,1,01.916,1916,3.8800,10.5500,1.1600,11.3006,0.0371,0.0229,0.1473,-19.50,83.38,359.25,3.4311,9.0818,1.1637,9.7778
2,1,1,2,1,02.047,2047,3.6600,9.2400,1.2500,10.0168,0.0818,-0.0360,-0.1625,-20.00,82.75,359.63,3.4612,9.1026,1.1751,9.8091
2,1,1,2,1,02.178,2178,3.3500,9.1400,1.2100,9.8095,0.0425,-0.0218,0.0720,-19.38,82.25,359.13,3.4466,9.1076,1.1797,9.8091
2,1,1,2,1,02.350,2350,3.0400,9.4700,1.2800,10.0280,-0.0295,-0.0218,-0.1287,-19.06,82.19,359.00,3.3930,9.1553,1.1929,9.8364
2,1,1,2,1,02.480,2480,3.4200,9.8200,1.5900,10.5194,-0.0251,-0.0175,0.0905,-19.63,82.25,359.63,3.3966,9.2429,1.2452,9.9257
2,1,1,2,1,02.610,2610,3.0500,9.2900,1.2100,9.8524,-0.0349,-0.0240,-0.0927,-19.31,82.44,359.56,3.3509,9.2491,1.2406,9.9153
2,1,1,2,1,02.740,2740,3.2900,9.8800,1.2700,10.4905,-0.0524,-0.0033,0.0578,-19.81,82.56,0.19,3.3429,9.3323,1.2445,9.9907
2,1,1,2,1,02.870,2870,3.2400,8.3700,0.9400,9.0243,-0.0698,-0.0175,-0.0982,-20.69,82.81,1.19,3.3293,9.2055,1.2043,9.8628
2,1,1,2,1,03.000,3000,3.5000,10.5500,1.2100,11.1811,-0.0524,0.0065,0.1385,-20.38,83.31,1.06,3.3518,9.3826,1.2051,10.0360
2,2,1,2,1,03.131,3131,3.6100,8.7300,0.8100,9.4816,-0.0109,0.0349,0.2280,-22.13,83.44,2.75,3.3858,9.2966,1.1530,9.9610
2,2,1,2,1,03.262,3262,3.4200,9.2100,1.1000,9.8859,0.0415,-0.0120,-0.2771,-21.25,83.44,1.75,3.3903,9.2852,1.1460,9.9510
