participant,rep,equipment_code,exercise_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
1,1,0,0,00.000,0,-1.1800,9.8300,0.7500,9.9289,-0.0665,0.1178,0.0065,7.88,85.63,23.63,-1.4805,9.5970,0.8389,9.7467
1,1,0,0,00.121,121,-1.2400,9.7800,0.7700,9.8883,0.0185,-0.0545,-0.1931,8.25,85.69,23.06,-1.4488,9.6211,0.8298,9.7649
1,1,0,0,00.241,241,-1.4400,9.6300,0.7700,9.7675,-0.0175,-0.1309,-0.0393,8.94,85.69,23.06,-1.4476,9.6223,0.8219,9.7652
1,1,0,0,00.362,362,-1.6600,9.6800,0.6900,9.8455,0.0284,-0.0600,0.0393,9.13,85.81,23.56,-1.4756,9.6299,0.8046,9.7755
1,1,0,0,00.483,483,-1.7900,9.4100,0.7400,9.6073,0.0142,0.0687,0.0982,9.38,85.56,23.13,-1.5170,9.6009,0.7960,9.7526
1,1,0,0,00.646,646,-1.4600,9.7300,0.7000,9.8638,-0.0284,0.0785,-0.0218,9.44,85.69,22.31,-1.5095,9.6179,0.7834,9.7671
1,1,0,0,00.767,767,-1.5500,9.5300,0.8100,9.6891,0.0065,0.0305,0.0458,9.50,85.69,21.88,-1.5149,9.6063,0.7869,9.7568
1,1,0,0,00.893,893,-1.8100,9.6600,0.7100,9.8537,0.0076,-0.0022,0.0240,9.50,85.75,21.88,-1.5537,9.6134,0.7768,9.7691
1,1,0,0,01.014,1014,-1.7700,9.5900,0.7400,9.7800,0.0153,-0.0175,0.0022,9.38,85.63,22.13,-1.5822,9.6103,0.7719,9.7703
1,1,0,0,01.135,1135,-1.8300,9.5600,0.7600,9.7632,0.0011,0.0022,-0.0120,9.38,85.63,22.19,-1.6149,9.6037,0.7703,9.7689
1,1,0,0,01.255,1255,-1.6900,9.5500,0.7700,9.7289,-0.0305,0.0153,-0.0120,9.38,85.69,22.06,-1.6248,9.5966,0.7703,9.7636
1,1,0,0,01.377,1377,-1.7000,9.7200,0.6400,9.8883,-0.0371,0.0055,-0.0316,9.75,85.94,21.63,-1.6347,9.6129,0.7531,9.7799
1,1,0,0,01.497,1497,-0.9800,10.0000,0.9600,10.0937,0.0142,-0.0120,0.1113,9.75,86.00,21.63,-1.5484,9.6639,0.7804,9.8182
1,1,0,0,01.665,1665,0.2600,11.3100,1.5200,11.4146,0.1102,-0.2138,0.6610,7.44,85.75,24.88,-1.3101,9.8808,0.8779,10.0059
1,1,0,0,01.786,1786,2.6200,11.6300,1.4600,12.0105,0.5465,-0.3905,1.7715,-0.88,83.38,35.19,-0.7922,10.1113,0.9546,10.1871
1,1,0,0,01.907,1907,2.6300,12.3100,1.3400,12.6589,0.8988,-0.5585,2.3769,-12.56,78.06,50.13,-0.3413,10.4010,1.0054,10.4551
1,1,0,0,02.029,2029,6.3300,11.9700,2.6900,13.8053,1.1988,-0.6185,4.2542,-30.88,67.06,70.81,0.5378,10.6078,1.2273,10.6921
1,1,0,0,02.149,2149,4.9600,8.1600,2.6000,9.8968,0.3851,-0.7254,5.5272,-53.50,40.25,102.38,1.1206,10.2852,1.4082,10.4415
1,1,0,0,02.271,2271,2.6700,0.1300,2.8400,3.9002,-0.0065,-0.2923,4.3066,-58.00,-18.75,138.88,1.3247,8.9470,1.5969,9.1845
1,1,0,0,02.397,2397,1.8900,-5.6700,4.4200,7.4335,0.4505,0.2193,0.2007,-53.69,-33.94,147.63,1.3992,7.0209,1.9689,7.4248
1,1,0,0,02.519,2519,3.9100,-1.8600,4.5600,6.2882,-0.0818,0.0109,-1.8315,-58.63,-18.94,136.88,1.7301,5.8506,2.3104,6.5238
1,1,0,0,02.682,2682,8.1700,1.6600,5.2000,9.8257,-0.3447,0.2225,-2.0922,-60.13,17.25,117.31,2.5787,5.2984,2.6911,6.4780
1,2,0,0,02.802,2802,5.9200,4.4100,3.4300,8.1400,-0.4778,0.5869,-2.1315,-55.50,41.88,104.00,3.0190,5.1813,2.7885,6.6133
1,2,0,0,02.923,2923,6.4900,6.0200,2.8800,9.3089,-0.2171,0.6272,-2.1118,-47.75,59.19,90.44,3.4764,5.2918,2.8006,6.9233
1,2,0,0,03.049,3049,4.4600,7.8300,2.5800,9.3732,-0.2913,0.2563,-2.1860,-35.56,69.44,75.44,3.6060,5.6263,2.7715,7.2346
1,2,0,0,03.171,3171,4.2900,9.9900,2.1600,11.0847,-0.5247,0.0251,-1.6635,-22.69,75.56,62.69,3.6961,6.2013,2.6909,7.7045
1,2,0,0,03.293,3293,1.4400,9.0000,1.7800,9.2867,-0.6654,0.2443,-1.2086,-13.25,79.94,53.13,3.3988,6.5701,2.5709,7.8312
1,2,0,0,03.413,3413,-0.2900,10.4400,0.1100,10.4446,-0.8410,0.4909,-1.6013,-3.81,86.06,41.81,2.9127,7.0801,2.2466,7.9786
1,2,0,0,03.534,3534,-1.7200,11.1000,-0.3400,11.2376,-0.4909,0.4418,-1.9188,9.38,90.19,25.25,2.3023,7.6098,1.9057,8.1757
1,2,0,0,03.699,3699,-1.9900,10.1200,0.3500,10.3197,-0.1582,0.2967,-1.5795,24.63,91.75,6.31,1.7367,7.9406,1.7007,8.3043
1,2,0,0,03.823,3823,-5.6700,9.4300,0.2000,11.0052,-0.2662,0.1593,-1.4661,38.19,92.81,350.44,0.7606,8.1368,1.5030,8.3094
1,2,0,0,03.944,3944,-3.5000,9.1400,0.1900,9.7891,-0.0665,-0.1025,1.4584,36.19,93.19,351.94,0.1992,8.2690,1.3300,8.3777
1,2,0,0,04.065,4065,-2.7400,10.8400,0.0300,11.1810,0.2291,-0.3142,1.5806,28.50,93.63,1.31,-0.1881,8.6078,1.1587,8.6875
1,2,0,0,04.185,4185,-3.7400,11.9800,-0.2200,12.5521,0.7909,-0.2411,1.3592,18.56,90.75,14.81,-0.6562,9.0522,0.9770,9.1284
1,2,0,0,04.306,4306,-1.8500,11.6700,0.2500,11.8184,0.7178,-0.3414,1.9755,4.50,85.75,31.69,-0.8135,9.3972,0.8812,9.4734
1,2,0,0,04.427,4427,-0.6700,11.0300,0.7200,11.0738,0.8454,-0.4701,1.7213,-9.44,80.38,47.94,-0.7946,9.6123,0.8600,9.6834
1,2,0,0,04.549,4549,0.9600,11.0700,2.1400,11.3157,0.9348,-0.6807,1.6406,-21.06,72.38,62.56,-0.5634,9.8044,1.0286,9.8743
1,2,0,0,04.716,4716,2.3500,12.6600,3.3700,13.3100,0.9403,-0.7701,1.4224,-33.56,57.63,79.88,-0.1795,10.1807,1.3372,10.2697
1,2,0,0,04.837,4837,-1.0300,-4.4000,2.9900,5.4186,1.0221,-1.0767,2.7543,-42.00,37.44,96.25,-0.2915,8.2593,1.5550,8.4095
1,2,0,0,04.957,4957,0.1100,-0.6200,3.3100,3.3694,-1.0821,-0.3632,-2.7838,-39.13,36.31,97.00,-0.2386,7.0893,1.7862,7.3147
1,3,0,0,05.079,5079,1.0100,7.7500,4.4300,8.9837,-1.4224,0.5956,-2.2635,-27.06,53.94,80.81,-0.0741,7.1763,2.1346,7.4874
1,3,0,0,05.199,5199,1.7400,11.8600,2.2800,12.2019,-1.4094,0.8279,-2.0780,-17.31,68.19,67.25,0.1650,7.7935,2.1538,8.0873
1,3,0,0,05.320,5320,0.2300,11.4000,1.2400,11.4695,-0.9108,0.6861,-1.2130,-9.13,77.69,54.88,0.1735,8.2688,2.0334,8.5169
1,3,0,0,05.441,5441,0.3400,11.0000,0.0600,11.0054,-0.5061,0.2836,-0.6752,-2.13,82.38,44.88,0.1955,8.6287,1.7733,8.8112
1,3,0,0,05.563,5563,-1.5500,9.4800,-0.0100,9.6059,-0.3534,0.1047,-1.7497,7.19,84.44,34.13,-0.0345,8.7409,1.5383,8.8753
1,3,0,0,05.730,5730,-5.1000,10.1600,-0.4900,11.3787,-0.8552,-0.0491,-1.7955,26.31,90.63,13.19,-0.7020,8.9279,1.2710,9.0452
1,3,0,0,05.851,5851,-5.3400,9.7300,-0.6500,11.1180,-0.8639,0.0251,-1.1192,34.38,97.00,1.88,-1.3132,9.0336,1.0179,9.1851
1,3,0,0,05.971,5971,-5.8600,8.9100,-1.0400,10.7149,-0.6370,0.2803,-0.3556,38.88,101.38,353.13,-1.9124,9.0173,0.7467,9.2480
1,3,0,0,06.093,6093,-5.3900,7.8800,-1.5900,9.6786,-0.4429,0.1844,-0.3960,41.56,103.94,346.50,-2.3706,8.8674,0.4388,9.1893
1,3,0,0,06.213,6213,-6.5300,8.2100,-2.1000,10.6984,-0.0458,0.0676,-0.2749,44.06,105.69,342.19,-2.9187,8.7808,0.1043,9.2538
1,3,0,0,06.335,6335,-5.9400,8.0700,-1.2300,10.0956,0.2934,0.0229,0.1396,44.25,103.81,343.38,-3.3168,8.6871,-0.0716,9.2991
1,3,0,0,06.458,6458,-6.4000,9.5300,-0.9400,11.5180,0.7265,-0.0894,1.0581,40.69,100.50,350.63,-3.7231,8.7982,-0.1860,9.5553
1,3,0,0,06.583,6583,-6.1400,9.4800,-0.5600,11.3086,1.1988,0.1080,1.1563,32.06,92.06,4.50,-4.0416,8.8880,-0.2353,9.7666
1,3,0,0,06.747,6747,-4.0600,10.7200,0.8300,11.4931,0.7832,0.1309,1.6679,17.50,83.75,22.31,-4.0440,9.1294,-0.0949,9.9855
1,3,0,0,06.869,6869,-2.9300,11.1200,1.6200,11.6131,0.6698,0.3742,1.6472,5.19,78.81,33.31,-3.8972,9.3917,0.1311,10.1691
