 participant,rep,equipment_code,exercise_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
2,1,0,0,00.000,0,-2.5200,9.2700,0.5200,9.6205,-0.0262,-0.0622,-0.0796,14.00,87.75,74.63,-2.2748,9.4093,0.3956,9.6884
2,1,0,0,00.121,121,-2.6500,9.5300,0.2000,9.8936,-0.0185,0.0316,0.0295,14.25,88.19,74.31,-2.3242,9.4252,0.3698,9.7146
2,1,0,0,00.242,242,-2.3000,9.2600,0.4000,9.5497,0.0175,0.0469,0.0262,14.00,87.81,74.38,-2.3210,9.4034,0.3738,9.6928
2,1,0,0,00.363,363,-2.3200,9.4500,0.2700,9.7344,0.0011,-0.0076,-0.0774,14.00,87.94,74.19,-2.3209,9.4096,0.3601,9.6983
2,1,0,0,00.489,489,-2.2700,9.3800,0.4400,9.6608,0.0142,-0.0273,0.0545,13.63,87.81,74.75,-2.3142,9.4057,0.3706,9.6933
2,1,0,0,00.610,610,-2.5000,9.4100,0.4200,9.7455,-0.0240,-0.0109,-0.0076,13.69,87.94,74.81,-2.3387,9.4062,0.3771,9.6999
2,1,0,0,00.732,732,-2.4400,9.4200,0.3800,9.7383,0.0207,0.0076,-0.0371,13.69,87.88,74.88,-2.3520,9.4080,0.3775,9.7049
2,1,0,0,00.852,852,-2.3000,9.4000,0.3500,9.6836,-0.0076,0.0109,-0.0065,13.69,87.88,74.81,-2.3452,9.4070,0.3739,9.7021
2,1,0,0,01.015,1015,-2.2500,9.4800,0.3800,9.7508,-0.0087,-0.0185,0.1167,13.50,87.88,75.00,-2.3326,9.4166,0.3747,9.7085
2,1,0,0,01.141,1141,-2.2300,9.4800,0.3800,9.7462,-0.0142,-0.0153,0.0742,13.56,87.94,75.13,-2.3191,9.4250,0.3754,9.7133
2,1,0,0,01.263,1263,-2.0100,9.5200,0.3300,9.7355,0.0098,-0.0022,0.0469,13.44,88.00,75.19,-2.2784,9.4375,0.3694,9.7156
2,1,0,0,01.383,1383,-2.0800,9.4900,0.3300,9.7209,-0.0011,0.0076,0.0687,13.38,87.94,75.25,-2.2522,9.4444,0.3642,9.7161
2,1,0,0,01.504,1504,-2.1100,9.5300,0.4100,9.7694,0.0065,0.0076,0.0709,13.00,87.88,75.69,-2.2335,9.4557,0.3702,9.7229
2,1,0,0,01.625,1625,-2.0000,8.6900,0.4200,8.9271,0.0240,0.0960,0.1658,12.81,87.75,75.63,-2.2027,9.3548,0.3768,9.6180
2,1,0,0,01.746,1746,-2.5200,9.8500,0.0300,10.1673,0.0556,-0.0033,0.5672,9.50,87.31,78.44,-2.2445,9.4200,0.3311,9.6894
2,1,0,0,01.867,1867,-3.8600,11.1200,0.3100,11.7750,-0.0011,0.0862,-0.4145,9.13,87.31,78.69,-2.4574,9.6441,0.3283,9.9576
2,1,0,0,02.035,2035,-5.4900,11.2400,1.3500,12.5817,0.6730,0.8083,-2.0966,19.75,82.69,64.69,-2.8570,9.8544,0.4630,10.2706
2,1,0,0,02.156,2156,-6.4600,11.7100,1.3400,13.4407,0.2236,0.4069,-3.0849,39.38,74.31,40.88,-3.3318,10.0989,0.5785,10.6500
2,1,0,0,02.276,2276,-5.3100,6.1900,0.7900,8.1937,0.0273,-0.5421,-4.2215,61.94,64.19,18.88,-3.5925,9.5838,0.6064,10.2529
2,1,0,0,02.397,2397,-6.2900,0.0000,1.3500,6.4332,-0.2487,-0.7865,-3.7710,82.63,-0.31,352.81,-3.9479,8.3209,0.7044,9.2369
2,1,0,0,02.518,2518,-5.8700,-3.5300,1.2200,6.9575,-0.4581,-0.5498,-2.7609,71.75,-79.00,330.81,-4.2012,6.7592,0.7723,7.9959
2,1,0,0,02.641,2641,-3.0500,-5.0700,1.3400,6.0665,0.6065,2.0180,1.3243,64.19,-66.00,330.25,-4.0495,5.2005,0.8471,6.6454
2,1,0,0,02.762,2762,-6.2000,-2.1500,2.6800,7.0884,0.1254,0.4222,1.9711,69.63,-36.31,347.13,-4.3329,4.2319,1.0887,6.1537
2,2,0,0,02.888,2888,-7.4800,0.8700,2.4600,7.9221,-0.0404,0.0862,2.5242,72.75,4.44,1.00,-4.7476,3.7888,1.2694,6.2054
2,2,0,0,03.049,3049,-8.5200,3.0600,2.6900,9.4441,-0.0218,-0.0480,1.1803,65.00,44.81,17.44,-5.2447,3.6928,1.4566,6.5776
2,2,0,0,03.170,3170,-8.6700,4.9300,2.3100,10.2377,-0.1494,-0.1200,1.1639,58.00,56.75,26.38,-5.6961,3.8558,1.5690,7.0551
2,2,0,0,03.291,3291,-7.8300,5.8700,2.3300,10.0596,-0.0785,0.2280,1.4835,51.06,62.88,34.00,-5.9773,4.1213,1.6693,7.4498
2,2,0,0,03.413,3413,-5.3100,6.3200,3.0100,8.7863,-0.0480,0.4963,1.2632,41.75,64.69,41.50,-5.8893,4.4110,1.8460,7.5861
2,2,0,0,03.539,3539,-5.6400,8.4700,3.2400,10.6793,-0.4265,0.2793,1.4454,30.81,67.50,49.88,-5.8565,4.9459,2.0297,7.9297
2,2,0,0,03.661,3661,-3.1300,9.4900,2.9300,10.4135,-0.3894,0.2018,2.0595,18.56,72.00,60.38,-5.4972,5.5447,2.1483,8.0980
2,2,0,0,03.782,3782,-0.9900,10.0900,2.7300,10.4996,-0.3763,0.3065,1.8064,7.13,74.75,70.19,-4.9033,6.1436,2.2250,8.1693
2,2,0,0,03.902,3902,-0.3100,10.1600,2.1200,10.3835,-0.2978,0.3763,1.3843,-2.13,76.94,77.50,-4.2980,6.6729,2.2111,8.2395
2,2,0,0,04.064,4064,0.6000,10.0700,2.6700,10.4352,-0.3480,0.3251,0.4091,-11.38,79.38,83.88,-3.6526,7.1205,2.2716,8.3189
