participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
2,1,0,0,2,00.000,0,-2.5900,9.2500,1.1500,9.6744,0.0098,-0.0305,-0.0502,15.00,83.50,91.56,-2.2002,9.4652,1.0534,9.7745
2,1,0,0,2,00.173,173,-2.5200,9.4200,1.0000,9.8024,-0.0425,0.0971,-0.0611,15.38,83.69,90.69,-2.2423,9.4593,1.0464,9.7775
2,1,0,0,2,00.304,304,-2.5500,9.4200,0.9400,9.8042,-0.0360,0.0676,0.0120,15.44,83.81,89.88,-2.2829,9.4541,1.0324,9.7804
2,1,0,0,2,00.434,434,-2.5500,9.4100,0.9600,9.7965,0.0120,0.0360,0.0196,15.38,83.81,89.63,-2.3181,9.4483,1.0228,9.7821
2,1,0,0,2,00.565,565,-2.8200,9.4600,0.9400,9.9160,-0.0196,0.0065,0.0055,15.44,83.88,89.38,-2.3842,9.4498,1.0119,9.7983
2,1,0,0,2,00.696,696,-2.6100,9.3500,0.9800,9.7568,-0.0207,0.0164,-0.0513,15.25,84.00,89.50,-2.4140,9.4367,1.0077,9.7925
2,1,0,0,2,00.826,826,-2.6400,9.4600,1.0500,9.8774,-0.0087,0.0665,-0.0851,15.56,83.94,88.75,-2.4437,9.4397,1.0133,9.8034
2,1,0,0,2,00.959,959,-2.4800,9.2500,0.8500,9.6143,-0.0033,0.0076,0.0055,15.75,83.94,88.31,-2.4485,9.4147,0.9918,9.7784
2,1,0,0,2,01.093,1093,-1.3800,9.5200,1.2300,9.6978,0.0578,-0.0993,-0.2313,17.00,83.69,87.50,-2.3077,9.4286,1.0232,9.7607
2,1,0,0,2,01.266,1266,-1.4700,13.6400,1.2700,13.7776,0.3763,-0.2869,1.2926,15.88,84.19,91.88,-2.1973,9.9836,1.0557,10.2769
2,1,0,0,2,01.397,1397,-1.6500,14.4200,1.1100,14.5565,1.0428,-0.5945,2.6649,1.00,79.25,110.63,-2.1252,10.5682,1.0628,10.8320
