participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
3,1,0,0,2,00.000,0,0.0500,9.8300,0.8200,9.8643,-0.0240,-0.0796,-0.0305,-0.88,85.69,145.31,-0.0745,9.7352,0.9731,9.7840
3,1,0,0,2,00.126,126,0.2500,9.8000,0.7200,9.8296,0.0065,-0.0415,0.0327,-0.94,85.75,145.81,-0.0317,9.7437,0.9397,9.7890
3,1,0,0,2,00.247,247,0.2000,9.8000,0.7700,9.8322,0.0218,-0.0044,0.0600,-1.19,85.56,146.19,-0.0012,9.7511,0.9174,9.7942
3,1,0,0,2,00.367,367,0.3200,9.7500,0.8200,9.7897,-0.0153,0.0229,0.0960,-1.81,85.56,146.75,0.0411,9.7510,0.9045,9.7929
3,1,0,0,2,00.488,488,0.5900,9.8400,0.7300,9.8847,-0.0055,0.0087,0.0000,-2.19,85.69,147.00,0.1135,9.7627,0.8815,9.8031
3,1,0,0,2,00.609,609,0.5800,9.6000,0.7800,9.6491,-0.0164,-0.0316,-0.0502,-2.06,85.69,146.94,0.1749,9.7413,0.8681,9.7815
3,1,0,0,2,00.730,730,0.5300,9.4400,0.6600,9.4779,-0.0556,-0.0502,0.0851,-2.25,85.88,147.44,0.2217,9.7016,0.8407,9.7405
3,1,0,0,2,00.851,851,0.4900,9.1400,0.8100,9.1889,-0.1734,-0.0796,0.3905,-3.88,86.56,149.50,0.2571,9.6276,0.8367,9.6673
3,1,0,0,2,01.018,1018,0.1500,10.2900,1.8700,10.4596,-0.2160,-0.0600,0.1560,-6.69,88.06,153.31,0.2430,9.7149,0.9728,9.7665
3,1,0,0,2,01.140,1140,-1.5300,14.6900,1.7700,14.8751,0.8432,-0.0240,-1.1094,-3.75,86.56,150.50,0.0093,10.3705,1.0779,10.4263
3,1,0,0,2,01.262,1262,-2.7100,14.6000,2.3300,15.0311,2.3562,0.2083,-2.5711,9.00,74.69,137.50,-0.3490,10.9278,1.2429,11.0038
3,1,0,0,2,01.382,1382,-1.2700,10.7300,3.3900,11.3242,2.7511,0.4647,-3.2419,25.00,53.75,120.44,-0.4704,10.9017,1.5258,11.0180
3,1,0,0,2,01.504,1504,-2.9400,6.1700,4.6000,8.2385,2.8013,0.0382,-4.1397,39.00,21.44,100.50,-0.7958,10.2782,1.9309,10.4883
3,1,0,0,2,01.630,1630,-3.7900,-1.2700,4.3700,5.9223,2.9496,-1.0952,-3.4045,42.81,-21.81,81.00,-1.1904,8.7565,2.2523,9.1195
3,1,0,0,2,01.750,1750,-2.3500,-4.7500,2.1400,5.7153,1.9253,-1.9668,-2.4871,40.19,-55.69,66.81,-1.3432,6.9767,2.2375,7.4488
3,1,0,0,2,01.872,1872,-2.0500,-10.9100,1.5900,11.2142,0.7614,-1.1868,-1.9428,27.38,-79.69,46.00,-1.4363,4.6196,2.1522,5.2949
3,1,0,0,2,02.034,2034,-6.1200,-6.5800,0.5200,9.0012,-0.2214,0.5509,1.4388,29.94,-78.38,45.38,-2.0535,3.1438,1.9371,4.2253
3,1,0,0,2,02.155,2155,-4.3300,-8.1100,2.4500,9.5144,-0.0098,0.2891,0.4451,35.13,-75.88,54.25,-2.3535,1.6609,2.0047,3.5094
3,1,0,0,2,02.276,2276,-5.0500,-6.6000,2.1200,8.5765,-0.5738,-0.0785,0.5651,37.19,-72.50,55.19,-2.7088,0.5723,2.0199,3.4271
3,2,0,0,2,02.397,2397,-5.8800,-4.9800,2.0700,7.9787,-0.5934,0.1724,1.8130,45.38,-65.63,62.81,-3.1267,-0.1594,2.0265,3.7294
3,2,0,0,2,02.520,2520,-8.4600,-2.9300,3.4800,9.6056,-0.5432,0.3687,2.5024,56.69,-50.31,77.44,-3.8295,-0.5245,2.2180,4.4564
3,2,0,0,2,02.645,2645,-7.3600,-1.3700,3.3100,8.1855,-0.7014,0.9076,1.6864,62.06,-18.63,91.94,-4.2947,-0.6359,2.3619,4.9424
3,2,0,0,2,02.766,2766,-7.0100,3.2100,4.9100,9.1407,-1.4421,0.7363,3.3979,55.63,19.25,105.06,-4.6525,-0.1291,2.6977,5.3796
3,2,0,0,2,02.886,2886,-4.9800,8.1000,4.2700,10.4232,-1.4159,0.1756,2.7380,40.94,47.63,121.44,-4.6957,0.9553,2.9049,5.6036
3,2,0,0,2,03.048,3048,-4.2600,10.4600,4.0500,11.9984,-1.0876,-0.1374,1.8119,24.94,65.81,135.88,-4.6383,2.2078,3.0558,5.9771
3,2,0,0,2,03.169,3169,-2.5900,10.7400,3.2200,11.5076,-0.6010,-0.3022,1.3461,15.75,72.94,146.06,-4.3684,3.3321,3.0774,6.2973
3,2,0,0,2,03.297,3297,-1.5800,10.5200,2.6700,10.9679,-0.1887,-0.3185,0.7429,9.75,76.50,153.81,-4.0009,4.2793,3.0237,6.5926
3,2,0,0,2,03.418,3418,-1.9400,9.2200,2.8100,9.8320,0.0098,-0.1702,0.2127,7.44,76.75,158.25,-3.7293,4.9303,2.9956,6.8695
3,2,0,0,2,03.538,3538,-1.5300,9.2700,2.1100,9.6294,-0.2062,0.1080,0.4342,5.31,77.81,160.25,-3.4395,5.5022,2.8789,7.0988
3,2,0,0,2,03.659,3659,-0.9300,9.4700,2.1600,9.7576,0.1233,0.0349,0.3316,2.38,78.00,162.63,-3.1088,6.0251,2.7841,7.3292
3,2,0,0,2,03.780,3780,-1.7900,7.5400,2.4900,8.1398,0.0774,0.1047,-0.2138,2.00,77.19,162.13,-2.9350,6.2247,2.7454,7.4093
3,2,0,0,2,03.901,3901,-3.5700,12.4100,2.6900,13.1905,-0.0774,0.6120,0.0076,2.69,77.25,157.31,-3.0187,7.0398,2.7381,8.1344
3,2,0,0,2,04.063,4063,-0.8300,17.0400,2.2500,17.2079,1.1574,1.0156,-2.2613,7.25,73.19,143.44,-2.7303,8.3575,2.6738,9.1898
3,2,0,0,2,04.189,4189,-1.5600,12.8900,4.0100,13.5892,2.4206,0.9796,-4.9469,28.13,54.56,115.88,-2.5761,8.9548,2.8498,9.7440
3,2,0,0,2,04.311,4311,-3.7500,6.5600,4.3700,8.7289,2.7064,0.4614,-4.7146,43.75,10.50,85.31,-2.7308,8.6392,3.0502,9.5602
3,2,0,0,2,04.431,4431,-2.8900,-0.2600,3.5200,4.5618,2.5416,-0.4549,-3.4634,39.31,-32.13,66.06,-2.7518,7.4665,3.1121,8.5444
3,2,0,0,2,04.552,4552,-0.6700,-7.0900,2.5400,7.5610,2.4326,-0.6087,-3.3728,26.13,-60.94,48.06,-2.4774,5.5484,3.0367,6.7929
3,2,0,0,2,04.673,4673,1.0800,-9.7300,1.9800,9.9880,0.9338,-0.3676,-0.8945,13.50,-74.88,34.13,-2.0087,3.5351,2.8974,4.9926
3,2,0,0,2,04.794,4794,-2.9700,-8.8000,2.3000,9.5682,-0.2160,-0.3512,1.0908,14.75,-76.50,33.06,-2.1353,1.9096,2.8187,4.0189
3,2,0,0,2,04.916,4916,-3.4600,-7.3600,1.6200,8.2925,-0.1516,-0.0393,1.5741,25.88,-73.63,42.75,-2.3099,0.6881,2.6608,3.5901
3,3,0,0,2,05.083,5083,-5.8400,-6.5200,2.4300,9.0841,-0.5214,0.2302,1.6035,37.81,-68.19,55.25,-2.7751,-0.2617,2.6304,3.8325
3,3,0,0,2,05.204,5204,-7.5000,-5.1800,3.6400,9.8149,-0.5214,0.2651,1.4824,46.69,-58.44,65.06,-3.3977,-0.9098,2.7634,4.4731
3,3,0,0,2,05.325,5325,-6.3600,-3.4800,3.7800,8.1761,-0.9687,0.2662,1.6242,53.50,-44.19,73.31,-3.7881,-1.2485,2.8974,4.9298
3,3,0,0,2,05.445,5445,-7.8100,0.3000,4.4600,8.9988,-1.0886,0.0327,1.8391,59.00,-20.94,81.00,-4.3180,-1.0445,3.1033,5.4191
3,3,0,0,2,05.566,5566,-9.0200,1.9400,4.7300,10.3681,-0.5705,-0.1963,1.6668,61.56,4.44,89.50,-4.9376,-0.6512,3.3176,5.9842
3,3,0,0,2,05.687,5687,-7.7900,3.5000,3.7100,9.3112,-0.7745,0.1898,1.6995,58.63,27.69,98.00,-5.3135,-0.1042,3.3693,6.2926
3,3,0,0,2,05.808,5808,-7.1200,5.3100,4.4800,9.9479,-0.4745,0.3545,1.4606,51.00,42.00,105.44,-5.5516,0.6093,3.5157,6.5993
3,3,0,0,2,05.929,5929,-5.5000,6.8000,4.4800,9.8265,-0.2214,-0.0415,1.6177,42.44,51.56,114.31,-5.5448,1.4251,3.6428,6.7856
3,3,0,0,2,06.096,6096,-3.8200,7.8100,3.5500,9.3910,-0.6283,-0.0916,1.2828,32.06,61.63,126.06,-5.3175,2.2664,3.6305,6.8259
3,3,0,0,2,06.217,6217,-3.1800,10.7200,2.9500,11.5643,-0.4418,-0.0807,1.6341,23.25,68.13,134.69,-5.0358,3.3804,3.5409,7.0231
3,3,0,0,2,06.338,6338,-1.9500,10.5200,2.9600,11.1011,0.2062,-0.1440,1.6242,13.19,70.25,146.19,-4.6292,4.3212,3.4643,7.2183
3,3,0,0,2,06.459,6459,-0.7400,7.9600,3.6000,8.7675,-0.2258,-0.0578,1.4988,3.50,70.31,157.31,-4.1167,4.8007,3.4822,7.2194
3,3,0,0,2,06.580,6580,-0.0700,10.6500,2.3600,10.9086,-0.6970,0.0229,0.9436,-4.38,74.19,165.63,-3.5834,5.5715,3.3343,7.4162
3,3,0,0,2,06.701,6701,-0.5100,10.2400,1.8800,10.4236,-0.1374,-0.0862,-0.0567,-7.19,77.13,169.06,-3.1784,6.1867,3.1427,7.6324
3,3,0,0,2,06.822,6822,-3.1400,8.2500,3.3500,9.4416,0.1145,0.2880,-0.9043,-3.69,76.75,165.19,-3.1734,6.4586,3.1700,7.8634
3,3,0,0,2,06.947,6947,-4.7600,15.0800,3.3400,16.1623,-0.1309,1.4519,-0.9992,1.44,77.19,153.56,-3.3825,7.5947,3.1924,8.9057
3,3,0,0,2,07.110,7110,3.9400,18.8000,0.3600,19.2118,2.4042,1.6613,-5.4225,20.50,64.13,117.69,-2.4175,9.0712,2.8192,9.8020
3,3,0,0,2,07.231,7231,-1.3600,6.7000,3.0200,7.4740,3.3576,0.7178,-6.7773,45.50,16.69,77.50,-2.2782,8.7588,2.8456,9.4870
3,3,0,0,2,07.353,7353,-2.1000,-1.2900,3.9000,4.6135,2.6671,-0.4581,-3.2725,39.81,-34.56,52.81,-2.2547,7.4346,2.9846,8.3225
3,3,0,0,2,07.473,7473,-1.5500,-7.1400,2.6900,7.7858,1.5937,-0.5203,-2.5645,28.94,-59.56,38.38,-2.1618,5.5140,2.9458,6.6148
3,3,0,0,2,07.594,7594,-0.9900,-8.3000,1.5200,8.4959,0.7843,-0.2683,-1.7628,16.63,-70.44,23.94,-2.0074,3.6937,2.7579,5.0278
3,3,0,0,2,07.715,7715,-2.5300,-8.7500,2.1700,9.3633,0.1571,0.3731,1.4312,14.94,-73.56,24.31,-2.0763,2.0539,2.6804,3.9641
3,3,0,0,2,07.840,7840,-3.9500,-8.2400,2.9200,9.5930,0.0065,-0.0436,0.7276,23.88,-72.56,34.50,-2.3232,0.6975,2.7120,3.6385
3,4,0,0,2,07.963,7963,-4.4000,-7.9900,2.5400,9.4685,-0.3294,-0.3153,0.4614,26.63,-71.50,35.06,-2.5969,-0.4473,2.6893,3.7651
3,4,0,0,2,08.125,8125,-5.7500,-5.8800,2.7300,8.6654,-0.6240,-0.2160,1.9602,37.19,-66.50,41.63,-3.0124,-1.1632,2.6947,4.2058
3,4,0,0,2,08.246,8246,-6.2900,-4.9400,3.0600,8.5634,-0.3349,0.0251,1.1606,47.38,-59.25,51.25,-3.4443,-1.6609,2.7428,4.7058
3,4,0,0,2,08.368,8368,-8.4200,-1.3500,2.8100,8.9786,-1.0319,-0.0993,2.3846,56.50,-46.25,59.38,-4.0999,-1.6199,2.7517,5.1967
3,4,0,0,2,08.494,8494,-7.5800,0.2700,3.4600,8.3367,-0.5520,0.0229,1.7933,64.50,-20.44,70.56,-4.5585,-1.3709,2.8450,5.5456
3,4,0,0,2,08.615,8615,-9.4400,3.4900,3.9000,10.7937,-0.5291,-0.0087,2.8449,64.44,20.44,85.06,-5.2018,-0.7303,2.9840,6.0412
3,4,0,0,2,08.736,8736,-7.3200,4.6300,3.9200,9.5071,-0.2803,-0.2280,1.6144,57.63,44.81,97.56,-5.4809,-0.0240,3.1074,6.3005
3,4,0,0,2,08.857,8857,-7.0500,7.1800,3.0600,10.5175,-0.2618,-0.0513,1.8097,50.06,57.25,107.13,-5.6877,0.9253,3.1011,6.5439
3,4,0,0,2,08.978,8978,-5.0800,8.3600,3.3300,10.3337,0.0218,0.2040,1.7846,38.00,63.75,119.69,-5.6076,1.9050,3.1313,6.6992
3,4,0,0,2,09.142,9142,-2.8200,9.1500,3.5400,10.2082,-0.2902,-0.1887,1.7955,25.13,67.38,133.13,-5.2403,2.8597,3.1851,6.7664
3,4,0,0,2,09.267,9267,-0.7500,10.5200,2.3400,10.8032,-0.4036,-0.7167,1.6875,14.19,73.13,147.81,-4.6486,3.8691,3.0738,6.7844
3,4,0,0,2,09.389,9389,-1.4100,10.1100,2.1400,10.4298,-0.2498,-0.8847,1.3439,6.25,76.31,161.75,-4.2218,4.6915,2.9507,6.9671
3,4,0,0,2,09.509,9509,-2.3000,10.0500,1.6500,10.4410,-0.2673,-0.4102,0.9250,-0.19,78.56,172.88,-3.9686,5.3976,2.7793,7.2532
3,4,0,0,2,09.630,9630,-3.0200,11.0500,1.8200,11.5989,0.0458,1.0330,0.1833,-4.38,79.69,174.75,-3.8436,6.1425,2.6529,7.7163
3,4,0,0,2,09.751,9751,-3.8900,12.8500,2.0100,13.5755,0.3512,2.2973,-1.4094,-2.38,78.75,161.06,-3.8497,7.0264,2.5682,8.4134
3,4,0,0,2,09.873,9873,1.8000,18.8500,0.8400,18.9544,1.2654,1.7137,-3.3445,7.69,73.69,135.75,-3.1052,8.5844,2.3405,9.4240
3,4,0,0,2,09.998,9998,0.2700,13.3400,3.5100,13.7967,2.5733,-0.0949,-6.0105,37.06,50.50,101.75,-2.6604,9.2111,2.4946,9.9068
3,4,0,0,2,10.161,10161,-4.9600,0.1100,3.1500,5.8768,2.4107,-1.2228,-3.3816,59.38,-25.88,70.44,-2.9635,8.0118,2.5809,8.9237
3,4,0,0,2,10.281,10281,-4.3500,-3.0400,1.3700,5.4810,0.5160,-0.0065,-3.7012,46.75,-59.88,52.06,-3.1462,6.5554,2.4214,7.6639
3,4,0,0,2,10.402,10402,-2.3600,-8.7500,1.9700,9.2743,1.2665,0.3480,-2.2133,26.94,-71.38,34.63,-3.0426,4.5386,2.3619,5.9527
3,4,0,0,2,10.523,10523,-2.4700,-8.0600,2.2800,8.7329,0.2291,0.0207,0.4614,23.13,-76.00,33.69,-2.9671,2.8784,2.3511,4.7557
3,4,0,0,2,10.644,10644,-5.2500,-8.3900,2.5500,10.2204,-0.0262,-0.0971,0.0295,24.69,-76.31,34.88,-3.2679,1.3935,2.3773,4.2747
3,4,0,0,2,10.782,10782,-4.7800,-7.6500,2.5600,9.3768,-0.0545,0.0305,0.3218,25.81,-75.50,35.56,-3.4672,0.2018,2.4014,4.2224
3,5,0,0,2,10.903,10903,-4.7500,-7.0800,1.9900,8.7549,-0.1069,0.1156,1.1279,30.88,-74.00,41.06,-3.6362,-0.7577,2.3472,4.3938
3,5,0,0,2,11.024,11024,-6.1400,-6.4300,2.1900,9.1565,-0.3163,0.3862,0.8879,37.06,-69.69,48.63,-3.9662,-1.5052,2.3265,4.8382
3,5,0,0,2,11.186,11186,-6.8300,-4.9800,3.6500,9.2072,-0.6840,0.2662,1.7072,45.44,-58.00,61.00,-4.3435,-1.9631,2.5009,5.3828
