participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
15,1,0,1,0,00.000,0,1.0700,9.7700,-0.5300,9.8427,-0.2291,0.0120,-0.0513,-4.75,92.00,179.25,1.7428,9.1565,-0.3363,9.3270
15,1,0,1,0,00.121,121,0.6700,10.0400,-0.7700,10.0917,-0.0425,-0.1636,-0.2323,-3.63,93.06,178.56,1.6014,9.2729,-0.3935,9.4184
15,1,0,1,0,00.242,242,0.0600,9.6300,-0.6400,9.6514,-0.0327,-0.2051,-0.0840,-2.06,93.25,178.44,1.3983,9.3200,-0.4260,9.4339
15,1,0,1,0,00.363,363,0.9500,10.0900,-0.8200,10.1677,-0.0807,-0.2443,0.5901,-3.81,93.63,181.69,1.3392,9.4215,-0.4779,9.5282
15,1,0,1,0,00.485,485,0.4600,10.1300,-0.8200,10.1735,0.0764,-0.2542,-0.5770,-3.88,93.50,183.63,1.2234,9.5148,-0.5230,9.6074
15,1,0,1,0,00.610,610,-0.3000,9.6700,-0.6800,9.6985,-0.1614,-0.1309,0.0338,-1.25,93.56,182.44,1.0226,9.5353,-0.5437,9.6053
15,1,0,1,0,00.774,774,0.4500,9.8200,-0.6900,9.8545,0.1331,0.1953,0.0327,-2.81,94.06,183.44,0.9472,9.5728,-0.5629,9.6360
15,1,0,1,0,00.895,895,0.2200,10.5400,-0.6000,10.5594,0.2640,0.1876,-0.1604,-2.38,92.75,181.56,0.8514,9.7002,-0.5678,9.7541
15,1,0,1,0,01.021,1021,-1.0500,9.8000,0.5600,9.8720,0.3491,-0.0087,0.1516,-1.56,90.44,180.13,0.6008,9.7134,-0.4192,9.7410
15,1,0,1,0,01.142,1142,0.5400,11.4700,0.3900,11.4893,0.2182,-0.0654,-0.2880,-3.50,88.69,182.44,0.5928,9.9449,-0.3126,9.9674
15,1,0,1,0,01.263,1263,-0.5000,10.9100,0.7700,10.9486,0.7156,-0.2629,-0.6687,0.81,85.56,178.88,0.4488,10.0720,-0.1699,10.0835
15,1,0,1,0,01.384,1384,-0.1600,10.1400,1.7300,10.2878,0.1440,-0.2051,0.1102,2.81,82.31,179.13,0.3686,10.0810,0.0804,10.0881
15,1,0,1,0,01.505,1505,0.3300,10.8800,1.3400,10.9672,0.2018,-0.2618,-1.2632,5.69,81.81,177.75,0.3635,10.1863,0.2464,10.1957
15,1,0,1,0,01.626,1626,-2.3900,9.7600,1.4400,10.1510,0.2182,0.1265,-0.8127,14.63,79.63,169.13,0.0006,10.1301,0.4037,10.1382
15,1,0,1,0,01.790,1790,-1.4700,8.3100,0.8900,8.4858,0.5803,-0.2738,-0.7679,19.50,76.56,164.88,-0.1931,9.8903,0.4678,9.9032
15,1,0,1,0,01.914,1914,-3.6800,8.0200,2.2200,9.0990,0.3229,-0.3949,-0.3316,24.13,73.56,163.88,-0.6526,9.6438,0.6987,9.6911
15,1,0,1,0,02.035,2035,-4.3900,8.1100,1.6100,9.3614,0.0033,-0.6032,-0.8792,28.31,74.38,163.13,-1.1451,9.4417,0.8188,9.5461
15,1,0,1,0,02.156,2156,-5.8300,8.4200,1.2100,10.3126,0.2673,-0.3523,-1.1683,36.69,74.38,157.88,-1.7625,9.3071,0.8703,9.5124
15,1,0,1,0,02.277,2277,-5.9900,5.3700,2.4300,8.4037,0.3512,0.0458,-0.7810,43.06,70.88,153.25,-2.3195,8.7883,1.0759,9.1527
15,1,0,1,0,02.398,2398,-6.0800,3.7000,2.1800,7.4437,0.2040,-0.3000,-0.2891,46.44,68.56,150.69,-2.8151,8.1178,1.2213,8.6784
15,1,0,1,0,02.519,2519,-7.4400,2.7800,1.2600,8.0417,-0.0720,0.0425,-0.4723,49.00,69.44,150.00,-3.4245,7.4144,1.2264,8.2586
15,1,0,1,0,02.641,2641,-5.8300,4.3000,1.0000,7.3129,0.0447,0.8530,-0.7549,51.06,63.31,143.69,-3.7415,7.0040,1.1966,8.0303
15,1,0,1,0,02.805,2805,-5.6200,4.6600,2.1300,7.6051,-0.9839,1.3265,0.9436,46.81,55.31,136.94,-3.9890,6.6951,1.3196,7.9043
15,2,0,1,0,02.927,2927,-3.5000,8.8900,2.2600,9.8178,-1.3341,1.0527,2.4915,30.13,63.88,142.63,-3.9246,6.9843,1.4435,8.1405
15,2,0,1,0,03.048,3048,-1.3100,11.0500,2.2600,11.3546,-1.3101,0.7014,2.0049,14.50,72.94,151.25,-3.5801,7.5201,1.5511,8.4720
15,2,0,1,0,03.169,3169,0.8800,11.6700,1.9600,11.8661,-0.8247,0.4200,1.7061,1.69,80.13,159.88,-2.9923,8.0669,1.6050,8.7525
15,2,0,1,0,03.290,3290,1.8800,10.6900,1.8100,11.0039,-0.5018,0.2476,1.2675,-8.00,84.13,168.13,-2.3503,8.4126,1.6320,8.8859
15,2,0,1,0,03.411,3411,2.9600,10.5500,0.9200,10.9959,-0.5105,0.3174,1.1345,-16.00,87.69,175.31,-1.6505,8.6942,1.5382,8.9822
15,2,0,1,0,03.538,3538,3.6400,10.8200,-0.1200,11.4165,-0.0273,0.0207,0.5400,-21.19,89.94,180.00,-0.9534,8.9744,1.3197,9.1208
15,2,0,1,0,03.659,3659,3.1900,10.5400,1.3200,11.0910,0.9207,-0.2640,0.4003,-24.69,85.38,183.50,-0.4074,9.1807,1.3197,9.2840
15,2,0,1,0,03.825,3825,3.0500,8.0100,3.4400,9.2356,-0.0785,0.8847,-0.3894,-26.81,80.44,181.38,0.0482,9.0264,1.5991,9.1671
