participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
15,1,0,0,0,00.000,0,0.1300,12.1600,0.9500,12.1977,-1.0341,-0.3305,1.5621,-0.38,85.13,140.94,-3.4703,4.9931,2.8007,6.6946
15,1,0,0,0,00.122,122,0.8100,10.7900,0.5500,10.8343,-0.6970,-0.2182,1.8031,-11.19,90.31,154.19,-2.9063,5.7570,2.5041,6.9181
15,1,0,0,0,00.286,286,3.5100,10.9100,-0.1200,11.4614,-0.0774,-0.5487,0.8116,-25.31,94.63,172.94,-2.0608,6.4360,2.1583,7.0942
15,1,0,0,0,00.408,408,2.9600,10.2600,-0.3600,10.6845,0.6654,-0.6403,-1.1781,-22.38,90.13,172.75,-1.3992,6.9399,1.8264,7.3114
15,1,0,0,0,00.529,529,1.9300,10.7100,0.9000,10.9197,0.8694,-0.5705,-0.9916,-14.50,83.63,166.44,-0.9605,7.4367,1.7044,7.6898
15,1,0,0,0,00.650,650,1.8000,10.5600,2.5100,11.0024,0.8639,-0.5171,-1.5064,-6.19,77.00,159.75,-0.5967,7.8483,1.8105,8.0765
15,1,0,0,0,00.771,771,-0.4500,10.1500,2.9500,10.5796,0.4821,-0.3305,-2.2635,6.88,72.75,148.75,-0.5774,8.1516,1.9607,8.4039
15,1,0,0,0,00.892,892,-3.8000,9.8800,3.4300,11.1274,0.8214,-0.2771,-2.5940,23.19,67.31,134.56,-1.0020,8.3794,2.1543,8.7097
15,1,0,0,0,01.015,1015,-5.6500,7.6400,3.6100,10.1649,0.9174,0.0087,-2.6725,39.06,56.88,119.81,-1.6145,8.2819,2.3461,8.7579
15,1,0,0,0,01.137,1137,-6.2600,4.9600,3.6200,8.7689,1.0385,0.1582,-2.6365,51.88,37.06,104.88,-2.2267,7.8442,2.5140,8.5328
15,1,0,0,0,01.301,1301,-6.4800,1.0100,4.4900,7.9480,0.6447,-0.0644,-1.5010,57.75,1.94,90.13,-2.7872,6.9436,2.7744,7.9799
15,1,0,0,0,01.422,1422,-7.8800,-0.5100,4.2700,8.9770,0.6610,-0.2476,-1.3592,57.56,-18.38,82.06,-3.4583,5.9614,2.9715,7.5052
15,1,0,0,0,01.543,1543,-7.3500,-3.5200,4.3700,9.2472,0.6458,-0.3545,-1.4573,54.88,-37.38,75.06,-3.9711,4.7120,3.1558,6.9233
15,1,0,0,0,01.664,1664,-5.5300,-4.3200,2.8200,7.5628,-0.0011,-0.5934,-0.5629,53.44,-47.44,69.50,-4.1765,3.5218,3.1115,6.2871
15,1,0,0,0,01.785,1785,-6.6600,-5.8500,3.0300,9.3680,0.1953,-0.3927,-0.2771,51.06,-57.38,64.13,-4.5038,2.2869,3.1008,5.9269
15,1,0,0,0,01.907,1907,-5.6500,-4.7400,2.4900,7.7840,-0.4189,0.1254,0.5618,55.38,-54.13,67.38,-4.6548,1.3609,3.0203,5.7133
15,2,0,0,0,02.029,2029,-6.2800,-2.2300,2.5400,7.1318,-0.3763,0.3840,0.3043,54.38,-48.25,67.31,-4.8690,0.8877,2.9570,5.7653
15,2,0,0,0,02.153,2153,-7.0000,-1.1000,3.2400,7.7915,-0.5214,0.0175,1.6592,58.63,-34.88,74.06,-5.1498,0.6258,2.9943,5.9898
15,2,0,0,0,02.317,2317,-9.4400,3.7300,3.8100,10.8417,-1.1246,-0.0753,3.4798,63.44,21.94,95.31,-5.7151,1.0348,3.1018,6.5844
15,2,0,0,0,02.439,2439,-7.5600,7.9900,3.1200,11.4336,-1.1606,0.1407,2.9180,49.31,55.38,111.94,-5.9582,1.9513,3.1042,6.9960
15,2,0,0,0,02.564,2564,-4.7700,9.9600,2.5800,11.3407,-0.7734,0.1604,2.8602,31.94,68.19,127.50,-5.8017,3.0067,3.0351,7.2049
15,2,0,0,0,02.685,2685,-1.8600,10.6100,2.0400,10.9633,-0.6698,-0.0720,2.1838,14.25,75.56,144.44,-5.2822,4.0086,2.9040,7.2391
15,2,0,0,0,02.806,2806,-0.7900,10.4300,1.2600,10.5355,-0.7974,0.0393,1.4519,3.00,81.00,155.06,-4.6903,4.8548,2.6873,7.2656
15,2,0,0,0,02.927,2927,-0.9600,10.9600,1.3000,11.0785,-0.8454,0.2629,1.2425,-5.69,86.69,162.50,-4.1987,5.6593,2.5045,7.4786
15,2,0,0,0,03.048,3048,0.2000,12.0700,1.3500,12.1469,-0.0131,0.2323,-0.2880,-9.13,90.06,164.44,-3.6191,6.5041,2.3524,7.8060
