rep,start_idx,end_idx,next_rep_start_idx,start_time_ms,end_time_ms,duration_ms,peak_idx,peak_time_ms,peak_value,valley_value,amplitude
1,0,21,22.0,0,2680,2680,12,1545,9.8695,9.584,0.28550000000000075
2,22,63,64.0,2801,8004,5203,38,4834,9.1646,6.6249,2.5397
3,64,80,81.0,8125,10152,2027,72,9138,9.1467,8.1112,1.035499999999999
4,81,125,126.0,10274,15898,5624,112,14217,9.1216,7.8219,1.2997000000000005
5,126,172,173.0,16018,21880,5862,146,18537,9.0175,7.7432,1.2743000000000002
6,173,193,194.0,22000,24525,2525,184,23384,8.912,7.3166,1.5954000000000006
7,194,222,223.0,24645,28219,3574,212,26962,8.7855,6.7378,2.0477000000000007
8,223,248,249.0,28342,31519,3177,240,30504,8.8321,6.7566,2.075500000000001
9,249,277,278.0,31641,35221,3580,269,34206,8.8096,6.653,2.1566
10,278,302,303.0,35341,38391,3050,296,37618,8.9299,6.3105,2.6193999999999997
11,303,304,,38511,38633,122,304,38633,7.738,7.7109,0.02710000000000079
