participant,rep,equipment_code,exercise_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
1,1,0,0,00.000,0,-0.5100,9.8300,1.0900,9.9034,0.0644,-0.0404,0.0142,2.81,83.44,30.19,-0.6070,9.7931,1.2162,9.8870
1,1,0,0,00.121,121,-0.6100,9.6100,1.1400,9.6966,0.0436,-0.0480,-0.1091,3.31,82.94,29.88,-0.6074,9.7690,1.2061,9.8619
1,1,0,0,00.289,289,-0.7400,9.7400,1.1400,9.8344,0.0098,-0.0164,0.0295,3.88,82.94,29.63,-0.6248,9.7652,1.1974,9.8581
1,1,0,0,00.409,409,-0.5500,9.6200,1.2600,9.7177,-0.0447,-0.0033,0.0055,3.81,83.00,29.63,-0.6150,9.7460,1.2057,9.8396
1,1,0,0,00.530,530,-0.6400,9.8500,1.1400,9.9364,0.0000,-0.0382,0.0218,3.88,83.25,29.75,-0.6183,9.7597,1.1970,9.8523
1,1,0,0,00.651,651,-0.7600,9.7600,1.1700,9.8592,0.0349,-0.0731,-0.0753,4.00,83.13,30.00,-0.6370,9.7598,1.1935,9.8531
1,1,0,0,00.773,773,-0.8500,9.6700,1.2100,9.7824,-0.0065,-0.0502,-0.0076,4.44,83.00,30.06,-0.6650,9.7479,1.1956,9.8435
1,1,0,0,00.893,893,-0.8400,9.7500,1.1400,9.8523,-0.0240,-0.0109,-0.0415,4.56,83.19,30.13,-0.6881,9.7482,1.1883,9.8444
1,1,0,0,01.014,1014,-0.8700,9.7500,1.1100,9.8515,0.0022,0.0458,-0.0098,4.75,83.25,29.69,-0.7121,9.7484,1.1780,9.8451
1,1,0,0,01.141,1141,-0.3400,9.7700,1.2500,9.8555,-0.0055,-0.0153,0.0131,4.44,83.19,29.88,-0.6630,9.7513,1.1875,9.8457
1,1,0,0,01.303,1303,0.3300,10.6300,1.5500,10.7475,0.1036,-0.2083,0.3676,4.00,82.94,31.31,-0.5322,9.8671,1.2352,9.9583
1,1,0,0,01.424,1424,0.8400,10.6800,1.7700,10.8582,0.4385,-0.2825,0.8498,0.00,81.25,37.50,-0.3514,9.9742,1.3057,10.0654
1,1,0,0,01.546,1546,1.5600,10.5200,2.1000,10.8404,0.3632,-0.0622,1.1236,-6.38,78.31,44.81,-0.0995,10.0461,1.4104,10.1451
1,1,0,0,01.667,1667,2.3400,10.5300,2.1900,11.0069,0.2345,0.0349,1.7050,-15.06,76.06,52.69,0.2220,10.1099,1.5131,10.2249
1,1,0,0,01.793,1793,4.0200,9.2100,2.2800,10.3045,0.3589,-0.1920,1.7562,-27.00,72.44,64.94,0.7225,9.9913,1.6142,10.1466
1,1,0,0,01.914,1914,4.1000,7.7500,2.4100,9.0929,0.3665,-0.3567,1.9166,-37.06,66.13,76.63,1.1675,9.6960,1.7190,9.9161
1,1,0,0,02.035,2035,5.9400,6.5200,3.6600,9.5493,0.3818,-0.4723,1.2555,-45.63,56.25,88.25,1.7964,9.2774,1.9748,9.6539
1,1,0,0,02.155,2155,6.6700,4.6300,4.5400,9.3025,0.4145,-0.3403,1.5424,-50.88,44.88,96.63,2.4386,8.6650,2.3128,9.2940
1,1,0,0,02.317,2317,6.6700,2.0100,4.8300,8.4769,0.4538,-0.2051,1.5752,-56.38,23.50,109.13,2.9962,7.7881,2.6445,8.7536
1,1,0,0,02.444,2444,7.4000,0.2500,5.5400,9.2474,0.2214,-0.1069,0.8301,-57.69,6.88,116.94,3.5765,6.7947,3.0261,8.2533
1,1,0,0,02.566,2566,6.3100,-1.9300,4.4300,7.9477,0.3153,0.0774,0.9927,-58.31,-4.63,121.81,3.9367,5.6450,3.2111,7.5944
1,1,0,0,02.686,2686,6.5000,-1.9100,4.1700,7.9553,-0.3916,-0.3240,-0.6152,-57.00,-7.19,124.06,4.2745,4.6495,3.3374,7.1434
1,1,0,0,02.808,2808,5.1100,0.2300,4.5700,6.8593,-0.3971,0.0687,-1.6875,-55.50,9.44,114.56,4.3846,4.0671,3.4999,6.9293
1,2,0,0,02.928,2928,6.0500,3.0700,4.8400,8.3338,-0.9981,0.3011,-2.5002,-52.06,32.25,100.00,4.6041,3.9357,3.6765,7.0854
1,2,0,0,03.050,3050,4.4100,8.0400,3.9100,9.9688,-1.1116,0.4134,-2.5918,-40.63,56.19,84.69,4.5785,4.4766,3.7072,7.3990
1,2,0,0,03.171,3171,3.8300,10.3100,2.9500,11.3872,-0.8628,0.5280,-2.3627,-27.69,69.50,69.38,4.4799,5.2453,3.6074,7.7843
1,2,0,0,03.338,3338,2.4300,12.0100,1.5500,12.3510,-0.7025,0.6480,-1.4988,-11.19,80.81,49.00,4.2097,6.1367,3.3363,8.1555
1,2,0,0,03.459,3459,2.1000,11.4100,1.5400,11.7034,-0.1516,0.1462,-1.4181,-1.19,84.06,36.25,3.9317,6.8316,3.0996,8.4697
1,2,0,0,03.579,3579,-0.5800,9.9800,0.7600,10.0257,-0.0807,-0.3109,-0.5051,4.56,84.44,31.44,3.3372,7.2464,2.7913,8.4522
1,2,0,0,03.700,3700,-0.7000,11.0000,0.9500,11.0631,-0.0774,-0.2880,-1.0657,9.75,85.38,28.44,2.8052,7.7411,2.5487,8.6191
1,2,0,0,03.821,3821,-0.5100,10.8100,2.0500,11.0145,0.2094,-0.0185,0.6436,11.88,84.69,27.31,2.3683,8.1455,2.4830,8.8387
1,2,0,0,03.943,3943,0.8100,11.6900,1.3400,11.7944,0.2062,-0.2476,1.2621,4.31,84.06,35.94,2.1630,8.6126,2.3324,9.1812
1,2,0,0,04.064,4064,1.1600,9.5600,1.7300,9.7843,0.9087,-0.4265,1.4868,-5.06,79.38,48.69,2.0308,8.7374,2.2530,9.2489
1,2,0,0,04.190,4190,1.2400,9.7600,2.1200,10.0643,0.6185,-0.6545,1.4159,-13.06,73.63,60.63,1.9266,8.8722,2.2355,9.3501
1,2,0,0,04.353,4353,3.0900,7.6300,4.0500,9.1743,0.6403,-0.0513,1.2392,-22.44,64.81,72.38,2.0799,8.7085,2.4746,9.2891
1,2,0,0,04.473,4473,4.1200,8.1300,4.1300,10.0064,0.3229,-0.1396,0.6600,-27.88,60.25,78.19,2.3487,8.6322,2.6927,9.3425
1,2,0,0,04.595,4595,4.7800,7.1600,4.7100,9.8132,0.6338,-0.0469,0.9196,-31.50,55.19,82.06,2.6691,8.4382,2.9585,9.3317
1,2,0,0,04.716,4716,5.0700,6.9500,5.5500,10.2377,0.5247,-0.0753,0.6032,-34.63,49.50,85.06,2.9855,8.2421,3.3000,9.3668
