participant,rep,equipment_code,exercise_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,quality_code
2,1,0,0,0.0,0,0.83,9.58,1.49,9.7306,-0.0502,-0.0469,0.084,-4.25,81.38,83.0,-0.084,9.4771,1.4543,9.5884,1
2,1,0,0,0.122,122,0.96,9.82,1.29,9.9508,-0.0458,-0.0818,-0.0884,-4.31,81.81,83.19,0.0536,9.5223,1.4326,9.6296,1
2,1,0,0,0.242,242,0.62,9.56,1.35,9.6747,0.0251,-0.0229,0.0251,-3.81,81.81,83.13,0.1282,9.5273,1.4217,9.6336,1
2,1,0,0,0.363,363,1.02,9.68,1.38,9.8309,-0.0458,-0.0153,0.0851,-4.69,81.88,84.06,0.2457,9.5474,1.4162,9.655,1
2,1,0,0,0.484,484,0.72,9.73,1.35,9.8496,-0.0218,-0.0316,-0.0556,-4.63,82.13,84.13,0.3082,9.5715,1.4075,9.6793,1
2,1,0,0,0.607,607,0.85,9.73,1.33,9.8572,0.0044,0.0098,0.0567,-4.75,82.19,84.31,0.3796,9.5924,1.3973,9.701,1
2,1,0,0,0.731,731,0.96,9.75,1.39,9.8953,0.0251,0.0305,0.0011,-5.0,82.0,84.44,0.4561,9.6131,1.3963,9.7247,1
2,1,0,0,0.893,893,0.92,9.5,1.36,9.6409,0.0273,0.0513,0.0,-4.81,81.81,83.81,0.5172,9.5982,1.3915,9.7124,1
2,1,0,0,1.014,1014,0.89,10.04,1.37,10.172,0.0949,0.0916,-0.0894,-4.81,81.56,83.31,0.5664,9.6564,1.3887,9.7722,1
2,1,0,0,1.136,1136,0.29,10.13,2.0,10.3296,0.1778,0.1713,-0.3851,-3.5,80.44,81.06,0.5299,9.7188,1.4693,9.8435,1
2,1,0,0,1.262,1262,-0.85,10.06,2.15,10.3222,0.2629,-0.1222,-1.4857,2.5,79.19,74.38,0.3481,9.7638,1.559,9.8936,1
2,1,0,0,1.383,1383,-2.76,9.49,2.53,10.2019,0.2214,-0.589,-1.4563,14.19,77.44,65.38,-0.0615,9.7277,1.6869,9.8731,1
2,1,0,0,1.503,1503,-4.74,8.48,2.06,9.9308,0.1189,-1.0483,-2.3169,27.88,77.31,57.44,-0.678,9.5633,1.7361,9.7432,1
2,1,0,0,1.624,1624,-7.12,7.66,0.96,10.502,0.0665,-1.0396,-2.2733,44.69,79.75,46.63,-1.5269,9.3125,1.6338,9.5772,1
2,1,0,0,1.745,1745,-8.47,5.44,-0.29,10.0707,-0.2073,-0.9119,-2.4435,61.06,86.13,34.31,-2.4418,8.8022,1.3803,9.2383,1
2,1,0,0,1.907,1907,-8.97,1.91,-1.77,9.3403,-0.6883,-0.8192,-2.4576,79.75,126.44,11.81,-3.302,7.894,0.9652,8.611,1
2,1,0,0,2.034,2034,-10.33,-0.46,-2.65,10.6744,-0.601,-0.7112,-2.0519,75.94,-144.31,350.63,-4.2282,6.7931,0.4888,8.0164,1
2,1,0,0,2.155,2155,-9.79,-2.47,-3.23,10.6008,-0.7407,-0.4058,-1.8337,62.81,-121.56,329.56,-4.9611,5.5725,-0.0013,7.4609,1
2,1,0,0,2.276,2276,-7.88,-4.21,-2.63,9.3132,-0.6087,0.0087,-1.6842,52.38,-111.13,313.19,-5.3457,4.2834,-0.3477,6.8589,1
2,1,0,0,2.397,2397,-5.04,-5.79,-0.92,7.7312,-0.48,0.1484,-1.345,42.19,-103.56,299.44,-5.3054,2.956,-0.4231,6.0881,1
