participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
10,1,0,0,1,00.000,0,-0.6700,9.7300,0.9500,9.7992,0.0251,-0.0131,0.0262,3.94,84.63,167.25,-1.0028,9.7229,0.8354,9.8101
10,1,0,0,1,00.121,121,-0.6900,9.7200,0.9900,9.7946,-0.0142,-0.0436,0.0589,3.69,84.56,167.75,-0.9616,9.7225,0.8557,9.8073
10,1,0,0,1,00.284,284,-0.6300,9.8200,0.9200,9.8831,0.0338,-0.0316,0.0502,3.25,84.56,168.50,-0.9179,9.7353,0.8642,9.8166
10,1,0,0,1,00.409,409,-0.5900,9.7000,1.0100,9.7703,0.0393,0.0000,0.0382,2.94,84.31,168.94,-0.8747,9.7307,0.8834,9.8098
10,1,0,0,1,00.530,530,-0.5400,9.6800,1.0000,9.7465,-0.0164,0.0262,0.0229,2.75,84.25,169.00,-0.8306,9.7240,0.8988,9.8007
10,1,0,0,1,00.651,651,-0.4900,9.7800,0.9500,9.8382,-0.0251,0.0109,0.0175,2.63,84.38,169.06,-0.7857,9.7314,0.9055,9.8050
10,1,0,0,1,00.772,772,-0.6000,9.6600,0.9400,9.7242,-0.0295,0.0207,-0.0938,2.88,84.56,168.69,-0.7612,9.7220,0.9101,9.7941
10,1,0,0,1,00.893,893,-0.8100,9.8300,0.8800,9.9025,-0.0316,0.0742,0.0273,3.19,84.69,168.06,-0.7676,9.7362,0.9061,9.8084
10,1,0,0,1,01.014,1014,-1.2100,10.0500,0.7900,10.1534,-0.0567,0.1364,-0.0425,3.38,84.94,167.25,-0.8259,9.7776,0.8908,9.8527
10,1,0,0,1,01.136,1136,-2.0100,10.4200,1.2000,10.6797,-0.2073,0.0796,-0.7472,5.69,85.63,164.06,-0.9820,9.8622,0.9316,9.9547
10,1,0,0,1,01.299,1299,-4.1000,10.5400,0.6500,11.3280,-0.3938,-0.2956,-2.3049,20.13,88.44,149.75,-1.3928,9.9515,0.8945,10.0883
10,1,0,0,1,01.423,1423,-5.8400,7.8000,-1.4100,9.8455,-1.1312,-1.0057,-3.5637,41.75,98.44,128.88,-1.9789,9.6680,0.5908,9.8861
10,1,0,0,1,01.544,1544,-9.0400,5.0500,-3.3900,10.8957,-0.5978,-1.2915,-3.2703,61.06,126.69,104.94,-2.9093,9.0595,0.0662,9.5154
10,1,0,0,1,01.664,1664,-8.9200,1.9900,-3.3800,9.7443,-0.4352,-0.6294,-1.9995,65.44,165.56,86.38,-3.7014,8.1279,-0.3879,8.9394
10,1,0,0,1,01.785,1785,-7.9600,0.4700,-4.1800,9.0030,-0.4276,-0.2945,-1.5752,63.00,-167.75,70.38,-4.2626,7.1188,-0.8876,8.3447
10,1,0,0,1,01.906,1906,-6.9700,-1.8900,-4.4300,8.4722,-0.2574,-0.5171,-1.6384,56.69,-150.06,55.56,-4.6193,5.9317,-1.3544,7.6392
10,1,0,0,1,02.029,2029,-5.8300,-3.1900,-5.0400,8.3407,-0.0774,-0.8781,-1.3624,47.31,-141.88,40.44,-4.7789,4.7297,-1.8401,6.9709
10,1,0,0,1,02.150,2150,-5.0800,-5.0100,-5.9900,9.3159,0.0109,-1.2294,-1.7311,35.06,-138.69,21.50,-4.8186,3.4462,-2.3869,6.3869
10,1,0,0,1,02.315,2315,-3.9800,-6.1500,-5.8700,9.3872,-0.5345,-0.3742,-1.0112,20.00,-133.63,351.06,-4.7081,2.1817,-2.8459,5.9182
