participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
2,1,0,1,2,00.000,0,0.4500,1.7300,-9.2300,9.4015,0.1778,0.1385,-0.1124,-2.81,169.00,78.31,0.7326,1.7222,-9.4260,9.6100
2,1,0,1,2,00.102,102,0.7300,1.6900,-9.3600,9.5393,0.1069,0.1505,-0.0524,-1.69,168.06,78.75,0.7323,1.7180,-9.4173,9.6007
2,1,0,1,2,00.204,204,0.5900,1.7800,-9.5400,9.7226,-0.0175,-0.0698,-0.0633,-1.69,168.00,79.00,0.7135,1.7261,-9.4334,9.6166
2,1,0,1,2,00.309,309,0.2100,1.9000,-9.4500,9.6414,-0.0949,-0.1342,-0.0611,-2.38,168.44,79.44,0.6472,1.7490,-9.4356,9.6182
2,1,0,1,2,00.464,464,0.3100,1.8800,-9.3000,9.4932,-0.0142,0.0524,0.0076,-2.25,169.00,79.56,0.6028,1.7663,-9.4177,9.6009
2,1,0,1,2,00.566,566,0.6300,1.7600,-9.5900,9.7705,0.0000,-0.0109,0.1222,-2.13,169.00,79.31,0.6063,1.7655,-9.4404,9.6232
2,1,0,1,2,00.668,668,0.6500,1.8900,-9.5700,9.7765,-0.0120,-0.0807,0.0644,-2.44,169.13,79.19,0.6121,1.7819,-9.4575,9.6434
2,1,0,1,2,00.770,770,0.6600,1.7800,-9.4400,9.6290,0.0393,-0.0567,0.0142,-2.88,169.00,79.13,0.6184,1.7816,-9.4552,9.6415
2,1,0,1,2,00.872,872,0.5200,1.7700,-9.2500,9.4322,-0.0022,-0.0633,-0.0393,-3.19,168.88,79.31,0.6054,1.7801,-9.4282,9.6138
2,1,0,1,2,00.990,990,0.2200,2.1100,-11.1400,11.3402,-0.0491,0.1320,0.0218,-2.94,169.06,79.31,0.5547,1.8236,-9.6537,9.8401
2,1,0,1,2,01.094,1094,1.2000,2.9300,-11.4700,11.8990,0.4418,-0.1298,-0.0535,-2.63,168.06,79.38,0.6397,1.9694,-9.8931,10.1075
2,1,0,1,2,01.196,1196,1.8100,2.2400,-13.5700,13.8722,0.9032,-0.3796,-0.2607,-3.94,163.94,80.13,0.7939,2.0050,-10.3776,10.5993
2,1,0,1,2,01.302,1302,0.2500,2.5800,-11.8200,12.1009,1.0417,-0.2149,-0.1244,-5.50,158.75,81.69,0.7222,2.0808,-10.5677,10.7948
2,1,0,1,2,01.405,1405,-1.7400,2.7900,-5.4700,6.3822,1.7802,0.2018,-0.1494,-5.38,149.88,81.69,0.3978,2.1743,-9.8959,10.1398
2,1,0,1,2,01.514,1514,-0.2200,3.4900,-1.8500,3.9561,1.3101,0.5694,0.1276,-3.25,140.44,80.00,0.3164,2.3476,-8.8357,9.1477
2,1,0,1,2,01.617,1617,1.7600,6.3200,-4.5900,8.0068,-0.4418,0.4200,0.3283,-1.81,138.94,76.81,0.5066,2.8711,-8.2762,8.7747
2,2,0,1,2,01.719,1719,1.0500,8.0800,-7.8400,11.3073,-0.4854,-0.2716,0.1134,-2.31,142.31,75.75,0.5782,3.5575,-8.2187,8.9743
2,2,0,1,2,01.821,1821,0.1000,6.6300,-7.6400,10.1162,0.1614,-0.3120,-0.1756,-3.31,142.63,77.13,0.5152,3.9624,-8.1425,9.0700
2,2,0,1,2,01.923,1923,0.1100,5.4300,-7.4200,9.1953,0.0404,0.0840,0.0676,-3.19,141.75,78.31,0.4618,4.1558,-8.0473,9.0687
2,2,0,1,2,02.038,2038,0.8800,5.1700,-7.7700,9.3742,-0.3294,0.0785,-0.0065,-2.81,142.81,77.38,0.5169,4.2894,-8.0107,9.1015
2,2,0,1,2,02.143,2143,0.0800,5.2100,-8.1000,9.6312,-0.3916,-0.0251,-0.0796,-2.94,144.88,76.88,0.4593,4.4107,-8.0225,9.1666
2,2,0,1,2,02.247,2247,-0.3600,5.2600,-8.5500,10.0449,-0.4298,-0.0022,0.0000,-3.25,147.44,76.56,0.3514,4.5226,-8.0920,9.2768
2,2,0,1,2,02.349,2349,0.5200,4.6400,-8.5200,9.7155,-0.3872,0.0033,0.1145,-3.50,149.63,76.25,0.3736,4.5381,-8.1484,9.3344
2,2,0,1,2,02.507,2507,-0.0300,4.0600,-9.1600,10.0195,-0.5498,0.0033,-0.0207,-4.13,153.44,76.25,0.3204,4.4751,-8.2817,9.4189
2,2,0,1,2,02.609,2609,1.2200,3.9000,-9.1000,9.9754,-0.4734,0.1200,0.1560,-3.75,156.75,75.81,0.4389,4.3993,-8.3895,9.4832
2,2,0,1,2,02.711,2711,1.2600,3.6100,-9.5000,10.2406,-0.3992,0.0720,0.1134,-3.31,159.13,76.00,0.5471,4.2953,-8.5359,9.5713
2,2,0,1,2,02.818,2818,0.6000,3.1200,-9.4100,9.9319,-0.2629,-0.0142,-0.0665,-3.44,161.13,75.69,0.5541,4.1404,-8.6511,9.6068
2,2,0,1,2,02.920,2920,0.5400,2.5500,-9.2900,9.6487,-0.2923,0.0360,-0.0807,-3.31,162.50,75.81,0.5522,3.9309,-8.7353,9.5949
2,2,0,1,2,03.034,3034,0.5200,2.6300,-9.3800,9.7556,-0.3665,-0.0338,-0.0644,-3.31,164.69,76.31,0.5480,3.7594,-8.8202,9.6036
2,2,0,1,2,03.136,3136,0.5000,2.5600,-9.6600,10.0060,-0.2193,-0.0393,-0.0567,-3.50,166.38,76.88,0.5417,3.6014,-8.9309,9.6449
2,2,0,1,2,03.238,3238,0.4900,2.2500,-9.6100,9.8820,-0.0251,0.0262,-0.0131,-3.44,166.88,77.00,0.5349,3.4233,-9.0204,9.6629
2,2,0,1,2,03.340,3340,0.6300,2.0300,-9.6500,9.8813,-0.0425,0.0360,-0.0556,-3.06,167.06,77.13,0.5474,3.2397,-9.1033,9.6781
2,2,0,1,2,03.442,3442,0.7900,2.1300,-9.6700,9.9333,-0.0480,-0.0731,-0.0196,-3.25,167.38,77.06,0.5794,3.0935,-9.1780,9.7026
2,2,0,1,2,03.550,3550,0.4300,2.0400,-9.2100,9.4430,0.0349,-0.0851,-0.0382,-3.75,167.25,77.25,0.5597,2.9546,-9.1822,9.6621
2,2,0,1,2,03.652,3652,0.4400,2.0000,-9.6600,9.8747,-0.1756,0.1156,0.0033,-3.63,167.56,77.69,0.5439,2.8289,-9.2452,9.6836
2,2,0,1,2,03.754,3754,1.2100,2.5500,-9.7200,10.1215,0.0153,-0.0884,0.0000,-3.31,168.25,77.69,0.6317,2.7921,-9.3078,9.7380
2,2,0,1,2,03.861,3861,0.4900,1.8900,-9.3500,9.5517,0.1931,-0.1582,-0.0196,-4.25,167.19,77.88,0.6130,2.6732,-9.3133,9.7088
2,2,0,1,2,03.963,3963,0.5600,2.0000,-9.0000,9.2365,0.0251,0.0622,-0.0120,-4.13,166.81,77.94,0.6060,2.5845,-9.2720,9.6446
2,2,0,1,2,04.077,4077,0.7800,1.9400,-9.6200,9.8446,-0.0491,-0.0469,-0.0578,-3.88,166.81,78.06,0.6290,2.4996,-9.3179,9.6678
