participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
2,1,0,1,2,00.000,0,0.6800,0.3900,-8.9700,9.0042,-0.2793,0.2313,0.0185,-3.19,176.63,125.63,0.5901,1.7096,-8.9976,9.1776
2,1,0,1,2,00.133,133,0.8000,0.3100,-9.4300,9.4689,-0.4418,0.0338,0.0415,-2.38,179.38,125.19,0.6178,1.5252,-9.0546,9.2029
2,1,0,1,2,00.264,264,0.2000,0.1300,-10.0300,10.0328,-0.2443,0.0960,-0.0142,-2.06,-178.13,124.56,0.5627,1.3414,-9.1831,9.2976
2,1,0,1,2,00.394,394,0.3200,-0.1600,-9.6300,9.6366,0.0807,-0.0327,0.0840,-1.75,-178.00,123.94,0.5307,1.1435,-9.2420,9.3276
2,1,0,1,2,00.524,524,0.0500,-0.3200,-9.2500,9.2557,0.0567,-0.0600,0.0709,-2.31,-178.50,122.94,0.4674,0.9507,-9.2431,9.3036
2,1,0,1,2,00.654,654,0.0600,-0.4500,-9.3100,9.3211,-0.0305,0.0960,-0.0164,-1.94,-178.38,122.31,0.4137,0.7661,-9.2519,9.2928
2,1,0,1,2,00.827,827,0.1400,-0.3100,-9.8600,9.8659,-0.0818,0.0665,-0.1527,-0.94,-177.44,123.00,0.3776,0.6243,-9.3320,9.3605
2,1,0,1,2,00.957,957,0.2500,-0.2800,-9.8800,9.8871,0.0698,-0.1167,-0.0480,-1.31,-177.38,123.13,0.3608,0.5051,-9.4042,9.4247
2,1,0,1,2,01.087,1087,0.3600,-0.2300,-10.8700,10.8784,0.1734,-0.1080,0.0862,-2.25,-178.25,123.00,0.3607,0.4083,-9.5974,9.6128
2,1,0,1,2,01.217,1217,0.8900,0.6600,-10.7800,10.8368,0.4571,-0.0502,0.0698,-2.81,179.88,122.50,0.4305,0.4414,-9.7532,9.7727
2,1,0,1,2,01.347,1347,1.1500,0.0400,-11.0500,11.1098,0.4974,-0.0600,0.0109,-3.19,175.94,121.63,0.5253,0.3885,-9.9241,9.9456
2,1,0,1,2,01.477,1477,0.4300,2.3000,-8.9000,9.2024,0.0185,-0.5716,-0.0665,-4.94,175.44,121.38,0.5127,0.6404,-9.7892,9.8235
2,1,0,1,2,01.607,1607,-0.4300,1.9300,-2.5300,3.2110,2.0333,-0.5858,0.4298,-9.94,166.25,122.00,0.3885,0.8103,-8.8326,8.8782
2,1,0,1,2,01.737,1737,-0.1900,-0.5700,-7.0400,7.0656,0.3611,0.3982,0.2051,-12.38,154.69,119.56,0.3123,0.6285,-8.5964,8.6250
2,2,0,1,2,01.910,1910,1.9800,4.3300,-9.4600,10.5906,-0.9610,0.3927,-0.1167,-5.56,167.06,118.88,0.5320,1.1162,-8.7102,8.7975
2,2,0,1,2,02.040,2040,0.7900,1.3400,-11.1900,11.2976,0.2171,-0.2465,0.0207,-6.00,167.94,119.69,0.5660,1.1457,-9.0370,9.1269
2,2,0,1,2,02.171,2171,0.8500,1.5500,-8.6600,8.8386,0.0175,0.0993,-0.1407,-6.63,167.13,120.13,0.6034,1.1990,-8.9873,9.0870
2,2,0,1,2,02.302,2302,1.0500,1.9600,-9.2800,9.5427,-0.4145,0.1614,0.0055,-4.94,169.00,120.88,0.6623,1.2993,-9.0259,9.1429
2,2,0,1,2,02.432,2432,0.9200,1.5200,-9.7100,9.8712,-0.2749,0.0502,-0.0055,-4.19,171.31,122.00,0.6962,1.3284,-9.1160,9.2386
2,2,0,1,2,02.563,2563,0.5600,0.8100,-9.9400,9.9887,-0.1625,0.1200,-0.0840,-3.69,172.63,122.63,0.6783,1.2600,-9.2246,9.3349
2,2,0,1,2,02.693,2693,0.6800,0.6600,-9.8200,9.8656,-0.3469,0.0687,-0.0513,-2.88,174.75,123.19,0.6785,1.1810,-9.3030,9.4022
2,2,0,1,2,02.829,2829,0.2900,0.9700,-10.3400,10.3894,-0.3447,-0.0142,-0.1822,-2.81,177.50,123.69,0.6273,1.1532,-9.4397,9.5305
2,2,0,1,2,03.002,3002,0.4500,0.3500,-9.7500,9.7667,0.0993,-0.0011,-0.0295,-2.81,177.94,124.25,0.6040,1.0473,-9.4806,9.5574
2,2,0,1,2,03.132,3132,0.7900,0.4600,-9.9600,10.0019,0.0567,-0.1047,-0.0207,-3.19,177.44,124.25,0.6285,0.9699,-9.5438,9.6135
2,2,0,1,2,03.262,3262,0.6600,0.8700,-10.2000,10.2583,0.0873,-0.1145,0.0425,-4.00,176.81,124.25,0.6326,0.9568,-9.6302,9.6983
2,2,0,1,2,03.392,3392,0.5900,0.9900,-9.9900,10.0563,0.3840,-0.0415,0.0011,-4.63,174.88,124.00,0.6270,0.9612,-9.6776,9.7454
2,2,0,1,2,03.522,3522,1.2000,1.2100,-11.0300,11.1609,0.0960,-0.0142,0.0109,-4.88,172.94,123.44,0.7025,0.9939,-9.8558,9.9307
2,2,0,1,2,03.652,3652,0.8200,1.0100,-11.5100,11.5833,0.1429,-0.1636,0.0578,-5.88,171.81,123.13,0.7180,0.9961,-10.0738,10.1484
2,2,0,1,2,03.783,3783,0.7900,1.5600,-9.7500,9.9056,0.6905,0.0698,-0.0862,-6.19,169.63,123.00,0.7275,1.0704,-10.0312,10.1143
2,2,0,1,2,03.913,3913,1.0300,2.0900,-4.6400,5.1922,1.4104,-0.6981,0.4123,-9.13,161.94,120.38,0.7673,1.2047,-9.3207,9.4295
2,2,0,1,2,04.086,4086,1.3800,1.9900,-6.4600,6.8990,-0.4232,-0.1200,-0.2694,-12.75,155.00,121.44,0.8481,1.3082,-8.9438,9.0786
2,3,0,1,2,04.217,4217,1.3200,4.4000,-9.6000,10.6425,-0.9141,0.5400,-0.0120,-10.50,162.50,123.25,0.9103,1.7156,-9.0302,9.2367
2,3,0,1,2,04.347,4347,1.7700,3.3600,-8.5500,9.3555,0.0578,0.0894,0.1494,-7.69,164.25,122.25,1.0236,1.9323,-8.9670,9.2297
2,3,0,1,2,04.481,4481,0.8000,1.8800,-10.2400,10.4418,-0.2825,-0.0742,-0.0589,-7.94,164.44,122.69,0.9941,1.9254,-9.1347,9.3882
2,3,0,1,2,04.612,4612,0.9600,2.0800,-9.9400,10.2006,-0.5651,0.0633,-0.0087,-8.00,168.31,123.38,0.9896,1.9458,-9.2408,9.4952
2,3,0,1,2,04.745,4745,1.5900,1.8700,-9.2400,9.5605,-0.0284,0.2978,0.0949,-6.00,169.88,123.25,1.0687,1.9358,-9.2407,9.5016
2,3,0,1,2,04.875,4875,0.7200,0.9700,-9.9400,10.0131,-0.3927,-0.0065,0.0425,-5.38,171.25,122.75,1.0228,1.8085,-9.3329,9.5613
2,3,0,1,2,05.006,5006,0.7800,1.0600,-10.1300,10.2151,-0.2858,0.1778,-0.0175,-4.63,173.75,122.81,0.9908,1.7099,-9.4379,9.6426
2,3,0,1,2,05.178,5178,0.6700,0.6300,-9.9700,10.0123,-0.0153,-0.0153,-0.0927,-4.13,174.88,123.31,0.9485,1.5676,-9.5080,9.6830
2,3,0,1,2,05.308,5308,0.7400,0.9300,-9.8400,9.9115,-0.0687,-0.1058,-0.0720,-4.63,175.56,123.75,0.9210,1.4836,-9.5518,9.7101
