participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
15,1,0,1,0,00.000,0,0.5800,0.3200,-12.3400,12.3578,-0.5574,-0.2422,-0.0622,-6.81,-171.25,297.13,0.6568,-0.6110,-10.1026,10.1423
15,1,0,1,0,00.122,122,0.0000,0.4700,-11.2700,11.2798,1.0603,0.3480,-0.1669,-6.69,-172.94,297.00,0.5702,-0.4686,-10.2564,10.2829
15,1,0,1,0,00.247,247,1.3100,-1.1200,-10.3900,10.5320,0.7865,0.4887,0.0175,-3.38,179.69,297.19,0.6677,-0.5544,-10.2740,10.3106
15,1,0,1,0,00.368,368,0.8100,1.1300,-9.2900,9.3935,0.8007,0.1309,-0.0556,-1.63,174.94,297.00,0.6865,-0.3325,-10.1443,10.1730
15,1,0,1,0,00.489,489,-0.4500,0.8200,-9.0300,9.0783,0.4625,0.6501,-0.2487,0.94,170.19,297.94,0.5367,-0.1806,-9.9975,10.0135
15,1,0,1,0,00.610,610,-0.3800,2.1500,-8.5900,8.8631,0.3054,0.5901,-0.1222,5.44,168.13,298.25,0.4159,0.1265,-9.8120,9.8217
15,1,0,1,0,00.731,731,-0.4300,2.4100,-8.4900,8.8359,0.3916,-0.1014,-0.0927,7.06,165.50,298.31,0.3044,0.4274,-9.6378,9.6521
15,1,0,1,0,00.852,852,-1.3500,1.8200,-8.2400,8.5459,0.1353,-0.0175,-0.3589,7.13,163.81,301.19,0.0864,0.6109,-9.4536,9.4737
15,1,0,1,0,01.016,1016,-1.1700,2.3800,-7.0400,7.5230,0.0960,0.0753,-0.2313,7.44,164.13,302.50,-0.0791,0.8440,-9.1356,9.1748
15,1,0,1,0,01.140,1140,-0.0200,1.7100,-9.4000,9.5543,-0.3142,-0.2520,0.0622,7.06,164.38,302.31,-0.0713,0.9582,-9.1704,9.2206
15,1,0,1,0,01.261,1261,-1.0300,2.6700,-9.7500,10.1613,-0.1669,-0.8519,-0.2793,2.63,167.38,304.25,-0.1977,1.1837,-9.2468,9.3243
15,1,0,1,0,01.382,1382,-1.6800,1.2200,-9.6200,9.8415,-0.3240,-0.0687,-0.0578,-0.13,168.31,305.69,-0.3930,1.1885,-9.2960,9.3799
15,1,0,1,0,01.503,1503,-0.1900,1.7100,-9.9000,10.0484,-0.5661,0.2389,0.0665,1.13,172.00,305.50,-0.3663,1.2572,-9.3756,9.4666
15,1,0,1,0,01.624,1624,-0.1000,1.1400,-10.2100,10.2739,-0.3371,-0.1025,-0.0098,1.38,174.69,305.19,-0.3312,1.2418,-9.4855,9.5722
15,1,0,1,0,01.746,1746,0.1500,0.9200,-10.0800,10.1230,-0.2258,-0.1865,0.0316,0.06,176.31,305.06,-0.2678,1.1994,-9.5639,9.6425
15,1,0,1,0,01.868,1868,0.1200,0.3900,-9.9900,9.9983,-0.2345,-0.1124,-0.0665,-1.00,177.63,305.25,-0.2167,1.0927,-9.6200,9.6843
15,1,0,1,0,02.032,2032,0.2000,0.3000,-10.0200,10.0265,-0.1342,-0.2574,0.0785,-2.75,179.63,305.13,-0.1618,0.9883,-9.6727,9.7244
15,1,0,1,0,02.169,2169,0.1000,-0.1400,-9.8500,9.8515,-0.1102,-0.0949,-0.0055,-3.50,-179.63,304.94,-0.1273,0.8396,-9.6961,9.7332
15,1,0,1,0,02.293,2293,0.6100,-0.3700,-9.5900,9.6165,-0.0305,-0.0960,0.0829,-3.81,-179.19,304.63,-0.0301,0.6802,-9.6821,9.7060
15,1,0,1,0,02.414,2414,0.4500,-0.7200,-9.5900,9.6275,-0.2651,-0.0327,0.1102,-4.19,-177.94,304.13,0.0332,0.4957,-9.6700,9.6827
15,1,0,1,0,02.535,2535,1.1000,0.2000,-10.1400,10.2015,0.0338,0.2498,0.0644,-3.19,-176.81,303.75,0.1737,0.4567,-9.7319,9.7442
15,1,0,1,0,02.656,2656,0.7300,0.7900,-14.0900,14.1310,0.1745,-0.0676,0.1298,-2.25,-178.06,303.31,0.2470,0.5006,-10.3062,10.3213
15,1,0,1,0,02.778,2778,-0.8900,2.5000,-12.7400,13.0134,1.0210,0.3251,0.0578,-2.31,179.19,302.75,0.0972,0.7641,-10.6269,10.6548
15,2,0,1,0,02.904,2904,-0.1600,0.9600,-10.6000,10.6446,1.4617,1.0188,0.0513,2.69,169.44,302.25,0.0633,0.7899,-10.6234,10.6529
15,2,0,1,0,03.067,3067,-1.4100,3.7900,-9.2900,10.1319,1.0516,1.1530,0.0971,12.69,158.31,300.69,-0.1308,1.1853,-10.4477,10.5155
15,2,0,1,0,03.188,3188,-2.5600,4.8900,-8.2800,9.9511,1.6482,1.0287,0.1560,18.44,148.13,299.25,-0.4509,1.6734,-10.1620,10.3087
15,2,0,1,0,03.314,3314,-2.8800,4.3600,-6.1100,8.0397,1.6842,1.0472,0.0491,23.81,134.31,55.69,-0.7710,2.0275,-9.6281,9.8694
15,2,0,1,0,03.436,3436,-2.8500,5.5500,-4.5000,7.6925,0.8388,0.4603,-0.2051,27.13,123.44,55.81,-1.0450,2.4916,-8.9523,9.3512
15,2,0,1,0,03.557,3557,-3.4000,6.4000,-3.1100,7.8862,0.5454,-0.0153,0.1298,27.94,118.81,57.63,-1.3553,3.0067,-8.1824,8.8221
15,2,0,1,0,03.678,3678,-3.6400,5.4600,-2.6700,7.0845,-0.2334,-0.2945,-0.1484,28.00,118.06,59.56,-1.6564,3.3300,-7.4560,8.3322
15,2,0,1,0,03.799,3799,-4.5900,6.7400,-4.4200,9.2753,-1.0952,-0.3992,-0.2356,27.19,124.44,58.25,-2.0430,3.7793,-7.0560,8.2610
15,2,0,1,0,03.921,3921,-3.4300,6.4500,-5.7400,9.2906,-0.7025,-0.3643,0.0687,25.06,131.06,56.88,-2.2257,4.1312,-6.8826,8.3301
15,2,0,1,0,04.085,4085,-3.1000,5.5700,-7.6200,9.9348,-1.0363,-0.8410,0.0698,21.38,140.44,300.69,-2.3409,4.3208,-6.9797,8.5362
15,2,0,1,0,04.208,4208,-2.9800,4.6100,-8.0600,9.7517,-0.8018,-0.5869,0.1800,16.50,147.88,300.31,-2.4251,4.3589,-7.1221,8.6952
15,2,0,1,0,04.329,4329,-1.9000,3.6500,-9.2300,10.1057,-1.0854,-0.5269,0.1254,12.94,154.38,299.31,-2.3559,4.2655,-7.3999,8.8602
15,2,0,1,0,04.450,4450,-2.0100,3.7700,-10.0600,10.9296,-0.8138,-0.4036,0.0251,9.63,161.25,298.88,-2.3104,4.2002,-7.7504,9.1131
15,2,0,1,0,04.571,4571,-1.1300,2.8700,-10.1000,10.5605,-0.4658,-0.1865,0.1451,7.81,165.00,298.13,-2.1548,4.0249,-8.0600,9.2632
15,2,0,1,0,04.692,4692,-0.6800,2.3000,-9.8900,10.1767,-0.2487,-0.1276,0.0698,6.69,167.31,297.38,-1.9605,3.7976,-8.3012,9.3367
15,2,0,1,0,04.813,4813,-0.5700,1.3800,-9.6800,9.7945,-0.3632,-0.1734,0.0535,5.50,168.88,297.06,-1.7772,3.4790,-8.4829,9.3392
15,2,0,1,0,04.935,4935,-0.4700,1.2900,-9.8300,9.9254,-0.5683,-0.1407,-0.0753,4.44,172.69,297.31,-1.6050,3.1906,-8.6604,9.3679
15,2,0,1,0,05.100,5100,-0.3700,0.6800,-9.9300,9.9601,-0.3491,-0.1800,-0.0894,2.81,176.69,297.50,-1.4422,2.8598,-8.8277,9.3908
