participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
38,1,0,1,0,00.000,0,-0.3000,0.7600,-10.5200,10.5517,0.2825,0.1058,-0.0044,1.31,175.88,128.88,-0.3304,0.9657,-9.8476,9.9004
38,1,0,1,0,00.106,106,-0.4200,0.6300,-9.4900,9.5202,0.2880,0.2422,-0.1331,2.38,174.13,129.25,-0.3422,0.9215,-9.8005,9.8497
38,1,0,1,0,00.208,208,-0.1100,0.7100,-8.9200,8.9489,0.2793,0.1560,-0.0382,3.69,172.50,129.63,-0.3116,0.8936,-9.6845,9.7306
38,1,0,1,0,00.310,310,-0.0800,0.7500,-10.1200,10.1481,-0.1124,-0.2280,0.0796,3.31,172.25,129.69,-0.2811,0.8747,-9.7419,9.7851
38,1,0,1,0,00.427,427,-0.9400,1.7300,-11.2800,11.4505,-0.2902,-0.1036,-0.0098,1.94,174.31,129.75,-0.3679,0.9874,-9.9446,10.0002
38,1,0,1,0,00.530,530,-0.9500,1.6700,-10.7800,10.9499,0.3698,0.3534,-0.0393,3.13,173.44,130.06,-0.4446,1.0774,-10.0546,10.1220
38,1,0,1,0,00.632,632,0.1200,0.6600,-9.7900,9.8130,0.4821,0.3480,-0.0502,5.31,170.63,129.81,-0.3702,1.0224,-10.0198,10.0786
38,1,0,1,0,00.734,734,-0.4300,1.3400,-9.3900,9.4949,0.1767,0.0153,-0.2531,6.25,169.25,130.44,-0.3781,1.0642,-9.9368,10.0008
38,1,0,1,0,00.836,836,-0.9700,1.9200,-9.1100,9.3605,0.3829,0.0120,-0.0982,6.25,168.00,131.75,-0.4561,1.1770,-9.8278,9.9086
38,1,0,1,0,00.941,941,-1.0800,1.2800,-8.8100,8.9678,0.2793,0.1538,-0.1691,6.88,165.75,133.38,-0.5383,1.1906,-9.6937,9.7814
38,1,0,1,0,01.044,1044,-1.3200,1.4300,-8.9500,9.1591,0.0884,0.2640,0.0251,8.56,165.13,135.31,-0.6413,1.2221,-9.5957,9.6945
38,1,0,1,0,01.146,1146,-1.2400,2.2200,-8.7100,9.0736,0.0436,0.0927,0.0436,9.50,165.00,135.50,-0.7202,1.3536,-9.4790,9.6022
38,1,0,1,0,01.248,1248,-1.8100,2.0600,-9.0300,9.4372,-0.2367,0.0589,0.0251,9.63,165.38,135.50,-0.8638,1.4467,-9.4198,9.5693
38,1,0,1,0,01.351,1351,-1.0200,2.7100,-9.1200,9.5686,0.0207,0.2323,0.2138,10.56,165.94,135.19,-0.8844,1.6132,-9.3803,9.5590
38,1,0,1,0,01.469,1469,-1.5100,2.6000,-8.6700,9.1765,0.2094,-0.0938,-0.2334,10.69,164.81,135.75,-0.9668,1.7432,-9.2867,9.4982
38,1,0,1,0,01.572,1572,-1.8700,2.1500,-8.8100,9.2593,0.0949,-0.0196,-0.0469,10.63,164.00,136.69,-1.0858,1.7968,-9.2239,9.4598
38,1,0,1,0,01.679,1679,-1.9000,2.4300,-8.7100,9.2401,0.0305,0.0393,0.0142,10.94,164.00,137.63,-1.1931,1.8802,-9.1562,9.4231
38,1,0,1,0,01.781,1781,-1.7600,2.0900,-8.5700,8.9950,0.0524,-0.0611,-0.0175,11.13,163.75,138.56,-1.2678,1.9079,-9.0789,9.3635
38,1,0,1,0,01.935,1935,-2.2000,2.0600,-8.8800,9.3775,-0.2138,0.0251,0.0360,10.69,164.44,138.88,-1.3907,1.9279,-9.0527,9.3596
38,1,0,1,0,02.037,2037,-1.6600,2.3600,-9.0500,9.4988,-0.1080,-0.0873,0.1233,10.63,165.44,138.63,-1.4262,1.9849,-9.0524,9.3765
38,1,0,1,0,02.140,2140,-1.6200,1.4600,-8.9800,9.2410,-0.0840,-0.2083,0.0862,9.75,165.75,138.63,-1.4517,1.9157,-9.0428,9.3568
38,2,0,1,0,02.242,2242,-1.3300,1.6000,-9.5000,9.7252,-0.2694,-0.2247,0.0240,8.56,167.00,138.94,-1.4357,1.8741,-9.1031,9.4042
38,2,0,1,0,02.344,2344,-1.3500,1.9600,-9.0500,9.3577,-0.1822,-0.1516,0.0218,7.44,168.31,139.44,-1.4244,1.8854,-9.0961,9.3980
38,2,0,1,0,02.462,2462,-0.4500,1.9700,-9.6900,9.8985,-0.0360,-0.1702,0.0131,6.50,168.75,139.63,-1.2960,1.8966,-9.1743,9.4575
38,2,0,1,0,02.564,2564,-0.9100,1.4900,-9.6500,9.8067,-0.0404,-0.1985,-0.0458,5.31,169.06,140.31,-1.2451,1.8430,-9.2370,9.5010
38,2,0,1,0,02.669,2669,-1.0000,1.0900,-9.7300,9.8418,-0.0807,-0.0513,0.0142,4.56,169.63,140.19,-1.2128,1.7438,-9.3020,9.5414
38,2,0,1,0,02.773,2773,-0.8000,1.0800,-9.7600,9.8521,-0.1680,0.2007,0.0185,5.38,170.50,139.94,-1.1584,1.6563,-9.3623,9.5780
38,2,0,1,0,02.875,2875,-0.5300,0.9900,-9.6200,9.6853,-0.1440,-0.0720,0.1069,5.88,171.50,139.25,-1.0756,1.5685,-9.3963,9.5868
38,2,0,1,0,02.983,2983,-0.5800,0.7600,-9.4500,9.4982,0.0600,-0.3054,0.0044,4.56,171.75,139.00,-1.0103,1.4620,-9.4034,9.5698
38,2,0,1,0,03.086,3086,-0.8600,0.5400,-9.5700,9.6237,-0.1178,-0.1822,-0.0044,3.00,171.81,139.31,-0.9905,1.3405,-9.4253,9.5716
38,2,0,1,0,03.189,3189,-0.8300,0.8100,-9.6000,9.6698,-0.2007,-0.0829,0.0207,2.25,172.69,139.31,-0.9693,1.2706,-9.4483,9.5825
38,2,0,1,0,03.291,3291,-0.3900,0.7500,-10.1300,10.1652,-0.2858,0.1004,0.0742,2.38,173.81,139.06,-0.8930,1.2020,-9.5382,9.6550
38,2,0,1,0,03.393,3393,-0.1400,1.0700,-10.1100,10.1674,-0.1822,0.0382,0.0862,2.69,174.94,138.69,-0.7938,1.1846,-9.6135,9.7187
38,2,0,1,0,03.508,3508,-0.0800,0.7800,-9.6100,9.6419,0.1353,-0.0742,0.0513,2.44,174.56,138.13,-0.6997,1.1313,-9.6131,9.7047
38,2,0,1,0,03.614,3614,-0.1000,0.4700,-9.6600,9.6719,-0.0796,-0.1516,0.0807,1.56,174.25,137.63,-0.6207,1.0441,-9.6192,9.6956
38,2,0,1,0,03.717,3717,-0.2900,0.9300,-9.4500,9.5001,-0.1963,-0.0022,0.0862,1.19,175.38,137.25,-0.5771,1.0291,-9.5969,9.6692
38,2,0,1,0,03.822,3822,0.2600,0.7700,-9.7300,9.7639,-0.1058,0.0055,0.0644,1.44,176.31,136.50,-0.4668,0.9949,-9.6145,9.6771
38,2,0,1,0,03.977,3977,-0.0300,0.4500,-9.6900,9.7005,0.0873,-0.2116,0.0251,-0.06,176.44,135.06,-0.4092,0.9231,-9.6244,9.6773
38,2,0,1,0,04.079,4079,-0.0500,0.1600,-9.7900,9.7914,-0.0567,-0.0524,-0.0273,-0.69,176.13,134.63,-0.3619,0.8226,-9.6462,9.6880
38,2,0,1,0,04.186,4186,-0.1000,0.1800,-9.6700,9.6722,-0.2138,0.0425,-0.0502,-0.63,177.06,134.44,-0.3274,0.7379,-9.6494,9.6831
38,2,0,1,0,04.288,4288,0.2400,0.4300,-9.7300,9.7425,-0.1516,0.0360,0.0622,-0.25,178.13,133.81,-0.2526,0.6973,-9.6600,9.6884
38,2,0,1,0,04.390,4390,0.1400,0.0900,-9.7400,9.7414,-0.0044,-0.1331,0.0949,-0.81,178.25,133.19,-0.2009,0.6173,-9.6705,9.6923
38,2,0,1,0,04.504,4504,0.1300,-0.1000,-9.6200,9.6214,-0.0218,-0.0709,0.0338,-1.56,178.13,131.94,-0.1573,0.5228,-9.6639,9.6793
38,2,0,1,0,04.606,4606,0.4400,-0.1500,-9.8100,9.8210,-0.1931,-0.0436,0.0415,-1.88,179.00,131.38,-0.0786,0.4341,-9.6831,9.6932
38,2,0,1,0,04.709,4709,0.5700,0.1800,-9.7900,9.8082,-0.1440,-0.0949,0.0065,-2.25,-179.75,131.19,0.0069,0.4006,-9.6972,9.7055
38,2,0,1,0,04.812,4812,0.4200,0.0200,-9.5900,9.5992,0.0436,-0.0556,0.0076,-2.69,-179.56,130.75,0.0613,0.3505,-9.6831,9.6896
38,2,0,1,0,04.917,4917,0.5100,-0.5400,-9.4900,9.5190,0.0556,-0.0055,0.0055,-2.88,179.88,130.19,0.1204,0.2331,-9.6576,9.6612
38,2,0,1,0,05.022,5022,0.7100,-0.3600,-9.8200,9.8522,-0.1811,-0.0938,0.0153,-3.25,-179.00,129.94,0.1981,0.1550,-9.6790,9.6823
38,2,0,1,0,05.128,5128,0.7400,-0.1200,-9.8400,9.8685,-0.0502,-0.0742,0.0513,-3.81,-178.25,129.44,0.2695,0.1187,-9.7003,9.7047
38,2,0,1,0,05.230,5230,0.5400,-0.4200,-9.7300,9.7540,-0.0131,-0.0262,0.0175,-4.06,-178.31,128.88,0.3052,0.0477,-9.7042,9.7091
38,2,0,1,0,05.336,5336,0.5900,-0.4300,-9.5400,9.5679,-0.0382,0.0469,-0.0022,-3.94,-178.19,128.25,0.3427,-0.0152,-9.6825,9.6886
38,2,0,1,0,05.439,5439,0.8200,-0.3500,-9.8400,9.8803,-0.0742,-0.0382,-0.0065,-4.06,-177.75,128.19,0.4056,-0.0593,-9.7033,9.7119
38,2,0,1,0,05.554,5554,0.7800,-0.4400,-10.6400,10.6776,-0.0600,-0.1134,-0.0022,-4.63,-177.44,127.75,0.4549,-0.1095,-9.8267,9.8379
38,2,0,1,0,05.656,5656,0.3300,-0.3000,-11.7500,11.7585,-0.1669,-0.0971,-0.0742,-5.44,-176.88,127.75,0.4385,-0.1346,-10.0802,10.0906
38,2,0,1,0,05.758,5758,0.0000,0.2400,-11.5300,11.5325,0.0295,0.4047,-0.1091,-4.63,-176.38,128.19,0.3807,-0.0852,-10.2712,10.2786
38,2,0,1,0,05.860,5860,0.3300,-0.4500,-10.2900,10.3051,0.5203,0.6600,-0.0327,-1.00,-178.56,129.13,0.3740,-0.1333,-10.2737,10.2814
38,2,0,1,0,05.962,5962,0.5600,-0.2600,-9.7600,9.7795,0.4811,0.5476,0.0840,2.31,178.50,129.38,0.3985,-0.1500,-10.2060,10.2149
38,2,0,1,0,06.070,6070,0.2900,0.2000,-9.3500,9.3566,0.4538,0.1800,-0.1385,4.31,175.69,130.88,0.3842,-0.1039,-10.0932,10.1010
38,2,0,1,0,06.172,6172,-0.0900,0.3200,-8.6300,8.6364,0.6610,0.0862,-0.0949,4.56,172.38,131.69,0.3217,-0.0480,-9.9004,9.9057
38,2,0,1,0,06.274,6274,-0.8300,0.5400,-8.4400,8.4979,0.2836,0.3229,-0.2574,6.06,169.75,133.63,0.1700,0.0295,-9.7079,9.7095
