participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
1,1,0,1,1,00.000,0,0.3000,1.2200,-9.3600,9.4439,-0.0982,0.1996,0.1713,-0.75,173.19,158.44,-0.1065,1.7420,-7.8652,8.0565
1,1,0,1,1,00.158,158,0.2500,1.1200,-9.8600,9.9266,-0.0862,0.0349,0.1876,-0.31,173.81,156.75,-0.0596,1.6600,-8.1281,8.2961
1,1,0,1,1,00.260,260,0.2600,1.5800,-9.7500,9.8806,-0.0480,-0.0262,0.1582,-0.50,174.38,155.94,-0.0174,1.6495,-8.3418,8.5034
1,1,0,1,1,00.362,362,0.2600,0.9700,-9.8700,9.9210,0.0098,0.0305,-0.0142,-0.56,174.06,155.75,0.0191,1.5599,-8.5432,8.6845
1,1,0,1,1,00.469,469,0.3500,1.6000,-9.6900,9.8274,-0.0535,-0.0185,-0.0469,-0.44,174.56,156.00,0.0627,1.5652,-8.6943,8.8343
1,1,0,1,1,00.572,572,0.2800,1.0300,-9.6400,9.6989,0.0753,-0.1069,0.0109,-1.00,174.00,156.06,0.0914,1.4947,-8.8189,8.9452
1,1,0,1,1,00.686,686,0.1300,1.3100,-9.5500,9.6403,0.0044,-0.0491,-0.0065,-1.44,173.69,156.13,0.0964,1.4704,-8.9153,9.0362
1,1,0,1,1,00.788,788,0.3600,1.5900,-9.8000,9.9347,0.0425,0.0415,0.0273,-1.50,173.50,156.06,0.1312,1.4861,-9.0319,9.1542
1,1,0,1,1,00.890,890,0.5900,1.2600,-9.7100,9.8092,0.1429,0.0022,0.0305,-1.44,172.50,156.00,0.1916,1.4563,-9.1212,9.2387
1,1,0,1,1,00.993,993,0.0600,1.7400,-10.8100,10.9493,-0.1069,-0.0327,-0.1680,-1.69,172.50,156.25,0.1743,1.4937,-9.3438,9.4640
1,1,0,1,1,01.099,1099,0.6000,2.0400,-9.1800,9.4231,0.3938,0.3218,0.0175,-0.44,172.19,156.94,0.2304,1.5657,-9.3222,9.4556
1,1,0,1,1,01.204,1204,0.4500,1.0700,-9.3800,9.4516,0.3196,-0.0480,0.0774,0.50,169.25,157.50,0.2593,1.5004,-9.3298,9.4532
1,1,0,1,1,01.308,1308,-0.3300,1.8300,-9.4700,9.6508,0.0633,-0.0600,-0.0709,-0.06,168.75,157.50,0.1817,1.5438,-9.3483,9.4766
1,1,0,1,1,01.412,1412,0.7500,2.1700,-9.9500,10.2115,0.2029,0.1669,0.0305,0.31,168.06,157.69,0.2566,1.6263,-9.4276,9.5703
1,1,0,1,1,01.514,1514,0.0100,1.8000,-9.1800,9.3548,0.3218,0.0742,-0.0676,0.88,166.44,157.69,0.2241,1.6492,-9.3949,9.5412
1,1,0,1,1,01.622,1622,-0.3700,2.4200,-8.9900,9.3174,0.0698,-0.1724,0.1353,0.63,165.06,157.69,0.1458,1.7508,-9.3416,9.5053
1,1,0,1,1,01.737,1737,-0.0400,2.7900,-9.3700,9.7766,0.0949,0.1276,0.0076,0.44,164.38,157.69,0.1213,1.8877,-9.3453,9.5348
1,1,0,1,1,01.839,1839,0.8100,2.9000,-9.9700,10.4147,0.0556,-0.1036,0.0044,0.88,164.25,158.00,0.2121,2.0211,-9.4276,9.6442
