participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
2,1,0,1,1,00.000,0,0.6600,0.3600,-9.3800,9.4101,0.0251,-0.1091,-0.0284,-4.13,178.69,150.13,0.6940,0.1188,-9.4650,9.4912
2,1,0,1,1,00.130,130,0.5400,0.0900,-9.5600,9.5757,-0.0295,0.0393,-0.0218,-4.31,178.31,150.19,0.6737,0.1150,-9.4775,9.5021
2,1,0,1,1,00.260,260,0.8100,0.3700,-9.4300,9.4720,-0.0480,0.0589,0.0262,-3.75,178.81,150.25,0.6917,0.1486,-9.4713,9.4976
2,1,0,1,1,00.391,391,0.7100,0.0200,-9.4200,9.4467,0.0207,-0.0185,-0.0131,-3.81,178.88,150.19,0.6941,0.1317,-9.4645,9.4908
2,1,0,1,1,00.564,564,0.6000,0.2200,-9.5600,9.5813,-0.0480,0.0284,0.0207,-3.94,179.38,150.31,0.6817,0.1433,-9.4771,9.5027
2,1,0,1,1,00.694,694,0.7400,0.0200,-9.8200,9.8479,-0.0404,-0.0273,-0.0120,-3.81,179.56,150.19,0.6894,0.1271,-9.5223,9.5480
2,1,0,1,1,00.825,825,0.4500,0.1700,-9.5600,9.5721,0.0371,-0.0469,-0.0044,-4.00,179.63,150.31,0.6578,0.1327,-9.5272,9.5509
2,1,0,1,1,00.955,955,0.8400,-0.1600,-10.1400,10.1760,-0.1658,0.2509,0.0087,-2.88,-179.88,150.19,0.6818,0.0941,-9.6080,9.6326
2,1,0,1,1,01.085,1085,0.7400,0.2300,-10.0800,10.1097,0.0207,-0.2105,0.0589,-3.00,-179.00,149.75,0.6895,0.1120,-9.6702,9.6954
2,1,0,1,1,01.215,1215,1.5500,0.2100,-10.5700,10.6851,0.1014,-0.0273,0.0044,-3.06,179.50,149.88,0.8029,0.1250,-9.7888,9.8224
2,1,0,1,1,01.345,1345,0.6300,-0.5000,-9.4600,9.4941,0.4451,-0.2138,-0.0415,-4.31,177.38,149.88,0.7801,0.0426,-9.7454,9.7767
2,1,0,1,1,01.475,1475,0.6500,0.8700,-9.9700,10.0290,0.0207,0.1909,0.0142,-4.63,175.94,149.94,0.7630,0.1516,-9.7750,9.8059
2,1,0,1,1,01.663,1663,1.6400,-0.0700,-10.5700,10.6967,0.0971,0.1156,0.0316,-4.13,174.19,149.63,0.8785,0.1224,-9.8798,9.9195
2,1,0,1,1,01.795,1795,0.4000,1.4800,-9.1000,9.2282,0.6654,0.3720,-0.1058,-3.25,171.63,149.69,0.8155,0.3013,-9.7770,9.8156
2,1,0,1,1,01.925,1925,0.0000,1.6500,-8.4700,8.6292,-0.1953,-0.3698,0.0284,-3.38,171.00,149.38,0.7080,0.4790,-9.6048,9.6428
2,1,0,1,1,02.071,2071,-0.8300,2.0500,-9.3400,9.5983,0.1756,0.4243,0.0567,-0.88,170.81,150.00,0.5053,0.6861,-9.5699,9.6078
2,1,0,1,1,02.206,2206,1.2100,1.7300,-7.8800,8.1579,0.5018,-0.3207,-0.2967,-1.38,168.19,149.38,0.5982,0.8236,-9.3472,9.4025
2,1,0,1,1,02.337,2337,-1.2400,2.3000,-7.6500,8.0839,0.0207,-0.1145,0.2400,-2.75,166.75,149.94,0.3560,1.0182,-9.1236,9.1871
2,1,0,1,1,02.467,2467,0.2900,2.0100,-8.1800,8.4283,0.3742,-0.0818,-0.0109,-1.69,164.56,150.81,0.3473,1.1489,-8.9992,9.0789
2,1,0,1,1,02.598,2598,1.2300,2.5600,-9.4500,9.8676,-0.0840,-0.2203,-0.4178,-2.81,164.63,151.75,0.4636,1.3348,-9.0586,9.1682
2,1,0,1,1,02.770,2770,0.7800,2.0100,-8.1600,8.4400,-0.0600,0.0425,0.1800,-3.13,164.75,152.88,0.5053,1.4238,-8.9402,9.0670
2,1,0,1,1,02.900,2900,-0.0500,2.8400,-8.8800,9.3232,-0.0153,-0.0567,-0.0251,-4.00,165.88,153.31,0.4321,1.6104,-8.9323,9.0866
2,1,0,1,1,03.030,3030,0.3000,2.2400,-9.2600,9.5318,-0.0022,0.0709,0.0971,-3.94,165.81,153.19,0.4147,1.6934,-8.9755,9.1432
2,1,0,1,1,03.160,3160,2.2100,1.6600,-10.1300,10.5003,0.0011,0.2258,0.1756,-2.81,165.50,151.44,0.6513,1.6890,-9.1276,9.3054
2,1,0,1,1,03.290,3290,-0.2900,2.4500,-7.4800,7.8764,0.0229,-0.0273,0.0469,-3.25,166.38,151.50,0.5272,1.7893,-8.9105,9.1036
2,1,0,1,1,03.420,3420,0.5600,1.5800,-8.9100,9.0663,-0.3218,0.2334,0.1560,-2.00,167.00,150.94,0.5316,1.7617,-8.9104,9.0984
2,2,0,1,1,03.550,3550,1.1900,1.6400,-9.6700,9.8800,-0.6185,-0.3109,0.0665,-1.81,170.56,150.69,0.6183,1.7456,-9.0105,9.1989
2,2,0,1,1,03.700,3700,-0.5200,2.0700,-9.7400,9.9711,0.1713,0.0469,0.2553,-3.06,171.88,150.13,0.4683,1.7884,-9.1066,9.2924
2,2,0,1,1,03.873,3873,0.0200,1.5100,-9.1600,9.2836,-0.0535,0.2836,-0.0262,-1.13,171.25,149.56,0.4092,1.7517,-9.1137,9.2895
2,2,0,1,1,04.003,4003,1.1500,0.6900,-9.9800,10.0697,-0.3251,-0.2520,0.0382,-1.38,172.38,149.38,0.5069,1.6118,-9.2278,9.3812
2,2,0,1,1,04.133,4133,0.4700,1.0900,-10.1900,10.2589,-0.3043,0.1211,-0.1200,-1.88,174.94,150.13,0.5020,1.5430,-9.3546,9.4943
2,2,0,1,1,04.263,4263,0.1800,0.5200,-9.7600,9.7755,-0.2073,0.0229,-0.0076,-1.25,176.69,150.50,0.4596,1.4082,-9.4080,9.5239
2,2,0,1,1,04.393,4393,0.9900,1.0100,-9.5700,9.6739,-0.2225,-0.4603,0.2116,-4.44,179.44,150.38,0.5295,1.3558,-9.4294,9.5411
2,2,0,1,1,04.523,4523,-0.3000,-0.1800,-8.1600,8.1675,0.5149,0.5596,-0.0011,-3.88,177.19,150.13,0.4202,1.1534,-9.2621,9.3431
2,2,0,1,1,04.654,4654,2.2000,-0.2600,-11.1300,11.3483,-0.8388,-0.2978,0.0873,-1.88,178.69,149.75,0.6547,0.9671,-9.5083,9.5797
2,2,0,1,1,04.784,4784,-0.2300,1.2900,-9.7900,9.8773,0.1276,-0.2989,-0.0709,-5.56,-177.31,150.13,0.5381,1.0097,-9.5454,9.6137
2,2,0,1,1,04.957,4957,1.5700,-0.8300,-10.0800,10.2352,0.1789,0.1887,0.0415,-4.13,177.56,150.13,0.6741,0.7673,-9.6158,9.6699
2,2,0,1,1,05.088,5088,0.4700,0.8200,-9.0400,9.0893,-0.0840,-0.0753,-0.1287,-4.44,178.81,150.50,0.6472,0.7742,-9.5399,9.5932
2,2,0,1,1,05.219,5219,1.0800,0.1600,-10.3300,10.3875,0.3611,-0.0262,-0.0862,-4.31,176.94,151.06,0.7042,0.6933,-9.6441,9.6946
2,2,0,1,1,05.349,5349,0.3100,0.6200,-9.1200,9.1463,0.2127,0.1211,0.0284,-4.94,175.13,151.69,0.6523,0.6836,-9.5750,9.6215
2,2,0,1,1,05.480,5480,0.3600,0.9100,-9.1500,9.2022,-0.0993,-0.1385,0.0164,-4.94,175.13,151.19,0.6138,0.7134,-9.5190,9.5654
2,2,0,1,1,05.612,5612,0.4000,1.1300,-9.5700,9.6448,0.0665,0.2062,0.0589,-4.63,175.31,150.75,0.5856,0.7683,-9.5257,9.5746
2,2,0,1,1,05.746,5746,0.6500,0.8300,-10.0300,10.0853,0.1854,0.0567,0.0709,-3.44,173.81,150.25,0.5941,0.7765,-9.5922,9.6419
2,2,0,1,1,05.877,5877,0.6900,0.6500,-9.8100,9.8557,0.1953,-0.0218,0.0185,-3.63,172.56,149.94,0.6067,0.7598,-9.6209,9.6699
2,2,0,1,1,06.050,6050,0.7900,1.3400,-9.5400,9.6660,0.0229,0.1124,-0.2116,-2.50,171.56,150.56,0.6309,0.8363,-9.6102,9.6671
2,2,0,1,1,06.181,6181,-0.0700,1.5600,-9.7300,9.8545,0.0829,-0.1058,-0.0338,-2.44,171.19,151.50,0.5385,0.9316,-9.6260,9.6860
