participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
1,1,2,4,0,00.000,0,0.0100,-0.0800,9.8100,9.8103,0.0011,0.0000,0.0033,0.06,-0.31,36.50,-0.0166,-0.0608,9.7636,9.7638
1,1,2,4,0,00.130,130,-0.0300,-0.0500,9.8300,9.8302,-0.0011,0.0000,-0.0022,0.06,-0.31,36.50,-0.0184,-0.0594,9.7724,9.7726
1,1,2,4,0,00.260,260,0.0100,-0.1000,9.8000,9.8005,-0.0011,0.0055,-0.0022,0.06,-0.31,36.50,-0.0146,-0.0647,9.7760,9.7763
1,1,2,4,0,00.390,390,-0.0300,-0.0500,9.9900,9.9902,-0.0011,-0.0022,-0.0022,0.06,-0.31,36.50,-0.0167,-0.0628,9.8042,9.8044
1,1,2,4,0,00.520,520,-0.0200,-0.0300,10.3000,10.3001,0.0022,0.0055,0.0055,0.06,-0.31,36.50,-0.0171,-0.0585,9.8696,9.8697
1,1,2,4,0,00.693,693,0.0000,-0.0500,10.2400,10.2401,-0.0011,-0.0022,0.0055,0.06,-0.31,36.50,-0.0148,-0.0573,9.9184,9.9185
1,1,2,4,0,00.824,824,-0.0300,-0.0700,10.4300,10.4303,-0.0033,0.0022,0.0033,0.06,-0.31,36.50,-0.0168,-0.0590,9.9858,9.9860
1,1,2,4,0,00.955,955,0.0400,0.0000,10.8400,10.8401,0.0044,0.0044,0.0185,0.06,-0.31,36.56,-0.0094,-0.0512,10.0984,10.0985
1,1,2,4,0,01.085,1085,-0.0600,-0.2000,10.7100,10.7120,-0.0033,0.0033,-0.0055,0.06,-0.31,36.63,-0.0160,-0.0708,10.1790,10.1792
1,1,2,4,0,01.216,1216,-0.1300,0.0500,10.2000,10.2010,0.0033,0.0044,0.0240,0.06,-0.31,36.69,-0.0310,-0.0549,10.1817,10.1819
1,1,2,4,0,01.348,1348,-0.1700,-0.1600,10.8200,10.8225,-0.0011,-0.0087,0.0262,0.06,-0.31,36.94,-0.0494,-0.0688,10.2658,10.2662
1,1,2,4,0,01.482,1482,-0.1300,-0.1700,10.0700,10.0723,0.0022,0.0044,0.0164,0.06,-0.31,36.94,-0.0600,-0.0821,10.2400,10.2405
1,1,2,4,0,01.613,1613,0.1700,0.2200,9.3900,9.3941,0.0087,0.0000,0.0305,0.06,-0.31,37.19,-0.0297,-0.0423,10.1280,10.1281
1,1,2,4,0,01.786,1786,0.0500,-0.3400,8.2000,8.2072,0.0022,0.0164,0.0076,0.06,-0.19,37.19,-0.0192,-0.0815,9.8740,9.8743
1,1,2,4,0,01.917,1917,-0.1300,-0.4000,6.6400,6.6533,0.0055,0.0131,-0.0022,0.06,-0.25,37.50,-0.0338,-0.1235,9.4478,9.4487
1,1,2,4,0,02.051,2051,-0.2400,0.0700,7.8600,7.8640,-0.0044,-0.0033,0.0153,0.06,-0.19,37.38,-0.0610,-0.0980,9.2386,9.2393
1,1,2,4,0,02.185,2185,-0.0900,0.0600,8.7500,8.7507,0.0033,0.0011,-0.0011,0.06,-0.19,37.50,-0.0648,-0.0772,9.1742,9.1747
1,2,2,4,0,02.315,2315,-0.0200,-0.1500,9.4200,9.4212,-0.0022,0.0000,-0.0393,0.06,-0.19,37.38,-0.0589,-0.0868,9.2066,9.2072
1,2,2,4,0,02.446,2446,0.0900,-0.2300,10.2200,10.2230,0.0109,0.0120,0.0513,0.06,-0.25,37.38,-0.0393,-0.1056,9.3401,9.3408
1,2,2,4,0,02.576,2576,0.0600,-0.2700,10.3600,10.3637,-0.0175,0.0055,-0.0622,0.06,-0.19,37.19,-0.0262,-0.1273,9.4745,9.4754
1,2,2,4,0,02.707,2707,-0.0200,0.0500,9.8300,9.8301,0.0142,0.0120,0.0284,0.00,-0.31,37.38,-0.0254,-0.1039,9.5214,9.5220
1,2,2,4,0,02.879,2879,-0.1600,0.0800,9.9900,9.9916,-0.0044,0.0109,0.0087,0.00,-0.25,37.25,-0.0431,-0.0797,9.5831,9.5835
1,2,2,4,0,03.009,3009,-0.2300,0.0200,10.0500,10.0527,0.0033,-0.0185,-0.0273,0.00,-0.31,37.13,-0.0677,-0.0666,9.6446,9.6451
1,2,2,4,0,03.139,3139,0.0800,-0.0400,9.7300,9.7304,0.0055,0.0153,0.0316,0.00,-0.31,37.31,-0.0483,-0.0631,9.6559,9.6562
1,2,2,4,0,03.269,3269,-0.1300,0.0000,9.9400,9.9408,-0.0109,-0.0011,-0.0720,0.00,-0.25,37.06,-0.0590,-0.0548,9.6933,9.6937
1,2,2,4,0,03.399,3399,-0.2400,-0.0600,9.7000,9.7032,0.0055,0.0065,0.0436,0.00,-0.31,37.25,-0.0829,-0.0554,9.6942,9.6947
1,2,2,4,0,03.529,3529,0.0500,-0.0600,10.0000,10.0003,-0.0044,-0.0087,-0.0338,0.00,-0.25,37.19,-0.0654,-0.0560,9.7345,9.7349
1,2,2,4,0,03.659,3659,-0.0900,-0.0900,9.8800,9.8808,-0.0076,-0.0011,0.0273,0.00,-0.31,37.13,-0.0686,-0.0605,9.7537,9.7541
1,2,2,4,0,03.790,3790,0.1100,0.1000,9.7800,9.7811,0.0044,0.0000,-0.0044,0.00,-0.31,37.25,-0.0451,-0.0394,9.7571,9.7573
1,2,2,4,0,03.963,3963,0.1700,-0.2300,9.9900,9.9941,-0.0065,0.0076,-0.0044,0.00,-0.31,37.25,-0.0167,-0.0645,9.7878,9.7881
1,2,2,4,0,04.093,4093,0.0900,0.0000,9.8600,9.8604,0.0076,-0.0011,0.0044,0.00,-0.31,37.25,-0.0027,-0.0560,9.7973,9.7975
1,2,2,4,0,04.224,4224,0.0100,-0.2000,9.8700,9.8720,-0.0055,0.0098,0.0196,0.00,-0.25,37.25,-0.0010,-0.0750,9.8069,9.8072
1,2,2,4,0,04.356,4356,0.0200,-0.0900,9.8200,9.8204,-0.0076,-0.0087,-0.0240,0.00,-0.31,37.19,0.0018,-0.0769,9.8086,9.8089
1,2,2,4,0,04.491,4491,0.0200,0.1200,9.7400,9.7408,0.0065,0.0011,0.0120,0.00,-0.31,37.25,0.0042,-0.0510,9.7996,9.7997
1,2,2,4,0,04.622,4622,-0.0300,0.0200,9.8700,9.8701,-0.0055,0.0131,-0.0207,0.00,-0.25,37.38,-0.0003,-0.0416,9.8089,9.8090
1,2,2,4,0,04.752,4752,-0.0800,-0.0900,9.7400,9.7407,0.0055,-0.0065,0.0055,-0.06,-0.31,37.19,-0.0108,-0.0480,9.7998,9.7999
1,2,2,4,0,04.883,4883,-0.0200,0.0000,9.7300,9.7300,-0.0076,0.0022,0.0131,0.00,-0.31,37.38,-0.0120,-0.0417,9.7906,9.7907
1,2,2,4,0,05.056,5056,0.0200,-0.2800,9.6700,9.6741,-0.0022,0.0044,-0.0175,0.00,-0.31,37.25,-0.0078,-0.0731,9.7747,9.7750
