participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
25,1,2,4,0,00.000,0,-0.4900,-0.4500,9.8500,9.8724,0.0000,0.0044,0.0022,2.44,-2.56,105.13,-0.4629,-0.4619,9.8708,9.8924
25,1,2,4,0,00.134,134,-0.4400,-0.4700,9.8800,9.9010,0.0011,0.0011,0.0011,2.44,-2.56,105.13,-0.4599,-0.4630,9.8720,9.8935
25,1,2,4,0,00.265,265,-0.4800,-0.4600,9.9000,9.9223,-0.0011,0.0033,-0.0011,2.44,-2.56,105.13,-0.4626,-0.4626,9.8757,9.8973
25,1,2,4,0,00.396,396,-0.5200,-0.5000,9.8500,9.8764,0.0022,0.0022,0.0000,2.44,-2.56,105.13,-0.4701,-0.4675,9.8723,9.8945
25,1,2,4,0,00.526,526,-0.4600,-0.4700,9.8200,9.8420,0.0011,0.0011,-0.0011,2.44,-2.56,105.13,-0.4688,-0.4678,9.8654,9.8876
25,1,2,4,0,00.657,657,-0.4400,-0.4200,9.7900,9.8089,0.0000,-0.0022,0.0022,2.44,-2.56,105.13,-0.4650,-0.4615,9.8555,9.8772
25,1,2,4,0,00.829,829,-0.4800,-0.4700,9.9600,9.9826,0.0022,0.0000,-0.0022,2.44,-2.56,105.13,-0.4670,-0.4626,9.8692,9.8911
25,1,2,4,0,00.960,960,-0.4100,-0.4400,9.7800,9.7985,0.0011,0.0011,0.0022,2.44,-2.56,105.13,-0.4595,-0.4597,9.8575,9.8789
25,1,2,4,0,01.090,1090,-0.3700,-0.4900,9.8300,9.8492,-0.0022,0.0011,0.0076,2.44,-2.56,105.13,-0.4477,-0.4637,9.8539,9.8749
25,1,2,4,0,01.220,1220,-0.5000,-0.4800,9.8700,9.8943,0.0000,0.0076,0.0087,2.44,-2.56,105.13,-0.4546,-0.4658,9.8560,9.8775
25,1,2,4,0,01.350,1350,-0.5100,-0.4300,10.2900,10.3116,-0.0065,0.0011,0.0000,2.44,-2.56,105.13,-0.4619,-0.4611,9.9132,9.9346
