participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
24,1,2,4,1,00.000,0,-0.1600,-0.0600,9.6400,9.6415,-0.0011,0.0033,-0.0011,0.38,-0.13,93.31,-0.1522,-0.0395,9.6205,9.6218
24,1,2,4,1,00.131,131,-0.2100,-0.0500,9.7700,9.7724,0.0033,0.0065,0.0011,0.38,-0.13,93.31,-0.1598,-0.0409,9.6402,9.6417
24,1,2,4,1,00.261,261,-0.0900,-0.2300,11.2200,11.2227,0.0175,0.0196,0.0000,0.31,-0.19,93.31,-0.1506,-0.0658,9.8484,9.8498
24,1,2,4,1,00.434,434,-0.3700,0.5100,12.2700,12.2862,-0.0109,-0.0109,-0.0087,0.31,-0.13,93.31,-0.1795,0.0100,10.1675,10.1691
24,1,2,4,1,00.564,564,-0.1200,0.0900,12.0300,12.0309,-0.0262,-0.0044,-0.0131,0.31,-0.13,93.38,-0.1717,0.0206,10.4129,10.4144
24,1,2,4,1,00.695,695,-0.1800,0.0100,10.9700,10.9715,-0.0044,-0.0011,0.0076,0.38,-0.13,93.31,-0.1728,0.0192,10.4863,10.4878
24,1,2,4,1,00.826,826,-0.0600,-0.2400,9.3500,9.3533,0.0229,0.0011,0.0153,0.38,-0.19,93.38,-0.1579,-0.0150,10.3366,10.3378
24,1,2,4,1,00.958,958,-0.0900,0.0700,6.4900,6.4910,-0.0131,-0.0098,-0.0404,0.38,-0.13,93.44,-0.1490,-0.0038,9.8297,9.8309
24,1,2,4,1,01.088,1088,-0.0200,0.1100,6.2500,6.2510,0.0251,-0.0022,0.0458,0.50,-0.06,93.44,-0.1320,0.0112,9.3580,9.3589
24,1,2,4,1,01.223,1223,-0.1200,-0.0500,6.2200,6.2214,-0.0393,0.0262,-0.0120,0.50,-0.06,93.44,-0.1304,0.0032,8.9445,8.9454
24,1,2,4,1,01.354,1354,-0.3600,0.0600,7.5400,7.5488,0.0065,0.0033,-0.0131,0.44,-0.06,93.50,-0.1607,0.0106,8.7594,8.7609
24,1,2,4,1,01.527,1527,0.1700,-0.0900,8.4400,8.4422,0.0185,0.0055,0.0425,0.50,-0.06,93.44,-0.1171,-0.0026,8.7173,8.7181
24,1,2,4,1,01.657,1657,0.0400,-0.2500,9.2500,9.2535,0.0022,-0.0153,-0.0076,0.44,-0.06,93.38,-0.0964,-0.0352,8.7875,8.7881
24,1,2,4,1,01.788,1788,-0.7700,0.0500,10.5100,10.5383,0.0589,-0.0196,-0.0055,0.44,-0.19,93.50,-0.1851,-0.0240,9.0145,9.0164
24,1,2,4,1,01.918,1918,-1.6100,1.4800,10.7300,10.9506,-0.1091,-0.0207,0.0305,0.56,-0.06,93.38,-0.3729,0.1742,9.2406,9.2497
24,1,2,4,1,02.051,2051,-0.3100,-0.3300,9.9100,9.9203,0.0480,0.0284,-0.0055,0.38,-0.06,93.44,-0.3646,0.1078,9.3288,9.3365
24,1,2,4,1,02.182,2182,0.3500,-0.0200,9.7300,9.7363,0.0076,0.0076,0.0229,0.31,-0.06,93.44,-0.2704,0.0909,9.3816,9.3860
24,1,2,4,1,02.316,2316,-0.0500,0.1300,10.1400,10.1410,-0.0513,-0.0240,-0.0458,0.38,0.00,93.44,-0.2414,0.0961,9.4816,9.4851
24,1,2,4,1,02.447,2447,0.0000,0.0600,10.2200,10.2202,-0.0109,0.0044,-0.0229,0.44,0.00,93.44,-0.2096,0.0913,9.5789,9.5816
24,1,2,4,1,02.619,2619,-0.3500,-0.3600,9.9800,9.9926,-0.0131,-0.0044,0.0033,0.38,-0.13,93.44,-0.2281,0.0318,9.6317,9.6345
24,1,2,4,1,02.749,2749,-0.1800,0.1200,11.7800,11.7820,-0.0011,-0.0087,-0.0076,0.38,-0.06,93.44,-0.2218,0.0435,9.9148,9.9174
24,1,2,4,1,02.879,2879,-0.1200,-0.1000,12.0900,12.0910,0.0000,0.0109,-0.0055,0.38,-0.06,93.44,-0.2083,0.0246,10.2015,10.2036
24,1,2,4,1,03.009,3009,0.0200,-0.1000,12.3700,12.3704,-0.0262,-0.0011,0.0076,0.31,-0.06,93.50,-0.1783,0.0081,10.4872,10.4887
24,1,2,4,1,03.139,3139,-0.2900,-0.3700,11.9100,11.9193,0.0229,0.0033,0.0229,0.31,-0.19,93.56,-0.1930,-0.0417,10.6747,10.6765
24,2,2,4,1,03.269,3269,-0.2200,0.3300,10.6500,10.6574,-0.0131,-0.0076,-0.0153,0.38,-0.06,93.38,-0.1965,0.0073,10.6714,10.6733
24,2,2,4,1,03.399,3399,0.1400,-0.1100,8.8800,8.8818,0.0065,0.0382,-0.0011,0.50,-0.13,93.56,-0.1522,-0.0082,10.4354,10.4365
24,2,2,4,1,03.530,3530,-0.2500,0.0700,7.7700,7.7743,-0.0120,-0.0011,0.0185,0.38,-0.13,93.69,-0.1651,0.0021,10.0842,10.0855
24,2,2,4,1,03.702,3702,0.2100,0.2900,6.7300,6.7395,-0.0262,0.0065,0.0131,0.56,0.00,93.56,-0.1157,0.0401,9.6422,9.6429
24,2,2,4,1,03.833,3833,-0.0800,0.3800,6.4400,6.4517,-0.0087,0.0109,-0.0120,0.56,0.00,93.56,-0.1110,0.0849,9.2202,9.2213
24,2,2,4,1,03.963,3963,-0.3000,-0.1500,8.2100,8.2168,0.0207,-0.0098,0.0033,0.56,0.00,93.56,-0.1359,0.0539,9.0871,9.0883
24,2,2,4,1,04.094,4094,-0.6700,-0.0900,8.7800,8.8060,0.0251,-0.0055,-0.0131,0.63,0.00,93.44,-0.2063,0.0350,9.0466,9.0490
24,2,2,4,1,04.224,4224,0.0300,-0.0100,8.5100,8.5101,0.0022,0.0109,-0.0284,0.50,0.00,93.56,-0.1751,0.0290,8.9759,8.9777
24,2,2,4,1,04.358,4358,-0.0900,0.1300,8.7300,8.7314,0.0033,-0.0044,0.0327,0.56,0.00,93.44,-0.1639,0.0423,8.9435,8.9451
24,2,2,4,1,04.489,4489,0.1500,-0.1800,9.5400,9.5429,-0.0436,0.0033,-0.0327,0.56,-0.06,93.50,-0.1225,0.0130,9.0221,9.0229
24,2,2,4,1,04.622,4622,-0.5100,-0.1200,10.1000,10.1136,0.0229,-0.0044,0.0022,0.63,-0.06,93.50,-0.1736,-0.0045,9.1641,9.1658
24,2,2,4,1,04.794,4794,-0.0700,0.2100,10.3500,10.3524,-0.0065,0.0055,0.0109,0.63,-0.13,93.44,-0.1599,0.0238,9.3204,9.3218
24,2,2,4,1,04.924,4924,-0.1400,-0.2000,10.2000,10.2029,0.0087,0.0087,0.0142,0.63,-0.19,93.50,-0.1573,-0.0057,9.4363,9.4376
24,2,2,4,1,05.054,5054,-0.2000,-0.1100,10.1100,10.1126,-0.0065,-0.0109,-0.0273,0.63,-0.19,93.56,-0.1629,-0.0195,9.5251,9.5265
24,2,2,4,1,05.184,5184,-0.2600,-0.0600,9.9900,9.9936,0.0033,-0.0131,0.0033,0.75,-0.13,93.50,-0.1757,-0.0248,9.5864,9.5880
24,2,2,4,1,05.314,5314,-0.3300,-0.5700,9.7100,9.7323,0.0022,0.0153,0.0076,0.75,-0.25,93.50,-0.1961,-0.0966,9.6026,9.6051
