participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
1,1,2,4,2,00.000,0,-0.0900,-0.0500,9.5800,9.5806,0.0011,-0.0011,0.0000,0.56,-0.19,92.75,-0.1043,-0.0431,9.6142,9.6148
1,1,2,4,2,00.130,130,-0.1000,-0.1200,9.6400,9.6413,0.0000,0.0131,0.0000,0.63,-0.19,92.75,-0.1037,-0.0532,9.6176,9.6183
1,1,2,4,2,00.261,261,-0.1000,-0.0200,9.5900,9.5905,-0.0011,0.0000,0.0000,0.63,-0.19,92.75,-0.1032,-0.0488,9.6139,9.6146
1,1,2,4,2,00.391,391,-0.0600,-0.0600,9.6000,9.6004,-0.0011,-0.0065,-0.0011,0.56,-0.19,92.75,-0.0975,-0.0503,9.6121,9.6127
1,1,2,4,2,00.564,564,-0.0800,-0.0200,9.5600,9.5604,-0.0011,-0.0055,-0.0011,0.56,-0.19,92.75,-0.0952,-0.0463,9.6052,9.6058
1,1,2,4,2,00.695,695,-0.1100,-0.0900,9.6800,9.6810,-0.0022,-0.0065,0.0033,0.56,-0.19,92.75,-0.0972,-0.0521,9.6151,9.6157
1,1,2,4,2,00.826,826,-0.0800,-0.0700,9.6100,9.6106,0.0022,-0.0033,0.0011,0.56,-0.19,92.75,-0.0949,-0.0544,9.6144,9.6150
1,1,2,4,2,00.956,956,-0.1000,-0.0900,9.5900,9.5909,0.0011,0.0065,0.0022,0.56,-0.19,92.75,-0.0956,-0.0591,9.6112,9.6119
1,1,2,4,2,01.090,1090,-0.1400,-0.0300,9.8000,9.8010,-0.0044,0.0153,0.0055,0.56,-0.19,92.75,-0.1014,-0.0553,9.6361,9.6368
1,1,2,4,2,01.223,1223,-0.0500,-0.1100,11.1600,11.1607,0.0011,0.0273,0.0055,0.50,-0.13,92.75,-0.0947,-0.0625,9.8369,9.8375
1,1,2,4,2,01.354,1354,-0.1900,-0.1100,11.3400,11.3421,0.0098,0.0131,0.0055,0.56,-0.19,92.75,-0.1072,-0.0687,10.0350,10.0358
1,1,2,4,2,01.484,1484,-0.2700,-0.1000,11.8700,11.8735,0.0240,0.0469,-0.0164,0.56,-0.19,92.75,-0.1287,-0.0729,10.2768,10.2778
1,1,2,4,2,01.657,1657,0.0500,-0.1500,9.6100,9.6113,-0.0436,-0.0589,0.0229,0.69,-0.25,92.75,-0.1051,-0.0830,10.1889,10.1898
1,1,2,4,2,01.788,1788,0.0900,0.0200,9.5300,9.5304,-0.0240,0.0687,0.0022,0.69,-0.25,92.88,-0.0794,-0.0695,10.1021,10.1026
1,1,2,4,2,01.918,1918,-0.3300,-0.2700,10.1000,10.1090,-0.0131,0.0284,0.0044,0.75,-0.25,92.88,-0.1124,-0.0959,10.1018,10.1029
1,1,2,4,2,02.050,2050,-0.4900,-0.1100,7.3500,7.3671,0.0087,-0.0011,0.0218,0.69,-0.25,92.81,-0.1622,-0.0977,9.7392,9.7410
1,1,2,4,2,02.181,2181,0.1100,0.1100,6.0800,6.0820,-0.0142,0.0644,0.0120,0.56,-0.19,92.88,-0.1263,-0.0704,9.2570,9.2581
1,1,2,4,2,02.316,2316,0.0700,0.0400,8.2000,8.2004,0.0185,0.0731,-0.0022,0.75,-0.19,92.88,-0.1004,-0.0558,9.1177,9.1184
1,1,2,4,2,02.447,2447,0.0000,-0.1100,9.6400,9.6406,0.0098,-0.0229,-0.0098,0.81,-0.19,92.88,-0.0872,-0.0630,9.1865,9.1872
1,1,2,4,2,02.578,2578,-0.2200,-0.1000,8.7800,8.7833,0.0000,0.0218,0.0098,0.81,-0.19,92.88,-0.1047,-0.0678,9.1330,9.1338
1,1,2,4,2,02.750,2750,-0.4400,0.0000,7.1500,7.1635,0.0022,0.0273,-0.0098,0.69,-0.19,92.88,-0.1489,-0.0589,8.8717,8.8731
1,1,2,4,2,02.881,2881,0.0800,-0.1600,6.7700,6.7724,-0.0142,-0.0087,0.0044,0.69,-0.19,92.88,-0.1187,-0.0722,8.5947,8.5958
1,1,2,4,2,03.011,3011,0.2400,-0.0300,9.9500,9.9529,0.0065,-0.1287,-0.0251,0.63,-0.13,92.88,-0.0715,-0.0667,8.7733,8.7739
1,1,2,4,2,03.142,3142,0.0300,-0.0300,11.4000,11.4001,0.0316,-0.0535,-0.0022,0.63,-0.13,92.75,-0.0581,-0.0618,9.1194,9.1198
1,1,2,4,2,03.272,3272,0.3700,-0.2700,13.1900,13.1980,0.0796,-0.0404,0.0185,0.44,-0.19,92.88,-0.0017,-0.0893,9.6558,9.6562
1,1,2,4,2,03.404,3404,-0.1600,-0.4700,11.3100,11.3209,0.0458,0.0480,-0.0076,0.75,-0.19,92.75,-0.0225,-0.1394,9.8738,9.8748
1,2,2,4,2,03.534,3534,0.1200,-0.2500,9.2100,9.2142,0.0055,-0.0065,0.0076,0.56,-0.25,92.88,-0.0038,-0.1540,9.7863,9.7876
1,2,2,4,2,03.665,3665,-0.1200,-0.1000,9.8300,9.8312,-0.0011,-0.0229,0.0338,0.63,-0.06,92.81,-0.0191,-0.1469,9.7921,9.7932
1,2,2,4,2,03.838,3838,-0.3400,-0.0800,9.7700,9.7762,0.0142,-0.0196,-0.0065,0.56,-0.06,92.88,-0.0614,-0.1381,9.7892,9.7903
1,2,2,4,2,03.971,3971,0.2100,-0.0600,9.6200,9.6225,-0.0044,0.0218,0.0044,0.50,-0.06,92.88,-0.0256,-0.1278,9.7669,9.7678
1,2,2,4,2,04.102,4102,-0.1100,-0.0200,10.2800,10.2806,0.0131,0.0240,0.0011,0.50,-0.06,92.88,-0.0367,-0.1136,9.8345,9.8352
1,2,2,4,2,04.233,4233,-0.4400,-0.0300,11.9000,11.9082,-0.0033,-0.0393,-0.0164,0.63,0.00,92.81,-0.0899,-0.1026,10.1067,10.1076
1,2,2,4,2,04.363,4363,-0.3200,-0.2000,11.1600,11.1664,0.0065,0.0207,-0.0175,0.63,-0.13,92.88,-0.1202,-0.1154,10.2455,10.2468
1,2,2,4,2,04.493,4493,-0.1300,-0.1100,10.7600,10.7613,0.0360,0.0316,-0.0262,0.50,-0.19,92.81,-0.1215,-0.1147,10.3133,10.3146
1,2,2,4,2,04.624,4624,-0.2500,-0.2200,10.4300,10.4353,0.0611,-0.0153,0.0055,0.50,-0.19,92.75,-0.1384,-0.1286,10.3287,10.3304
1,2,2,4,2,04.754,4754,-0.0400,-0.2100,8.8100,8.8126,0.0404,0.0404,-0.0033,0.75,-0.19,92.81,-0.1255,-0.1393,10.1285,10.1303
1,2,2,4,2,04.927,4927,0.2100,0.0800,8.0900,8.0931,-0.0065,0.1080,-0.0164,0.69,-0.06,92.88,-0.0812,-0.1104,9.8599,9.8609
1,2,2,4,2,05.058,5058,-0.1200,0.0500,8.4100,8.4110,0.0044,-0.0153,-0.0175,0.69,-0.13,92.88,-0.0864,-0.0893,9.6689,9.6697
1,2,2,4,2,05.189,5189,0.3400,-0.2000,9.0100,9.0186,0.0087,-0.1004,-0.0207,0.56,-0.19,92.88,-0.0302,-0.1039,9.5820,9.5826
1,2,2,4,2,05.320,5320,0.1000,0.0000,9.3000,9.3005,-0.0338,0.0371,-0.0175,0.63,0.00,92.88,-0.0130,-0.0902,9.5449,9.5453
1,2,2,4,2,05.451,5451,0.1100,0.1800,8.7200,8.7226,0.0175,0.0305,0.0044,0.75,0.00,92.94,0.0032,-0.0546,9.4362,9.4363
1,2,2,4,2,05.586,5586,0.0600,-0.2100,8.0500,8.0530,0.0164,-0.0098,-0.0011,0.69,-0.13,92.94,0.0107,-0.0751,9.2535,9.2538
1,2,2,4,2,05.717,5717,-0.2300,-0.1100,9.1600,9.1635,-0.0098,0.0382,0.0120,0.81,-0.06,92.94,-0.0210,-0.0797,9.2412,9.2416
1,2,2,4,2,05.847,5847,-0.3200,0.1300,6.5200,6.5291,-0.0207,0.0622,0.0185,0.69,-0.06,92.94,-0.0604,-0.0520,8.8826,8.8830
1,2,2,4,2,06.020,6020,-0.0400,-0.2100,6.6000,6.6035,0.0087,0.0185,-0.0076,0.69,-0.13,92.88,-0.0577,-0.0728,8.5818,8.5823
1,2,2,4,2,06.151,6151,0.6000,-0.0900,8.9900,9.0104,0.0327,-0.0382,-0.0164,0.63,-0.19,92.94,0.0289,-0.0751,8.6356,8.6360
1,2,2,4,2,06.281,6281,-0.4600,-0.3200,11.6400,11.6535,0.0447,-0.0905,0.0404,0.63,-0.06,92.88,-0.0355,-0.1074,9.0315,9.0322
