participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
1,1,2,5,0,00.000,0,-0.5300,0.1500,9.5400,9.5559,0.0000,-0.0011,0.0022,2.94,1.06,284.13,-0.5197,0.1711,9.5524,9.5681
1,1,2,5,0,00.130,130,-0.5200,0.1600,9.5500,9.5655,0.0000,-0.0022,0.0033,2.94,1.06,284.13,-0.5198,0.1697,9.5521,9.5678
1,1,2,5,0,00.260,260,-0.5100,0.1800,9.5600,9.5753,0.0011,-0.0011,0.0022,2.94,1.06,284.13,-0.5185,0.1710,9.5532,9.5688
1,1,2,5,0,00.390,390,-0.4900,0.2400,9.5700,9.5855,0.0087,-0.0022,-0.0022,2.94,1.06,284.13,-0.5147,0.1801,9.5554,9.5709
1,1,2,5,0,00.520,520,-0.5700,0.1300,10.1200,10.1369,-0.0011,-0.0196,-0.0011,2.94,1.00,284.13,-0.5220,0.1735,9.6298,9.6455
1,1,2,5,0,00.650,650,-0.5200,0.1300,10.3000,10.3139,0.0011,0.0109,0.0033,3.00,1.00,284.13,-0.5218,0.1678,9.7181,9.7335
1,1,2,5,0,00.780,780,-0.5400,0.1400,9.8500,9.8658,0.0022,-0.0098,0.0033,2.94,1.00,284.13,-0.5242,0.1641,9.7355,9.7510
1,1,2,5,0,00.953,953,-0.5200,0.1300,9.0700,9.0858,-0.0011,-0.0033,0.0055,3.00,1.00,284.13,-0.5236,0.1596,9.6478,9.6633
1,1,2,5,0,01.088,1088,-0.5000,0.1800,9.2800,9.2952,-0.0076,-0.0153,0.0011,3.06,1.00,284.13,-0.5205,0.1623,9.5993,9.6148
1,1,2,5,0,01.221,1221,-0.4600,0.1000,9.3900,9.4018,0.0076,0.0065,0.0022,3.13,1.00,284.13,-0.5125,0.1541,9.5717,9.5867
1,1,2,5,0,01.351,1351,-0.4100,0.1100,9.3900,9.3996,-0.0044,-0.0131,-0.0033,3.13,1.00,284.13,-0.4990,0.1483,9.5478,9.5620
1,1,2,5,0,01.482,1482,-0.5600,0.1700,9.0500,9.0689,0.0022,0.0153,-0.0087,3.13,1.00,284.13,-0.5071,0.1511,9.4822,9.4969
1,1,2,5,0,01.612,1612,-0.5700,0.1100,9.5200,9.5377,0.0065,0.0415,-0.0022,3.00,1.00,284.06,-0.5153,0.1457,9.4872,9.5023
1,1,2,5,0,01.742,1742,-0.2600,0.0400,9.3900,9.3937,0.0829,-0.0742,0.0000,2.88,1.00,284.13,-0.4817,0.1318,9.4744,9.4875
1,1,2,5,0,01.873,1873,-0.5200,0.3400,9.3100,9.3307,-0.0207,-0.0393,0.0011,3.06,1.00,284.13,-0.4867,0.1592,9.4527,9.4666
1,1,2,5,0,02.045,2045,-0.5500,0.2800,8.5300,8.5523,-0.0284,0.0153,-0.0142,2.94,1.06,284.06,-0.4951,0.1751,9.3311,9.3459
1,1,2,5,0,02.176,2176,-0.4900,0.0000,9.6500,9.6624,0.0065,-0.0120,0.0131,3.13,1.13,284.13,-0.4944,0.1521,9.3731,9.3874
1,1,2,5,0,02.306,2306,-0.3300,0.2100,10.1800,10.1875,0.0033,0.0316,-0.0044,3.13,1.19,284.06,-0.4727,0.1597,9.4795,9.4926
1,1,2,5,0,02.437,2437,-0.5500,0.0600,9.8700,9.8855,-0.0098,-0.0164,-0.0033,3.06,1.25,284.06,-0.4829,0.1466,9.5309,9.5443
1,1,2,5,0,02.573,2573,-0.5400,0.1600,9.8200,9.8361,0.0000,-0.0011,-0.0011,3.13,1.25,284.06,-0.4904,0.1483,9.5690,9.5827
1,1,2,5,0,02.704,2704,-0.4500,0.0700,9.7100,9.7207,-0.0055,0.0033,-0.0055,3.06,1.25,284.06,-0.4851,0.1380,9.5876,9.6009
1,1,2,5,0,02.835,2835,-0.5400,0.1500,9.8300,9.8460,0.0000,-0.0087,-0.0033,3.06,1.31,284.06,-0.4923,0.1396,9.6195,9.6331
1,1,2,5,0,02.965,2965,-0.4300,0.1000,9.7600,9.7700,-0.0011,0.0044,0.0000,3.06,1.31,284.06,-0.4841,0.1344,9.6380,9.6511
1,1,2,5,0,03.138,3138,-0.5400,0.2500,9.6700,9.6883,-0.0382,0.0098,0.0295,3.25,1.50,284.13,-0.4915,0.1496,9.6423,9.6559
1,1,2,5,0,03.268,3268,0.0000,0.0100,9.3400,9.3400,-0.0011,0.0545,0.0044,2.94,1.44,284.06,-0.4267,0.1312,9.6024,9.6128
1,1,2,5,0,03.399,3399,-0.5100,0.1600,10.1300,10.1441,-0.0011,-0.0175,-0.0011,3.06,1.44,284.06,-0.4377,0.1350,9.6719,9.6828
1,1,2,5,0,03.529,3529,-0.4800,0.0500,10.2000,10.2114,0.0055,0.0131,0.0055,3.06,1.44,284.06,-0.4433,0.1238,9.7415,9.7524
1,2,2,5,0,03.659,3659,-0.5400,0.1300,9.6800,9.6959,0.0087,-0.0076,0.0044,3.00,1.44,284.06,-0.4560,0.1246,9.7334,9.7449
