participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
39,1,2,5,0,00.000,0,-0.0800,-0.2600,9.6700,9.6738,0.0022,-0.0109,0.0055,1.44,-1.44,338.25,-0.2407,-0.2389,9.9421,9.9479
39,1,2,5,0,00.130,130,-0.4500,-0.2800,8.6400,8.6562,0.0098,0.0011,0.0153,1.44,-1.44,338.31,-0.2682,-0.2444,9.7705,9.7772
39,1,2,5,0,00.261,261,-0.2800,-0.3800,8.9000,8.9125,0.0131,-0.0055,0.0044,1.44,-1.44,338.31,-0.2698,-0.2622,9.6558,9.6631
39,1,2,5,0,00.391,391,-0.2500,-0.3600,10.2300,10.2394,0.0011,0.0022,0.0055,1.44,-1.44,338.31,-0.2672,-0.2751,9.7315,9.7390
39,1,2,5,0,00.564,564,-0.1900,-0.3000,10.9200,10.9258,0.0033,-0.0022,0.0055,1.44,-1.44,338.31,-0.2570,-0.2784,9.8881,9.8953
39,1,2,5,0,00.694,694,-0.2500,-0.1100,10.3600,10.3636,0.0109,-0.0142,0.0098,1.50,-1.44,338.31,-0.2561,-0.2562,9.9503,9.9569
39,1,2,5,0,00.825,825,-0.3500,-0.3400,10.4700,10.4814,0.0251,-0.0185,0.0218,1.56,-1.50,338.38,-0.2685,-0.2672,10.0188,10.0259
39,1,2,5,0,00.955,955,-0.2600,-0.6700,9.0100,9.0386,-0.0153,0.0076,0.0065,1.56,-1.63,338.44,-0.2673,-0.3203,9.8858,9.8946
39,1,2,5,0,01.091,1091,-0.2000,-0.3500,7.3100,7.3211,-0.0022,0.0044,-0.0131,1.63,-1.63,338.38,-0.2585,-0.3242,9.5464,9.5554
39,1,2,5,0,01.221,1221,-0.4400,-0.2900,8.2700,8.2868,0.0011,-0.0011,0.0229,1.63,-1.63,338.38,-0.2824,-0.3197,9.3782,9.3879
39,2,2,5,0,01.353,1353,-0.1500,-0.3400,9.9300,9.9370,0.0011,0.0098,0.0055,1.63,-1.63,338.44,-0.2649,-0.3224,9.4509,9.4601
39,2,2,5,0,01.483,1483,-0.1100,-0.1500,10.1900,10.1917,0.0055,0.0153,0.0044,1.56,-1.63,338.44,-0.2445,-0.2997,9.5483,9.5561
39,2,2,5,0,01.656,1656,-0.2000,-0.2300,9.8900,9.8947,0.0011,-0.0076,-0.0076,1.56,-1.56,338.44,-0.2387,-0.2905,9.5933,9.6007
