participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
3,1,2,5,1,00.000,0,-0.5300,0.0700,9.5600,9.5749,0.0022,-0.0011,-0.0011,3.06,0.69,284.63,-0.5339,0.0672,9.5443,9.5595
3,1,2,5,1,00.130,130,-0.5300,0.0600,9.5600,9.5749,0.0011,-0.0022,0.0011,3.06,0.69,284.63,-0.5334,0.0663,9.5464,9.5615
3,1,2,5,1,00.261,261,-0.5400,0.0600,9.5600,9.5754,0.0022,0.0033,-0.0022,3.06,0.69,284.63,-0.5343,0.0655,9.5482,9.5633
3,1,2,5,1,00.391,391,-0.5400,0.0900,9.5400,9.5557,-0.0022,-0.0022,0.0000,3.06,0.69,284.63,-0.5350,0.0687,9.5471,9.5623
3,1,2,5,1,00.564,564,-0.5200,-0.3600,9.7000,9.7206,-0.1865,0.0404,-0.0284,2.94,1.00,284.63,-0.5330,0.0122,9.5672,9.5821
3,1,2,5,1,00.694,694,-0.4200,0.0200,10.3900,10.3985,0.0742,0.0851,0.0720,2.81,1.31,284.50,-0.5181,0.0132,9.6757,9.6895
3,1,2,5,1,00.825,825,-0.7000,0.2800,11.0800,11.1056,-0.0185,-0.0251,-0.0109,2.81,1.25,284.56,-0.5421,0.0484,9.8607,9.8757
3,1,2,5,1,00.955,955,-0.5100,0.2700,10.5300,10.5458,-0.0011,-0.0033,-0.0076,2.75,1.13,284.63,-0.5379,0.0776,9.9489,9.9637
3,1,2,5,1,01.086,1086,-0.0900,0.2400,6.3200,6.3252,0.0349,-0.0055,0.0000,2.88,0.88,284.63,-0.4789,0.0990,9.4707,9.4833
3,1,2,5,1,01.217,1217,-0.2000,0.0000,6.1300,6.1333,0.0087,-0.0218,0.0120,2.81,0.81,284.63,-0.4421,0.0859,9.0305,9.0417
3,1,2,5,1,01.351,1351,-0.3400,0.0100,8.7300,8.7366,0.0055,-0.0327,0.0098,2.94,0.81,284.63,-0.4287,0.0759,8.9909,9.0014
3,2,2,5,1,01.484,1484,-0.6400,-0.0500,9.9100,9.9308,-0.0153,-0.0044,0.0120,2.88,0.81,284.63,-0.4565,0.0593,9.1120,9.1236
3,2,2,5,1,01.674,1674,-0.5100,-0.0400,9.5400,9.5537,-0.0022,-0.0164,0.0044,2.94,0.81,284.63,-0.4636,0.0463,9.1684,9.1802
3,2,2,5,1,01.805,1805,-0.4800,0.2500,9.6100,9.6252,0.0022,0.0131,0.0011,2.94,0.88,284.63,-0.4657,0.0731,9.2266,9.2386
3,2,2,5,1,01.935,1935,-0.4600,0.1000,9.3300,9.3419,0.0120,-0.0120,0.0065,2.88,0.88,284.63,-0.4650,0.0766,9.2402,9.2522
3,2,2,5,1,02.066,2066,-0.5300,-0.0900,9.2100,9.2257,-0.0229,0.0033,0.0120,2.88,0.94,284.63,-0.4735,0.0547,9.2362,9.2485
3,2,2,5,1,02.196,2196,-0.6100,0.2700,9.4500,9.4735,-0.0284,-0.0033,-0.0098,2.88,1.06,284.63,-0.4915,0.0831,9.2644,9.2778
3,2,2,5,1,02.326,2326,-0.5500,0.2200,9.8000,9.8179,0.0273,0.0142,0.0011,2.88,1.06,284.63,-0.4992,0.1011,9.3350,9.3489
3,2,2,5,1,02.457,2457,-0.3200,-0.0700,10.0600,10.0653,-0.0055,-0.0109,0.0098,2.88,1.06,284.63,-0.4756,0.0786,9.4305,9.4428
