participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
3,1,2,5,1,00.000,0,-0.5200,-0.0800,9.7600,9.7742,0.0000,-0.0033,0.0000,2.75,-0.50,287.94,-0.5119,-0.0841,9.7454,9.7591
3,1,2,5,1,00.130,130,-0.5100,-0.1100,9.7400,9.7540,-0.0011,-0.0044,0.0000,2.75,-0.50,287.94,-0.5116,-0.0875,9.7446,9.7585
3,1,2,5,1,00.261,261,-0.5200,-0.1000,9.7100,9.7244,0.0000,0.0022,-0.0033,2.75,-0.50,287.94,-0.5127,-0.0892,9.7401,9.7540
3,1,2,5,1,00.434,434,-0.5200,-0.0800,9.7600,9.7742,0.0000,-0.0011,0.0022,2.75,-0.50,287.94,-0.5137,-0.0879,9.7427,9.7566
3,1,2,5,1,00.564,564,-0.4300,-0.5300,9.8000,9.8237,-0.0535,0.0633,0.0011,2.69,-0.44,287.94,-0.5027,-0.1462,9.7503,9.7643
3,1,2,5,1,00.695,695,-0.4600,-0.0900,9.7200,9.7313,0.0000,0.0000,0.0044,2.56,-0.31,287.69,-0.4970,-0.1388,9.7463,9.7599
3,1,2,5,1,00.830,830,-0.5100,-0.0600,9.6000,9.6137,0.0022,-0.0022,-0.0011,2.56,-0.31,287.69,-0.4988,-0.1284,9.7270,9.7406
3,1,2,5,1,00.962,962,-0.5600,-0.0300,9.7900,9.8060,0.0022,0.0033,-0.0033,2.56,-0.31,287.69,-0.5068,-0.1154,9.7353,9.7492
3,1,2,5,1,01.092,1092,-0.2800,-0.1200,9.7500,9.7548,0.0196,-0.0164,0.0131,2.56,-0.31,287.69,-0.4769,-0.1160,9.7372,9.7496
3,1,2,5,1,01.223,1223,-0.6100,0.0300,10.3400,10.3580,-0.0022,-0.0044,0.0065,2.56,-0.31,287.69,-0.4945,-0.0968,9.8167,9.8296
3,1,2,5,1,01.353,1353,-0.5900,-0.1700,11.1700,11.1869,0.0098,-0.0098,-0.0011,2.63,-0.31,287.69,-0.5071,-0.1064,9.9950,10.0084
3,1,2,5,1,01.526,1526,-0.7000,0.0500,9.7000,9.7254,0.0153,-0.0273,0.0033,2.69,-0.44,287.69,-0.5325,-0.0858,9.9561,9.9707
3,1,2,5,1,01.661,1661,-0.4000,-0.0200,7.9700,7.9801,0.0011,0.0044,-0.0033,2.69,-0.50,287.69,-0.5150,-0.0772,9.6944,9.7084
3,1,2,5,1,01.794,1794,-0.2300,-0.2200,8.9200,8.9257,0.0033,-0.0033,-0.0109,2.69,-0.56,287.69,-0.4775,-0.0960,9.5924,9.6047
3,1,2,5,1,01.924,1924,-0.6100,-0.1300,9.6900,9.7101,-0.0055,0.0109,0.0087,2.69,-0.56,287.69,-0.4949,-0.1005,9.6052,9.6185
3,1,2,5,1,02.055,2055,-0.4900,-0.0500,10.9600,10.9711,-0.0065,0.0087,0.0011,2.75,-0.50,287.69,-0.4943,-0.0938,9.7837,9.7967
3,1,2,5,1,02.185,2185,-0.5200,-0.0600,9.1800,9.1949,0.0044,-0.0055,0.0000,2.75,-0.50,287.69,-0.4977,-0.0894,9.7042,9.7174
3,1,2,5,1,02.335,2335,-0.5700,-0.0700,8.6200,8.6391,-0.0087,0.0109,-0.0076,2.69,-0.50,287.69,-0.5072,-0.0868,9.5613,9.5752
3,1,2,5,1,02.466,2466,-0.0600,-0.5300,9.2400,9.2554,0.0000,0.0109,0.0065,2.69,-0.50,287.69,-0.4483,-0.1452,9.5190,9.5306
3,1,2,5,1,02.638,2638,-0.5800,0.0700,9.8900,9.9072,-0.0087,-0.0044,-0.0065,2.69,-0.50,287.69,-0.4656,-0.1168,9.5679,9.5799
3,1,2,5,1,02.768,2768,-0.4700,-0.0700,9.4900,9.5019,0.0000,-0.0033,-0.0022,2.69,-0.50,287.69,-0.4662,-0.1107,9.5576,9.5696
3,1,2,5,1,02.898,2898,-0.4200,-0.2000,9.6100,9.6213,0.0011,0.0033,-0.0022,2.69,-0.50,287.69,-0.4601,-0.1224,9.5645,9.5764
3,1,2,5,1,03.028,3028,-0.4600,0.0000,9.6500,9.6610,0.0000,0.0033,-0.0044,2.69,-0.50,287.69,-0.4601,-0.1063,9.5758,9.5874
3,1,2,5,1,03.158,3158,-0.6900,-0.1200,13.1700,13.1886,-0.1582,0.1342,-0.0567,2.75,-0.56,287.88,-0.4904,-0.1081,10.0494,10.0619
3,2,2,5,1,03.288,3288,-0.3300,0.7900,9.8600,9.8971,-0.0644,0.0644,-0.0567,2.63,-0.44,287.81,-0.4693,0.0102,10.0244,10.0354
3,2,2,5,1,03.418,3418,-0.4800,-0.1500,9.7600,9.7729,0.0011,-0.0044,0.0033,2.56,-0.44,287.81,-0.4707,-0.0109,9.9896,10.0007
3,2,2,5,1,03.548,3548,-0.4200,-0.1300,9.7500,9.7599,0.0011,-0.0011,-0.0022,2.56,-0.44,287.81,-0.4640,-0.0266,9.9580,9.9689
3,2,2,5,1,03.721,3721,-0.6500,-0.0600,10.3500,10.3706,-0.0098,-0.0011,-0.0044,2.56,-0.38,287.81,-0.4885,-0.0310,10.0097,10.0216
3,2,2,5,1,03.854,3854,-0.0400,-0.5100,11.6100,11.6213,-0.0044,0.0207,0.0131,2.63,-0.50,287.81,-0.4294,-0.0941,10.2206,10.2300
3,2,2,5,1,03.989,3989,-0.7600,0.3200,10.1100,10.1436,0.0055,-0.0044,-0.0044,2.63,-0.50,287.81,-0.4730,-0.0395,10.2060,10.2170
3,2,2,5,1,04.120,4120,0.9900,-1.3500,6.9500,7.1488,0.0109,-0.0109,0.0153,2.69,-0.63,287.81,-0.2802,-0.2122,9.7769,9.7833
3,2,2,5,1,04.250,4250,-0.7500,-0.3300,7.3600,7.4055,-0.0087,-0.0185,-0.0011,2.75,-0.88,287.81,-0.3421,-0.2277,9.4584,9.4674
3,2,2,5,1,04.380,4380,-0.6700,0.3100,8.5700,8.6017,0.0120,-0.0033,0.0033,2.69,-0.75,287.75,-0.3853,-0.1569,9.3414,9.3506
3,2,2,5,1,04.511,4511,-0.1700,-0.1900,9.8800,9.8833,-0.0033,0.0164,0.0273,2.75,-0.75,287.75,-0.3569,-0.1612,9.4123,9.4205
3,2,2,5,1,04.641,4641,-0.5600,0.0000,10.7000,10.7146,-0.0076,0.0022,-0.0240,2.75,-0.75,287.81,-0.3837,-0.1400,9.5820,9.5907
3,2,2,5,1,04.814,4814,-0.3100,-0.2600,9.9700,9.9782,-0.0033,-0.0055,-0.0087,2.75,-0.75,287.75,-0.3740,-0.1558,9.6332,9.6417
3,2,2,5,1,04.945,4945,-0.6100,-0.2600,10.1000,10.1217,0.0033,-0.0022,0.0065,2.75,-0.75,287.75,-0.4051,-0.1695,9.6947,9.7046
3,2,2,5,1,05.075,5075,-0.6500,0.0000,9.6900,9.7118,0.0000,-0.0022,-0.0229,2.75,-0.69,287.75,-0.4374,-0.1472,9.6941,9.7050
3,2,2,5,1,05.211,5211,-0.8100,-0.0500,9.6800,9.7140,-0.0022,-0.0033,0.0011,2.81,-0.69,287.81,-0.4865,-0.1344,9.6922,9.7053
3,2,2,5,1,05.343,5343,-0.5200,-0.1900,9.8100,9.8256,0.0044,0.0185,0.0022,2.75,-0.63,287.75,-0.4909,-0.1417,9.7077,9.7212
3,2,2,5,1,05.473,5473,-0.4400,0.0100,10.0300,10.0397,-0.0065,-0.0229,-0.0011,2.75,-0.56,287.75,-0.4842,-0.1217,9.7502,9.7630
3,2,2,5,1,05.603,5603,-0.5400,0.0200,10.2400,10.2542,-0.0022,0.0185,0.0000,2.75,-0.56,287.75,-0.4915,-0.1031,9.8147,9.8276
3,2,2,5,1,05.734,5734,-0.3200,-0.1400,10.1200,10.1260,-0.0033,0.0120,-0.0076,2.75,-0.50,287.75,-0.4689,-0.1079,9.8550,9.8667
3,2,2,5,1,05.907,5907,-0.3400,-0.2400,9.8100,9.8188,0.0011,0.0142,-0.0044,2.75,-0.50,287.75,-0.4519,-0.1253,9.8490,9.8602
3,2,2,5,1,06.038,6038,-0.3800,0.0000,9.8100,9.8174,-0.0055,-0.0076,-0.0055,2.75,-0.50,287.75,-0.4425,-0.1088,9.8439,9.8544
3,2,2,5,1,06.174,6174,-0.4700,-0.0900,10.1300,10.1413,0.0011,0.0022,0.0011,2.75,-0.50,287.75,-0.4461,-0.1063,9.8816,9.8922
3,2,2,5,1,06.305,6305,-0.4800,-0.0300,10.2800,10.2912,0.0033,-0.0044,0.0055,2.75,-0.50,287.75,-0.4506,-0.0963,9.9341,9.9448
3,2,2,5,1,06.436,6436,-0.6900,-0.0600,11.0800,11.1016,-0.0011,0.0022,0.0022,2.63,-0.50,287.75,-0.4821,-0.0915,10.0851,10.0970
3,2,2,5,1,06.566,6566,-0.5000,0.1000,11.8100,11.8210,0.0109,-0.0022,0.0098,2.63,-0.50,287.75,-0.4845,-0.0663,10.3124,10.3240
3,2,2,5,1,06.696,6696,0.7700,-1.0700,10.7900,10.8702,0.0622,0.0011,0.0185,2.75,-0.63,287.81,-0.3192,-0.1985,10.3753,10.3821
3,2,2,5,1,06.828,6828,-0.9600,0.2500,7.3400,7.4067,-0.0153,-0.0185,-0.0349,2.81,-0.81,287.75,-0.4036,-0.1394,9.9754,9.9845
3,2,2,5,1,07.001,7001,0.5100,-1.1300,6.5500,6.6663,0.0404,0.0338,0.0698,2.63,-0.75,287.69,-0.2832,-0.2700,9.5240,9.5320
3,2,2,5,1,07.136,7136,-0.6600,0.2700,8.7300,8.7591,-0.0469,0.0153,-0.0185,2.75,-0.88,287.63,-0.3329,-0.1988,9.4194,9.4273
3,3,2,5,1,07.267,7267,-1.0300,-0.3600,10.2700,10.3278,-0.0545,-0.0262,-0.0087,2.81,-0.88,287.75,-0.4247,-0.2200,9.5314,9.5434
3,3,2,5,1,07.398,7398,-0.4300,0.0000,10.4800,10.4888,-0.0207,-0.0076,-0.0164,2.81,-0.81,287.69,-0.4254,-0.1910,9.6564,9.6677
3,3,2,5,1,07.528,7528,-0.7300,0.0700,10.2000,10.2263,-0.0153,0.0087,0.0164,2.81,-0.75,287.75,-0.4656,-0.1566,9.7281,9.7405
3,3,2,5,1,07.659,7659,-0.5700,0.4700,10.3800,10.4063,-0.0175,0.0055,-0.0120,2.81,-0.75,287.69,-0.4793,-0.0741,9.8140,9.8260
3,3,2,5,1,07.789,7789,-0.4700,-0.0500,10.3000,10.3108,0.0142,-0.0065,0.0120,2.81,-0.75,287.75,-0.4781,-0.0709,9.8780,9.8898
3,3,2,5,1,07.919,7919,-0.6300,0.2900,9.8000,9.8245,0.0011,-0.0164,0.0022,2.81,-0.69,287.75,-0.4981,-0.0233,9.8677,9.8803
3,3,2,5,1,08.092,8092,-0.0200,-0.1200,9.9600,9.9607,-0.0415,0.0022,-0.0305,2.81,-0.63,287.69,-0.4351,-0.0361,9.8799,9.8895
3,3,2,5,1,08.223,8223,-0.5600,-0.1500,9.7500,9.7672,0.0087,-0.0098,0.0153,2.75,-0.63,287.75,-0.4516,-0.0511,9.8628,9.8732
3,3,2,5,1,08.354,8354,-0.4000,-0.1300,9.9400,9.9489,-0.0055,0.0109,-0.0065,2.75,-0.63,287.75,-0.4448,-0.0615,9.8730,9.8832
3,3,2,5,1,08.489,8489,-0.3700,-0.0900,10.0300,10.0372,-0.0044,-0.0055,-0.0076,2.75,-0.56,287.75,-0.4349,-0.0652,9.8937,9.9034
3,3,2,5,1,08.621,8621,-0.5000,-0.0500,10.1300,10.1425,0.0000,-0.0022,0.0000,2.75,-0.56,287.75,-0.4435,-0.0632,9.9248,9.9349
3,3,2,5,1,08.752,8752,-0.4600,-0.0100,10.0400,10.0505,-0.0011,0.0022,-0.0055,2.75,-0.56,287.75,-0.4457,-0.0562,9.9400,9.9501
3,3,2,5,1,08.882,8882,-0.6000,-0.0500,9.7600,9.7786,0.0033,-0.0142,0.0065,2.75,-0.56,287.75,-0.4660,-0.0554,9.9163,9.9274
3,3,2,5,1,09.012,9012,-0.5300,0.0500,10.5000,10.5135,-0.0022,0.0055,-0.0065,2.75,-0.56,287.75,-0.4744,-0.0415,9.9932,10.0045
3,3,2,5,1,09.185,9185,-0.2300,-0.4200,10.8700,10.8805,0.0098,0.0044,0.0055,2.63,-0.63,287.75,-0.4422,-0.0914,10.1087,10.1188
3,3,2,5,1,09.320,9320,-0.5300,-0.1600,12.1200,12.1326,0.0142,-0.0076,0.0011,2.69,-0.69,287.81,-0.4538,-0.1004,10.3738,10.3842
3,3,2,5,1,09.453,9453,-0.3700,0.2600,9.1000,9.1112,0.0000,-0.0033,-0.0480,2.81,-0.88,287.75,-0.4428,-0.0529,10.2059,10.2156
3,3,2,5,1,09.583,9583,-0.6400,0.5200,7.6600,7.7043,0.0131,-0.0022,0.0065,2.75,-1.00,287.75,-0.4687,0.0226,9.8704,9.8816
3,3,2,5,1,09.714,9714,-0.5300,0.1200,8.7500,8.7669,0.0011,0.0033,-0.0284,2.75,-0.94,287.69,-0.4768,0.0354,9.7228,9.7345
3,3,2,5,1,09.844,9844,-0.6900,-0.3600,9.3600,9.3923,0.0349,-0.0185,0.0109,2.81,-1.00,287.69,-0.5049,-0.0167,9.6750,9.6882
3,3,2,5,1,09.974,9974,-0.7200,-0.1200,9.1500,9.1791,-0.0153,0.0033,-0.0207,2.81,-0.88,287.69,-0.5333,-0.0303,9.6058,9.6206
3,3,2,5,1,10.105,10105,-0.7200,-0.4200,8.7800,8.8195,-0.0120,-0.0109,0.0142,2.88,-0.88,287.75,-0.5579,-0.0817,9.4970,9.5137
3,3,2,5,1,10.278,10278,-0.5500,-0.4400,9.1400,9.1671,-0.0229,0.0327,0.0524,2.81,-0.81,287.81,-0.5568,-0.1289,9.4499,9.4672
3,4,2,5,1,10.409,10409,-0.2300,-0.5200,10.2300,10.2458,-0.0098,-0.0131,-0.0447,2.88,-0.81,287.75,-0.5138,-0.1804,9.5527,9.5682
3,4,2,5,1,10.542,10542,-0.5800,-0.3600,9.7900,9.8138,-0.0022,-0.0185,0.0109,2.81,-0.75,287.75,-0.5225,-0.2041,9.5840,9.6004
3,4,2,5,1,10.673,10673,-0.0300,-0.3500,9.9800,9.9862,-0.0011,0.0316,-0.0120,2.88,-0.75,287.75,-0.4576,-0.2233,9.6362,9.6496
3,4,2,5,1,10.806,10806,-0.2500,-0.1800,9.8700,9.8748,0.0098,-0.0229,0.0033,2.75,-0.75,287.75,-0.4302,-0.2176,9.6670,9.6790
3,4,2,5,1,10.937,10937,-0.6600,0.1400,9.5700,9.5938,-0.0098,0.0218,-0.0055,2.81,-0.69,287.69,-0.4605,-0.1705,9.6542,9.6667
3,4,2,5,1,11.067,11067,-0.3300,0.0400,9.7000,9.7057,-0.0076,0.0153,-0.0055,2.75,-0.69,287.69,-0.4433,-0.1427,9.6602,9.6715
3,4,2,5,1,11.197,11197,-0.7000,-0.0400,10.1100,10.1343,-0.0076,-0.0044,-0.0022,2.81,-0.69,287.69,-0.4771,-0.1292,9.7195,9.7321
3,4,2,5,1,11.370,11370,-0.4700,-0.0300,9.7700,9.7813,-0.0011,0.0000,-0.0011,2.75,-0.69,287.69,-0.4762,-0.1161,9.7262,9.7385
3,4,2,5,1,11.500,11500,-0.4200,-0.0500,10.5100,10.5185,0.0142,0.0415,0.0087,2.75,-0.69,287.69,-0.4688,-0.1074,9.8295,9.8412
3,4,2,5,1,11.631,11631,-0.4000,-0.0600,10.6500,10.6577,-0.0087,0.0022,-0.0044,2.69,-0.69,287.69,-0.4597,-0.1012,9.9376,9.9487
3,4,2,5,1,11.761,11761,-0.4500,0.0000,10.7400,10.7494,0.0011,-0.0022,0.0022,2.69,-0.69,287.69,-0.4584,-0.0878,10.0433,10.0542
3,4,2,5,1,11.891,11891,-0.1900,-0.1100,10.1700,10.1724,0.0120,-0.0076,0.0033,2.75,-0.69,287.75,-0.4231,-0.0908,10.0600,10.0693
3,4,2,5,1,12.021,12021,-0.8200,1.3800,12.3000,12.4043,-0.0600,-0.0295,-0.0436,2.81,-0.81,287.69,-0.4754,0.1030,10.3552,10.3666
3,4,2,5,1,12.151,12151,-0.8200,0.7200,8.0700,8.1434,-0.0055,0.0065,0.0164,2.88,-0.94,287.69,-0.5208,0.1843,10.0541,10.0692
3,4,2,5,1,12.281,12281,-0.6800,-0.1800,7.4300,7.4632,-0.0153,-0.0011,-0.0251,2.81,-1.00,287.63,-0.5418,0.1363,9.7083,9.7243
3,4,2,5,1,12.458,12458,-0.1200,0.0400,8.3900,8.3910,-0.0044,-0.0044,0.0316,2.88,-1.00,287.63,-0.4862,0.1236,9.5346,9.5477
3,5,2,5,1,12.591,12591,-0.9400,-0.1600,9.9900,10.0354,-0.0153,0.0142,-0.0098,2.88,-0.94,287.69,-0.5460,0.0863,9.5946,9.6105
3,5,2,5,1,12.721,12721,-0.5500,0.1100,9.9800,9.9957,-0.0131,0.0065,0.0000,2.88,-0.94,287.69,-0.5465,0.0894,9.6454,9.6612
3,5,2,5,1,12.851,12851,-0.4000,-0.2000,10.8400,10.8492,0.0207,-0.0120,-0.0109,2.88,-0.94,287.69,-0.5272,0.0513,9.8028,9.8171
3,5,2,5,1,12.982,12982,-0.8200,-0.1800,8.7700,8.8101,-0.0022,0.0022,0.0316,2.88,-0.94,287.69,-0.5658,0.0208,9.6667,9.6833
3,5,2,5,1,13.112,13112,-0.2400,0.2200,7.8400,7.8468,0.0196,-0.0076,-0.0196,2.88,-0.94,287.69,-0.5229,0.0470,9.4260,9.4406
3,5,2,5,1,13.242,13242,-0.4000,-0.1200,10.1500,10.1586,-0.0207,0.0131,0.0153,2.81,-0.88,287.75,-0.5067,0.0250,9.5214,9.5349
3,5,2,5,1,13.373,13373,-0.5800,0.0600,10.3900,10.4063,-0.0142,0.0109,-0.0131,2.88,-0.88,287.69,-0.5163,0.0296,9.6358,9.6497
3,5,2,5,1,13.546,13546,-0.7300,-0.0200,9.2500,9.2788,0.0098,-0.0164,0.0087,2.88,-0.81,287.69,-0.5445,0.0231,9.5850,9.6005
3,5,2,5,1,13.677,13677,-0.5800,-0.0900,9.2300,9.2486,-0.0022,0.0273,-0.0044,2.88,-0.81,287.69,-0.5492,0.0082,9.5382,9.5540
3,5,2,5,1,13.810,13810,-0.2600,-0.0300,9.7600,9.7635,-0.0055,0.0022,-0.0087,2.88,-0.75,287.63,-0.5111,0.0032,9.5674,9.5811
