participant,rep,equipment_code,exercise_code,quality_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag
2,1,2,5,2,00.000,0,-0.4700,0.1500,9.5700,9.5827,0.0011,0.0000,0.0022,2.69,1.00,285.19,-0.5129,0.0560,9.5431,9.5571
2,1,2,5,2,00.173,173,-0.8000,-0.2700,9.1900,9.2287,0.1036,-0.0829,0.0065,2.81,0.69,285.19,-0.5508,0.0131,9.4966,9.5126
2,1,2,5,2,00.304,304,-0.3700,-0.1600,9.9000,9.9082,0.0065,0.0120,-0.0284,3.25,0.44,285.25,-0.5269,-0.0097,9.5497,9.5643
2,1,2,5,2,00.435,435,-0.7500,0.4800,9.5300,9.5715,-0.1691,0.0796,0.1265,2.75,1.13,285.25,-0.5563,0.0548,9.5471,9.5635
2,1,2,5,2,00.566,566,-0.2500,0.1500,10.8700,10.8739,-0.1189,0.0971,-0.0153,2.94,1.13,285.13,-0.5160,0.0673,9.7215,9.7354
2,1,2,5,2,00.697,697,-0.6900,0.1700,9.6400,9.6662,-0.0360,-0.0196,-0.0033,2.81,1.06,285.19,-0.5389,0.0809,9.7107,9.7260
2,1,2,5,2,00.831,831,-0.4500,0.2500,9.8500,9.8634,-0.0065,0.0142,-0.0055,2.81,1.00,285.19,-0.5272,0.1032,9.7291,9.7439
2,1,2,5,2,00.962,962,-0.4800,0.2300,9.7800,9.7945,0.0087,0.0000,-0.0022,2.75,1.00,285.19,-0.5210,0.1199,9.7358,9.7505
2,1,2,5,2,01.093,1093,-0.5500,0.1900,9.7400,9.7574,0.0065,0.0011,0.0000,2.81,0.94,285.19,-0.5248,0.1291,9.7363,9.7513
2,1,2,5,2,01.265,1265,-0.5000,0.1800,9.5800,9.5947,0.0065,-0.0175,0.0033,2.88,0.94,285.19,-0.5215,0.1358,9.7157,9.7307
2,1,2,5,2,01.395,1395,-0.5400,0.1600,9.4600,9.4768,0.0098,-0.0033,0.0000,2.94,0.94,285.19,-0.5240,0.1390,9.6820,9.6972
2,1,2,5,2,01.525,1525,-0.5600,0.1500,9.6500,9.6674,0.0022,-0.0011,-0.0033,2.94,0.88,285.19,-0.5287,0.1405,9.6778,9.6933
2,1,2,5,2,01.655,1655,-0.5500,0.1600,9.2300,9.2478,-0.0022,0.0033,-0.0033,2.94,0.81,285.19,-0.5315,0.1430,9.6188,9.6345
2,1,2,5,2,01.785,1785,-0.5600,0.0100,8.4800,8.4985,0.0044,0.0087,-0.0065,2.94,0.81,285.19,-0.5353,0.1255,9.4687,9.4847
2,1,2,5,2,01.915,1915,-0.5300,0.0300,8.6700,8.6862,0.0142,0.0109,0.0000,2.94,0.81,285.19,-0.5346,0.1129,9.3635,9.3794
2,1,2,5,2,02.045,2045,-0.4400,0.2300,9.5900,9.6028,-0.0076,0.0360,0.0000,2.88,0.81,285.19,-0.5221,0.1283,9.3933,9.4087
2,1,2,5,2,02.175,2175,-0.0400,0.0200,9.4600,9.4601,-0.0556,0.0545,0.0033,2.63,0.81,285.19,-0.4586,0.1141,9.4021,9.4140
2,1,2,5,2,02.348,2348,-0.7500,0.1100,9.5600,9.5900,-0.0044,-0.0131,0.0000,2.94,0.75,285.19,-0.4970,0.1135,9.4229,9.4367
2,1,2,5,2,02.478,2478,-0.4500,0.0900,9.1500,9.1615,-0.0055,0.0316,0.0000,2.81,0.75,285.19,-0.4908,0.1104,9.3870,9.4004
2,1,2,5,2,02.608,2608,-0.4400,0.0800,8.9600,8.9712,0.0000,-0.0262,-0.0022,2.81,0.75,285.19,-0.4841,0.1064,9.3307,9.3439
2,1,2,5,2,02.738,2738,-0.5100,0.0800,9.1800,9.1945,-0.0044,0.0185,-0.0055,2.94,0.75,285.19,-0.4875,0.1029,9.3108,9.3242
2,1,2,5,2,02.868,2868,-0.5200,0.1600,9.2600,9.2760,-0.0131,-0.0185,-0.0011,2.94,0.88,285.19,-0.4918,0.1105,9.3041,9.3178
2,1,2,5,2,02.998,2998,-0.7900,0.2300,8.8600,8.8981,-0.0022,-0.0316,-0.0273,3.00,0.88,285.19,-0.5311,0.1262,9.2456,9.2617
2,2,2,5,2,03.128,3128,-0.5500,0.0500,9.4800,9.4961,-0.0142,0.0382,-0.0033,3.00,0.94,285.13,-0.5336,0.1162,9.2765,9.2926
2,2,2,5,2,03.258,3258,-0.2800,0.3800,9.9100,9.9212,-0.0360,0.0098,0.0011,2.94,1.00,285.13,-0.5002,0.1509,9.3600,9.3745
2,2,2,5,2,03.431,3431,-0.5600,0.2000,9.9600,9.9777,0.0022,-0.0022,0.0044,2.94,1.00,285.13,-0.5081,0.1574,9.4390,9.4540
2,2,2,5,2,03.564,3564,-0.5600,0.1600,9.5500,9.5677,0.0033,0.0022,-0.0022,2.94,1.00,285.13,-0.5149,0.1577,9.4537,9.4690
2,2,2,5,2,03.699,3699,-0.4700,0.1600,9.5400,9.5529,0.0033,0.0295,0.0000,2.75,1.00,285.13,-0.5090,0.1580,9.4650,9.4800
2,2,2,5,2,03.829,3829,-0.4100,0.2100,9.4700,9.4812,0.0000,-0.0447,0.0022,2.75,1.00,285.13,-0.4959,0.1649,9.4657,9.4801
2,2,2,5,2,03.960,3960,-0.5500,0.0800,9.5200,9.5362,-0.0251,0.0175,-0.0011,3.00,1.06,285.13,-0.5031,0.1537,9.4729,9.4874
2,2,2,5,2,04.090,4090,-0.5700,0.0600,9.5900,9.6071,0.0393,-0.0055,-0.0055,2.94,1.06,285.13,-0.5119,0.1414,9.4883,9.5031
2,2,2,5,2,04.220,4220,-0.5500,0.2600,9.5800,9.5993,0.0055,0.0044,-0.0022,2.88,1.00,285.13,-0.5169,0.1570,9.5004,9.5157
2,2,2,5,2,04.351,4351,-0.5100,0.1500,9.4900,9.5049,0.0022,-0.0044,0.0000,2.69,1.00,285.13,-0.5160,0.1561,9.4990,9.5143
2,2,2,5,2,04.524,4524,-0.5900,0.2100,9.6400,9.6603,0.0000,-0.0131,-0.0022,3.00,1.00,285.13,-0.5257,0.1632,9.5176,9.5335
2,2,2,5,2,04.655,4655,-0.6100,0.1600,9.6900,9.7105,0.0000,0.0076,0.0011,3.00,1.00,285.13,-0.5368,0.1628,9.5403,9.5568
2,2,2,5,2,04.785,4785,-0.4500,0.1600,10.2400,10.2511,-0.0022,0.0000,0.0011,2.63,1.00,285.13,-0.5254,0.1624,9.6325,9.6482
2,2,2,5,2,04.921,4921,-0.6200,0.1900,9.8500,9.8713,0.0000,-0.0076,0.0011,2.81,0.94,285.13,-0.5379,0.1660,9.6612,9.6776
2,2,2,5,2,05.053,5053,-0.4200,0.1400,9.4800,9.4903,0.0044,0.0087,0.0011,2.63,0.94,285.13,-0.5223,0.1626,9.6373,9.6528
2,2,2,5,2,05.183,5183,-0.4800,0.1300,9.6200,9.6328,0.0011,-0.0196,0.0033,2.75,0.88,285.13,-0.5168,0.1583,9.6350,9.6502
2,2,2,5,2,05.313,5313,-0.5200,0.1300,9.2400,9.2555,0.0098,-0.0011,-0.0011,2.75,0.88,285.13,-0.5172,0.1546,9.5830,9.5982
2,2,2,5,2,05.443,5443,-0.6600,0.1300,9.3500,9.3742,0.0044,0.0153,-0.0011,2.88,0.88,285.13,-0.5360,0.1513,9.5523,9.5685
2,2,2,5,2,05.616,5616,-0.5000,0.1700,9.3600,9.3749,0.0033,0.0000,-0.0055,2.88,0.81,285.13,-0.5313,0.1538,9.5269,9.5430
2,2,2,5,2,05.748,5748,-0.5500,0.0700,9.0700,9.0869,0.0164,0.0055,-0.0011,2.88,0.75,285.13,-0.5337,0.1428,9.4667,9.4828
2,2,2,5,2,05.882,5882,-0.4600,0.1200,8.7300,8.7429,0.0033,0.0033,0.0044,2.88,0.75,285.13,-0.5240,0.1398,9.3696,9.3853
2,2,2,5,2,06.015,6015,-0.4800,0.1200,9.1200,9.1334,0.0000,0.0022,-0.0087,2.88,0.75,285.13,-0.5182,0.1372,9.3367,9.3521
2,2,2,5,2,06.145,6145,-0.4500,0.0600,9.6500,9.6607,0.0000,0.0284,0.0033,2.63,0.69,285.13,-0.5092,0.1270,9.3780,9.3927
2,2,2,5,2,06.275,6275,-0.4400,0.1200,9.8600,9.8705,0.0153,-0.0458,-0.0022,2.56,0.75,285.13,-0.5001,0.1261,9.4415,9.4556
2,2,2,5,2,06.406,6406,-0.6200,0.1100,9.5000,9.5208,-0.0011,0.0022,0.0044,2.75,0.69,285.13,-0.5159,0.1239,9.4492,9.4641
2,2,2,5,2,06.536,6536,-0.5100,0.1100,8.3600,8.3763,-0.0044,0.0185,0.0000,2.69,0.69,285.13,-0.5151,0.1221,9.3057,9.3208
2,2,2,5,2,06.709,6709,-0.3900,0.1000,7.6500,7.6606,-0.0109,-0.0229,0.0044,2.75,0.69,285.13,-0.4986,0.1192,9.0875,9.1020
2,3,2,5,2,06.839,6839,-0.4400,0.3300,9.3700,9.3861,-0.0327,-0.0033,-0.0022,2.75,0.88,285.13,-0.4909,0.1470,9.1247,9.1391
