participant,rep,equipment_code,exercise_code,target,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file,rep_original,source_dataset
1,1,2,4,0,0.0,0,0.01,-0.08,9.81,9.8103,0.0011,0.0,0.0033,0.06,-0.31,36.5,-0.0166,-0.0608,9.7636,9.7638,P001_Weight_Stack_Lateral_Pulldown_Clean_0_06 (1).csv,1,Weight_Stack_Lateral_Pulldown_Clean_resegmented_20260212_152436_relabeled
1,1,2,4,0,0.13,130,-0.03,-0.05,9.83,9.8302,-0.0011,0.0,-0.0022,0.06,-0.31,36.5,-0.0184,-0.0594,9.7724,9.7726,P001_Weight_Stack_Lateral_Pulldown_Clean_0_06 (1).csv,1,Weight_Stack_Lateral_Pulldown_Clean_resegmented_20260212_152436_relabeled
1,1,2,4,0,0.26,260,0.01,-0.1,9.8,9.8005,-0.0011,0.0055,-0.0022,0.06,-0.31,36.5,-0.0146,-0.0647,9.776,9.7763,P001_Weight_Stack_Lateral_Pulldown_Clean_0_06 (1).csv,1,Weight_Stack_Lateral_Pulldown_Clean_resegmented_20260212_152436_relabeled
1,1,2,4,0,0.39,390,-0.03,-0.05,9.99,9.9902,-0.0011,-0.0022,-0.0022,0.06,-0.31,36.5,-0.0167,-0.0628,9.8042,9.8044,P001_Weight_Stack_Lateral_Pulldown_Clean_0_06 (1).csv,1,Weight_Stack_Lateral_Pulldown_Clean_resegmented_20260212_152436_relabeled
1,1,2,4,0,0.52,520,-0.02,-0.03,10.3,10.3001,0.0022,0.0055,0.0055,0.06,-0.31,36.5,-0.0171,-0.0585,9.8696,9.8697,P001_Weight_Stack_Lateral_Pulldown_Clean_0_06 (1).csv,1,Weight_Stack_Lateral_Pulldown_Clean_resegmented_20260212_152436_relabeled
1,1,2,4,0,0.693,693,0.0,-0.05,10.24,10.2401,-0.0011,-0.0022,0.0055,0.06,-0.31,36.5,-0.0148,-0.0573,9.9184,9.9185,P001_Weight_Stack_Lateral_Pulldown_Clean_0_06 (1).csv,1,Weight_Stack_Lateral_Pulldown_Clean_resegmented_20260212_152436_relabeled
1,1,2,4,0,0.824,824,-0.03,-0.07,10.43,10.4303,-0.0033,0.0022,0.0033,0.06,-0.31,36.5,-0.0168,-0.059,9.9858,9.986,P001_Weight_Stack_Lateral_Pulldown_Clean_0_06 (1).csv,1,Weight_Stack_Lateral_Pulldown_Clean_resegmented_20260212_152436_relabeled
1,1,2,4,0,0.955,955,0.04,0.0,10.84,10.8401,0.0044,0.0044,0.0185,0.06,-0.31,36.56,-0.0094,-0.0512,10.0984,10.0985,P001_Weight_Stack_Lateral_Pulldown_Clean_0_06 (1).csv,1,Weight_Stack_Lateral_Pulldown_Clean_resegmented_20260212_152436_relabeled
1,1,2,4,0,1.085,1085,-0.06,-0.2,10.71,10.712,-0.0033,0.0033,-0.0055,0.06,-0.31,36.63,-0.016,-0.0708,10.179,10.1792,P001_Weight_Stack_Lateral_Pulldown_Clean_0_06 (1).csv,1,Weight_Stack_Lateral_Pulldown_Clean_resegmented_20260212_152436_relabeled
1,1,2,4,0,1.216,1216,-0.13,0.05,10.2,10.201,0.0033,0.0044,0.024,0.06,-0.31,36.69,-0.031,-0.0549,10.1817,10.1819,P001_Weight_Stack_Lateral_Pulldown_Clean_0_06 (1).csv,1,Weight_Stack_Lateral_Pulldown_Clean_resegmented_20260212_152436_relabeled
1,1,2,4,0,1.348,1348,-0.17,-0.16,10.82,10.8225,-0.0011,-0.0087,0.0262,0.06,-0.31,36.94,-0.0494,-0.0688,10.2658,10.2662,P001_Weight_Stack_Lateral_Pulldown_Clean_0_06 (1).csv,1,Weight_Stack_Lateral_Pulldown_Clean_resegmented_20260212_152436_relabeled
1,1,2,4,0,1.482,1482,-0.13,-0.17,10.07,10.0723,0.0022,0.0044,0.0164,0.06,-0.31,36.94,-0.06,-0.0821,10.24,10.2405,P001_Weight_Stack_Lateral_Pulldown_Clean_0_06 (1).csv,1,Weight_Stack_Lateral_Pulldown_Clean_resegmented_20260212_152436_relabeled
1,1,2,4,0,1.613,1613,0.17,0.22,9.39,9.3941,0.0087,0.0,0.0305,0.06,-0.31,37.19,-0.0297,-0.0423,10.128,10.1281,P001_Weight_Stack_Lateral_Pulldown_Clean_0_06 (1).csv,1,Weight_Stack_Lateral_Pulldown_Clean_resegmented_20260212_152436_relabeled
