participant,rep,equipment_code,exercise_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file,target, participant,rep_original,source_dataset
1,1,0,0,0.0,0,-1.18,9.83,0.75,9.9289,-0.0665,0.1178,0.0065,7.88,85.63,23.63,-1.4805,9.597,0.8389,9.7467,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0,1,Dumbbell_Concentration_Curls_Abrupt Initiation_resegmented_20260212_131303
1,1,0,0,0.121,121,-1.24,9.78,0.77,9.8883,0.0185,-0.0545,-0.1931,8.25,85.69,23.06,-1.4488,9.6211,0.8298,9.7649,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0,1,Dumbbell_Concentration_Curls_Abrupt Initiation_resegmented_20260212_131303
1,1,0,0,0.241,241,-1.44,9.63,0.77,9.7675,-0.0175,-0.1309,-0.0393,8.94,85.69,23.06,-1.4476,9.6223,0.8219,9.7652,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0,1,Dumbbell_Concentration_Curls_Abrupt Initiation_resegmented_20260212_131303
1,1,0,0,0.362,362,-1.66,9.68,0.69,9.8455,0.0284,-0.06,0.0393,9.13,85.81,23.56,-1.4756,9.6299,0.8046,9.7755,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0,1,Dumbbell_Concentration_Curls_Abrupt Initiation_resegmented_20260212_131303
1,1,0,0,0.483,483,-1.79,9.41,0.74,9.6073,0.0142,0.0687,0.0982,9.38,85.56,23.13,-1.517,9.6009,0.796,9.7526,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0,1,Dumbbell_Concentration_Curls_Abrupt Initiation_resegmented_20260212_131303
1,1,0,0,0.646,646,-1.46,9.73,0.7,9.8638,-0.0284,0.0785,-0.0218,9.44,85.69,22.31,-1.5095,9.6179,0.7834,9.7671,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0,1,Dumbbell_Concentration_Curls_Abrupt Initiation_resegmented_20260212_131303
1,1,0,0,0.767,767,-1.55,9.53,0.81,9.6891,0.0065,0.0305,0.0458,9.5,85.69,21.88,-1.5149,9.6063,0.7869,9.7568,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0,1,Dumbbell_Concentration_Curls_Abrupt Initiation_resegmented_20260212_131303
1,1,0,0,0.893,893,-1.81,9.66,0.71,9.8537,0.0076,-0.0022,0.024,9.5,85.75,21.88,-1.5537,9.6134,0.7768,9.7691,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0,1,Dumbbell_Concentration_Curls_Abrupt Initiation_resegmented_20260212_131303
1,1,0,0,1.014,1014,-1.77,9.59,0.74,9.78,0.0153,-0.0175,0.0022,9.38,85.63,22.13,-1.5822,9.6103,0.7719,9.7703,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0,1,Dumbbell_Concentration_Curls_Abrupt Initiation_resegmented_20260212_131303
1,1,0,0,1.135,1135,-1.83,9.56,0.76,9.7632,0.0011,0.0022,-0.012,9.38,85.63,22.19,-1.6149,9.6037,0.7703,9.7689,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0,1,Dumbbell_Concentration_Curls_Abrupt Initiation_resegmented_20260212_131303
1,1,0,0,1.255,1255,-1.69,9.55,0.77,9.7289,-0.0305,0.0153,-0.012,9.38,85.69,22.06,-1.6248,9.5966,0.7703,9.7636,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0,1,Dumbbell_Concentration_Curls_Abrupt Initiation_resegmented_20260212_131303
1,1,0,0,1.377,1377,-1.7,9.72,0.64,9.8883,-0.0371,0.0055,-0.0316,9.75,85.94,21.63,-1.6347,9.6129,0.7531,9.7799,P001_Dumbbell_Concentration_Curls_04.csv,2,2.0,1,Dumbbell_Concentration_Curls_Abrupt Initiation_resegmented_20260212_131303
