feature,importance
accelMag_peak_position,0.0988565490577026
filteredMag_skew,0.0905555691052392
filteredZ_max,0.05017937258746027
filteredZ_median,0.04329178365864774
filteredZ_min,0.03864331433442989
accelZ_skew,0.036877332890545345
filteredMag_peak_position,0.031268709250049674
filteredZ_kurtosis,0.02823028242517295
accelZ_jerk_std,0.02723106259434597
accelMag_max,0.024902875877513872
accelZ_min,0.024186432200175585
filteredZ_diff_mean,0.02259295689779447
filteredZ_range,0.022298424552759353
accelZ_diff_mean,0.022187464677454954
rep_duration_ms,0.022004914288296658
accelX_p25,0.02076959117370689
accelZ_range,0.020122480987391604
accelZ_jerk_mean,0.019357830972806727
filteredZ_iqr,0.016306452104579375
accelX_p75,0.015936707561302475
gyroX_iqr,0.01461466722616521
filteredZ_p75,0.014531904917073369
accelZ_p25,0.014151207465536747
avg_sample_rate,0.013856967641083556
gyroY_min,0.013707992050494668
filteredZ_p25,0.013454647882244724
accelZ_iqr,0.012518801318212069
ldlj,0.011913424208238281
filteredY_energy,0.011656364217341834
accelZ_median,0.011615183386144921
gyroY_iqr,0.011180273287818378
gyroX_min,0.011175212698144239
accelX_energy,0.010088123499149991
gyroX_p25,0.009494083686059966
filteredZ_jerk_mean,0.009438842043413111
accelZ_p75,0.009210271035266579
accelY_p25,0.008751946063506892
accelZ_kurtosis,0.00786318044153329
filteredZ_mean,0.007749025763607513
gyroY_p25,0.007276142012234779
accelX_max,0.0071109270975854184
accelY_range,0.006551745413233631
accelZ_rms,0.006304858979010945
accelY_energy,0.006100484323720016
accelY_min,0.006012961266709167
accelY_max,0.0060028504453179385
gyroZ_mean,0.005722804851533317
accelY_peak_position,0.005409436954698824
gyroZ_peak_position,0.004916648557577976
accelX_jerk_rms,0.004823534027595566
gyroX_p75,0.004733974279920656
gyroZ_energy,0.004558372085296989
gyroZ_p75,0.004500142987597098
gyroY_p75,0.004373582044076505
accelX_min,0.004138241873160279
gyroZ_iqr,0.004075581310801551
accelX_range,0.0038084446142368
accelX_iqr,0.0037160466507837903
gyroX_peak_position,0.003598598160068195
gyroY_kurtosis,0.0034923960364296796
