participant,rep,equipment_code,exercise_code,target,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file
1,1,1,3,0,0.0,0,-3.26,8.77,0.31,9.3614,0.0425,0.0578,0.0654,20.5,87.94,258.88,-3.4405,8.9541,-0.0689,9.5925,P001_Barbell_Back_Squats_Clean_0_01.csv
1,1,1,3,0,0.13,130,-3.29,8.69,0.24,9.295,0.0327,0.0207,-0.0687,20.75,87.63,258.5,-3.4207,8.9193,-0.0282,9.5527,P001_Barbell_Back_Squats_Clean_0_01.csv
1,1,1,3,0,0.261,261,-3.67,8.78,0.13,9.517,-0.0207,0.0022,0.0327,21.38,87.75,257.81,-3.4535,8.9009,-0.0074,9.5474,P001_Barbell_Back_Squats_Clean_0_01.csv
1,1,1,3,0,0.391,391,-3.53,9.07,0.44,9.7427,-0.0284,-0.0175,-0.0731,21.13,87.94,258.06,-3.4636,8.9232,0.0516,9.572,P001_Barbell_Back_Squats_Clean_0_01.csv
1,1,1,3,0,0.527,527,-3.61,8.81,0.32,9.5263,-0.0044,-0.0371,-0.0502,21.63,88.19,257.75,-3.4829,8.9083,0.087,9.5653,P001_Barbell_Back_Squats_Clean_0_01.csv
1,1,1,3,0,0.657,657,-2.95,8.52,0.33,9.0223,-0.0196,-0.0469,0.1484,20.5,88.44,259.0,-3.4127,8.8571,0.119,9.4926,P001_Barbell_Back_Squats_Clean_0_01.csv
1,1,1,3,0,0.789,789,-3.51,9.03,0.08,9.6885,-0.0327,-0.0578,0.1004,20.69,88.94,259.13,-3.4255,8.8799,0.1138,9.5184,P001_Barbell_Back_Squats_Clean_0_01.csv
1,1,1,3,0,0.919,919,-3.56,8.56,-0.07,9.271,-0.0851,-0.0873,0.0535,20.88,89.56,259.31,-3.4432,8.8377,0.0896,9.4852,P001_Barbell_Back_Squats_Clean_0_01.csv
1,1,1,3,0,1.092,1092,-3.24,9.04,-0.34,9.6091,-0.0785,-0.1254,0.1047,19.25,90.56,261.63,-3.4164,8.8644,0.033,9.5,P001_Barbell_Back_Squats_Clean_0_01.csv
1,1,1,3,0,1.223,1223,-2.33,8.11,-0.18,8.44,-0.0578,-0.1374,0.1069,17.94,91.38,263.69,-3.2733,8.765,0.0049,9.3562,P001_Barbell_Back_Squats_Clean_0_01.csv
