participant,rep,equipment_code,exercise_code,target,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file
1,1,1,2,1,0.0,0,-2.47,9.6,0.31,9.9175,-0.0491,0.0382,0.1974,20.25,86.5,1.81,-2.8905,9.3537,0.38,9.7975,P001_Barbell_Bench_Press_Uncontrolled_Movement_1_01.csv
1,1,1,2,1,0.13,130,-3.14,8.94,0.6,9.4944,0.0065,0.0131,0.2378,20.63,86.63,1.06,-2.9234,9.2992,0.409,9.7564,P001_Barbell_Bench_Press_Uncontrolled_Movement_1_01.csv
1,1,1,2,1,0.261,261,-3.65,9.39,0.3,10.0789,-0.0382,-0.024,-0.0753,20.94,86.81,1.06,-3.0192,9.3111,0.3946,9.7963,P001_Barbell_Bench_Press_Uncontrolled_Movement_1_01.csv
1,1,1,2,1,0.396,396,-2.79,9.1,0.49,9.5307,-0.0065,-0.0382,-0.3033,19.44,86.94,2.81,-2.989,9.2833,0.4072,9.7611,P001_Barbell_Bench_Press_Uncontrolled_Movement_1_01.csv
1,1,1,2,1,0.569,569,-3.35,9.54,0.18,10.1127,-0.0065,-0.0545,-0.1342,21.19,87.06,1.5,-3.0365,9.3171,0.3772,9.8067,P001_Barbell_Bench_Press_Uncontrolled_Movement_1_01.csv
1,1,1,2,1,0.699,699,-2.57,7.95,0.39,8.3642,0.0327,-0.0131,0.7232,19.88,87.19,3.06,-2.9751,9.137,0.3789,9.6166,P001_Barbell_Bench_Press_Uncontrolled_Movement_1_01.csv
1,1,1,2,1,0.829,829,-5.29,9.33,0.36,10.7314,-0.0545,-0.0927,-1.6581,22.44,87.5,0.94,-3.2801,9.1624,0.3764,9.7391,P001_Barbell_Bench_Press_Uncontrolled_Movement_1_01.csv
1,1,1,2,1,0.959,959,-3.12,9.55,0.35,10.0528,0.0175,0.012,0.757,21.88,87.63,1.63,-3.259,9.2135,0.3729,9.78,P001_Barbell_Bench_Press_Uncontrolled_Movement_1_01.csv
1,1,1,2,1,1.089,1089,-1.37,8.02,0.68,8.1645,0.0316,-0.0262,-0.4527,19.0,87.38,4.75,-3.0101,9.0562,0.4134,9.5523,P001_Barbell_Bench_Press_Uncontrolled_Movement_1_01.csv
1,1,1,2,1,1.219,1219,-4.14,9.68,-0.08,10.5285,0.0076,0.0207,0.5541,23.06,87.63,0.94,-3.159,9.1384,0.3484,9.6753,P001_Barbell_Bench_Press_Uncontrolled_Movement_1_01.csv
1,1,1,2,1,1.349,1349,-2.77,8.21,0.23,8.6678,-0.0709,-0.0011,0.2236,19.94,87.69,4.19,-3.1077,9.0161,0.3328,9.5425,P001_Barbell_Bench_Press_Uncontrolled_Movement_1_01.csv
