participant,rep,equipment_code,exercise_code,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file,target
1,1,0,0,0.0,0,-7.86,5.28,1.02,9.5236,-0.2127,0.1069,-0.1342,55.31,79.88,352.63,-7.7624,5.5687,0.7659,9.584,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,0.121,121,-8.17,5.5,0.89,9.8889,-0.3752,0.1778,-0.0393,55.88,80.44,349.63,-7.8161,5.5596,0.7823,9.6236,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,0.242,242,-7.7,5.65,0.85,9.5883,-0.2443,0.1931,0.0556,55.38,80.56,346.75,-7.8008,5.5716,0.7912,9.6188,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,0.404,404,-7.89,5.6,0.74,9.7036,-0.0196,-0.0273,0.0316,54.69,81.13,345.63,-7.8126,5.5753,0.7845,9.6299,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,0.53,530,-7.94,5.5,0.81,9.6928,0.1134,-0.0142,-0.0469,54.81,80.88,345.88,-7.8294,5.5654,0.7878,9.6381,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,0.652,652,-7.86,5.39,0.94,9.5768,0.0884,-0.0524,0.0316,54.88,80.44,346.31,-7.8334,5.5423,0.8079,9.6297,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,0.773,773,-7.94,5.37,0.91,9.6285,0.0458,-0.0022,-0.0436,54.94,80.31,346.44,-7.8475,5.5196,0.8213,9.6293,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,0.894,894,-7.88,5.31,0.99,9.5536,0.0185,-0.0033,-0.0076,55.19,80.06,346.13,-7.8517,5.492,0.8436,9.6189,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,1.014,1014,-7.98,5.54,0.94,9.7599,-0.0316,0.0022,0.0196,55.06,80.25,346.19,-7.8686,5.4983,0.8563,9.6374,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,1.136,1136,-7.95,6.29,1.16,10.2035,-0.0164,0.0164,0.1025,54.75,80.25,346.25,-7.8794,5.6026,0.8963,9.7096,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,1.262,1262,-7.95,6.97,1.21,10.6418,0.0818,-0.0284,0.7483,51.69,80.69,349.44,-7.8887,5.7828,0.9376,9.826,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,1.424,1424,-5.97,8.05,1.48,10.1308,0.1353,0.1145,1.5697,39.81,80.94,1.38,-7.6358,6.0816,1.0091,9.8138,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,1.545,1545,-5.45,9.28,1.41,10.854,0.1407,0.3,1.3603,30.19,80.38,8.94,-7.3478,6.503,1.0619,9.8695,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,1.666,1666,-4.2,10.08,1.77,11.0625,0.3469,0.3458,1.7006,20.06,78.44,17.69,-6.933,6.9744,1.1552,9.9017,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,1.787,1787,-2.22,9.62,2.53,10.1918,0.577,0.3338,1.9428,7.0,75.31,29.56,-6.312,7.323,1.3364,9.7598,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,1.911,1911,-0.47,9.07,2.88,9.5279,0.192,0.4745,2.0388,-6.5,72.63,40.81,-5.5421,7.5532,1.5398,9.4941,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,2.035,2035,2.42,8.62,2.39,9.2668,-0.0273,0.1767,1.8577,-20.94,72.0,53.31,-4.4929,7.6938,1.6518,9.0614,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,2.156,2156,3.61,7.24,2.79,8.5577,-0.0273,0.1538,1.5752,-31.38,70.63,63.56,-3.4252,7.634,1.8018,8.559,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,2.277,2277,5.25,6.25,2.89,8.6589,-0.48,0.2749,1.5501,-41.31,70.88,73.75,-2.282,7.4516,1.9452,8.0323,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,2.439,2439,7.75,3.62,1.95,8.7732,-0.5847,0.3709,0.9108,-54.25,76.06,87.69,-0.96,6.9467,1.9458,7.2777,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,2.559,2559,7.4,3.39,1.3,8.2427,-0.0284,-0.0545,0.0196,-57.31,78.19,92.19,0.1416,6.478,1.8607,6.7415,P001_Dumbbell_Concentration_Curls_01.csv,1
1,1,0,0,2.68,2680,6.89,4.58,1.47,8.4029,0.6021,-0.0065,-1.4214,-52.88,76.5,86.0,1.0309,6.2279,1.8092,6.5668,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,2.801,2801,5.73,5.68,1.81,8.2687,0.4745,-0.1604,-1.9537,-41.88,75.0,72.81,1.6501,6.1557,1.8093,6.6249,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,2.927,2927,2.33,7.82,1.92,8.3826,0.0055,-0.228,-2.2766,-27.19,75.13,58.38,1.7397,6.375,1.8239,6.8552,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,3.048,3048,1.34,10.11,1.81,10.3578,-0.3272,-0.0087,-1.7486,-13.25,77.5,44.81,1.687,6.8672,1.8221,7.3024,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,3.169,3169,-1.06,10.26,1.37,10.4052,-0.3316,-0.2705,-2.234,0.06,80.13,32.44,1.325,7.3143,1.7625,7.6394,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,3.29,3290,-3.88,9.95,1.47,10.7804,-0.1516,-0.2858,-1.8424,14.63,81.56,19.56,0.6391,7.6616,1.724,7.8791,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,3.453,3453,-5.41,9.3,1.28,10.835,-0.0873,-0.2913,-1.597,28.13,82.75,7.81,-0.158,7.8775,1.6655,8.0532,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,3.577,3577,-6.17,8.29,1.15,10.3979,-0.0295,-0.2934,-1.045,37.44,83.56,359.81,-0.9502,7.9319,1.5975,8.1467,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,3.698,3698,-6.7,7.59,0.77,10.1534,0.0698,-0.1745,-0.7581,42.94,84.31,355.75,-1.7079,7.8868,1.4885,8.2057,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,3.82,3820,-7.19,6.67,0.6,9.8257,0.1451,-0.1811,-0.7789,48.5,84.19,351.56,-2.4303,7.7265,1.3714,8.2149,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,3.941,3941,-7.9,6.04,0.49,9.9565,0.1014,-0.1724,-0.3731,52.44,84.44,349.0,-3.1511,7.5042,1.2553,8.2352,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,4.062,4062,-8.07,6.4,0.57,10.3155,0.0589,-0.0927,-0.252,54.06,84.88,348.38,-3.7992,7.3587,1.165,8.3631,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,4.183,4183,-8.06,6.57,0.89,10.4365,-0.0131,0.0371,0.3142,53.63,84.5,348.94,-4.3607,7.2548,1.1287,8.5394,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,4.304,4304,-7.47,7.72,0.87,10.7776,-0.1178,0.2073,1.0876,47.94,84.63,354.31,-4.7704,7.3161,1.0946,8.8023,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,4.471,4471,-6.19,8.3,1.08,10.4102,-0.0447,0.396,1.4573,36.63,83.31,2.44,-4.9575,7.4457,1.0927,9.0117,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,4.593,4593,-4.85,8.23,0.96,9.6009,0.2236,0.4298,1.4301,26.19,81.69,10.38,-4.9433,7.5491,1.0752,9.0874,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,4.713,4713,-4.09,8.66,1.6,9.71,0.3251,0.2334,1.0057,18.0,79.38,17.5,-4.8309,7.6955,1.1444,9.1579,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,4.834,4834,-2.49,9.03,2.0,9.5782,0.0938,0.4014,1.0123,11.19,77.75,22.69,-4.5224,7.8713,1.2571,9.1646,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,4.956,4956,-0.91,9.36,1.85,9.5844,0.1244,0.3,0.9065,3.88,77.25,27.69,-4.0464,8.0675,1.3352,9.1236,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,5.076,5076,-0.4,8.79,2.38,9.1153,0.2913,0.2149,0.7527,-1.5,75.75,31.75,-3.5659,8.1627,1.4729,9.0286,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,5.198,5198,0.68,9.45,2.84,9.8909,0.168,0.0927,0.6272,-6.94,74.25,36.38,-3.0064,8.3323,1.6531,9.011,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,5.324,5324,1.77,9.45,3.1,10.1018,0.1593,0.216,0.6818,-11.75,73.06,38.63,-2.377,8.4796,1.8437,8.9974,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,5.487,5487,2.69,8.68,3.03,9.5791,0.0338,0.2498,0.7603,-17.88,72.63,43.0,-1.7093,8.506,2.0001,8.9036,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,5.607,5607,3.76,8.48,2.83,9.6983,0.2651,0.108,0.7963,-23.75,71.44,46.31,-0.9886,8.5026,2.1094,8.816,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,5.728,5728,3.62,8.13,3.23,9.4675,0.3567,0.0993,0.8018,-27.88,68.56,47.25,-0.3813,8.4535,2.2571,8.7579,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,5.85,5850,5.32,7.63,3.82,10.0554,0.0807,0.1963,0.661,-33.56,66.31,49.88,0.37,8.345,2.463,8.7087,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,5.976,5976,5.39,7.19,3.21,9.5421,0.0262,0.2105,0.7101,-37.75,65.88,52.38,1.0315,8.1928,2.5615,8.6456,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,6.098,6098,6.23,6.69,3.36,9.7395,0.1276,0.1265,0.7101,-43.13,64.31,56.56,1.7165,7.9948,2.6667,8.6008,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,6.218,6218,6.67,6.08,3.3,9.6096,0.108,0.0818,0.6447,-47.25,62.19,59.88,2.3693,7.7424,2.7501,8.5512,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,6.339,6339,7.28,5.41,3.36,9.6724,0.0185,0.2203,0.6905,-52.06,59.38,64.5,3.0164,7.4351,2.8305,8.5083,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,6.502,6502,7.56,3.14,2.5,8.5594,-0.168,-0.1429,0.4647,-57.88,56.88,70.94,3.6151,6.8691,2.787,8.2475,P001_Dumbbell_Concentration_Curls_01.csv,1
1,2,0,0,6.624,6624,7.3,3.24,2.79,8.46,0.0175,-0.0207,-0.8378,-56.5,56.94,70.38,4.1007,6.3909,2.7874,8.0888,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,6.749,6749,6.97,4.59,3.06,8.8889,-0.0851,-0.0785,-1.3635,-48.88,63.06,61.44,4.4788,6.1536,2.8233,8.1177,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,6.87,6870,5.17,7.06,2.77,9.1785,-0.2073,-0.156,-1.6024,-39.25,67.25,51.25,4.5699,6.273,2.8163,8.2563,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,6.991,6991,3.78,8.24,2.8,9.4882,-0.324,-0.0949,-1.3603,-29.81,70.81,42.63,4.4658,6.5322,2.8141,8.3984,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,7.111,7111,2.44,9.07,2.7,9.7728,-0.4581,-0.1145,-1.4726,-20.38,74.56,34.25,4.1988,6.8666,2.7991,8.5215,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,7.232,7232,1.25,9.6,2.1,9.9062,-0.3065,-0.0764,-1.2446,-11.44,77.88,26.31,3.8103,7.2268,2.707,8.6065,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,7.353,7353,-0.58,10.06,1.75,10.2275,-0.0884,-0.1931,-1.5403,-2.0,79.25,17.94,3.2317,7.6002,2.5809,8.6526,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,7.516,7516,-2.41,9.08,1.81,9.5672,-0.0611,-0.2683,-1.4628,10.81,79.5,6.75,2.4883,7.7952,2.4793,8.55,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,7.641,7641,-4.41,9.17,1.57,10.2957,-0.1614,-0.1669,-1.4966,21.44,80.13,357.25,1.5793,7.9763,2.3595,8.4666,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,7.762,7762,-5.3,8.93,1.14,10.4467,-0.1429,-0.2018,-1.1203,30.5,81.44,348.75,0.6728,8.102,2.1988,8.422,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,7.883,7883,-5.94,7.9,0.84,9.9196,0.0938,-0.4211,-0.9872,37.44,82.31,343.56,-0.1986,8.0754,2.0197,8.3265,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,8.004,8004,-7.27,6.91,0.78,10.0603,0.2629,-0.3589,-0.973,44.38,82.63,339.56,-1.1305,7.9218,1.8564,8.2146,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,8.125,8125,-7.67,6.04,0.77,9.793,0.1658,-0.4549,-0.8367,50.5,83.44,336.44,-1.9922,7.6738,1.7132,8.1112,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,8.246,8246,-8.22,5.92,0.4,10.1378,0.2913,-0.3851,-0.7363,56.0,85.38,333.88,-2.8129,7.4427,1.5402,8.1042,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,8.367,8367,-8.61,5.68,0.7,10.3385,0.636,-0.3523,-0.4222,60.13,85.19,333.81,-3.5768,7.2104,1.4294,8.1748,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,8.53,8530,-8.81,5.81,0.89,10.5908,0.2323,-0.1505,0.8094,57.94,85.5,341.13,-4.2664,7.0259,1.3584,8.3313,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,8.655,8655,-8.19,6.85,0.83,10.7092,-0.1167,0.5072,1.2021,50.06,84.31,348.06,-4.7834,7.0027,1.2887,8.5779,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,8.776,8776,-6.58,7.54,1.04,10.0613,-0.3534,0.745,1.5959,39.81,82.5,356.19,-5.0202,7.0735,1.256,8.7644,P001_Dumbbell_Concentration_Curls_01.csv,1
1,3,0,0,8.896,8896,-5.05,8.52,0.93,9.9478,-0.2378,0.4723,1.4344,29.13,82.88,2.44,-5.0241,7.2641,1.213,8.9152,P001_Dumbbell_Concentration_Curls_01.csv,1
