participant,rep,equipment_code,exercise_code,target,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file
1,1,2,5,0,0.0,0,-0.43,-0.1,9.79,9.7999,0.0,0.0011,0.0,2.38,-0.63,267.75,-0.4002,-0.1173,9.7734,9.7823,P001_Weight_Stack_Seated_Leg_Extension_Clean_0_01 (1).csv
1,1,2,5,0,0.13,130,-0.4,-0.07,9.78,9.7884,0.0,0.0022,-0.0022,2.38,-0.63,267.75,-0.4001,-0.1111,9.7742,9.7831,P001_Weight_Stack_Seated_Leg_Extension_Clean_0_01 (1).csv
1,1,2,5,0,0.26,260,-0.41,-0.09,9.79,9.799,0.0,0.0,-0.0011,2.38,-0.63,267.75,-0.4014,-0.1083,9.7763,9.7852,P001_Weight_Stack_Seated_Leg_Extension_Clean_0_01 (1).csv
1,1,2,5,0,0.39,390,-0.29,0.18,9.93,9.9359,0.012,-0.0044,0.0033,2.38,-0.63,267.75,-0.3868,-0.0703,9.7966,9.8045,P001_Weight_Stack_Seated_Leg_Extension_Clean_0_01 (1).csv
1,1,2,5,0,0.52,520,-0.78,0.06,9.28,9.3129,-0.0698,0.132,-0.0404,2.81,-1.19,267.94,-0.4386,-0.0531,9.7285,9.7385,P001_Weight_Stack_Seated_Leg_Extension_Clean_0_01 (1).csv
1,1,2,5,0,0.65,650,-0.49,-0.14,9.88,9.8931,-0.0011,0.0033,-0.0044,2.56,-1.0,267.56,-0.4454,-0.0646,9.7485,9.7588,P001_Weight_Stack_Seated_Leg_Extension_Clean_0_01 (1).csv
1,1,2,5,0,0.78,780,-0.61,-0.26,10.5,10.5209,0.0011,-0.0044,-0.0011,2.56,-1.0,267.56,-0.467,-0.0903,9.8475,9.859,P001_Weight_Stack_Seated_Leg_Extension_Clean_0_01 (1).csv
1,1,2,5,0,0.953,953,-0.49,-0.24,10.33,10.3444,0.0044,-0.0011,0.0055,2.56,-1.0,267.56,-0.4701,-0.1101,9.9111,9.9228,P001_Weight_Stack_Seated_Leg_Extension_Clean_0_01 (1).csv
1,1,2,5,0,1.084,1084,-0.6,0.06,9.36,9.3794,0.0065,0.0022,0.0,2.56,-1.0,267.56,-0.4872,-0.0876,9.8385,9.8509,P001_Weight_Stack_Seated_Leg_Extension_Clean_0_01 (1).csv
1,1,2,5,0,1.215,1215,-0.43,-0.22,9.61,9.6221,0.0098,0.0,0.0022,2.56,-1.0,267.56,-0.4797,-0.1051,9.8084,9.8206,P001_Weight_Stack_Seated_Leg_Extension_Clean_0_01 (1).csv
1,1,2,5,0,1.346,1346,-0.49,-0.26,9.76,9.7758,0.0076,-0.012,0.0109,2.63,-1.0,267.56,-0.481,-0.1255,9.802,9.8146,P001_Weight_Stack_Seated_Leg_Extension_Clean_0_01 (1).csv
1,1,2,5,0,1.481,1481,-0.44,-0.32,9.81,9.8251,0.0044,-0.0055,0.0022,2.63,-1.0,267.56,-0.4756,-0.1511,9.803,9.8157,P001_Weight_Stack_Seated_Leg_Extension_Clean_0_01 (1).csv
1,1,2,5,0,1.612,1612,-0.52,-0.26,9.9,9.9171,0.0022,0.0022,0.0011,2.63,-1.0,267.56,-0.4815,-0.1655,9.8158,9.829,P001_Weight_Stack_Seated_Leg_Extension_Clean_0_01 (1).csv
1,1,2,5,0,1.743,1743,-0.63,0.15,9.84,9.8613,0.0,-0.0065,0.0044,2.56,-1.06,267.56,-0.501,-0.1239,9.819,9.8326,P001_Weight_Stack_Seated_Leg_Extension_Clean_0_01 (1).csv
