participant,rep,equipment_code,exercise_code,target,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file
1,1,2,5,1,0.0,0,-0.22,0.31,9.69,9.6975,-0.0022,0.0044,-0.0011,1.25,1.94,336.0,-0.228,0.308,9.6845,9.692,P001_Weight_Stack_Seated_Leg_Extension_Pulling_Too_Fast_1_01.csv
1,1,2,5,1,0.107,107,-0.2,0.28,9.72,9.7261,-0.0022,0.0022,-0.0022,1.25,1.94,336.0,-0.2243,0.3043,9.6891,9.6965,P001_Weight_Stack_Seated_Leg_Extension_Pulling_Too_Fast_1_01.csv
1,1,2,5,1,0.217,217,-0.2,0.32,9.66,9.6674,-0.0011,-0.0011,0.0,1.25,1.94,336.0,-0.2211,0.3064,9.6853,9.6927,P001_Weight_Stack_Seated_Leg_Extension_Pulling_Too_Fast_1_01.csv
1,1,2,5,1,0.319,319,-0.2,0.3,9.72,9.7267,-0.0109,-0.0087,0.0044,1.25,1.94,336.0,-0.2183,0.3056,9.6899,9.6972,P001_Weight_Stack_Seated_Leg_Extension_Pulling_Too_Fast_1_01.csv
1,1,2,5,1,0.421,421,-0.31,0.29,9.91,9.9191,-0.0033,0.0011,0.0,1.25,1.94,336.0,-0.2304,0.3035,9.7189,9.7264,P001_Weight_Stack_Seated_Leg_Extension_Pulling_Too_Fast_1_01.csv
1,1,2,5,1,0.529,529,-0.32,0.24,11.13,11.1372,-0.0044,-0.0022,0.0055,1.19,1.94,336.0,-0.2422,0.2951,9.9048,9.9122,P001_Weight_Stack_Seated_Leg_Extension_Pulling_Too_Fast_1_01.csv
1,1,2,5,1,0.631,631,-0.49,0.29,11.93,11.9436,0.0055,0.0033,0.0022,1.19,1.94,336.0,-0.2749,0.2945,10.1717,10.1797,P001_Weight_Stack_Seated_Leg_Extension_Pulling_Too_Fast_1_01.csv
1,1,2,5,1,0.746,746,-0.31,0.41,10.1,10.1131,0.0033,0.0229,0.0065,1.19,1.88,336.0,-0.2795,0.3097,10.1623,10.1708,P001_Weight_Stack_Seated_Leg_Extension_Pulling_Too_Fast_1_01.csv
1,1,2,5,1,0.85,850,-0.65,0.41,8.48,8.5148,0.0098,-0.0098,0.0044,1.25,1.88,336.06,-0.3283,0.3229,9.9406,9.9512,P001_Weight_Stack_Seated_Leg_Extension_Pulling_Too_Fast_1_01.csv
1,1,2,5,1,0.952,952,-0.52,0.08,7.24,7.2591,-0.0196,0.0109,0.0033,1.25,1.81,336.06,-0.3536,0.2909,9.5847,9.5956,P001_Weight_Stack_Seated_Leg_Extension_Pulling_Too_Fast_1_01.csv
1,1,2,5,1,1.057,1057,-0.65,0.05,8.38,8.4053,0.0196,-0.0196,0.0055,1.25,1.81,336.0,-0.3926,0.2592,9.426,9.4377,P001_Weight_Stack_Seated_Leg_Extension_Pulling_Too_Fast_1_01.csv
