participant,rep,equipment_code,exercise_code,target,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file
3,1,2,5,2,0.0,0,-0.53,-0.33,9.8,9.8199,0.0044,-0.0087,0.0055,3.44,-2.06,296.5,-0.4534,-0.2862,9.7956,9.8102,P003_Weight_Stack_Seated_Leg_Extension_Releasing_Too_Fast_2_01.csv
3,1,2,5,2,0.13,130,-0.55,-0.3,9.91,9.9298,0.0022,0.0022,-0.0011,3.44,-2.0,296.5,-0.4661,-0.288,9.8106,9.8259,P003_Weight_Stack_Seated_Leg_Extension_Releasing_Too_Fast_2_01.csv
3,1,2,5,2,0.26,260,-0.54,-0.29,9.75,9.7692,0.0022,0.0,0.0011,3.44,-2.0,296.5,-0.4758,-0.2883,9.8027,9.8184,P003_Weight_Stack_Seated_Leg_Extension_Releasing_Too_Fast_2_01.csv
3,1,2,5,2,0.39,390,-0.54,-0.23,9.83,9.8475,-0.0044,0.0044,-0.0033,3.38,-2.0,296.5,-0.4843,-0.2806,9.8063,9.8222,P003_Weight_Stack_Seated_Leg_Extension_Releasing_Too_Fast_2_01.csv
3,1,2,5,2,0.52,520,-0.27,0.0,9.64,9.6438,-0.0218,0.0229,-0.0491,3.25,-1.88,296.31,-0.4561,-0.2436,9.7843,9.798,P003_Weight_Stack_Seated_Leg_Extension_Releasing_Too_Fast_2_01.csv
3,1,2,5,2,0.65,650,-0.51,-0.26,9.82,9.8367,0.0011,-0.0044,0.0011,3.25,-1.81,296.31,-0.4632,-0.2458,9.789,9.8031,P003_Weight_Stack_Seated_Leg_Extension_Releasing_Too_Fast_2_01.csv
3,1,2,5,2,0.78,780,-0.51,-0.22,9.85,9.8656,0.0087,-0.0033,0.0131,3.25,-1.81,296.31,-0.4693,-0.2424,9.7971,9.8113,P003_Weight_Stack_Seated_Leg_Extension_Releasing_Too_Fast_2_01.csv
3,1,2,5,2,0.953,953,-0.51,-0.25,9.81,9.8264,-0.0033,0.0011,-0.0055,3.25,-1.81,296.38,-0.4747,-0.2434,9.7988,9.8133,P003_Weight_Stack_Seated_Leg_Extension_Releasing_Too_Fast_2_01.csv
3,1,2,5,2,1.083,1083,-0.51,-0.25,9.83,9.8464,0.0,-0.0033,-0.0011,3.25,-1.81,296.38,-0.4793,-0.2442,9.8029,9.8176,P003_Weight_Stack_Seated_Leg_Extension_Releasing_Too_Fast_2_01.csv
3,1,2,5,2,1.213,1213,-0.47,-0.3,9.83,9.8458,-0.0011,0.0022,-0.0022,3.19,-1.81,296.25,-0.4781,-0.2516,9.8065,9.8213,P003_Weight_Stack_Seated_Leg_Extension_Releasing_Too_Fast_2_01.csv
3,1,2,5,2,1.343,1343,-0.42,-0.31,10.78,10.7926,0.0076,-0.0033,-0.0087,3.19,-1.81,296.25,-0.4705,-0.2593,9.9348,9.9493,P003_Weight_Stack_Seated_Leg_Extension_Releasing_Too_Fast_2_01.csv
