participant,rep,equipment_code,exercise_code,target,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file,rep_original
1,1,0,0,0,0.0,0,0.03,9.71,0.52,9.724,-0.2356,0.7592,-0.2291,2.56,86.19,181.25,-0.3536,9.6751,0.1609,9.6829,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,0.13,130,-0.44,10.11,0.15,10.1207,-0.0305,0.3687,-0.132,4.19,87.25,175.81,-0.3649,9.7324,0.1595,9.7405,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,0.26,260,-0.77,9.69,0.4,9.7288,-0.0436,0.1244,-0.1233,5.38,87.19,172.94,-0.4183,9.7268,0.1912,9.7377,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,0.39,390,-0.98,10.07,0.34,10.1233,-0.0142,0.0109,-0.1713,6.38,87.44,171.5,-0.4923,9.772,0.2108,9.7867,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,0.52,520,-1.38,9.81,0.45,9.9168,0.0142,-0.0011,-0.1473,7.38,87.25,170.5,-0.6093,9.777,0.2423,9.799,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,0.651,651,-1.32,9.52,0.61,9.6304,0.0131,0.0131,-0.0273,7.63,87.13,170.19,-0.703,9.7432,0.2908,9.7728,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,0.781,781,-1.54,9.91,0.34,10.0347,0.012,-0.0087,0.0284,7.75,87.25,170.06,-0.8133,9.7651,0.2973,9.8035,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,0.954,954,-1.49,9.82,0.55,9.9476,0.0393,0.0109,-0.0491,7.88,86.88,169.94,-0.9024,9.7724,0.3306,9.8195,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,1.084,1084,-1.05,10.08,0.62,10.1535,0.0807,-0.0447,-0.0033,7.31,86.5,170.81,-0.9219,9.8129,0.3687,9.863,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,1.214,1214,-0.67,9.95,0.69,9.9964,0.0862,-0.1985,0.2334,6.0,85.94,173.13,-0.8887,9.831,0.411,9.8796,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,1.344,1344,-0.13,10.45,0.98,10.4967,0.2389,-0.3469,0.5465,3.38,84.81,177.81,-0.7887,9.9125,0.486,9.9557,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,1.474,1474,0.84,10.1,1.41,10.2325,0.2629,-0.2454,0.9098,-2.06,82.75,185.63,-0.5741,9.9372,0.6078,9.9724,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,1.604,1604,1.25,10.24,1.37,10.4066,0.3076,-0.2203,1.0287,-8.19,80.69,193.81,-0.3337,9.9771,0.7082,10.0078,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,1.734,1734,1.94,10.12,1.95,10.4872,0.4123,-0.1385,0.9916,-14.94,77.69,201.69,-0.0341,9.996,0.8718,10.034,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,1.865,1865,3.4,9.54,2.32,10.3901,0.3403,0.0022,1.2414,-23.31,74.44,210.69,0.4184,9.9359,1.0627,10.0013,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,2.038,2038,5.05,8.09,2.93,9.9767,0.42,-0.1484,1.2686,-34.94,68.63,222.25,1.0287,9.6926,1.3087,9.8346,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,2.168,2168,5.81,7.35,3.22,9.9069,0.3992,-0.1222,1.1116,-42.88,61.81,231.0,1.6588,9.3839,1.5606,9.6564,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,2.298,2298,7.54,5.71,3.5,10.0849,0.2498,-0.072,1.213,-50.5,53.5,239.81,2.4338,8.8998,1.8162,9.4036,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,2.428,2428,7.67,4.65,3.65,9.6837,0.2923,-0.0567,1.3286,-57.25,42.06,249.0,3.1238,8.3398,2.0578,9.1403,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,2.558,2558,8.69,2.74,4.25,10.0542,0.2782,0.168,1.5141,-63.44,24.94,258.0,3.8573,7.6019,2.3467,8.8416,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,2.688,2688,8.35,0.36,3.98,9.257,0.3796,0.0851,1.3799,-66.94,-0.5,267.94,4.4493,6.6476,2.5619,8.3994,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,2.818,2818,8.11,-0.99,3.64,8.9444,0.2716,0.0818,1.2097,-65.31,-24.69,276.31,4.9317,5.6411,2.704,7.9659,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,2.948,2948,7.35,-2.93,2.95,8.4445,0.2967,0.3774,1.1683,-61.75,-43.31,284.19,5.2504,4.5117,2.7364,7.4438,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,1,0,0,0,3.121,3121,8.13,-2.63,2.39,8.8728,-0.1614,-0.1571,-0.5858,-61.75,-46.5,286.63,5.6298,3.5706,2.6908,7.1892,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,2,0,0,0,3.252,3252,7.87,-2.43,4.33,9.3054,-0.0153,-0.4461,-1.3559,-65.19,-31.06,278.06,5.925,2.7799,2.9068,7.1612,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,1
1,2,0,0,0,3.382,3382,7.42,-0.36,3.99,8.4324,-0.0295,-0.3611,-1.4955,-65.19,-9.44,269.38,6.122,2.3661,3.0495,7.2372,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,3.513,3513,7.93,1.57,4.3,9.1564,-0.3065,0.0491,-1.4563,-63.75,13.19,260.0,6.3603,2.2612,3.2143,7.4765,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,3.644,3644,8.71,3.31,3.5,9.9534,-0.5552,0.3709,-0.985,-61.94,34.13,252.25,6.6699,2.3994,3.2519,7.7987,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,3.775,3775,7.7,4.2,3.81,9.5627,-0.2193,0.096,-1.3472,-57.0,50.81,244.06,6.8056,2.6367,3.3255,8.0205,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,3.906,3906,6.54,6.5,3.06,9.7152,-0.3142,-0.1527,-1.4595,-48.44,59.63,235.81,6.7706,3.1458,3.2905,8.1587,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,4.041,4041,6.22,8.18,2.32,10.5349,-0.6272,0.2149,-1.0177,-40.88,67.06,228.94,6.6981,3.8092,3.1626,8.3292,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,4.213,4213,5.27,9.26,2.14,10.8674,-0.2618,0.2345,-1.2948,-30.75,76.19,216.56,6.5099,4.5274,3.0279,8.4879,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,4.343,4343,3.58,9.21,1.7,10.0265,-0.1593,-0.1156,-0.9021,-22.94,78.5,208.94,6.1238,5.1445,2.8529,8.4915,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,4.473,4473,1.89,9.75,1.59,10.058,-0.2585,0.0382,-1.045,-15.75,80.25,202.56,5.5659,5.7514,2.6865,8.4424,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,4.603,4603,2.32,9.83,1.13,10.1631,-0.4254,0.2803,-0.7189,-10.38,83.25,196.0,5.1382,6.2888,2.4814,8.4916,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,4.734,4734,0.47,10.29,0.52,10.3138,-0.2443,0.1713,-0.8061,-4.44,86.38,188.94,4.523,6.8161,2.2229,8.4769,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,4.864,4864,-0.09,10.35,0.33,10.3557,-0.2553,0.0436,-0.9065,0.38,88.44,183.63,3.9151,7.2818,1.9735,8.4998,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,4.995,4995,-0.47,10.2,0.13,10.2117,-0.2116,0.0305,-0.5411,5.31,89.75,177.88,3.3373,7.6663,1.7305,8.5384,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,5.125,5125,0.2,10.91,0.47,10.922,0.0884,-0.0698,-0.2553,8.25,90.25,175.06,2.9239,8.0937,1.5644,8.7467,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,5.298,5298,-0.16,10.56,0.43,10.57,0.3491,-0.048,0.613,4.13,88.25,180.13,2.5175,8.4187,1.4149,8.9003,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,5.428,5428,0.2,10.5,0.48,10.5129,0.3305,-0.0087,0.9479,-2.0,85.75,186.38,2.2121,8.693,1.2917,9.0626,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,5.558,5558,1.71,10.34,0.92,10.5207,0.3894,-0.0556,1.1039,-9.31,83.06,193.56,2.146,8.91,1.2428,9.2487,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,5.688,5688,2.33,9.74,1.88,10.1897,0.4396,-0.1004,0.8574,-16.13,79.25,200.5,2.1702,9.0194,1.3267,9.3712,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,5.818,5818,3.75,9.8,2.11,10.703,0.3098,0.1549,1.1028,-23.38,76.19,207.0,2.3784,9.1223,1.4299,9.535,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,5.948,5948,5.24,8.71,2.5,10.4677,0.3436,0.0262,1.2741,-31.88,72.88,213.81,2.7555,9.0679,1.571,9.6067,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,6.078,6078,5.84,7.91,2.76,10.2123,0.5105,-0.2847,1.1519,-39.88,66.94,222.44,3.1619,8.9153,1.7276,9.6159,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,6.208,6208,6.12,6.48,3.31,9.5079,0.5072,-0.2651,1.1803,-46.81,57.19,230.81,3.5517,8.5944,1.9362,9.4988,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,6.381,6381,7.15,4.09,3.66,9.0137,0.228,0.1254,1.1923,-55.56,44.63,240.5,4.0259,8.0009,2.1633,9.2142,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,6.511,6511,9.15,3.44,4.14,10.6158,0.3349,-0.036,1.0548,-60.5,34.19,246.31,4.7011,7.3999,2.4238,9.0958,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,6.641,6641,8.22,2.24,4.25,9.521,0.2236,-0.2291,0.7232,-62.5,19.75,252.0,5.1648,6.7199,2.6644,8.8844,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,6.771,6771,7.62,0.58,4.39,8.8132,0.4821,0.1636,1.6166,-63.44,4.13,257.56,5.4883,5.9108,2.8918,8.5687,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,6.901,6901,7.59,-1.62,3.77,8.6282,0.312,0.3502,1.177,-64.31,-16.5,264.38,5.7653,4.9185,3.0075,8.1532,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
1,2,0,0,0,7.031,7031,7.54,-3.64,3.29,8.9958,-0.0131,0.1047,-0.1407,-64.88,-26.13,267.13,5.9992,3.7907,3.0448,7.722,P001_Dumbbell_Concentration_Curls_Clean_0_01 (2).csv,2
