participant,rep,equipment_code,exercise_code,target,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file,rep_original
1,1,2,4,1,0.0,0,-0.17,-0.21,9.79,9.7937,-0.0022,0.0022,0.0011,1.13,-1.0,96.5,-0.2323,-0.1993,9.779,9.7838,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,0.133,133,-0.31,-0.18,9.75,9.7566,-0.0011,0.0011,-0.0011,1.13,-1.0,96.5,-0.2425,-0.1968,9.7752,9.7802,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,0.267,267,-0.23,-0.16,9.79,9.794,0.0,-0.0044,-0.0022,1.13,-1.0,96.5,-0.2409,-0.1919,9.7771,9.782,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,0.398,398,-0.16,-0.2,9.81,9.8133,0.0,0.0044,-0.0011,1.13,-1.0,96.5,-0.2302,-0.193,9.7815,9.7861,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,0.528,528,-0.26,-0.19,9.77,9.7753,0.0,0.0022,0.0,1.13,-1.0,96.5,-0.2341,-0.1926,9.78,9.7847,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,0.659,659,-0.26,-0.18,9.76,9.7651,0.0,-0.0022,-0.0022,1.13,-1.0,96.5,-0.2375,-0.1909,9.7773,9.7821,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,0.832,832,-0.24,-0.15,9.71,9.7141,0.0011,0.0011,-0.0011,1.13,-1.0,96.5,-0.2379,-0.1855,9.7685,9.7731,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,0.963,963,-0.2,-0.24,9.84,9.845,-0.0022,0.0022,-0.0011,1.13,-1.0,96.5,-0.2329,-0.1927,9.7779,9.7826,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,1.094,1094,-0.31,-0.19,10.12,10.1265,0.0011,0.0,0.0065,1.13,-1.0,96.5,-0.243,-0.1924,9.823,9.8279,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,1.229,1229,-0.16,-0.19,10.74,10.7429,0.0022,0.0033,-0.0011,1.13,-1.0,96.5,-0.2321,-0.1921,9.9438,9.9484,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,1.361,1361,0.17,-0.26,12.68,12.6838,-0.0065,-0.0218,-0.0109,1.13,-0.94,96.5,-0.1791,-0.201,10.3044,10.3079,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,1.492,1492,-0.09,-0.39,12.41,12.4165,0.0415,0.0,-0.0207,1.06,-1.0,96.5,-0.1674,-0.2259,10.5818,10.5856,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,1.622,1622,-0.19,-0.15,12.34,12.3424,-0.012,-0.0404,0.0033,1.13,-1.06,96.38,-0.1703,-0.2159,10.8135,10.817,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,1.752,1752,0.12,-0.36,8.32,8.3286,-0.0633,-0.0338,0.0044,1.19,-1.06,96.56,-0.1321,-0.2349,10.4849,10.4884,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,1.925,1925,-0.62,-0.07,4.74,4.7809,0.0131,0.0229,-0.0055,1.13,-0.94,96.56,-0.1964,-0.2132,9.7279,9.7322,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,2.056,2056,-0.15,-0.01,6.42,6.4218,0.0262,-0.012,-0.0022,1.25,-0.94,96.56,-0.1903,-0.1864,9.292,9.2958,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,2.186,2186,0.08,-0.18,8.53,8.5323,-0.0065,-0.0175,0.0262,1.25,-0.88,96.5,-0.1547,-0.1856,9.1916,9.1948,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,1,2,4,1,2.322,2322,-0.09,-0.34,7.98,7.9877,-0.0262,-0.0175,0.0076,1.31,-0.88,96.5,-0.1461,-0.2059,9.0319,9.0355,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,2,2,4,1,2.452,2452,-0.65,-0.58,8.53,8.5744,0.0764,0.0022,-0.012,1.19,-0.94,96.5,-0.2125,-0.2552,8.9658,8.9719,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,1
1,2,2,4,1,2.584,2584,-0.64,-0.16,9.62,9.6426,0.0,-0.0109,0.0065,1.19,-0.94,96.56,-0.2689,-0.2427,9.052,9.0592,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,2.715,2715,-0.22,-0.44,10.09,10.102,-0.0185,-0.0196,0.0196,1.25,-1.0,96.56,-0.2624,-0.2687,9.1888,9.1965,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,2.845,2845,-0.25,-0.07,10.37,10.3732,-0.0076,-0.0087,-0.0142,1.25,-0.94,96.56,-0.2608,-0.2425,9.3444,9.3512,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,3.018,3018,-0.22,-0.62,10.11,10.1314,0.0185,0.0142,-0.0033,1.25,-1.0,96.5,-0.2554,-0.2922,9.4453,9.4533,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,3.149,3149,-0.08,-0.26,10.01,10.0137,0.0196,0.0055,0.0185,1.13,-0.94,96.5,-0.2323,-0.288,9.5197,9.5269,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,3.279,3279,-0.42,-0.04,9.82,9.8291,-0.0338,-0.0164,-0.0251,1.13,-0.94,96.56,-0.257,-0.2553,9.5593,9.5662,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,3.413,3413,-0.23,-0.15,10.07,10.0737,-0.0142,-0.0065,0.0164,1.13,-0.94,96.5,-0.2535,-0.2414,9.6266,9.633,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,3.547,3547,-0.33,-0.12,10.45,10.4559,-0.0033,0.0033,-0.0087,1.13,-0.94,96.5,-0.2636,-0.2254,9.7351,9.7413,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,3.678,3678,-0.09,-0.18,10.85,10.8519,-0.0153,0.0076,0.0011,1.13,-1.0,96.56,-0.2407,-0.2194,9.882,9.8874,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,3.808,3808,-0.34,-0.21,10.62,10.6275,-0.0076,0.0131,-0.0131,1.13,-1.0,96.56,-0.2538,-0.2182,9.9793,9.9849,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,3.939,3939,-0.26,-0.22,9.86,9.8659,0.0131,-0.0011,0.0033,1.06,-1.0,96.56,-0.2546,-0.2184,9.9635,9.9692,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,4.112,4112,-0.04,-0.41,13.1,13.1065,0.0,0.0393,-0.0142,1.0,-1.0,96.56,-0.2263,-0.2437,10.3769,10.3822,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,4.242,4242,0.27,-0.41,13.99,13.9986,-0.0022,0.0076,-0.0022,1.06,-1.0,96.56,-0.1609,-0.2656,10.853,10.8574,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,4.376,4376,0.03,-0.46,10.55,10.5601,0.012,0.0011,-0.048,1.06,-1.0,96.5,-0.1358,-0.2912,10.813,10.8178,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,4.507,4507,0.13,-0.04,7.49,7.4912,0.0262,0.0131,0.0295,1.19,-1.06,96.56,-0.1007,-0.2581,10.3752,10.3789,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,4.64,4640,0.13,0.12,6.68,6.6823,-0.0284,0.0578,-0.0709,0.94,-1.0,96.5,-0.0703,-0.2083,9.8882,9.8907,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,4.771,4771,-0.27,-0.59,7.96,7.9864,0.036,-0.024,0.0175,1.13,-1.13,96.69,-0.0966,-0.2586,9.6341,9.6381,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,4.901,4901,-0.54,-0.26,5.73,5.7613,-0.0305,-0.0153,0.0011,1.13,-0.88,96.63,-0.1551,-0.2588,9.1197,9.1247,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,5.032,5032,-0.26,-0.15,9.2,9.2049,0.0044,0.0065,-0.0033,1.25,-0.81,96.63,-0.1689,-0.2444,9.1303,9.1351,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,2,2,4,1,5.205,5205,-0.15,-0.26,9.37,9.3748,0.0284,0.0142,0.0076,1.19,-0.81,96.56,-0.1664,-0.2465,9.1618,9.1667,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,3,2,4,1,5.335,5335,-0.25,-0.18,8.31,8.3157,0.0,0.0207,0.0011,1.13,-0.88,96.56,-0.1774,-0.2377,9.0496,9.0545,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,2
1,3,2,4,1,5.468,5468,-0.04,-0.13,9.1,9.101,-0.0109,-0.0044,0.0055,1.13,-0.88,96.56,-0.1593,-0.2235,9.0562,9.0604,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,3
1,3,2,4,1,5.603,5603,-0.25,-0.02,9.1,9.1035,-0.0109,0.0044,0.0044,1.19,-0.81,96.56,-0.1713,-0.1967,9.062,9.0658,P001_Weight_Stack_Lateral_Pulldown_Pulling_Too_Fast_1_01.csv,3
