participant,rep,equipment_code,exercise_code,target,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file,rep_original,source_dataset
1,1,1,2,1,0.0,0,-0.33,9.82,0.53,9.8398,0.0305,0.0218,0.192,-3.75,86.69,333.31,0.2271,9.8329,0.4852,9.8475,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,0.11,110,0.55,9.8,0.56,9.8314,0.0185,0.0316,-0.0098,-4.06,86.5,333.44,0.2697,9.8286,0.495,9.8447,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,0.212,212,0.5,9.85,0.64,9.8834,0.0109,0.0393,-0.0109,-4.06,86.44,333.19,0.3,9.8314,0.5141,9.8494,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,0.324,324,0.28,9.7,0.7,9.7293,0.0044,0.0349,-0.1047,-4.0,86.44,332.88,0.2974,9.8141,0.5386,9.8333,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,0.428,428,0.41,9.79,0.73,9.8257,0.0098,0.0218,-0.0371,-4.06,86.38,332.69,0.3122,9.8109,0.5638,9.8321,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,0.539,539,-0.42,9.8,0.66,9.8312,0.0142,0.0076,0.1058,-3.94,86.38,332.56,0.2157,9.8095,0.5765,9.8288,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,0.641,641,1.01,9.66,0.66,9.7351,0.0065,-0.0044,0.2705,-4.5,86.31,333.19,0.3204,9.7898,0.5875,9.8126,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,0.752,752,0.83,9.77,0.59,9.8229,-0.0142,-0.0185,0.0273,-4.81,86.31,333.56,0.3875,9.7872,0.5878,9.8125,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,0.854,854,0.4,9.77,0.62,9.7978,-0.0251,-0.0196,0.1189,-4.94,86.44,333.75,0.3892,9.7849,0.5921,9.8105,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,0.964,964,1.1,10.33,0.85,10.4231,-0.0349,-0.0251,0.0818,-5.13,86.63,334.13,0.4829,9.8567,0.6261,9.8884,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,1.066,1066,1.42,12.04,0.74,12.146,-0.0207,-0.0316,-0.0818,-5.06,86.75,334.19,0.6063,10.1444,0.6411,10.1827,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,1.18,1180,0.91,11.5,0.63,11.5531,0.0251,-0.0327,-0.0927,-3.69,86.69,333.06,0.6464,10.3231,0.6396,10.363,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,1.282,1282,-0.28,10.1,0.27,10.1075,0.0175,-0.0491,-0.3894,-1.88,86.56,331.5,0.5243,10.2937,0.5909,10.3239,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,1.392,1392,0.08,8.87,0.61,8.8913,-0.0338,-0.0164,0.1353,-1.0,86.56,330.88,0.4657,10.1061,0.5934,10.1342,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,1.494,1494,1.87,8.79,0.88,9.0297,-0.1276,0.0087,0.1484,-1.69,87.06,331.63,0.6508,9.9326,0.6312,9.9739,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,1.605,1605,-1.88,9.28,0.58,9.4863,-0.2345,0.0316,0.1734,-2.44,88.19,332.25,0.3173,9.8466,0.6244,9.8715,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,1.707,1707,-2.0,9.44,0.18,9.6512,-0.3022,0.0589,0.1505,-4.0,89.69,333.63,0.0119,9.7931,0.5659,9.8094,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,1.817,1817,1.57,9.73,0.33,9.8614,-0.264,0.0884,0.5956,-8.44,91.5,337.63,0.2172,9.7847,0.5348,9.8018,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,1.919,1919,2.12,10.07,0.17,10.2921,-0.0709,0.0654,0.4418,-11.56,92.56,340.06,0.468,9.8223,0.4867,9.8455,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,2.033,2033,4.13,8.72,-0.38,9.6561,0.2105,-0.0185,0.1876,-13.75,92.0,341.25,0.9505,9.6771,0.3725,9.7308,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
1,1,1,2,1,2.135,2135,3.5,8.71,-1.26,9.4711,0.2422,-0.084,-0.3774,-14.88,90.38,341.94,1.2865,9.5496,0.1574,9.6372,P001_Barbell_Bench_Press_Clean_0_01.csv,1,Barbell_Bench_Press_Clean_resegmented_20260218_235753_relabeled
