participant,rep,equipment_code,exercise_code,target,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file,rep_original
1,2,1,3,2,2.732,2732,-5.95,7.25,-1.36,9.4771,0.1571,-0.0055,0.0993,37.88,99.0,28.13,-5.3322,7.7491,-1.4063,9.511,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,1
1,2,1,3,2,2.862,2862,-5.92,7.27,-1.12,9.4421,0.1189,0.0044,0.1124,37.56,98.19,29.19,-5.4097,7.686,-1.3685,9.498,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,1
1,2,1,3,2,2.992,2992,-5.78,8.26,-1.1,10.1413,0.0829,0.0055,0.4756,35.56,97.31,31.88,-5.4585,7.7616,-1.3331,9.582,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,1
1,2,1,3,2,3.122,3122,-4.91,8.25,-1.08,9.6611,0.0425,-0.0142,0.0458,32.94,96.69,35.13,-5.3862,7.826,-1.2998,9.5889,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,1
1,2,1,3,2,3.252,3252,-5.95,8.18,-0.94,10.1587,-0.0175,-0.0153,-0.132,33.88,96.81,34.5,-5.4605,7.8726,-1.2524,9.6625,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,1
1,2,1,3,2,3.382,3382,-5.88,9.7,-0.92,11.3803,-0.012,-0.0033,0.625,32.13,96.81,36.31,-5.5158,8.1134,-1.2086,9.8849,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,1
1,2,1,3,2,3.512,3512,-4.93,9.91,-1.07,11.1202,0.0109,-0.0011,0.3523,28.13,96.44,40.44,-5.4386,8.3502,-1.1903,10.036,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,1
1,2,1,3,2,3.685,3685,-5.58,9.41,-0.81,10.97,0.036,0.0316,-0.2531,28.81,96.38,39.81,-5.4572,8.4898,-1.1402,10.1567,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,1
1,2,1,3,2,3.815,3815,-5.37,8.73,-0.69,10.2726,0.0665,0.1178,-0.228,30.56,95.69,37.75,-5.4457,8.5215,-1.0809,10.1705,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,1
1,2,1,3,2,3.945,3945,-5.21,7.94,-0.6,9.5157,0.0469,0.1505,-0.2847,32.63,94.69,35.19,-5.4147,8.4448,-1.0175,10.0831,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,2,1,3,2,4.075,4075,-4.93,7.63,-0.53,9.0996,-0.0131,0.0916,-0.2127,34.44,94.06,32.69,-5.3508,8.3375,-0.9533,9.9525,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,2,1,3,2,4.205,4205,-5.21,7.71,-0.4,9.3139,-0.0447,0.0251,-0.1789,35.75,94.0,30.94,-5.3322,8.2548,-0.8804,9.8666,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,2,1,3,2,4.335,4335,-5.34,7.61,-0.52,9.3112,-0.0807,-0.0316,-0.0905,36.5,94.5,30.13,-5.3333,8.1698,-0.8329,9.792,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,2,1,3,2,4.466,4466,-5.89,7.48,-0.76,9.5509,-0.0949,-0.048,-0.2193,37.63,95.44,28.75,-5.4066,8.0789,-0.8233,9.7559,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,2,1,3,2,4.596,4596,-6.18,7.56,-1.01,9.8166,-0.0884,-0.0371,-0.0458,38.19,96.38,28.0,-5.5085,8.0105,-0.8479,9.7587,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,2,1,3,2,4.769,4769,-4.54,6.97,-0.79,8.3556,-0.0469,0.0371,0.0622,37.5,96.94,28.25,-5.3809,7.8734,-0.8403,9.5735,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,2,1,3,2,4.9,4900,-4.87,5.25,-0.95,7.2237,-0.1265,-0.0338,-1.081,42.19,98.0,23.13,-5.3136,7.5277,-0.8547,9.2537,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,2,1,3,2,5.031,5031,-6.82,7.0,-1.21,9.8477,-0.0851,-0.0338,0.2683,44.56,99.44,20.5,-5.5121,7.4582,-0.9015,9.3177,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,2,1,3,2,5.161,5161,-6.89,6.89,-1.24,9.8225,-0.0207,0.0098,0.0567,43.31,99.69,21.63,-5.6937,7.3833,-0.9461,9.3716,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,3,1,3,2,5.291,5291,-6.9,7.46,-1.34,10.2497,0.0229,0.0338,0.2127,42.56,99.56,22.25,-5.8526,7.3934,-0.998,9.4822,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,3,1,3,2,5.421,5421,-5.95,7.25,-1.11,9.4444,0.0764,0.0524,0.1876,40.81,98.56,24.19,-5.8655,7.3745,-1.0128,9.477,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,3,1,3,2,5.551,5551,-4.9,7.48,-1.17,9.0183,0.0894,0.0131,0.2193,39.81,97.63,25.5,-5.7382,7.3884,-1.0335,9.4119,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,3,1,3,2,5.681,5681,-6.17,7.17,-0.75,9.489,0.0425,-0.0185,-0.0851,39.69,97.19,26.13,-5.7951,7.3596,-0.9961,9.4202,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,3,1,3,2,5.854,5854,-6.11,7.22,-0.91,9.502,-0.0633,-0.0513,0.1996,39.13,97.5,27.13,-5.8366,7.3412,-0.9848,9.4303,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,3,1,3,2,5.984,5984,-5.73,7.72,-1.14,9.6815,-0.1036,-0.0556,0.1124,37.56,98.31,28.63,-5.8226,7.3911,-1.0052,9.4627,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,3,1,3,2,6.114,6114,-5.9,7.76,-1.3,9.8345,-0.072,-0.0338,0.0185,37.0,99.19,28.63,-5.8328,7.4398,-1.0441,9.5111,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,3,1,3,2,6.244,6244,-5.58,7.31,-1.3,9.2878,-0.0262,-0.0065,-0.1691,37.44,99.69,27.94,-5.7995,7.4227,-1.0778,9.4811,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,3,1,3,2,6.374,6374,-5.76,6.95,-1.18,9.1034,-0.0022,0.0109,-0.1113,38.5,99.81,26.81,-5.7943,7.3604,-1.0913,9.4308,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,3,1,3,2,6.504,6504,-5.92,7.32,-1.24,9.4956,-0.0076,-0.0153,0.1254,38.69,99.88,26.56,-5.8108,7.3551,-1.1109,9.4391,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,3,1,3,2,6.634,6634,-5.29,7.11,-1.4,8.972,-0.0229,-0.0404,0.0087,37.81,100.06,27.63,-5.7422,7.3228,-1.149,9.3763,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,3,1,3,2,6.765,6765,-5.44,7.5,-1.21,9.3439,-0.0338,-0.0469,0.0829,37.19,100.44,28.31,-5.7024,7.3461,-1.157,9.3713,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,3,1,3,2,6.937,6937,-6.04,7.54,-1.52,9.7798,-0.0229,-0.0654,-0.0327,37.63,101.25,28.06,-5.7469,7.3717,-1.2048,9.4244,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
1,3,1,3,2,7.067,7067,-5.77,7.69,-1.82,9.7848,0.0196,-0.0818,0.0949,37.13,101.75,28.94,-5.7499,7.4136,-1.2859,9.4698,P001_Barbell_Back_Squats_Inclination_Asymmetry_2_01.csv,2
