participant,rep,equipment_code,exercise_code,target,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file,rep_original
1,2,1,3,1,0.911,911,3.54,8.91,0.17,9.589,0.0535,0.0415,0.3872,-19.81,88.06,262.69,2.9439,9.2516,0.2564,9.7121,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,1.084,1084,2.79,9.19,0.54,9.6193,0.0185,-0.0469,-0.1058,-20.19,87.75,263.06,2.9236,9.2435,0.2938,9.6993,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,1.216,1216,3.61,9.18,0.47,9.8755,-0.0164,-0.0654,0.2214,-21.44,87.56,264.56,3.014,9.2351,0.317,9.7197,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,1.347,1347,3.75,9.22,0.47,9.9645,-0.0535,-0.0785,-0.0916,-21.94,87.63,265.63,3.111,9.2331,0.3372,9.749,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,1.482,1482,3.71,9.11,0.39,9.8442,-0.0567,-0.0862,0.0524,-22.19,87.81,266.69,3.1899,9.2169,0.3441,9.7594,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,1.612,1612,4.02,9.25,0.42,10.0945,-0.0393,-0.072,-0.0055,-22.38,87.88,267.25,3.2993,9.2213,0.3541,9.8001,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,1.743,1743,4.26,9.61,0.47,10.5224,-0.0196,-0.0742,-0.1549,-22.13,87.81,267.5,3.4259,9.2725,0.3694,9.892,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,1.874,1874,3.89,9.44,0.46,10.2204,-0.0022,-0.0589,0.0785,-21.5,87.75,267.31,3.4871,9.2946,0.3813,9.9345,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,2.004,2004,2.78,9.78,0.19,10.1692,-0.0044,-0.0022,-0.0164,-20.31,87.75,266.38,3.3939,9.3585,0.3561,9.9613,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,2.177,2177,4.46,10.85,0.56,11.7443,-0.0153,0.0545,-0.3218,-20.56,88.0,266.25,3.5344,9.5551,0.383,10.195,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,2.308,2308,3.09,9.85,0.23,10.3259,0.0229,0.0458,0.4014,-20.19,88.13,265.56,3.4758,9.5939,0.3628,10.2106,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,2.438,2438,3.57,9.07,0.13,9.7482,-0.0098,0.0393,0.108,-21.25,88.19,266.31,3.4882,9.5249,0.3322,10.149,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,2.572,2572,3.52,8.84,0.03,9.5151,-0.0142,0.0218,0.0545,-22.06,88.31,266.94,3.4924,9.4346,0.2923,10.0645,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,2.703,2703,4.08,9.24,0.24,10.1035,0.036,0.0065,-0.2094,-22.81,88.19,267.63,3.5698,9.409,0.2854,10.0675,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,2.836,2836,3.28,8.71,0.15,9.3083,-0.0022,0.0022,0.1036,-22.06,88.06,266.75,3.5317,9.3169,0.2676,9.9674,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,2.967,2967,3.63,8.67,0.14,9.4003,-0.0415,-0.0087,-0.1265,-22.63,88.25,267.44,3.5446,9.2316,0.2508,9.8919,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,3.097,3097,3.37,9.32,0.36,9.9171,0.0131,-0.0316,-0.0207,-22.0,88.31,267.0,3.5216,9.2433,0.2652,9.895,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,3.27,3270,3.38,8.88,0.16,9.5029,0.0098,0.0076,0.024,-22.0,88.19,267.06,3.5029,9.1954,0.2513,9.8432,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,3.401,3401,3.69,9.26,0.18,9.9698,0.0262,-0.0175,-0.4821,-22.06,88.19,267.13,3.5276,9.2039,0.2419,9.8597,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,3.531,3531,4.08,9.79,0.49,10.6175,0.0131,-0.0295,-0.0894,-21.5,87.88,266.63,3.6004,9.2812,0.2746,9.9588,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,3.661,3661,2.62,8.17,0.15,8.5811,0.0218,0.012,0.6883,-19.63,87.81,264.88,3.4712,9.1347,0.2582,9.7754,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,3.791,3791,3.2,8.93,0.36,9.4929,0.0065,0.0218,-1.1945,-20.81,87.81,265.75,3.4355,9.1078,0.2716,9.7379,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,3.921,3921,3.19,9.86,0.39,10.3705,0.0578,0.0644,0.3578,-17.88,87.75,262.44,3.4031,9.2069,0.2872,9.8199,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,4.051,4051,3.19,8.93,0.24,9.4857,-0.0076,0.0764,0.1309,-19.56,87.69,263.63,3.375,9.1704,0.281,9.7758,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,4.181,4181,4.3,9.05,0.35,10.0257,-0.0415,0.0993,0.0491,-21.25,88.06,264.94,3.4969,9.1545,0.2901,9.804,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,4.354,4354,4.87,10.28,0.36,11.3809,-0.0295,0.0022,-0.1593,-20.94,88.75,264.13,3.6779,9.3028,0.2993,10.0079,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,4.484,4484,2.83,7.84,0.31,8.3409,0.0458,-0.0556,0.4592,-20.81,88.5,264.38,3.5661,9.1101,0.3007,9.7878,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,4.615,4615,2.8,8.61,0.47,9.066,0.0589,-0.12,-0.1604,-22.0,87.88,266.0,3.4652,9.0442,0.323,9.6907,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,4.745,4745,3.21,8.77,0.25,9.3424,0.012,-0.0851,0.2193,-21.94,87.38,266.63,3.4315,9.008,0.3134,9.6446,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,2,1,3,1,4.878,4878,4.34,7.85,0.4,8.9788,-0.0153,-0.0676,0.1876,-24.13,87.13,269.44,3.5513,8.8554,0.3248,9.5465,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,3,1,3,1,5.008,5008,2.99,8.91,0.86,9.4376,-0.0447,-0.0818,-0.324,-23.0,87.19,269.0,3.4773,8.8626,0.3953,9.5286,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,1
1,3,1,3,1,5.142,5142,4.51,9.03,0.41,10.1019,-0.0371,-0.0371,0.2127,-23.5,87.31,270.0,3.6134,8.8847,0.3973,9.5996,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,5.273,5273,4.01,9.14,0.5,9.9935,-0.0164,-0.0567,0.0415,-23.44,87.38,270.31,3.6656,8.9183,0.4108,9.651,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,5.446,5446,4.1,9.13,0.37,10.0152,0.0022,-0.0175,0.1494,-23.31,87.25,270.56,3.7229,8.9462,0.4054,9.6984,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,5.576,5576,3.96,9.44,0.58,10.2534,0.0349,-0.0295,0.1342,-23.0,87.06,270.38,3.7541,9.0113,0.4284,9.7714,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,5.706,5706,3.6,8.89,0.4,9.5996,0.024,-0.0055,0.0207,-23.06,86.75,270.5,3.7338,8.9953,0.4247,9.7487,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,5.836,5836,3.67,9.01,0.47,9.7401,0.0011,0.0338,-0.0611,-22.94,86.75,270.19,3.7254,8.9972,0.4307,9.7475,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,5.966,5966,3.8,9.24,0.54,10.0055,-0.0316,0.0207,-0.0665,-22.63,86.94,269.75,3.7352,9.0292,0.4451,9.7815,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,6.096,6096,4.3,9.33,0.36,10.2795,-0.024,0.0142,0.0131,-22.81,87.19,269.88,3.8097,9.0689,0.4339,9.8461,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,6.226,6226,4.06,9.71,0.59,10.5411,0.0196,-0.0022,-0.1342,-21.88,87.25,268.88,3.8426,9.1534,0.4544,9.9376,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,6.357,6357,3.65,9.28,0.47,9.9831,0.048,-0.0305,0.0022,-21.38,86.88,268.44,3.8173,9.17,0.4565,9.9433,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,6.529,6529,3.63,8.76,0.5,9.4955,-0.0022,-0.048,-0.0273,-21.25,86.44,268.56,3.7926,9.116,0.4622,9.8843,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,6.659,6659,3.21,9.41,0.42,9.9513,-0.0393,-0.0458,-0.2531,-20.06,86.5,267.75,3.7158,9.1547,0.4567,9.8907,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,6.789,6789,3.31,9.62,0.56,10.1889,-0.024,-0.0349,-0.1593,-19.25,86.69,267.25,3.6623,9.2161,0.4703,9.9282,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,6.919,6919,3.37,9.9,0.47,10.4684,0.0033,-0.0076,-0.0033,-18.94,86.69,267.13,3.6238,9.3062,0.4702,9.9979,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,7.049,7049,3.27,10.2,0.47,10.7217,0.0218,0.0273,-0.1756,-18.63,86.69,266.69,3.5772,9.424,0.4702,10.091,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,7.179,7179,4.31,10.83,0.59,11.671,0.0316,0.0185,0.0,-19.13,86.44,266.94,3.6738,9.6092,0.486,10.299,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,7.31,7310,3.63,9.82,0.86,10.5047,-0.0338,0.0262,-0.072,-18.94,86.5,266.56,3.668,9.637,0.5353,10.3253,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,7.44,7440,3.27,10.11,0.59,10.642,-0.0011,0.0262,0.192,-18.69,86.75,266.25,3.6155,9.6993,0.5425,10.3655,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,7.613,7613,3.21,8.72,0.59,9.3108,-0.0044,0.0491,-0.0022,-20.13,86.81,267.31,3.5621,9.5703,0.5487,10.2264,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,7.743,7743,3.48,8.77,0.68,9.4597,-0.0098,0.0469,-0.024,-20.63,86.94,267.56,3.5513,9.4648,0.566,10.125,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,7.873,7873,3.48,8.87,0.39,9.5362,-0.0109,0.0665,0.0447,-20.75,87.13,267.25,3.5419,9.3864,0.5428,10.0471,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,8.003,8003,3.48,9.41,0.46,10.0434,-0.0098,0.0415,-0.168,-20.31,87.5,266.5,3.5337,9.3896,0.5319,10.0466,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,8.133,8133,4.32,8.57,0.45,9.6078,0.0065,-0.0022,0.3043,-20.94,87.5,266.94,3.6373,9.2816,0.5211,9.9824,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,8.263,8263,3.14,9.64,0.28,10.1424,-0.0218,-0.0316,-0.396,-19.56,87.56,265.81,3.5718,9.3288,0.4894,10.0012,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
1,3,1,3,1,8.393,8393,2.95,9.53,0.31,9.981,-0.0022,-0.0338,0.1069,-18.31,87.56,264.75,3.4899,9.3553,0.4657,9.9959,P001_Barbell_Back_Squats_Uncontrolled_Movement_1_01.csv,2
