participant,rep,equipment_code,exercise_code,target,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file,rep_original
1,4,1,2,2,0.0,0,-2.11,9.85,-1.59,10.1982,-0.0098,0.0273,0.4396,11.75,99.13,143.63,-2.3614,9.4905,-1.415,9.8817,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,0.13,130,-1.37,9.45,-1.49,9.6643,-0.0065,-0.0076,-0.2836,10.63,99.06,144.63,-2.2308,9.4852,-1.4249,9.8476,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,0.26,260,-2.54,9.43,-1.47,9.8761,0.0022,-0.0185,-0.2902,13.63,99.19,141.81,-2.2715,9.4779,-1.4308,9.8508,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,0.433,433,-2.15,9.43,-1.64,9.81,0.0033,0.0011,-0.0327,13.31,99.25,142.06,-2.2555,9.4716,-1.4584,9.8451,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,0.563,563,-2.76,9.31,-1.44,9.8167,0.0076,-0.0022,-0.1822,14.81,99.31,140.63,-2.322,9.4503,-1.456,9.8397,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,0.693,693,-2.52,9.45,-1.49,9.8931,0.0175,0.0109,0.1222,14.63,99.19,140.75,-2.3481,9.4502,-1.4605,9.8465,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,0.823,823,-2.34,9.12,-1.33,9.5089,0.024,-0.0109,-0.1385,14.69,99.0,140.75,-2.347,9.4067,-1.4433,9.8019,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,0.954,954,-2.62,9.52,-1.62,10.006,0.0065,-0.012,0.0829,15.19,99.0,140.38,-2.383,9.4217,-1.4666,9.8284,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,1.084,1084,-2.28,9.32,-1.32,9.6852,0.0044,-0.0218,0.024,14.25,98.88,141.44,-2.3694,9.4083,-1.4472,9.8094,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,1.214,1214,-2.53,9.4,-1.52,9.8525,0.0098,-0.0229,-0.1113,15.0,98.94,140.88,-2.3906,9.4072,-1.4568,9.8149,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,1.345,1345,-2.62,9.63,-1.52,10.0951,-0.0076,-0.0109,-0.0076,15.19,99.0,140.81,-2.4208,9.4365,-1.4652,9.8517,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,1.517,1517,-2.98,10.18,-1.55,10.7199,0.0142,0.0218,0.1625,15.0,98.94,140.94,-2.4945,9.5345,-1.4763,9.9654,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,1.647,1647,-2.59,10.76,-1.24,11.1366,0.0011,0.0513,0.3698,12.81,98.75,142.88,-2.5071,9.696,-1.4452,10.1186,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,1.777,1777,-1.84,10.04,-1.25,10.2835,-0.0044,0.0218,-0.0513,11.69,98.63,143.75,-2.4192,9.7413,-1.4195,10.1371,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,1.907,1907,-1.94,9.14,-1.15,9.4141,-0.0142,-0.0098,-0.084,12.81,98.75,142.56,-2.356,9.6621,-1.384,10.041,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,2.038,2038,-2.09,9.42,-1.29,9.7349,0.0305,-0.0545,-0.288,13.63,98.56,142.06,-2.321,9.6302,-1.3716,10.0004,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,2.168,2168,-2.65,9.2,-1.67,9.7186,0.0491,-0.0545,0.0011,14.81,98.31,141.38,-2.3643,9.5735,-1.4109,9.9616,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,2.299,2299,-2.3,8.4,-1.47,8.8324,0.0447,-0.108,-0.5083,15.75,98.25,141.06,-2.3559,9.4189,-1.4187,9.8121,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,2.429,2429,-3.45,9.2,-1.43,9.9291,0.1396,-0.06,0.3294,17.5,97.81,140.25,-2.5,9.39,-1.4202,9.8204,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,2.602,2602,-1.94,8.2,-0.99,8.4843,0.1909,-0.1429,-1.0319,17.0,95.94,142.13,-2.4262,9.2332,-1.3635,9.6435,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,2.732,2732,-3.58,7.76,-0.6,8.567,0.1233,-0.0774,0.1385,21.63,95.44,138.63,-2.5783,9.0391,-1.2629,9.4841,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,2.862,2862,-3.13,9.1,-0.39,9.6311,0.0458,-0.0371,-0.2105,20.0,95.19,140.69,-2.651,9.0471,-1.1479,9.4971,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,2.992,2992,-3.98,9.11,-1.23,10.0173,-0.0731,0.0175,0.0524,21.56,95.38,139.13,-2.8261,9.0554,-1.1587,9.5567,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,3.122,3122,-3.33,7.9,-0.97,8.6279,-0.0578,0.0589,-0.0698,20.94,95.56,139.31,-2.8925,8.9031,-1.1338,9.4296,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,3.252,3252,-3.31,7.54,-1.29,8.335,-0.2029,0.0404,0.1298,21.19,96.56,138.25,-2.9475,8.7235,-1.1544,9.2801,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,3.383,3383,-2.35,9.09,-1.15,9.459,-0.1887,0.0611,0.1996,19.25,97.94,139.25,-2.8688,8.7718,-1.1538,9.3009,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,3.514,3514,-3.13,8.46,-1.14,9.0922,-0.0469,0.0502,0.0164,19.5,98.56,138.38,-2.9032,8.7307,-1.152,9.2726,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,1
1,4,1,2,2,3.686,3686,-3.33,8.78,-1.15,9.4604,-0.072,-0.0055,-0.0349,19.38,99.69,137.94,-2.9594,8.7372,-1.1517,9.2964,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,2
1,5,1,2,2,3.816,3816,-3.05,9.59,-1.89,10.2393,-0.0436,-0.0196,0.1473,18.94,100.19,138.19,-2.9714,8.8496,-1.249,9.4183,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,2
1,5,1,2,2,3.946,3946,-3.17,9.27,-1.66,9.9367,0.0262,-0.0535,-0.0589,18.44,100.31,139.0,-2.9976,8.905,-1.3032,9.4859,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,2
1,5,1,2,2,4.076,4076,-3.52,9.92,-1.32,10.6084,0.12,-0.0436,0.2716,17.63,99.81,140.38,-3.0664,9.0387,-1.3054,9.6336,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,2
1,5,1,2,2,4.206,4206,-2.29,9.78,-1.47,10.1515,0.1418,-0.0371,-0.0185,16.25,98.94,142.38,-2.9641,9.1364,-1.3271,9.6964,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,2
1,5,1,2,2,4.337,4337,-2.61,10.02,-1.18,10.4214,0.2007,0.0076,-0.4298,17.31,97.81,141.88,-2.9174,9.2529,-1.3077,9.7896,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,2
1,5,1,2,2,4.468,4468,-4.43,10.05,-1.2,11.0484,0.2236,0.0731,-0.4832,21.56,96.25,137.88,-3.1167,9.3579,-1.2935,9.9477,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,2
1,5,1,2,2,4.598,4598,-3.34,8.33,-0.79,9.0094,0.1865,0.0556,0.2465,21.06,94.38,138.56,-3.1462,9.2224,-1.2272,9.8213,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,2
1,5,1,2,2,4.771,4771,-4.56,9.1,-0.54,10.1929,0.0185,-0.0087,-0.336,23.94,93.44,135.94,-3.3325,9.2063,-1.1366,9.8566,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,2
1,5,1,2,2,4.901,4901,-3.98,8.71,-0.27,9.5801,-0.0687,-0.0022,0.1953,23.63,93.63,136.19,-3.4178,9.1409,-1.0224,9.8124,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,2
1,5,1,2,2,5.032,5032,-4.38,9.56,-0.62,10.5339,-0.0982,0.0164,-0.0207,23.63,94.19,135.88,-3.5446,9.1961,-0.9694,9.9032,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,2
1,5,1,2,2,5.162,5162,-4.04,9.87,-0.79,10.694,-0.0175,0.0654,0.1713,22.56,94.44,136.44,-3.6099,9.2849,-0.9457,10.0068,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,2
1,5,1,2,2,5.292,5292,-4.24,10.08,-0.81,10.9654,0.012,0.0818,0.2116,21.75,94.25,136.81,-3.6929,9.3897,-0.9279,10.1324,P001_Barbell_Bench_Press_Inclination_Asymmetry_2_01.csv,2
