participant,rep,equipment_code,exercise_code,target,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file,rep_original
1,1,0,1,2,0.0,0,0.42,-0.73,-9.45,9.4875,0.0327,-0.0022,0.0142,-2.63,-175.56,152.5,0.4079,-0.6566,-9.5008,9.5322,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,0.131,131,0.29,-0.89,-9.66,9.7052,-0.0513,0.0338,0.0316,-2.5,-175.56,152.5,0.3924,-0.6873,-9.5218,9.5546,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,0.261,261,0.45,-0.63,-9.49,9.5215,0.0273,0.0251,0.0033,-2.13,-175.25,152.38,0.4,-0.6798,-9.5176,9.5502,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,0.391,391,0.39,-0.76,-9.29,9.3292,0.0567,-0.0535,-0.0447,-2.31,-175.69,152.56,0.3987,-0.6904,-9.4876,9.521,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,0.522,522,0.32,-0.92,-9.35,9.4006,-0.0611,-0.0338,0.0011,-2.69,-175.69,152.69,0.3883,-0.7206,-9.4695,9.5048,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,0.694,694,0.53,-0.35,-9.81,9.8305,-0.0458,0.0327,0.0382,-2.19,-174.69,152.56,0.407,-0.6718,-9.5143,9.5467,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,0.824,824,0.38,-0.79,-9.32,9.3611,0.2258,0.0273,0.0087,-2.13,-176.0,152.44,0.4034,-0.6874,-9.4887,9.5221,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,0.954,954,0.34,-0.98,-9.31,9.3676,-0.0916,-0.0044,-0.0022,-2.06,-176.19,152.44,0.3951,-0.7259,-9.4652,9.5012,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,1.084,1084,0.43,-0.72,-10.78,10.8126,-0.2378,0.0404,-0.0284,-1.94,-174.81,152.63,0.3997,-0.7251,-9.6384,9.6739,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,1.214,1214,0.06,-0.23,-10.19,10.1928,0.3774,0.12,-0.1124,-1.56,-175.19,153.13,0.3549,-0.6599,-9.7111,9.74,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,1.344,1344,0.32,-0.54,-9.33,9.3511,0.4352,0.1145,-0.0164,-0.38,-178.44,153.56,0.3503,-0.6441,-9.6609,9.6887,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,1.474,1474,0.09,-0.2,-9.68,9.6825,0.1178,-0.0371,-0.0611,-0.38,-179.94,153.94,0.316,-0.5856,-9.6634,9.6863,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,1.605,1605,-0.12,0.16,-10.28,10.2819,0.2127,-0.0415,0.0164,-0.81,178.81,154.19,0.2585,-0.4873,-9.7447,9.7603,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,1.778,1778,-0.03,1.05,-11.42,11.4682,0.2193,-0.06,0.0295,-0.31,177.44,154.31,0.2205,-0.2847,-9.9654,9.9719,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,1.912,1912,-0.14,1.31,-6.45,6.5832,1.393,-0.0185,-0.5334,-0.38,171.19,156.19,0.173,-0.0746,-9.5022,9.5041,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,2.042,2042,0.15,-0.1,-6.53,6.5325,0.3414,-0.4756,-0.0196,-1.94,162.5,158.06,0.17,-0.0779,-9.1105,9.1124,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,2.176,2176,-0.13,3.01,-9.44,9.9091,-1.2468,0.2051,0.1036,-2.63,169.63,158.5,0.1305,0.329,-9.1539,9.1608,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,1,0,1,2,2.306,2306,0.8,3.03,-10.23,10.6992,0.5181,0.4243,-0.1254,0.31,171.56,157.75,0.2187,0.6849,-9.2957,9.3235,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,2,0,1,2,2.437,2437,0.2,1.61,-7.95,8.1139,0.7003,0.0469,0.0251,2.06,165.75,158.19,0.2162,0.8068,-9.1184,9.1566,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,2,0,1,2,2.567,2567,0.45,2.12,-8.47,8.7429,-0.0753,-0.1429,0.0338,1.56,163.69,157.94,0.247,0.9798,-9.033,9.0893,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,1
1,2,0,1,2,2.697,2697,-0.44,3.47,-9.42,10.0484,-0.3894,-0.2782,0.0022,-0.06,166.44,158.88,0.1565,1.308,-9.084,9.179,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,2
1,2,0,1,2,2.87,2870,-0.44,1.61,-9.32,9.4683,0.0415,-0.0796,-0.0665,-0.81,164.25,158.94,0.0779,1.3478,-9.1151,9.2145,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,2
1,2,0,1,2,3.0,3000,0.14,2.26,-10.07,10.3214,-0.4767,0.2203,0.0949,-0.44,166.75,158.75,0.0861,1.468,-9.2409,9.3572,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,2
1,2,0,1,2,3.13,3130,0.07,2.73,-10.12,10.482,0.0185,0.048,0.1276,0.44,168.5,158.0,0.084,1.6343,-9.3567,9.4988,P001_Dumbbell_Overhead_Extension_Abrupt_Initiation_2_01.csv,2
