participant,rep,equipment_code,exercise_code,target,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file,rep_original
14,1,0,1,0,0.0,0,0.57,1.28,-9.43,9.5335,-0.2902,-0.0753,-0.0044,-7.19,171.75,234.69,1.0055,2.7566,-9.1119,9.5727,P014_Dumbbell_Single_Arm_Overhead_Extension_Clean_0_01.csv,1
14,1,0,1,0,0.121,121,1.23,0.36,-9.17,9.2591,-0.2771,0.108,0.0011,-7.06,173.5,234.56,1.0351,2.4408,-9.1195,9.4971,P014_Dumbbell_Single_Arm_Overhead_Extension_Clean_0_01.csv,1
14,1,0,1,0,0.242,242,1.25,0.52,-9.96,10.0516,-0.6174,0.1593,0.048,-5.81,176.63,235.13,1.0634,2.1877,-9.2303,9.5454,P014_Dumbbell_Single_Arm_Overhead_Extension_Clean_0_01.csv,1
14,1,0,1,0,0.364,364,0.76,0.56,-11.0,11.0404,-0.2749,-0.1069,-0.0327,-5.94,179.94,235.19,1.0234,1.9732,-9.4635,9.721,P014_Dumbbell_Single_Arm_Overhead_Extension_Clean_0_01.csv,1
14,1,0,1,0,0.528,528,0.97,0.47,-10.87,10.9233,0.0491,0.1702,-0.1091,-5.94,-179.13,234.56,1.0164,1.7751,-9.6488,9.8633,P014_Dumbbell_Single_Arm_Overhead_Extension_Clean_0_01.csv,1
14,1,0,1,0,0.651,651,1.41,0.48,-9.62,9.7346,0.4516,-0.1691,-0.0556,-5.56,178.5,234.81,1.0682,1.6044,-9.645,9.8357,P014_Dumbbell_Single_Arm_Overhead_Extension_Clean_0_01.csv,1
14,1,0,1,0,0.772,772,0.44,0.11,-8.79,8.8017,0.2258,-0.2149,0.132,-7.31,176.19,234.31,0.9855,1.4075,-9.5324,9.686,P014_Dumbbell_Single_Arm_Overhead_Extension_Clean_0_01.csv,1
14,1,0,1,0,0.893,893,1.05,0.36,-10.4,10.4591,-0.0556,0.2967,0.0502,-6.63,175.75,233.81,0.994,1.2695,-9.6467,9.7805,P014_Dumbbell_Single_Arm_Overhead_Extension_Clean_0_01.csv,1
14,1,0,1,0,1.014,1014,2.04,2.71,-12.64,13.0872,-0.0709,-0.0731,-0.0251,-5.44,177.13,233.25,1.1318,1.4593,-10.0411,10.2095,P014_Dumbbell_Single_Arm_Overhead_Extension_Clean_0_01.csv,1
14,1,0,1,0,1.135,1135,1.2,2.0,-11.87,12.097,0.8323,-0.3949,-0.1473,-7.63,173.81,233.5,1.1408,1.5306,-10.2821,10.4578,P014_Dumbbell_Single_Arm_Overhead_Extension_Clean_0_01.csv,1
