participant,rep,equipment_code,exercise_code,target,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file,rep_original
1,1,0,1,1,0.0,0,-0.34,1.54,-9.39,9.5215,0.2378,0.0458,0.2127,0.81,171.56,132.75,0.1589,2.4238,-7.6399,8.0167,P001_Dumbbell_Overhead_Extension_Uncontrolled_Movement_1_01.csv,1
1,1,0,1,1,0.131,131,0.79,1.24,-9.12,9.2378,0.1604,0.1691,0.3229,1.25,169.81,130.5,0.2421,2.2678,-7.8349,8.1601,P001_Dumbbell_Overhead_Extension_Uncontrolled_Movement_1_01.csv,1
1,1,0,1,1,0.262,262,0.71,1.47,-9.11,9.2551,-0.0785,0.0415,0.084,0.38,170.06,128.88,0.3037,2.1627,-8.003,8.2956,P001_Dumbbell_Overhead_Extension_Uncontrolled_Movement_1_01.csv,1
1,1,0,1,1,0.392,392,0.02,1.67,-9.49,9.6358,-0.1222,-0.0578,0.012,-0.5,170.75,128.63,0.2663,2.0978,-8.1989,8.4672,P001_Dumbbell_Overhead_Extension_Uncontrolled_Movement_1_01.csv,1
1,1,0,1,1,0.523,523,-0.33,1.38,-10.06,10.1596,0.0076,-0.0142,-0.0774,-0.75,170.88,129.25,0.1878,2.0032,-8.4442,8.6805,P001_Dumbbell_Overhead_Extension_Uncontrolled_Movement_1_01.csv,1
1,1,0,1,1,0.699,699,-0.3,1.54,-9.41,9.5399,0.3796,0.036,-0.1025,0.13,169.31,130.31,0.1235,1.9421,-8.5714,8.7896,P001_Dumbbell_Overhead_Extension_Uncontrolled_Movement_1_01.csv,1
1,1,0,1,1,0.83,830,-0.68,1.56,-9.4,9.5528,-0.0862,-0.0796,-0.0829,0.06,168.56,130.88,0.0176,1.8918,-8.6806,8.8844,P001_Dumbbell_Overhead_Extension_Uncontrolled_Movement_1_01.csv,1
1,1,0,1,1,0.961,961,-0.82,2.2,-10.8,11.0523,-0.1025,0.3294,0.0393,0.75,169.88,130.5,-0.0928,1.9324,-8.9599,9.1664,P001_Dumbbell_Overhead_Extension_Uncontrolled_Movement_1_01.csv,1
1,1,0,1,1,1.091,1091,0.0,2.46,-10.7,10.9791,0.4854,-0.1244,0.0316,2.38,167.88,130.0,-0.0805,2.0019,-9.1892,9.4051,P001_Dumbbell_Overhead_Extension_Uncontrolled_Movement_1_01.csv,1
1,1,0,1,1,1.221,1221,-0.35,2.86,-9.69,10.1093,0.7843,-0.4865,-0.1876,-0.44,163.56,130.81,-0.116,2.115,-9.2552,9.4945,P001_Dumbbell_Overhead_Extension_Uncontrolled_Movement_1_01.csv,1
1,1,0,1,1,1.367,1367,-0.04,2.82,-8.09,8.5675,0.769,0.0338,-0.1844,-1.5,157.19,132.38,-0.106,2.2079,-9.1016,9.3662,P001_Dumbbell_Overhead_Extension_Uncontrolled_Movement_1_01.csv,1
1,1,0,1,1,1.502,1502,0.33,3.63,-8.22,8.9919,0.5989,0.0305,-0.1963,-0.44,152.81,133.19,-0.0486,2.3953,-8.9855,9.2994,P001_Dumbbell_Overhead_Extension_Uncontrolled_Movement_1_01.csv,1
1,1,0,1,1,1.633,1633,-0.61,5.18,-8.5,9.9727,0.2018,-0.0185,-0.468,-0.69,150.13,134.88,-0.1226,2.7622,-8.9215,9.3401,P001_Dumbbell_Overhead_Extension_Uncontrolled_Movement_1_01.csv,1
1,1,0,1,1,1.805,1805,0.3,4.44,-7.45,8.6779,0.3676,-0.2978,-0.0818,-2.31,144.19,135.25,-0.0669,2.9833,-8.7276,9.2236,P001_Dumbbell_Overhead_Extension_Uncontrolled_Movement_1_01.csv,1
1,1,0,1,1,1.935,1935,0.38,6.95,-7.79,10.4466,0.0927,-0.0153,0.0,-2.31,144.31,136.06,-0.008,3.506,-8.604,9.291,P001_Dumbbell_Overhead_Extension_Uncontrolled_Movement_1_01.csv,1
1,1,0,1,1,2.065,2065,0.28,4.89,-7.36,8.8408,0.5443,-0.2913,-0.0676,-4.06,140.06,136.81,0.03,3.6884,-8.4401,9.2109,P001_Dumbbell_Overhead_Extension_Uncontrolled_Movement_1_01.csv,1
