participant,rep,equipment_code,exercise_code,target,timestamp,timestamp_ms,accelX,accelY,accelZ,accelMag,gyroX,gyroY,gyroZ,roll,pitch,yaw,filteredX,filteredY,filteredZ,filteredMag,source_file,rep_original
1,1,2,4,2,2.87,2870,-0.24,-0.39,9.68,9.6908,0.0011,0.0055,0.0022,1.06,-2.13,102.75,-0.2323,-0.3883,9.763,9.7734,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,1,2,4,2,3.002,3002,-0.25,-0.4,10.04,10.0511,0.0011,-0.0087,-0.0065,1.06,-2.13,102.75,-0.2346,-0.3899,9.7995,9.81,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,1,2,4,2,3.137,3137,-0.29,-0.4,9.72,9.7325,0.0065,0.0055,0.0022,1.06,-2.13,102.75,-0.2419,-0.3912,9.789,9.7998,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,1,2,4,2,3.268,3268,-0.14,-0.46,9.92,9.9316,-0.0076,-0.0131,-0.0033,1.06,-2.13,102.75,-0.2285,-0.4003,9.8063,9.8171,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,1,2,4,2,3.399,3399,-0.35,-0.3,10.89,10.8998,-0.0022,0.0087,-0.0098,1.0,-2.13,102.75,-0.2445,-0.3871,9.9491,9.9596,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,1,2,4,2,3.529,3529,-0.29,-0.31,11.96,11.9675,0.0316,-0.0371,-0.0109,1.13,-2.13,102.69,-0.2505,-0.3769,10.2141,10.2241,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,1,2,4,2,3.702,3702,-0.09,-0.46,12.21,12.219,-0.0785,0.0927,-0.012,1.0,-2.19,102.69,-0.2294,-0.3879,10.4771,10.4868,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,1,2,4,2,3.832,3832,-0.06,-0.74,11.1,11.1248,0.0044,-0.0371,-0.0011,0.94,-2.13,102.63,-0.207,-0.4343,10.5592,10.5701,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,1,2,4,2,3.965,3965,0.02,-0.46,9.93,9.9407,0.0327,-0.0262,-0.0033,1.13,-2.13,102.69,-0.1771,-0.4376,10.4763,10.4869,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,1,2,4,2,4.096,4096,-0.7,-0.26,7.94,7.975,0.036,0.0218,0.0087,1.0,-2.06,102.69,-0.246,-0.4142,10.142,10.1535,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,1,2,4,2,4.23,4230,-0.38,-0.18,8.42,8.4305,-0.024,-0.0295,0.0164,1.25,-2.13,102.69,-0.2637,-0.3834,9.9151,9.926,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,1,2,4,2,4.361,4361,0.09,-0.48,8.06,8.0748,0.0044,-0.0393,0.0044,1.13,-2.06,102.75,-0.2171,-0.3961,9.6707,9.6812,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,1,2,4,2,4.492,4492,-0.36,-0.33,6.95,6.9671,-0.0273,-0.0044,0.012,1.06,-2.06,102.69,-0.2359,-0.3874,9.3121,9.3232,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,1,2,4,2,4.622,4622,-0.41,-0.36,9.75,9.7653,0.0382,-0.0382,0.0022,1.06,-2.06,102.69,-0.2588,-0.3838,9.3698,9.3813,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,1,2,4,2,4.795,4795,-0.16,-0.36,8.99,8.9986,-0.0109,-0.0055,-0.0022,1.13,-2.0,102.69,-0.2458,-0.3807,9.3198,9.3308,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,1,2,4,2,4.925,4925,-0.18,-0.31,6.92,6.9293,0.0142,-0.0076,0.0011,1.06,-2.06,102.69,-0.2371,-0.3713,9.0036,9.0143,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,2,2,4,2,5.056,5056,-0.24,-0.46,6.16,6.1818,0.0229,0.0153,-0.0055,1.0,-2.13,102.69,-0.2375,-0.383,8.6289,8.6406,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,2,2,4,2,5.187,5187,-0.27,0.0,7.71,7.7147,-0.0044,0.0142,-0.0022,1.06,-2.0,102.69,-0.2418,-0.3326,8.5078,8.5177,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,1
1,2,2,4,2,5.322,5322,-0.07,-0.64,11.14,11.1586,-0.0327,0.1767,-0.0175,0.88,-2.31,102.63,-0.2192,-0.3731,8.8546,8.8652,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,2
1,2,2,4,2,5.453,5453,-0.11,-0.59,14.58,14.5923,-0.1102,-0.0175,0.0382,1.06,-2.25,102.69,-0.2048,-0.4017,9.6091,9.6197,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,2
1,2,2,4,2,5.584,5584,-0.24,-0.41,12.52,12.529,-0.0207,-0.0349,-0.0142,1.06,-2.25,102.75,-0.2094,-0.4028,9.9927,10.003,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,2
1,2,2,4,2,5.714,5714,-0.42,-0.29,10.36,10.3726,0.0087,-0.0436,-0.0382,0.94,-2.19,102.75,-0.2372,-0.3879,10.0411,10.0514,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,2
1,2,2,4,2,5.887,5887,-0.03,-0.48,9.79,9.8018,0.0022,-0.0098,-0.0175,0.81,-2.25,102.75,-0.2099,-0.4,10.008,10.0182,P001_Weight_Stack_Lateral_Pulldown_Releasing_Too_Fast_1_04.csv,2
