feature,importance
gyroX_energy,0.05492375050412799
accelZ_energy,0.05462102241211712
ldlj,0.052222484599951546
filteredZ_rms,0.04909789406607978
gyroX_rms,0.04398357961048965
accelZ_p25,0.043745677540453914
gyroY_jerk_rms,0.04069575077611265
gyroX_peak_value,0.03683542845003808
accelZ_p75,0.033116076849229126
gyroY_energy,0.032967489242364666
filteredZ_range,0.03147786899491048
gyroZ_jerk_rms,0.02700598774465946
gyroY_range,0.024342350374975893
accelZ_min,0.02202568632471394
filteredMag_p25,0.02146173891948587
gyroX_jerk_rms,0.018717384419121793
accelX_range,0.018204778910347604
rep_duration_ms,0.018088379920159343
accelX_jerk_rms,0.017661347909486865
accelY_std,0.017312609839862658
filteredMag_max,0.017196926581594624
filteredMag_range,0.015388610355614892
filteredMag_iqr,0.014854307465485812
filteredX_range,0.01394038286607397
gyroZ_energy,0.013711848893844568
accelX_p75,0.013672317106986104
filteredMag_mean,0.01276493398498514
gyroY_iqr,0.01116453919200674
filteredMag_min,0.010616810207983282
filteredY_range,0.010466805576273512
accelX_energy,0.009302401255274654
accelMag_std,0.009300591020618395
filteredX_rms,0.009010457380786423
filteredY_skew,0.008989093251261628
accelY_range,0.008698987350819271
accelY_p25,0.00829333230375537
filteredY_rms,0.008154692307562692
filteredMag_skew,0.007803973386670018
gyroZ_range,0.007589500095386449
avg_sample_rate,0.00750332674736915
filteredX_iqr,0.007247403520487072
accelMag_range,0.007194568341152909
accelMag_min,0.007140362045011053
accelZ_range,0.007018203152851977
filteredY_jerk_mean,0.0068834172616306375
accelMag_max,0.006777704590679765
filteredMag_jerk_mean,0.006733577780260914
filteredMag_p75,0.006699817175590551
accelX_iqr,0.006475534668892123
accelZ_jerk_rms,0.006374835073724502
filteredMag_diff_max,0.006340043649035145
accelMag_rms,0.006029901701518504
accelZ_iqr,0.005665066043982361
gyroZ_kurtosis,0.0056163298877852045
accelMag_jerk_rms,0.005569265490815355
gyroZ_rms,0.005522871682407934
filteredMag_median,0.005352447699935406
gyroY_p25,0.005315192222050624
filteredMag_kurtosis,0.0046167109031140475
gyroX_kurtosis,0.004495622370032908
