feature,importance
gyroX_energy,0.06939238345511851
gyroY_jerk_std,0.06695845127897514
ldlj,0.06139412615970707
gyroX_rms,0.058829497922844656
filteredZ_range,0.05095877317395622
accelZ_energy,0.05035889605511069
gyroX_peak_value,0.0434571164276267
gyroX_jerk_rms,0.03503481528418198
accelZ_rms,0.03189431875886947
accelX_jerk_rms,0.030058368036108687
gyroZ_jerk_rms,0.02905994384889631
filteredMag_iqr,0.02389200501090091
accelZ_range,0.021929732083841077
filteredMag_range,0.02095555101866369
rep_duration_ms,0.020810316440235215
accelZ_p25,0.019656623292062705
accelX_range,0.019248330802782862
gyroY_energy,0.0187356320851574
accelZ_p75,0.017222357631560836
filteredY_range,0.01661085307810052
accelZ_min,0.01598086526421262
filteredMag_max,0.014470261118800282
gyroY_peak_value,0.013882245506881646
filteredX_range,0.013482301722893551
accelX_iqr,0.013037627221816022
filteredMag_p25,0.012806492156324668
accelX_p75,0.011466967989692578
gyroZ_energy,0.011347253798019843
avg_sample_rate,0.010324713463866148
filteredMag_min,0.009692910301967145
gyroZ_rms,0.009538397555936759
accelZ_jerk_rms,0.009000708593206432
gyroZ_kurtosis,0.008499674230922311
accelMag_range,0.007977983263585876
filteredY_rms,0.007872233424254318
accelMag_jerk_rms,0.007584578648505955
accelY_std,0.007043627627896009
filteredMag_kurtosis,0.006841865056121803
gyroY_p75,0.006618182161043104
accelX_energy,0.006227491088677691
filteredX_iqr,0.006151411029857289
filteredY_skew,0.006137096086899201
gyroY_iqr,0.0060126201843284524
filteredY_iqr,0.00581397852584162
filteredMag_skew,0.005382653303895792
gyroX_iqr,0.005361744664461281
filteredMag_jerk_mean,0.005126999718202736
filteredMag_median,0.005068903330641172
accelY_energy,0.005061291703319782
accelY_peak_position,0.004872369818911978
gyroZ_max,0.0045243982055160935
accelMag_max,0.004377581818459433
accelZ_iqr,0.004219367490205732
accelMag_peak_position,0.003987982412362834
gyroZ_iqr,0.003698275275769376
filteredMag_p75,0.0036420270721607994
gyroX_p75,0.003565270357519924
filteredY_peak_position,0.002609041578209518
accelMag_min,0.0024087475678240436
accelX_jerk_mean,0.0018237678162874903
