feature,importance
filteredZ_rms,0.13243375387909787
accelZ_energy,0.10690055180646177
gyroY_jerk_rms,0.07303611655095542
avg_sample_rate,0.0707205955072709
accelZ_p25,0.06252066450194418
filteredZ_range,0.05236441872649493
gyroY_range,0.04345270766639774
gyroY_energy,0.03822830493211597
accelZ_peak_value,0.02810096627358852
filteredMag_iqr,0.022598631076146004
filteredMag_range,0.02062174396357673
accelMag_jerk_rms,0.018488988161064562
gyroZ_jerk_rms,0.01650376903196198
accelMag_range,0.015314648405285203
accelMag_min,0.013799639329913406
filteredY_iqr,0.013783743847544015
filteredY_range,0.01342763611183548
accelZ_iqr,0.012181908431283505
gyroX_energy,0.011277328553374079
gyroY_iqr,0.010632478534849586
filteredMag_max,0.010552335365424327
accelMag_rms,0.009650364794623655
accelMag_peak_position,0.008790541009944202
gyroY_p25,0.008341548358700076
gyroZ_energy,0.008153475973622946
accelZ_range,0.007878912865086431
filteredMag_skew,0.007760099597728303
accelMag_skew,0.007720904241857739
filteredMag_p25,0.007649548222254297
filteredY_kurtosis,0.007508991932879896
accelY_jerk_max,0.007432145942282229
filteredMag_rms,0.007125433239433817
accelMag_max,0.0071248198525381366
filteredMag_p75,0.007057892846674364
filteredMag_kurtosis,0.006784270121895634
filteredMag_median,0.006681026510686761
filteredMag_min,0.0065594233396936465
accelX_p25,0.006515573977431062
gyroY_kurtosis,0.006267664472807177
rep_duration_ms,0.005976072106258312
accelX_jerk_rms,0.005637557005212365
accelY_p75,0.005411142017750544
accelY_min,0.005303579822807424
accelX_peak_position,0.005290050822298774
accelY_kurtosis,0.005163403856313008
accelMag_median,0.004489593806022627
accelMag_p75,0.004194806665153138
accelMag_iqr,0.004076072350580251
accelX_range,0.003962872354643411
accelY_max,0.003825104711292397
filteredMag_peak_position,0.0035803951526076406
ldlj,0.003463407852747718
accelY_skew,0.0034255574841886584
accelY_std,0.0032304465555625396
gyroX_mean,0.003187560548602591
gyroX_iqr,0.003025940330393154
gyroZ_jerk_mean,0.0013098067161828688
filteredMag_jerk_mean,0.00129767010899403
gyroY_p75,0.0012041117298689898
gyroZ_diff_mean,0.0010012800457930196
